GENESIS-Tabelle: 14333-01-02-5
Landtagswahlen: Niedersachsen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinden, Samtgemeinden;;;;;;;;;;;
Landtagswahlen: Niedersachsen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
20.01.2013;03152401013;Jühnde;823;60,6;490;153;221;61;31;10;14
20.01.2013;03152401017;Niemetal;1218;60,3;716;272;265;90;47;13;29
20.01.2013;03152401023;Scheden;1602;53,0;837;283;298;96;66;17;77
20.01.2013;03152402;Gieboldehausen, Samtgemeinde;11286;62,8;7005;3688;1487;469;452;117;792
20.01.2013;03152402002;Bilshausen;1910;49,5;937;493;202;55;71;9;107
20.01.2013;03152402003;Bodensee;630;58,4;363;171;63;54;40;9;26
20.01.2013;03152402010;Gieboldehausen;3251;47,8;1532;683;400;112;93;28;216
20.01.2013;03152402014;Krebeck;883;65,1;569;328;80;66;36;11;48
20.01.2013;03152402018;Obernfeld;799;58,4;457;207;88;17;12;1;132
20.01.2013;03152402019;Rhumspringe;1533;62,4;948;570;156;50;73;26;73
20.01.2013;03152402020;Rollshausen;712;55,2;386;245;57;22;17;5;40
20.01.2013;03152402022;Rüdershausen;700;55,0;381;195;113;20;32;3;18
20.01.2013;03152402028;Wollbrandshausen;513;55,0;280;174;59;9;15;2;21
20.01.2013;03152402029;Wollershausen;355;60,8;214;89;82;16;11;7;9
20.01.2013;03152403;Radolfshausen, Samtgemeinde;5924;67,5;3955;1537;1280;591;268;93;186
20.01.2013;03152403008;Ebergötzen;1557;60,1;928;238;437;143;54;19;37
20.01.2013;03152403015;Landolfshausen;888;65,8;578;169;231;107;35;18;18
20.01.2013;03152403024;Seeburg, Niedersachs;1314;53,9;700;334;160;94;50;18;44
20.01.2013;03152403025;Seulingen;1116;62,8;693;439;112;34;57;11;40
20.01.2013;03152403027;Waake;1049;60,7;632;172;223;151;40;14;32
20.01.2013;03153002;Bad Harzburg;18217;56,3;10115;3794;3322;1123;1044;384;448
20.01.2013;03153003;Braunlage, Stadt;-;-;-;-;-;-;-;-;-
20.01.2013;03153005;Goslar, Stadt;32309;54,6;17405;5807;6001;2183;1718;910;786
20.01.2013;03153007;Langelsheim;9849;55,8;5411;1675;2363;530;431;194;218
20.01.2013;03153008;Liebenburg;7261;60,5;4324;1397;1888;411;276;159;193
20.01.2013;03153010;Sankt Andreasberg, Bergstadt;-;-;-;-;-;-;-;-;-
20.01.2013;03153012;Seesen;15990;56,8;8972;3580;3275;700;731;328;358
20.01.2013;03153013;Vienenburg, Stadt;8662;59,5;5084;1953;1874;476;339;190;252
20.01.2013;03153016;Braunlage, Stadt;5170;54,0;2742;1117;896;176;343;107;103
20.01.2013;03153017;Goslar, Stadt;-;-;-;-;-;-;-;-;-
20.01.2013;03153018;Clausthal-Zellerfeld, Berg- und Universitätsstadt;-;-;-;-;-;-;-;-;-
20.01.2013;03153401;Lutter am Barenberge, Samtgemeinde;3460;64,5;2201;736;905;175;225;60;100
20.01.2013;03153401006;Hahausen;688;61,6;420;140;162;38;54;8;18
20.01.2013;03153401009;Lutter am Barenberge;1991;53,0;1032;352;418;79;108;26;49
20.01.2013;03153401014;Wallmoden;781;66,8;519;140;253;39;41;20;26
20.01.2013;03153402;Samtgemeinde Oberharz;12121;54,9;6541;1971;2468;703;676;275;448
20.01.2013;03153402001;Altenau, Bergstadt;1415;50,4;703;274;253;33;82;32;29
20.01.2013;03153402004;Clausthal-Zellerfeld, Bergstadt;9691;42,6;4054;1110;1521;491;426;172;334
20.01.2013;03153402011;Schulenberg im Oberharz;221;56,1;121;44;46;11;5;9;6
20.01.2013;03153402015;Wildemann, Bergstadt;794;54,7;429;105;221;25;51;13;14
20.01.2013;03153504;Harz (Landkreis Goslar), gem.fr. Geb.;0;0,0;0;0;0;0;0;0;0
20.01.2013;03154003;Büddenstedt;2195;56,4;1205;450;487;101;63;37;67
20.01.2013;03154010;Helmstedt;18811;53,2;9869;3506;3578;1079;774;351;581
20.01.2013;03154013;Königslutter am Elm;12729;61,2;7704;2661;2809;933;581;242;478
20.01.2013;03154014;Lehre;9344;63,5;5865;2072;2085;832;432;159;285
20.01.2013;03154019;Schöningen;9656;51,6;4900;1712;2018;420;322;143;285
20.01.2013;03154401;Grasleben, Samtgemeinde;3730;56,5;2073;874;729;185;151;54;80
20.01.2013;03154401008;Grasleben;2061;45,4;919;384;324;92;73;18;28
20.01.2013;03154401015;Mariental b Helmstedt;688;48,0;325;139;120;22;18;9;17
20.01.2013;03154401016;Querenhorst;398;60,6;236;100;84;19;17;5;11
20.01.2013;03154401018;Rennau;583;66,6;384;170;121;37;28;13;15
20.01.2013;03154402;Heeseberg, Samtgemeinde;3253;59,4;1892;697;709;170;157;43;116
20.01.2013;03154402002;Beierstedt;337;55,5;183;72;69;22;9;1;10
20.01.2013;03154402006;Gevensleben;546;57,1;303;92;120;35;26;10;20
20.01.2013;03154402011;Ingeleben;328;48,8;158;48;73;12;16;2;7
20.01.2013;03154402012;Jerxheim;942;45,5;418;154;162;27;36;8;31
20.01.2013;03154402020;Söllingen;521;50,5;260;128;72;21;19;12;8
20.01.2013;03154402023;Twieflingen;579;57,5;324;101;129;34;25;7;28
20.01.2013;03154402027;Söllingen;-;-;-;-;-;-;-;-;-
20.01.2013;03154403;Nord-Elm, Samtgemeinde;4776;63,7;3000;1127;1045;306;221;94;207
20.01.2013;03154403005;Frellstedt;675;57,9;382;108;155;50;22;24;23
20.01.2013;03154403017;Räbke;592;57,6;335;150;86;43;31;9;16
20.01.2013;03154403021;Süpplingen;1413;46,1;643;222;225;71;55;16;54
20.01.2013;03154403022;Süpplingenburg;540;66,5;350;115;141;35;20;9;30
20.01.2013;03154403025;Warberg;716;62,2;440;195;130;38;41;9;27
20.01.2013;03154403026;Wolsdorf;840;53,0;443;178;168;35;21;16;25
20.01.2013;03154404;Velpke, Samtgemeinde;9905;61,6;6015;2346;2277;590;377;128;297
20.01.2013;03154404001;Bahrdorf;1518;57,5;866;363;321;56;50;23;53
20.01.2013;03154404004;Danndorf;1736;54,8;939;379;349;86;52;24;49
