GENESIS-Tabelle: 31231-01-02-5-B
Wohngebäude- und Wohnungsbestand - Stichtag 31.12. -;;;;;;;;;;;;;;
regionale Ebenen (bis 2010);;;;;;;;;;;;;;
Fortschreib. d. Wohngebäude- u. Wohnungsbestandes;;;;;;;;;;;;;;
31.12.2010;;;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohnfläche in Wohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Räume in Wohnungen mit 7 oder mehr Räumen
;;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;
;;Insgesamt;1 Wohnung;2 Wohnungen;;Insgesamt;Wohnungen mit 1 Raum;Wohnungen mit 2 Räumen;Wohnungen mit 3 Räumen;Wohnungen mit 4 Räumen;Wohnungen mit 5 Räumen;Wohnungen mit 6 Räumen;Wohnungen mit 7 Räumen oder mehr;
;;Anzahl;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
0713705223;Spay;610;382;168;97,3;948;2;26;141;234;196;169;180;1402
0713705227;Waldesch;782;539;198;123,7;1110;10;41;126;212;242;217;262;2060
0713706;Untermosel, Verbandsgem.;6035;4103;1426;948,1;9010;72;312;1219;1947;1886;1725;1849;14448
0713706201;Alken;251;166;64;38,7;375;0;13;63;60;90;81;68;546
0713706205;Brodenbach;228;155;55;36,1;347;7;9;54;78;54;75;70;555
0713706206;Burgen, Mosel;296;220;60;41,1;408;1;17;65;101;75;83;66;535
0713706207;Dieblich;734;466;173;126,4;1207;6;45;175;289;253;251;188;1468
0713706208;Hatzenport;244;178;54;33,7;337;2;12;44;78;75;61;65;508
0713706212;Kobern-Gondorf;1036;699;248;164,0;1544;11;34;196;367;331;253;352;2746
0713706214;Löf;502;357;116;72,2;711;2;25;107;142;160;137;138;1084
0713706215;Macken;136;115;21;18,4;160;0;0;14;26;41;35;44;334
0713706217;Niederfell;262;172;61;39,8;406;6;14;47;99;95;70;75;572
0713706219;Nörtershausen;382;292;72;63,7;526;3;19;52;85;86;115;166;1294
0713706220;Oberfell;369;259;81;59,9;545;6;19;67;94;111;106;142;1105
0713706230;Winningen, Mosel;761;420;237;126,8;1303;21;71;202;313;250;206;240;1887
0713706231;Wolken;343;249;72;55,2;476;2;14;45;84;134;103;94;723
0713706504;Lehmen;491;355;112;72,1;665;5;20;88;131;131;149;141;1091
0713707;Vallendar, Verbandsgem.;4275;2536;1068;780,8;7768;116;333;1308;1961;1676;1164;1210;9365
0713707218;Niederwerth;382;225;98;63,6;643;11;9;108;173;152;100;90;685
0713707224;Urbar b Koblenz am Rhein;868;496;247;158,8;1589;12;64;286;416;352;225;234;1802
0713707226;Vallendar;2354;1405;544;441,5;4441;90;228;763;1085;929;638;708;5496
0713707229;Weitersburg;671;410;179;116,9;1095;3;32;151;287;243;201;178;1382
0713708;Weißenthurm, Verbandsgem.;8706;5155;2160;1491,7;15660;145;571;2517;4226;3715;2380;2106;16109
0713708202;Bassenheim;908;588;233;145,6;1395;6;63;203;304;320;247;252;1929
0713708209;Kaltenengers;562;338;114;97,7;1007;7;28;145;314;261;153;99;745
0713708211;Kettig;838;477;217;148,8;1507;4;48;207;385;359;277;227;1717
0713708216;Mülheim-Kärlich;3186;2005;804;506,5;5163;33;160;757;1273;1256;872;812;6210
0713708222;Sankt Sebastian;557;276;119;111,4;1222;14;51;204;370;324;158;101;763
0713708225;Urmitz;971;547;246;167,8;1757;13;49;243;497;428;282;245;1855
0713708228;Weißenthurm;1684;924;427;314,0;3609;68;172;758;1083;767;391;370;2890
0713709;Rhein-Mosel;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709201;Alken;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709204;Brey;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709205;Brodenbach;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709206;Burgen;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709207;Dieblich;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709208;Hatzenport;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709212;Kobern-Gondorf;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709214;Löf;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709215;Macken;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709217;Niederfell;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709219;Nörtershausen;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709220;Oberfell;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709221;Rhens;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709223;Spay;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709227;Waldesch;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709230;Winningen;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709231;Wolken;-;-;-;-;-;-;-;-;-;-;-;-;-
0713709504;Lehmen;-;-;-;-;-;-;-;-;-;-;-;-;-
0713800045;Neuwied, verbandsfr. Gemeinde;16787;10428;3764;2851,2;32254;468;1488;6736;9186;6699;3927;3750;29099
0713801;Asbach, Verbandsgem.;7215;5593;1258;1074,2;9748;74;351;1012;1979;2036;1892;2404;19145
0713801003;Asbach, Westerwald;2333;1808;401;354,4;3158;28;108;260;636;639;648;839;6681
0713801044;Neustadt (Wied);2113;1621;384;307,3;2880;20;100;345;597;583;525;710;5674
0713801077;Windhagen;1320;1006;220;208,7;1887;16;86;229;416;389;325;426;3395
0713801080;Buchholz (Westerwald);1449;1158;253;203,9;1823;10;57;178;330;425;394;429;3395
0713802;Bad Hönningen, Verbandsgem.;3465;2280;847;515,4;5714;198;268;1060;1411;1105;777;895;6980
0713802004;Bad Hönningen;1584;1003;372;251,5;2911;138;175;619;739;517;320;403;3165
0713802024;Hammerstein;123;97;19;15,7;166;1;6;24;40;35;28;32;246
0713802038;Leutesdorf;624;453;129;87,0;894;2;20;134;215;204;143;176;1374
0713802063;Rheinbrohl;1134;727;327;161,2;1743;57;67;283;417;349;286;284;2195
0713803;Dierdorf, Verbandsgem.;3084;2350;597;450,1;4224;15;146;519;852;890;852;950;7577
0713803012;Dierdorf;1485;1138;269;219,8;2101;8;87;263;446;453;375;469;3709
0713803023;Großmaischeid;734;570;136;106,4;964;3;28;112;172;200;221;228;1845
0713803031;Isenburg;231;179;40;30,0;322;0;13;44;77;54;76;58;456
0713803034;Kleinmaischeid;366;241;110;56,1;514;3;12;66;108;117;97;111;884
0713803069;Stebach;109;89;18;13,9;132;1;2;23;28;29;27;22;179
0713803201;Marienhausen;159;133;24;23,8;191;0;4;11;21;37;56;62;504
0713804;Linz am Rhein, Verbandsgem.;5839;4123;1250;866,8;8540;92;234;1197;1925;1806;1491;1795;14220
0713804009;Dattenberg;539;411;106;72,5;733;3;43;100;147;167;136;137;1096
0713804037;Leubsdorf, Rhein;632;499;105;83,0;822;4;26;92;181;216;151;152;1163
0713804041;Linz am Rhein;1678;1021;402;268,6;2861;41;26;523;793;558;430;490;3865
0713804055;Ockenfels;345;222;85;57,0;549;7;14;96;135;96;87;114;910
0713804068;St. Katharinen (Landkreis Neuwied);1078;800;240;155,2;1427;19;47;146;238;306;279;392;3116
0713804075;Vettelschoß;1079;799;227;159,6;1488;13;59;171;294;316;270;365;2909
0713804501;Kasbach-Ohlenberg;488;371;85;70,9;660;5;19;69;137;147;138;145;1161
0713805;Puderbach, Verbandsgem.;4753;3652;887;690,8;6352;30;153;794;1398;1334;1147;1496;11893
0713805011;Dernbach b Dierdorf;284;200;56;46,9;424;10;11;60;80;101;58;104;839
0713805013;Döttesfeld;285;245;33;33,0;336;0;10;68;81;81;46;50;389
0713805014;Dürrholz;436;368;60;57,1;521;1;8;62;119;106;95;130;1008
0713805025;Hanroth;187;143;38;27,2;246;0;12;28;53;38;57;58;451
0713805027;Harschbach;116;102;13;15,8;134;0;0;4;16;31;28;55;448
0713805040;Linkenbach;156;124;31;20,7;191;0;2;25;34;47;41;42;328
0713805048;Niederhofen;104;78;19;16,8;141;0;1;15;17;35;40;33;269
0713805050;Niederwambach;180;151;24;23,1;217;2;10;31;46;49;34;45;360
0713805052;Oberdreis;319;257;48;45,2;410;2;10;41;80;107;73;97;794
0713805057;Puderbach;780;535;177;123,0;1170;5;33;165;283;255;177;252;1997
0713805058;Ratzert;91;83;7;12,1;100;0;1;12;13;20;18;36;278
0713805059;Raubach;559;400;131;86,2;817;7;14;102;213;140;149;192;1541
0713805064;Rodenbach bei Puderbach;248;200;45;33,6;301;0;8;27;61;82;48;75;570
0713805070;Steimel;408;313;77;60,7;551;0;12;66;134;108;111;120;958
0713805074;Urbach, Westerwald;408;305;91;61,2;544;3;16;53;121;102;110;139;1107
0713805078;Woldert;192;148;37;28,3;249;0;5;35;47;32;62;68;556
0713806;Rengsdorf, Verbandsgem.;4785;3377;1060;790,8;7268;112;271;1013;1534;1438;1236;1664;13253
0713806002;Anhausen;399;314;70;60,3;515;3;7;39;98;105;115;148;1168
0713806005;Bonefeld;267;195;65;39,1;354;4;8;47;62;82;61;90;697
0713806015;Ehlscheid;352;221;81;68,6;728;29;48;170;179;120;70;112;936
0713806026;Hardert;215;152;47;37,2;323;4;5;51;62;70;57;74;606
0713806030;Hümmerich;236;188;46;35,6;295;0;10;27;55;51;61;91;731
0713806036;Kurtscheid;332;242;73;52,4;454;0;21;52;91;87;87;116;901
0713806042;Meinborn;156;124;26;23,6;197;0;2;17;36;43;39;60;459
0713806043;Melsbach;644;419;179;105,7;951;7;26;124;207;219;171;197;1529
0713806053;Oberhonnefeld-Gierend;306;247;51;46,2;379;3;5;42;57;85;78;109;865
0713806054;Oberraden;191;142;42;29,4;253;0;6;21;55;39;55;77;619
0713806061;Rengsdorf;698;423;163;133,5;1403;49;92;261;331;260;183;227;1850
0713806066;Rüscheid;250;174;65;38,9;341;1;10;22;73;81;70;84;678
0713806071;Straßenhaus;520;363;114;87,8;800;10;23;109;174;158;140;186;1480
0713806072;Thalhausen;219;173;38;32,6;275;2;8;31;54;38;49;93;734
0713807;Unkel, Verbandsgem.;3547;2470;736;558,9;5473;66;231;861;1334;1150;825;1006;7886
0713807008;Bruchhausen;274;200;57;38,6;377;3;8;52;90;88;65;71;535
0713807019;Erpel;755;523;174;110,2;1096;6;44;204;264;234;145;199;1583
0713807062;Rheinbreitbach;1220;853;243;199,8;1913;20;85;296;462;395;281;374;2926
0713807073;Unkel;1298;894;262;210,3;2087;37;94;309;518;433;334;362;2842
0713808;Waldbreitbach, Verbandsgem.;2874;2114;595;431,3;4008;37;122;568;867;804;709;901;7178
0713808006;Breitscheid Kr Neuwied;823;697;111;109,7;978;10;23;116;221;206;189;213;1730
0713808007;Hausen (Wied);485;332;119;75,6;707;9;24;88;145;143;139;159;1237
0713808010;Datzeroth;89;73;14;11,5;108;2;4;12;26;19;18;27;219
0713808047;Niederbreitbach;469;333;107;70,1;659;3;20;87;149;134;140;126;984
0713808065;Roßbach, Wied;441;277;128;71,6;675;6;26;101;142;146;84;170;1369
0713808076;Waldbreitbach;567;402;116;92,8;881;7;25;164;184;156;139;206;1639
0714000501;Boppard, verbandsfr. Gemeinde;4616;2840;1134;770,6;8058;124;405;1462;1926;1517;1103;1521;12092
0714002;Emmelshausen, Verbandsgem.;4717;3476;975;735,6;6738;34;218;764;1315;1380;1304;1723;13543
0714002005;Badenhard;66;52;14;8,8;80;0;0;7;20;20;17;16;125
0714002014;Bickenbach, Hunsrück;144;121;21;18,8;172;0;1;19;29;36;39;48;367
0714002016;Birkheim;57;43;9;8,7;78;0;3;9;10;14;24;18;148
0714002031;Dörth;174;143;26;25,2;227;2;7;13;34;57;44;70;549
0714002036;Emmelshausen;1256;740;349;236,8;2317;20;95;380;600;455;312;455;3563
0714002043;Gondershausen;446;335;94;63,8;597;3;16;61;108;130;131;148;1151
0714002045;Halsenbach;407;296;100;63,4;549;2;18;43;88;116;136;146;1163
0714002047;Hausbay;68;56;12;9,7;83;0;2;4;11;15;18;33;260
0714002060;Hungenroth;90;66;22;14,8;117;0;4;11;18;19;24;41;324
0714002063;Karbach, Hunsrück;185;144;38;27,3;231;0;6;11;30;55;57;72;580
0714002075;Kratzenburg;150;130;17;20,0;179;1;7;17;31;29;42;52;398
0714002084;Leiningen;246;187;51;35,3;320;1;17;26;47;67;77;85;676
0714002087;Lingerhahn;164;131;29;24,3;212;1;9;23;30;40;48;61;477
0714002089;Maisborn;48;38;9;6,6;62;0;0;12;6;14;11;19;154
0714002093;Mermuth;100;86;11;13,5;122;1;4;15;15;35;22;30;233
0714002098;Mühlpfad;24;22;2;3,7;29;0;1;0;1;7;6;14;111
0714002102;Ney;136;112;24;19,3;161;0;1;7;29;33;40;51;407
0714002108;Niedert;40;26;13;6,9;55;1;0;5;9;8;15;17;133
0714002110;Norath;163;129;26;23,1;214;0;9;21;32;50;47;55;440
0714002117;Pfalzfeld;214;174;27;30,9;279;1;2;41;45;51;50;89;706
0714002140;Schwall;108;82;23;16,4;139;0;6;10;34;23;30;36;279
0714002149;Thörlingen;50;44;6;6,6;56;0;0;1;5;10;16;24;184
0714002156;Utzenhain;46;40;6;5,8;53;0;0;2;16;10;12;13;103
0714002201;Beulich;193;162;24;25,7;236;0;6;15;36;61;43;75;585
0714002205;Morshausen;142;117;22;20,1;170;1;4;11;31;25;43;55;427
0714003;Kastellaun, Verbandsgem.;4840;3684;819;748,8;6838;43;245;760;1287;1413;1278;1812;14345
0714003001;Alterkülz;147;125;20;21,2;177;0;2;8;26;29;39;73;583
0714003009;Bell (Hunsrück);528;440;74;77,3;641;1;18;56;79;129;124;234;1877
0714003010;Beltheim;750;596;123;106,7;957;5;41;80;157;223;199;252;1987
0714003018;Braunshorn;228;176;46;32,5;296;2;3;26;73;61;56;75;593
0714003021;Buch, Hunsrück;341;275;53;48,2;430;3;12;43;59;98;90;125;971
0714003042;Gödenroth;166;127;38;25,0;210;1;4;15;31;40;39;80;644
0714003046;Hasselbach, Hunsrück;59;51;7;9,2;70;0;0;4;7;19;14;26;211
0714003055;Hollnich;107;83;21;15,9;137;0;5;13;16;29;27;47;367
0714003064;Kastellaun;1304;829;244;237,5;2418;24;119;374;612;483;376;430;3401
0714003073;Korweiler;37;31;4;4,6;47;0;1;2;9;13;7;15;141
0714003095;Michelbach, Hunsrück;65;56;9;9,5;75;1;2;7;5;2;24;34;274
0714003131;Roth, Rhein-Hunsrück-Kr;90;77;12;12,9;105;0;3;8;16;20;19;39;300
0714003147;Spesenroth;53;50;3;8,0;56;0;0;1;6;9;9;31;239
0714003153;Uhler;141;119;16;20,9;177;1;5;13;28;30;34;66;511
0714003202;Dommershausen;447;368;63;62,6;554;5;18;55;83;116;118;159;1256
0714003204;Mastershausen;377;281;86;56,8;488;0;12;55;80;112;103;126;990
0714003502;Lahr;-;-;-;-;-;-;-;-;-;-;-;-;-
0714003503;Mörsdorf;-;-;-;-;-;-;-;-;-;-;-;-;-
0714003504;Zilshausen;-;-;-;-;-;-;-;-;-;-;-;-;-
0714004;Kirchberg (Hunsrück), Verbandsgem.;6371;4386;1473;1063,8;9855;36;243;1175;1853;2039;1778;2731;21422
0714004006;Bärenbach b Simmern, Hunsrück;138;99;35;19,9;187;1;0;27;25;42;41;51;380
0714004007;Belg;45;27;13;7,4;72;1;1;8;19;17;13;13;100
0714004024;Büchenbeuren;488;246;121;150,7;1470;7;45;110;185;378;189;556;4065
0714004028;Dickenschied;228;163;49;35,8;320;3;6;34;56;65;60;96;771
0714004029;Dill;75;61;13;12,3;90;0;1;3;7;24;16;39;336
0714004030;Dillendorf;249;224;20;30,0;285;0;5;28;65;83;51;53;410
0714004040;Gehlweiler;99;88;10;12,8;112;0;1;5;12;28;30;36;269
0714004041;Gemünden, Hunsrück;469;353;102;68,2;614;3;18;83;116;126;115;153;1226
0714004044;Hahn;64;41;18;10,4;95;2;2;12;18;18;19;24;190
0714004048;Hecken;45;41;3;6,2;52;0;0;6;6;8;15;17;135
0714004049;Heinzenbach;144;121;18;22,1;173;1;4;8;18;33;36;73;586
0714004050;Henau;78;68;10;9,8;89;0;2;13;14;17;16;27;209
0714004053;Hirschfeld (Hunsrück);119;83;32;17,5;168;0;4;15;38;36;27;48;384
0714004062;Kappel;161;113;37;24,3;225;1;5;31;39;26;51;72;563
0714004067;Kirchberg (Hunsrück);1108;731;244;182,0;1800;6;43;289;443;336;335;348;2796
0714004071;Kludenbach;42;34;7;6,8;53;0;0;5;4;7;16;21;171
0714004081;Laufersweiler;330;233;88;45,7;443;2;11;65;96;86;78;105;822
0714004082;Lautzenhausen;113;67;33;18,5;179;1;8;17;44;29;30;50;402
0714004086;Lindenschied;71;54;13;10,6;95;0;2;10;17;19;15;32;257
0714004090;Maitzborn;38;35;2;6,0;44;0;2;2;4;5;7;24;193
0714004094;Metzenhausen;41;29;9;6,5;57;0;8;5;2;10;9;23;190
0714004105;Nieder-Kostenz;57;38;14;9,5;81;1;1;8;19;10;14;28;230
0714004107;Niedersohren;137;97;34;21,0;186;0;6;19;32;40;29;60;461
0714004109;Niederweiler, Hunsrück;139;103;31;20,8;182;2;5;12;25;41;37;60;483
0714004111;Ober Kostenz;88;64;20;13,6;117;0;3;8;26;17;21;42;337
0714004120;Raversbeuren;64;56;6;9,5;74;0;1;7;13;4;18;31;247
0714004122;Reckershausen;122;88;28;20,4;166;0;4;11;30;42;32;47;377
0714004128;Rödelhausen;53;44;5;8,1;67;0;2;3;10;18;12;22;171
0714004129;Rödern;68;46;20;10,8;92;0;2;4;18;20;16;32;254
0714004130;Rohrbach, Hunsrück;63;53;9;9,7;76;0;0;4;9;16;17;30;241
0714004135;Schlierschied;68;50;14;11,2;98;0;3;11;19;22;19;24;186
0714004141;Schwarzen;48;43;2;7,3;60;0;1;8;5;6;14;26;211
0714004145;Sohren;789;391;304;136,5;1340;3;38;230;302;290;239;238;1934
0714004146;Sohrschied;38;28;8;6,0;53;0;0;9;6;12;11;15;117
0714004151;Todenroth;40;33;5;6,1;49;1;1;1;8;7;13;18;148
0714004154;Unzenberg;154;126;25;21,7;187;1;2;18;33;28;43;62;487
0714004159;Wahlenau;75;51;16;12,4;113;0;2;27;22;21;16;25;202
0714004163;Womrath;78;60;16;11,6;100;0;2;9;17;18;25;29;226
0714004164;Woppenroth;93;66;25;15,3;124;0;1;7;17;25;19;55;451
0714004165;Würrich;52;38;14;8,6;67;0;1;3;14;9;14;26;204
0714005;Rheinböllen, Verbandsgem.;3320;2530;598;505,0;4646;26;132;501;988;955;926;1118;8781
0714005003;Argenthal;557;422;117;82,2;736;3;21;58;139;157;143;215;1693
0714005011;Benzweiler;74;61;11;10,7;90;0;2;8;13;17;24;26;194
0714005027;Dichtelbach;231;196;28;33,4;282;1;3;31;35;59;79;74;580
0714005035;Ellern (Hunsrück);301;218;73;46,6;411;2;16;38;86;86;87;96;755
0714005037;Erbach, Hunsrück;92;68;22;13,3;120;1;1;16;24;33;18;27;208
0714005068;Kisselbach;188;153;30;28,5;233;1;3;20;24;41;62;82;644
0714005085;Liebshausen;172;144;26;24,7;205;0;1;16;37;38;50;63;491
0714005096;Mörschbach;113;92;18;17,1;139;0;0;13;18;22;34;52;414
0714005125;Rheinböllen;1189;850;202;189,6;1939;16;75;265;556;391;317;319;2514
0714005127;Riesweiler;278;223;52;39,3;337;2;9;25;41;79;76;105;811
0714005138;Schnorbach;86;75;9;12,8;101;0;1;7;8;23;20;42;343
0714005148;Steinbach, Hunsrück;39;28;10;6,7;53;0;0;4;7;9;16;17;134
0714006;Sankt Goar-Oberwesel, Verbandsgem.;3216;2293;721;481,7;4664;38;162;647;1007;966;751;1093;8788
0714006025;Damscheid;202;168;28;31,8;262;0;13;18;35;61;57;78;697
0714006080;Laudert;137;106;29;21,8;176;2;4;12;22;36;38;62;494
0714006104;Niederburg;234;175;52;34,1;304;2;8;28;52;68;62;84;659
0714006112;Oberwesel;1087;730;285;160,4;1619;13;53;277;368;332;231;345;2756
0714006116;Perscheid;126;106;19;17,6;149;1;6;9;21;25;28;59;474
0714006133;Sankt Goar;1020;715;208;155,8;1578;14;60;221;401;324;236;322;2553
0714006155;Urbar b St Goar;263;175;72;38,3;392;4;15;66;89;84;57;77;620
0714006161;Wiebelsheim;147;118;28;21,9;184;2;3;16;19;36;42;66;535
0714007;Simmern/Hunsrück, Verbandsgem.;5482;4077;991;892,2;8223;45;254;1076;1668;1562;1434;2184;17438
0714007002;Altweidelbach;80;66;13;12,7;99;0;0;9;9;17;20;44;350
0714007008;Belgweiler;79;63;15;11,9;97;1;2;10;13;18;20;33;268
0714007012;Bergenhausen;42;33;7;6,6;55;0;1;5;12;11;7;19;154
0714007015;Biebern;124;96;21;18,2;164;0;7;17;28;27;35;50;381
0714007020;Bubach;111;90;20;15,8;133;1;8;11;16;19;29;49;383
0714007023;Budenbach;64;50;12;10,8;82;0;4;4;16;11;12;35;282
0714007039;Fronhofen;72;55;13;11,8;96;1;1;12;12;14;20;36;294
0714007056;Holzbach;192;151;33;28,8;255;3;7;34;43;42;44;82;645
0714007058;Horn;130;102;20;19,3;167;0;3;19;31;35;35;44;357
0714007065;Keidelheim;106;86;17;16,4;129;1;1;12;14;20;23;58;486
0714007070;Klosterkumbd;98;75;22;15,2;127;0;2;14;24;25;31;31;260
0714007076;Külz (Hunsrück);175;135;32;27,1;230;2;6;22;49;48;39;64;518
0714007077;Kümbdchen;142;109;25;22,6;193;0;3;21;25;30;38;76;617
0714007079;Laubach b Kastellaun;157;121;33;23,1;197;0;5;16;20;46;41;69;534
0714007092;Mengerschied;297;240;44;44,2;378;1;9;43;71;70;95;89;700
0714007099;Mutterschied;158;129;21;23,4;209;0;4;18;39;46;34;68;538
0714007100;Nannhausen;178;152;23;25,8;214;0;5;17;22;50;46;74;579
0714007101;Neuerkirch;96;71;23;14,1;128;1;8;17;21;24;18;39;316
0714007106;Niederkumbd;91;70;14;15,2;129;0;5;12;19;27;22;44;353
0714007113;Ohlweiler;122;99;22;18,0;149;0;3;18;27;24;27;50;388
0714007115;Oppertshausen;36;24;9;5,4;52;1;2;7;9;10;7;16;118
0714007118;Pleizenhausen;88;69;16;13,8;114;0;2;14;17;18;28;35;275
0714007119;Ravengiersburg;125;99;22;17,3;158;2;2;20;26;44;17;47;375
0714007121;Rayerschied;39;33;3;6,0;50;0;1;3;10;13;6;17;138
0714007123;Reich;121;96;24;18,5;148;0;1;17;19;27;31;53;428
0714007126;Riegenroth;65;55;6;9,8;87;2;5;4;18;16;12;30;238
0714007134;Sargenroth;164;138;22;23,9;198;0;5;15;24;27;43;84;658
0714007139;Schönborn, Hunsrück;80;57;18;13,5;114;0;7;5;21;28;16;37;302
0714007144;Simmern/Hunsrück;1844;1185;373;343,2;3564;28;136;616;932;675;534;643;5141
0714007150;Tiefenbach, Hunsrück;263;207;51;37,2;328;1;5;33;52;74;67;96;777
0714007158;Wahlbach;57;54;3;8,1;64;0;1;2;5;6;17;33;265
0714007166;Wüschheim;86;67;14;14,4;115;0;3;9;24;20;20;39;320
0714100075;Lahnstein, verbandsfr. Gemeinde;4038;1851;943;838,3;9860;236;413;2204;3178;1827;1021;981;7687
0714101;Bad Ems, Verbandsgem.;4436;2525;1171;794,7;8612;82;380;1751;2420;1673;1035;1271;10120
0714101006;Bad Ems;1987;969;460;413,4;4929;67;281;1254;1501;852;423;551;4427
0714101008;Becheln;218;144;63;32,6;311;2;7;34;69;83;53;63;492
0714101025;Dausenau;460;304;127;67,3;672;4;20;107;172;154;97;118;949
0714101041;Fachbach;394;248;100;66,3;644;5;20;75;183;156;89;116;924
0714101044;Frücht;198;126;64;31,9;286;0;6;39;62;59;57;63;487
0714101071;Kemmenau;179;137;32;26,9;239;3;7;30;47;48;35;69;550
0714101086;Miellen;129;79;38;20,2;206;0;3;30;66;40;30;37;280
0714101098;Nievern;328;208;96;49,0;484;0;7;71;116;100;98;92;725
0714101201;Arzbach;543;310;191;87,1;841;1;29;111;204;181;153;162;1286
0714102;Braubach, Verbandsgem.;2327;1397;633;363,2;3841;16;121;654;1038;813;558;641;4988
0714102023;Dachsenhausen;347;275;67;50,9;430;1;6;35;82;89;91;126;974
0714102042;Filsen;220;161;47;31,2;296;0;7;30;77;66;65;51;393
0714102066;Kamp-Bornhofen;466;267;150;71,5;776;1;15;147;240;142;110;121;949
0714102108;Osterspai;447;296;120;65,1;653;0;18;109;131;152;102;141;1094
0714102501;Braubach;847;398;249;144,4;1686;14;75;333;508;364;190;202;1578
0714103;Diez, Verbandsgem.;7217;4677;1761;1226,1;12125;128;492;1832;2932;2722;1784;2235;17518
0714103002;Altendiez;668;389;220;115,9;1123;17;66;159;271;251;165;194;1554
0714103005;Aull;138;74;60;23,3;210;0;8;34;40;46;35;47;356
0714103014;Birlenbach;482;339;106;81,3;761;11;25;104;160;170;119;172;1386
0714103021;Charlottenberg;64;49;13;8,4;88;0;3;12;25;13;22;13;103
0714103022;Cramberg;176;150;22;25,2;208;0;3;2;36;50;50;67;516
0714103029;Diez;2466;1340;601;476,0;5301;71;256;964;1652;1145;549;664;5220
0714103030;Dörnberg;156;118;30;23,2;219;8;4;35;25;49;42;56;436
0714103038;Eppenrod;227;171;46;35,9;310;1;16;33;45;76;73;66;547
0714103045;Geilnau;128;81;41;19,0;183;1;11;27;36;46;33;29;228
0714103049;Gückingen;345;278;57;54,0;443;3;3;35;51;123;118;110;867
0714103052;Hambach;154;102;41;25,9;226;3;11;22;37;55;49;49;377
0714103053;Heistenbach;335;220;101;54,0;484;1;16;59;86;124;66;132;1011
0714103057;Hirschberg, Rhein-Lahn-Kreis;132;95;31;20,4;179;0;4;22;33;40;29;51;392
0714103059;Holzappel;361;250;81;57,1;537;1;4;92;124;114;95;107;844
0714103061;Holzheim, Rhein-Lahn-Kreis;292;225;55;44,8;387;3;18;39;53;89;86;99;781
0714103062;Horhausen, Rhein-Lahn-Kreis;128;100;27;18,1;157;0;4;12;28;36;30;47;368
0714103064;Isselbach;139;99;30;21,4;192;4;8;29;37;44;24;46;362
0714103076;Langenscheid;193;152;36;29,8;240;0;2;23;35;56;47;77;602
0714103077;Laurenburg;99;57;35;14,6;156;2;9;32;36;31;17;29;225
0714103124;Scheidt;118;86;27;17,6;157;0;3;15;27;43;29;40;312
0714103130;Steinsberg;87;70;16;12,4;107;0;2;10;18;29;16;32;247
0714103133;Wasenbach;125;95;28;17,3;157;0;2;23;28;41;27;36;271
0714103503;Balduinstein;204;137;57;30,3;300;2;14;49;49;51;63;72;513
0714104;Hahnstätten, Verbandsgem.;2992;2092;752;474,5;4288;23;113;506;910;867;771;1098;8643
0714104020;Burgschwalbach;354;223;110;56,1;533;0;18;67;103;139;92;114;889
0714104043;Flacht;352;262;75;53,2;474;1;9;64;92;88;102;118;938
0714104051;Hahnstätten;867;557;245;150,7;1392;15;53;179;325;249;220;351;2750
0714104065;Kaltenholzhausen;202;160;36;30,4;252;1;5;23;43;51;61;68;535
0714104081;Lohrheim;188;159;23;27,6;226;0;1;16;28;65;47;69;565
0714104089;Mudershausen;136;106;28;20,4;170;1;3;15;29;30;24;68;523
0714104093;Netzbach;115;86;25;17,7;152;0;2;20;30;24;32;44;357
