GENESIS-Tabelle: 31231-01-02-5-B
Wohngebäude- und Wohnungsbestand - Stichtag 31.12. -;;;;;;;;;;;;;;
regionale Ebenen (bis 2010);;;;;;;;;;;;;;
Fortschreib. d. Wohngebäude- u. Wohnungsbestandes;;;;;;;;;;;;;;
31.12.2010;;;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohnfläche in Wohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Räume in Wohnungen mit 7 oder mehr Räumen
;;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;
;;Insgesamt;1 Wohnung;2 Wohnungen;;Insgesamt;Wohnungen mit 1 Raum;Wohnungen mit 2 Räumen;Wohnungen mit 3 Räumen;Wohnungen mit 4 Räumen;Wohnungen mit 5 Räumen;Wohnungen mit 6 Räumen;Wohnungen mit 7 Räumen oder mehr;
;;Anzahl;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01051065;Lehe;439;404;32;50,5;512;1;14;60;114;166;93;64;499
01051067;Lieth;116;102;11;15,0;152;0;3;38;20;42;23;26;198
01051068;Linden;303;274;26;38,5;350;0;9;29;71;91;79;71;557
01051069;Lohe-Rickelshof;706;580;86;94,1;943;8;28;127;203;265;184;128;971
01051071;Lunden;561;429;74;75,4;868;7;53;205;189;207;108;99;768
01051072;Marne;2043;1718;229;270,1;2866;17;120;543;800;708;382;296;2275
01051073;Marnerdeich;147;132;10;17,6;173;1;4;24;48;55;20;21;159
01051074;Meldorf;2623;2176;263;339,2;3785;20;190;670;952;943;520;490;3787
01051075;Neuenkirchen;373;340;25;44,5;431;0;13;64;106;110;75;63;502
01051076;Neufeld;276;253;17;32,1;317;2;12;43;82;82;65;31;238
01051077;Neufelderkoog;34;31;1;4,5;59;0;1;7;14;15;5;17;121
01051078;Nindorf;413;363;46;51,3;489;3;6;49;97;133;113;88;655
01051079;Norddeich;172;154;10;19,5;214;0;1;39;55;58;32;29;227
01051080;Norderheistedt;47;44;3;6,4;52;1;0;6;11;11;14;9;76
01051081;Norderwöhrden;107;102;5;13,7;121;0;3;18;19;37;20;24;195
01051082;Nordhastedt;904;768;107;116,2;1129;3;25;139;258;328;210;166;1280
01051083;Odderade;112;98;11;15,4;151;1;1;15;26;46;30;32;250
01051084;Oesterdeichstrich;91;75;14;11,4;113;1;3;14;32;34;16;13;100
01051085;Offenbüttel;103;86;16;14,6;127;1;3;14;30;28;23;28;225
01051086;Osterrade;159;137;18;21,5;191;1;1;24;47;50;32;36;291
01051087;Ostrohe;364;325;31;44,5;424;1;5;39;93;140;78;68;523
01051088;Pahlen;392;323;57;50,0;493;1;16;79;134;123;76;64;500
01051089;Quickborn;80;72;7;9,6;89;0;2;13;21;21;16;16;118
01051090;Ramhusen;57;53;4;6,4;69;0;0;8;23;22;9;7;54
01051092;Rehm-Flehde-Bargen;227;207;16;26,6;264;0;7;44;72;67;46;28;222
01051093;Reinsbüttel;165;140;24;20,8;200;1;6;26;54;50;37;26;209
01051096;Sankt Annen;138;128;9;16,4;155;0;9;17;38;41;26;24;182
01051097;Sankt Michaelisdonn;1314;1144;127;160,4;1676;2;41;270;396;442;307;218;1665
01051098;Sarzbüttel;293;262;30;35,2;345;1;6;42;84;99;64;49;367
01051099;Schafstedt;466;414;45;56,3;562;3;11;80;141;137;116;74;565
01051100;Schalkholz;220;193;22;27,7;265;1;4;36;57;77;53;37;276
01051102;Schlichting;96;88;8;12,3;110;0;2;12;27;22;28;19;146
01051103;Schmedeswurth;65;62;3;7,4;81;0;2;9;27;18;18;7;58
01051104;Schrum;28;25;2;3,9;33;0;1;7;10;5;3;7;49
01051105;Schülp;192;181;7;21,7;214;3;3;29;60;49;37;33;256
01051107;Stelle-Wittenwurth;167;147;17;19,8;192;0;3;32;41;67;21;28;218
01051108;Strübbel;52;47;4;7,0;61;1;0;11;10;20;9;10;76
01051109;Süderdeich;190;167;16;23,8;231;2;16;27;46;61;37;42;321
01051110;Süderhastedt;286;264;17;36,9;345;0;5;33;74;95;66;72;551
01051111;Süderheistedt;-;-;-;-;-;-;-;-;-;-;-;-;-
01051113;Wöhrden;482;415;58;59,0;572;1;13;71;155;167;81;84;657
01051114;Tellingstedt;921;791;102;121,3;1138;2;24;149;255;309;201;198;1538
01051117;Tielenhemme;77;69;7;7,4;98;2;6;16;25;16;14;19;151
01051118;Trennewurth;120;115;4;13,4;139;0;4;21;40;36;20;18;151
01051119;Volsemenhusen;133;125;6;15,3;168;1;2;21;45;39;38;22;176
01051120;Wallen;15;11;4;2,0;21;0;1;4;6;4;2;4;31
01051121;Warwerort;160;142;12;16,7;192;10;21;43;45;39;15;19;143
01051122;Weddingstedt;839;720;94;103,7;1041;4;29;124;237;318;194;135;1020
01051125;Welmbüttel;162;143;13;23,3;195;1;3;17;40;50;53;31;243
01051126;Wennbüttel;34;29;4;4,6;41;0;1;8;9;5;6;12;93
01051127;Wesselburen;1186;972;145;141,7;1625;20;82;323;435;384;225;156;1189
01051128;Wesselburener Deichhausen;66;52;13;8,5;88;0;6;9;35;16;14;8;65
01051129;Wesselburenerkoog;118;115;2;13,8;125;0;8;16;21;37;18;25;199
01051130;Wesseln;519;474;39;60,9;592;0;10;56;146;184;125;71;539
01051131;Westerborstel;40;34;5;6,0;47;1;1;2;7;10;11;15;112
01051132;Westerdeichstrich;384;278;46;55,0;665;26;122;150;156;91;56;64;497
01051133;Wiemerstedt;58;52;6;8,5;66;0;0;7;10;14;17;18;140
01051134;Windbergen;278;251;22;34,2;353;1;7;36;88;103;66;52;399
01051135;Wolmersdorf;129;119;10;15,7;145;0;0;12;22;51;40;20;156
01051136;Wrohm;285;246;35;34,2;335;1;8;48;92;80;42;64;498
01051137;Nordermeldorf;257;233;17;32,0;297;0;4;55;79;71;45;43;359
01051138;Tensbüttel-Röst;215;177;33;28,2;271;0;5;34;66;78;37;51;384
01051139;Süderdorf;116;101;13;16,9;142;0;5;13;24;34;25;41;336
01051140;Oesterwurth;102;98;4;12,4;119;0;5;18;29;33;15;19;151
01051141;Süderheistedt;203;183;20;25,4;232;1;5;28;43;60;49;46;356
01053001;Albsfelde;28;26;2;3,4;30;0;0;1;9;8;4;8;66
01053002;Alt Mölln;243;200;34;32,7;317;2;6;48;66;91;56;48;365
01053003;Aumühle;948;681;156;156,9;1503;15;65;226;350;338;209;300;2362
01053004;Bäk;295;256;29;40,3;358;4;7;26;60;105;82;74;572
01053005;Bälau;65;53;11;9,1;84;0;2;4;19;26;12;21;172
01053006;Basedow;233;205;20;24,9;290;4;20;55;89;57;39;26;197
01053007;Basthorst;132;105;21;17,9;179;0;3;23;46;50;29;28;221
01053008;Behlendorf;122;94;18;17,5;188;1;6;33;45;47;23;33;258
01053009;Berkenthin;559;423;105;80,1;806;7;17;99;202;227;144;110;847
01053010;Besenthal;26;24;2;3,2;35;0;1;4;6;12;4;8;70
01053011;Bliestorf;179;138;35;24,9;241;3;1;35;51;70;30;51;379
01053012;Börnsen;1162;860;193;175,1;1784;14;73;256;413;590;269;169;1287
01053013;Borstorf;92;82;10;11,0;110;0;2;11;28;31;29;9;68
01053014;Breitenfelde;516;417;71;71,0;720;1;25;100;166;205;114;109;826
01053015;Bröthen;92;86;5;11,5;105;1;2;6;21;32;18;25;194
01053016;Brunsmark;58;51;6;5,5;71;0;5;15;12;27;8;4;28
01053017;Brunstorf;168;114;42;25,2;255;3;7;21;62;91;29;42;326
01053018;Buchholz;72;59;8;10,0;98;0;7;9;18;26;16;22;170
01053019;Buchhorst;53;40;10;7,0;76;4;4;8;21;20;8;11;85
01053020;Büchen;1581;1288;167;219,1;2506;36;101;474;628;672;332;263;2008
01053021;Dahmker;53;48;4;7,0;62;0;2;10;12;19;9;10;77
01053022;Dalldorf;130;114;16;14,3;147;0;3;21;28;43;30;22;173
01053023;Dassendorf;1017;803;181;141,5;1290;7;33;154;293;355;247;201;1573
01053024;Düchelsdorf;53;44;9;6,2;63;0;1;11;14;15;16;6;45
01053025;Duvensee;142;118;23;20,4;181;0;3;18;52;42;36;30;238
01053026;Einhaus;130;110;17;17,0;155;3;2;17;23;52;26;32;235
01053027;Elmenhorst;230;176;44;33,8;347;2;8;60;66;104;55;52;393
01053028;Escheburg;676;504;125;101,1;969;3;27;125;215;341;144;114;866
01053029;Fitzen;158;140;14;14,8;190;6;28;46;36;30;23;21;155
01053030;Fredeburg;13;12;1;1,3;15;0;0;1;2;7;4;1;7
01053031;Fuhlenhagen;82;55;24;12,2;120;0;2;16;30;31;21;20;167
01053032;Geesthacht;6763;4777;947;1178,5;14664;181;854;3535;4578;3291;1408;817;6186
01053033;Giesensdorf;33;27;4;4,8;48;0;1;12;9;11;7;8;63
01053034;Göldenitz;71;62;7;9,6;85;0;4;7;11;21;25;17;133
01053035;Göttin;20;18;1;2,7;25;2;0;4;7;5;2;5;40
01053036;Grabau;87;70;15;11,5;114;0;1;10;29;31;27;16;121
01053037;Grambek;146;125;15;19,5;176;1;4;18;30;62;35;26;214
01053038;Grinau;74;68;5;9,5;85;0;0;9;11;26;20;19;146
01053039;Groß Boden;78;70;6;10,0;92;1;1;11;20;32;13;14;114
01053040;Groß Disnack;31;27;4;3,9;36;0;0;1;10;14;4;7;56
01053041;Groß Grönau;1313;1105;159;169,8;1655;13;30;182;295;507;334;294;2217
01053042;Groß Pampau;49;43;5;6,9;60;0;1;7;8;12;19;13;94
01053043;Groß Sarau;327;281;36;45,1;408;3;16;51;80;110;68;80;632
01053044;Groß Schenkenberg;166;136;25;22,3;214;0;4;24;45;70;44;27;204
01053045;Grove;79;66;12;10,3;97;0;0;11;19;28;16;23;182
01053046;Gudow;556;471;66;67,1;697;5;18;88;186;202;96;102;797
01053047;Gülzow;375;272;84;52,8;543;6;23;90;117;146;87;74;570
01053048;Güster;544;488;48;60,7;623;5;32;95;153;188;90;60;461
01053049;Hamfelde;160;123;30;23,9;237;1;16;37;59;59;32;33;252
01053050;Hamwarde;225;186;32;29,2;282;0;5;34;50;87;55;51;387
01053051;Harmsdorf;96;80;15;12,3;116;1;2;17;29;25;20;22;164
01053052;Havekost;26;13;7;5,0;71;1;3;14;22;11;8;12;93
01053053;Hohenhorn;144;112;23;22,0;193;0;4;13;35;62;45;34;272
01053054;Hollenbek;142;119;21;17,6;180;0;5;25;38;58;22;32;263
01053056;Hornbek;65;59;6;7,7;72;0;1;7;16;27;11;10;74
01053057;Horst;74;51;17;10,3;108;0;0;18;21;34;15;20;158
01053058;Juliusburg;43;33;9;5,9;65;0;0;6;12;25;7;15;118
01053059;Kankelau;68;51;15;9,3;93;1;2;13;26;26;12;13;101
01053060;Kasseburg;170;138;23;21,8;224;1;4;38;56;50;42;33;243
01053061;Kastorf;337;259;69;45,5;454;1;3;65;119;151;60;55;426
01053062;Kittlitz;123;107;14;14,7;142;0;1;19;35;43;16;28;232
01053064;Klein Pampau;193;155;29;25,7;259;2;1;29;68;91;39;29;223
01053066;Klein Zecher;91;80;9;12,5;106;0;5;9;17;24;22;29;229
01053067;Klempau;196;161;32;27,0;246;1;4;29;42;71;49;50;378
01053068;Klinkrade;144;122;20;17,9;193;3;3;19;39;63;36;30;235
01053069;Koberg;219;181;32;29,2;274;4;11;22;64;87;45;41;317
01053070;Köthel;90;77;12;11,8;106;1;4;9;27;24;27;14;108
01053071;Kollow;179;135;42;25,6;228;0;2;17;40;71;52;46;350
01053072;Kröppelshagen-Fahrendorf;371;310;55;51,5;444;1;6;40;91;149;95;62;474
01053073;Krüzen;109;99;9;13,8;128;0;1;11;21;40;28;27;226
01053074;Krukow;54;45;8;7,5;70;0;1;7;13;19;16;14;106
01053075;Krummesse;528;431;82;69,5;670;7;11;65;156;191;144;96;730
01053076;Kuddewörde;424;329;78;63,0;582;6;24;62;111;182;106;91;700
01053077;Kühsen;102;79;19;14,1;144;1;4;15;35;36;19;34;266
01053078;Kulpin;65;56;6;9,7;86;0;2;9;16;29;14;16;133
01053079;Labenz;239;195;40;32,3;303;0;0;28;76;89;68;42;336
01053080;Langenlehsten;51;40;5;7,5;80;0;3;9;26;21;14;7;55
01053081;Lankau;157;139;17;18,8;188;0;5;22;38;63;29;31;250
01053082;Lanze;80;62;13;11,3;114;3;7;22;26;29;13;14;117
01053083;Lauenburg/Elbe;2963;2067;524;441,2;5647;62;359;1344;1681;1223;574;404;3071
01053084;Lehmrade;138;106;24;19,3;199;6;6;31;35;60;36;25;195
01053085;Linau;335;258;70;48,0;442;1;5;44;102;131;87;72;568
01053086;Lüchow;74;54;18;11,3;104;0;2;18;25;25;9;25;186
01053087;Lütau;211;162;44;29,9;280;0;6;40;61;84;42;47;370
01053088;Mechow;33;26;5;4,1;43;0;1;9;8;13;6;6;50
01053089;Möhnsen;162;133;23;22,6;220;0;3;15;70;60;36;36;271
01053090;Mölln;4734;3563;555;715,2;9055;108;580;2376;2494;2031;846;620;4772
