GENESIS-Tabelle: 31211-05-01-5-B
Wohngebäude nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
0713709504;Lehmen;-;-;-;-;-;-
0713800045;Neuwied, verbandsfr. Gemeinde;16544;10971;2799;2231;484;59
0713801;Asbach, Verbandsgem.;7468;5848;1130;457;30;3
0713801003;Asbach, Westerwald;2310;1790;348;151;18;3
0713801044;Neustadt (Wied);2184;1721;319;141;3;-
0713801077;Windhagen;1434;1123;198;107;6;-
0713801080;Buchholz (Westerwald);1540;1214;265;58;3;-
0713802;Bad Hönningen, Verbandsgem.;3554;2447;672;389;31;15
0713802004;Bad Hönningen;1628;1054;314;223;25;12
0713802024;Hammerstein;130;91;30;6;3;-
0713802038;Leutesdorf;626;482;86;55;3;-
0713802063;Rheinbrohl;1170;820;242;105;-;3
0713803;Dierdorf, Verbandsgem.;3378;2520;601;234;17;6
0713803012;Dierdorf;1617;1175;290;133;13;6
0713803023;Großmaischeid;786;621;127;34;4;-
0713803031;Isenburg;234;178;42;14;-;-
0713803034;Kleinmaischeid;411;283;85;43;-;-
0713803069;Stebach;151;121;23;7;-;-
0713803201;Marienhausen;179;142;34;3;-;-
0713804;Linz am Rhein, Verbandsgem.;5897;4311;1016;518;42;10
0713804009;Dattenberg;560;427;94;31;8;-
0713804037;Leubsdorf, Rhein;653;546;86;21;-;-
0713804041;Linz am Rhein;1597;1004;315;252;16;10
0713804055;Ockenfels;364;223;96;39;6;-
0713804068;St. Katharinen (Landkreis Neuwied);1100;843;185;69;3;-
0713804075;Vettelschoß;1119;865;168;83;3;-
0713804501;Kasbach-Ohlenberg;504;403;72;23;6;-
0713805;Puderbach, Verbandsgem.;4936;3696;957;273;10;-
0713805011;Dernbach b Dierdorf;293;207;46;40;-;-
0713805013;Döttesfeld;285;252;33;-;-;-
0713805014;Dürrholz;460;379;64;17;-;-
0713805025;Hanroth;206;144;44;18;-;-
0713805027;Harschbach;127;114;9;4;-;-
0713805040;Linkenbach;164;122;36;6;-;-
0713805048;Niederhofen;124;85;30;9;-;-
0713805050;Niederwambach;168;141;21;6;-;-
0713805052;Oberdreis;336;259;58;19;-;-
0713805057;Puderbach;744;514;166;61;3;-
0713805058;Ratzert;97;72;19;6;-;-
0713805059;Raubach;578;426;110;38;4;-
0713805064;Rodenbach bei Puderbach;254;195;59;0;-;-
0713805070;Steimel;442;316;93;30;3;-
0713805074;Urbach, Westerwald;448;315;117;16;-;-
0713805078;Woldert;210;155;52;3;-;-
0713806;Rengsdorf, Verbandsgem.;4994;3576;972;378;62;6
0713806002;Anhausen;438;345;74;19;-;-
0713806005;Bonefeld;290;207;65;18;-;-
0713806015;Ehlscheid;383;239;72;51;21;-
0713806026;Hardert;234;162;40;28;4;-
0713806030;Hümmerich;244;174;61;9;-;-
0713806036;Kurtscheid;336;253;65;18;-;-
0713806042;Meinborn;179;151;15;13;-;-
0713806043;Melsbach;676;474;160;42;-;-
0713806053;Oberhonnefeld-Gierend;317;240;68;0;9;-
0713806054;Oberraden;200;138;47;15;-;-
0713806061;Rengsdorf;692;469;114;75;28;6
0713806066;Rüscheid;262;197;46;19;-;-
0713806071;Straßenhaus;522;356;102;64;-;-
0713806072;Thalhausen;221;171;43;7;-;-
0713807;Unkel, Verbandsgem.;3894;2855;598;384;54;3
0713807008;Bruchhausen;278;215;46;17;-;-
0713807019;Erpel;829;601;157;68;3;-
0713807062;Rheinbreitbach;1377;1017;196;140;24;-
0713807073;Unkel;1410;1022;199;159;27;3
0713808;Waldbreitbach, Verbandsgem.;3042;2310;519;191;22;-
0713808006;Breitscheid Kr Neuwied;875;733;124;15;3;-
0713808007;Hausen (Wied);523;387;83;47;6;-
0713808010;Datzeroth;91;72;15;4;-;-
0713808047;Niederbreitbach;508;384;97;24;3;-
0713808065;Roßbach, Wied;497;336;114;47;-;-
0713808076;Waldbreitbach;548;398;86;54;10;-
0714000501;Boppard, verbandsfr. Gemeinde;4539;2959;914;596;58;12
0714002;Emmelshausen, Verbandsgem.;4787;3617;799;337;25;9
0714002005;Badenhard;62;42;17;-;3;-
0714002014;Bickenbach, Hunsrück;135;120;9;6;-;-
0714002016;Birkheim;45;41;4;0;-;-
0714002031;Dörth;175;150;25;0;-;-
0714002036;Emmelshausen;1244;776;268;172;19;9
0714002043;Gondershausen;470;384;69;14;3;-
0714002045;Halsenbach;417;315;75;27;-;-
0714002047;Hausbay;58;45;9;4;-;-
0714002060;Hungenroth;88;73;12;3;-;-
0714002063;Karbach, Hunsrück;185;151;31;3;-;-
0714002075;Kratzenburg;148;119;23;6;-;-
0714002084;Leiningen;265;186;60;19;-;-
0714002087;Lingerhahn;171;132;32;7;-;-
0714002089;Maisborn;58;38;17;3;-;-
0714002093;Mermuth;99;93;6;-;-;-
0714002098;Mühlpfad;26;26;-;-;-;-
0714002102;Ney;131;108;23;-;-;-
0714002108;Niedert;50;40;7;3;-;-
0714002110;Norath;162;133;22;7;-;-
0714002117;Pfalzfeld;252;179;45;28;-;-
0714002140;Schwall;111;95;9;7;-;-
0714002149;Thörlingen;48;35;10;3;-;-
0714002156;Utzenhain;49;49;-;-;-;-
0714002201;Beulich;197;165;16;16;-;-
0714002205;Morshausen;141;122;10;9;-;-
0714003;Kastellaun, Verbandsgem.;4758;3637;737;352;26;6
0714003001;Alterkülz;151;124;21;6;-;-
0714003009;Bell (Hunsrück);524;419;81;24;-;-
0714003010;Beltheim;741;590;116;35;-;-
0714003018;Braunshorn;237;184;43;10;-;-
0714003021;Buch, Hunsrück;334;247;72;15;-;-
0714003042;Gödenroth;172;142;30;-;-;-
0714003046;Hasselbach, Hunsrück;67;51;13;3;-;-
0714003055;Hollnich;120;96;21;3;-;-
0714003064;Kastellaun;1249;841;167;209;26;6
0714003073;Korweiler;35;35;-;-;-;-
0714003095;Michelbach, Hunsrück;68;48;20;-;-;-
0714003131;Roth, Rhein-Hunsrück-Kr;86;82;4;-;-;-
0714003147;Spesenroth;47;36;4;7;-;-
0714003153;Uhler;137;120;13;4;-;-
0714003202;Dommershausen;399;329;56;14;-;-
0714003204;Mastershausen;391;293;76;22;-;-
0714003502;Lahr;-;-;-;-;-;-
0714003503;Mörsdorf;-;-;-;-;-;-
0714003504;Zilshausen;-;-;-;-;-;-
0714004;Kirchberg (Hunsrück), Verbandsgem.;6469;4655;1240;544;30;-
0714004006;Bärenbach b Simmern, Hunsrück;129;99;27;3;-;-
0714004007;Belg;42;33;3;6;-;-
0714004024;Büchenbeuren;437;238;118;78;3;-
0714004028;Dickenschied;231;156;55;20;-;-
0714004029;Dill;66;56;10;-;-;-
0714004030;Dillendorf;270;231;23;12;4;-
0714004040;Gehlweiler;99;90;6;-;3;-
0714004041;Gemünden, Hunsrück;467;370;81;13;3;-
0714004044;Hahn;61;47;11;3;-;-
0714004048;Hecken;42;38;-;4;-;-
0714004049;Heinzenbach;138;110;19;9;-;-
0714004050;Henau;88;73;9;3;3;-
0714004053;Hirschfeld (Hunsrück);125;100;22;3;-;-
0714004062;Kappel;151;111;34;6;-;-
0714004067;Kirchberg (Hunsrück);1095;736;222;130;7;-
0714004071;Kludenbach;46;39;7;-;-;-
0714004081;Laufersweiler;303;240;60;3;-;-
0714004082;Lautzenhausen;109;63;30;16;-;-
0714004086;Lindenschied;81;68;6;7;-;-
0714004090;Maitzborn;38;38;-;-;-;-
0714004094;Metzenhausen;33;27;3;3;-;-
0714004105;Nieder-Kostenz;62;53;3;6;-;-
0714004107;Niedersohren;151;98;43;10;-;-
0714004109;Niederweiler, Hunsrück;149;112;28;9;-;-
0714004111;Ober Kostenz;87;68;13;6;-;-
0714004120;Raversbeuren;64;57;7;-;-;-
0714004122;Reckershausen;107;75;14;18;-;-
0714004128;Rödelhausen;53;37;9;4;3;-
0714004129;Rödern;74;41;25;8;-;-
0714004130;Rohrbach, Hunsrück;66;60;6;-;-;-
0714004135;Schlierschied;65;46;9;10;-;-
0714004141;Schwarzen;51;31;17;3;-;-
0714004145;Sohren;932;572;253;107;-;-
0714004146;Sohrschied;49;33;9;3;4;-
0714004151;Todenroth;30;26;4;-;-;-
0714004154;Unzenberg;150;125;21;4;-;-
0714004159;Wahlenau;84;60;3;21;-;-
0714004163;Womrath;92;83;3;6;-;-
0714004164;Woppenroth;91;64;17;10;-;-
0714004165;Würrich;61;51;10;-;-;-
0714005;Rheinböllen, Verbandsgem.;3425;2658;528;217;18;4
0714005003;Argenthal;578;459;99;20;-;-
0714005011;Benzweiler;73;61;9;3;-;-
0714005027;Dichtelbach;230;183;34;13;-;-
0714005035;Ellern (Hunsrück);317;259;31;27;-;-
0714005037;Erbach, Hunsrück;149;115;30;4;-;-
0714005068;Kisselbach;200;163;34;3;-;-
0714005085;Liebshausen;177;143;31;3;-;-
0714005096;Mörschbach;119;101;18;-;-;-
0714005125;Rheinböllen;1186;848;176;140;18;4
0714005127;Riesweiler;280;220;56;4;-;-
0714005138;Schnorbach;77;71;6;-;-;-
0714005148;Steinbach, Hunsrück;39;35;4;-;-;-
0714006;Sankt Goar-Oberwesel, Verbandsgem.;3251;2333;641;258;19;-
0714006025;Damscheid;196;149;41;6;-;-
0714006080;Laudert;150;123;21;6;-;-
0714006104;Niederburg;222;166;53;3;-;-
0714006112;Oberwesel;1043;712;215;106;10;-
0714006116;Perscheid;134;107;24;-;3;-
0714006133;Sankt Goar;1060;724;206;124;6;-
0714006155;Urbar b St Goar;284;232;42;10;-;-
0714006161;Wiebelsheim;162;120;39;3;-;-
0714007;Simmern/Hunsrück, Verbandsgem.;5519;4044;965;440;60;10
0714007002;Altweidelbach;88;78;6;4;-;-
0714007008;Belgweiler;80;65;15;-;-;-
0714007012;Bergenhausen;45;42;3;-;-;-
0714007015;Biebern;108;96;9;3;-;-
0714007020;Bubach;116;78;31;7;-;-
0714007023;Budenbach;71;56;12;3;-;-
0714007039;Fronhofen;77;56;18;3;-;-
0714007056;Holzbach;203;164;27;9;3;-
0714007058;Horn;131;111;17;3;-;-
0714007065;Keidelheim;100;81;16;3;-;-
0714007070;Klosterkumbd;84;69;15;-;-;-
0714007076;Külz (Hunsrück);178;129;31;18;-;-
0714007077;Kümbdchen;158;115;20;23;-;-
0714007079;Laubach b Kastellaun;156;118;34;4;-;-
0714007092;Mengerschied;286;217;59;10;-;-
0714007099;Mutterschied;158;125;30;3;-;-
0714007100;Nannhausen;188;158;26;4;-;-
0714007101;Neuerkirch;108;88;13;7;-;-
0714007106;Niederkumbd;82;67;9;6;-;-
0714007113;Ohlweiler;112;79;29;4;-;-
0714007115;Oppertshausen;41;24;10;7;-;-
0714007118;Pleizenhausen;85;67;12;6;-;-
0714007119;Ravengiersburg;127;97;21;9;-;-
0714007121;Rayerschied;46;40;6;-;-;-
0714007123;Reich;113;80;30;3;-;-
0714007126;Riegenroth;60;39;13;8;-;-
0714007134;Sargenroth;167;125;42;-;-;-
0714007139;Schönborn, Hunsrück;88;69;16;3;-;-
0714007144;Simmern/Hunsrück;1847;1191;320;269;57;10
0714007150;Tiefenbach, Hunsrück;268;204;52;12;-;-
0714007158;Wahlbach;53;50;3;-;-;-
0714007166;Wüschheim;95;66;20;9;-;-
0714100075;Lahnstein, verbandsfr. Gemeinde;4036;2059;703;1087;168;19
0714101;Bad Ems, Verbandsgem.;4482;2685;994;673;105;25
0714101006;Bad Ems;1967;983;394;466;99;25
0714101008;Becheln;231;155;58;18;-;-
0714101025;Dausenau;452;311;109;32;-;-
0714101041;Fachbach;394;259;91;41;3;-
0714101044;Frücht;192;124;53;15;-;-
0714101071;Kemmenau;195;156;26;13;-;-
0714101086;Miellen;144;85;40;19;-;-
0714101098;Nievern;351;242;79;27;3;-
0714101201;Arzbach;556;370;144;42;-;-
0714102;Braubach, Verbandsgem.;2335;1490;498;332;15;-
0714102023;Dachsenhausen;346;260;74;12;-;-
0714102042;Filsen;232;191;25;13;3;-
0714102066;Kamp-Bornhofen;465;274;130;61;-;-
0714102108;Osterspai;457;342;74;38;3;-
0714102501;Braubach;835;423;195;208;9;-
0714103;Diez, Verbandsgem.;7152;4824;1464;744;102;18
0714103002;Altendiez;658;422;179;48;9;-
0714103005;Aull;143;94;40;9;-;-
0714103014;Birlenbach;505;344;117;32;6;6
0714103021;Charlottenberg;73;60;7;6;-;-
0714103022;Cramberg;174;144;24;6;-;-
0714103029;Diez;2374;1366;444;475;77;12
0714103030;Dörnberg;168;128;34;3;3;-
0714103038;Eppenrod;224;171;37;16;-;-
0714103045;Geilnau;134;92;39;3;-;-
0714103049;Gückingen;347;294;38;11;4;-
0714103052;Hambach;157;109;32;13;3;-
0714103053;Heistenbach;348;234;93;21;-;-
0714103057;Hirschberg, Rhein-Lahn-Kreis;136;107;20;9;-;-
0714103059;Holzappel;356;252;82;22;-;-
0714103061;Holzheim, Rhein-Lahn-Kreis;291;217;59;15;-;-
0714103062;Horhausen, Rhein-Lahn-Kreis;118;100;18;-;-;-
0714103064;Isselbach;141;99;28;14;-;-
0714103076;Langenscheid;192;136;47;9;-;-
0714103077;Laurenburg;101;70;28;3;-;-
0714103124;Scheidt;115;88;24;3;-;-
0714103130;Steinsberg;74;56;12;6;-;-
0714103133;Wasenbach;114;102;9;3;-;-
0714103503;Balduinstein;209;139;53;17;-;-
0714104;Hahnstätten, Verbandsgem.;3006;2090;707;198;7;4
0714104020;Burgschwalbach;361;241;93;24;3;-
0714104043;Flacht;359;264;75;20;-;-
0714104051;Hahnstätten;847;539;212;88;4;4
0714104065;Kaltenholzhausen;202;163;29;10;-;-
0714104081;Lohrheim;184;148;36;-;-;-
0714104089;Mudershausen;138;94;38;6;-;-
0714104093;Netzbach;114;74;37;3;-;-
0714104095;Niederneisen;479;355;94;30;-;-
0714104102;Oberneisen;253;160;76;17;-;-
0714104125;Schiesheim;69;52;17;-;-;-
0714105;Katzenelnbogen, Verbandsgem.;3013;2310;555;136;12;-
0714105001;Allendorf, Rhein-Lahn-Kreis;209;159;46;4;-;-
0714105010;Berghausen;85;56;23;6;-;-
0714105011;Berndroth;137;118;16;3;-;-
0714105013;Biebrich;134;108;26;-;-;-
0714105018;Bremberg;115;93;19;3;-;-
0714105032;Dörsdorf;127;106;12;9;-;-
0714105034;Ebertshausen;45;38;4;3;-;-
0714105036;Eisighofen;83;59;24;-;-;-
0714105039;Ergeshausen;56;43;10;3;-;-
0714105050;Gutenacker;136;94;36;6;-;-
0714105054;Herold;144;119;21;4;-;-
0714105068;Katzenelnbogen;566;384;123;47;12;-
0714105073;Klingelbach;215;144;50;21;-;-
0714105074;Kördorf;198;165;30;3;-;-
0714105088;Mittelfischbach;46;40;6;-;-;-
0714105096;Niedertiefenbach;78;55;16;7;-;-
0714105101;Oberfischbach;53;44;6;3;-;-
0714105113;Reckenroth;106;89;13;4;-;-
0714105117;Rettert;174;139;32;3;-;-
0714105118;Roth, Rhein-Lahn-Kreis;70;57;13;-;-;-
0714105126;Schönborn, Rhein-Lahn-Kreis;236;200;29;7;-;-
0714106;Nassau, Verbandsgem.;3594;2471;765;337;18;3
0714106003;Attenhausen;175;133;29;7;6;-
0714106026;Dessighofen;62;46;10;6;-;-
0714106027;Dienethal;82;63;19;-;-;-
0714106033;Dornholzhausen;84;66;18;-;-;-
0714106046;Geisig;115;74;38;3;-;-
0714106058;Hömberg;137;116;17;4;-;-
0714106082;Lollschied;80;71;6;3;-;-
0714106087;Misselberg;40;33;4;3;-;-
0714106091;Nassau;1044;564;264;201;12;3
0714106103;Obernhof;162;109;32;21;-;-
0714106106;Oberwies;54;45;6;3;-;-
0714106111;Pohl;115;73;30;12;-;-
0714106127;Schweighausen;79;62;10;7;-;-
0714106128;Seelbach b Nassau, Lahn;155;106;31;18;-;-
0714106129;Singhofen;631;447;141;43;-;-
0714106132;Sulzbach, Rhein-Lahn-Kreis;78;69;9;-;-;-
0714106135;Weinähr;153;117;33;3;-;-
0714106139;Winden, Rhein-Lahn-Kreis;302;237;62;3;-;-
0714106141;Zimmerschied;46;40;6;-;-;-
0714107;Nastätten, Verbandsgem.;5462;4103;997;339;20;3
0714107009;Berg, Taunus;68;35;24;9;-;-
0714107012;Bettendorf;129;105;18;3;3;-
0714107015;Bogel;286;220;51;15;-;-
0714107019;Buch, Taunus;207;149;48;10;-;-
0714107035;Ehr;30;30;-;-;-;-
0714107037;Endlichhofen;51;44;4;3;-;-
0714107040;Eschbach b Nastätten;54;48;6;-;-;-
0714107047;Gemmerich;215;161;48;6;-;-
0714107055;Himmighofen;112;85;27;-;-;-
0714107060;Holzhausen an der Haide;394;273;89;32;-;-
0714107063;Hunzel;92;52;30;10;-;-
0714107067;Kasdorf;85;76;6;3;-;-
0714107070;Kehlbach;58;51;3;4;-;-
0714107078;Lautert;94;70;21;3;-;-
0714107080;Lipporn;103;88;9;6;-;-
0714107084;Marienfels;114;72;36;6;-;-
0714107085;Miehlen;691;503;138;50;-;-
0714107092;Nastätten;1152;805;203;128;13;3
0714107094;Niederbachheim;94;69;25;-;-;-
0714107097;Niederwallmenach;150;138;12;-;-;-
0714107100;Oberbachheim;67;61;6;-;-;-
0714107104;Obertiefenbach;129;89;27;13;-;-
0714107105;Oberwallmenach;76;55;11;6;4;-
0714107107;Oelsberg;184;147;27;10;-;-
0714107110;Hainau;69;60;9;-;-;-
0714107116;Rettershain;127;115;9;3;-;-
0714107120;Ruppertshofen, Taunus;121;99;22;-;-;-
0714107131;Strüth;112;90;18;4;-;-
0714107134;Weidenbach, Taunus;50;37;10;3;-;-
0714107137;Welterod;174;139;26;9;-;-
0714107140;Winterwerb;58;45;13;-;-;-
0714107502;Diethardt;116;92;21;3;-;-
0714108;Loreley, Verbandsgem.;3584;2745;609;223;7;-
0714108004;Auel;70;54;16;-;-;-
0714108016;Bornich;395;336;48;11;-;-
0714108024;Dahlheim;292;203;80;9;-;-
0714108031;Dörscheid;159;136;20;3;-;-
0714108069;Kaub;312;169;68;75;-;-
0714108072;Kestert;271;199;49;23;-;-
0714108079;Lierschied;200;161;26;13;-;-
0714108083;Lykershausen;74;65;6;3;-;-
0714108099;Nochern;186;151;35;-;-;-
0714108109;Patersberg;176;131;29;16;-;-
0714108112;Prath;119;91;25;3;-;-
0714108114;Reichenberg, Rhein-Lahn-Kreis;74;62;12;-;-;-
0714108115;Reitzenhain;116;103;13;-;-;-
0714108121;Sankt Goarshausen;463;324;94;42;3;-
0714108122;Sauerthal;75;64;7;-;4;-
0714108136;Weisel;398;330;52;16;-;-
0714108138;Weyer;204;166;29;9;-;-
0714109;Loreley, Verbandsgem.;-;-;-;-;-;-
0714109004;Auel;-;-;-;-;-;-
0714109016;Bornich;-;-;-;-;-;-
0714109023;Dachsenhausen;-;-;-;-;-;-
0714109024;Dahlheim;-;-;-;-;-;-
0714109031;Dörscheid;-;-;-;-;-;-
0714109042;Filsen;-;-;-;-;-;-
0714109066;Kamp-Bornhofen;-;-;-;-;-;-
0714109069;Kaub, Stadt;-;-;-;-;-;-
0714109072;Kestert;-;-;-;-;-;-
0714109079;Lierschied;-;-;-;-;-;-
0714109083;Lykershausen;-;-;-;-;-;-
0714109099;Nochern;-;-;-;-;-;-
0714109108;Osterspai;-;-;-;-;-;-
0714109109;Patersberg;-;-;-;-;-;-
0714109112;Prath;-;-;-;-;-;-
0714109114;Reichenberg;-;-;-;-;-;-
0714109115;Reitzenhain;-;-;-;-;-;-
0714109121;Sankt Goarshausen, Loreleystadt, Stadt;-;-;-;-;-;-
0714109122;Sauerthal;-;-;-;-;-;-
0714109136;Weisel;-;-;-;-;-;-
0714109138;Weyer;-;-;-;-;-;-
0714109501;Braubach, Stadt;-;-;-;-;-;-
0714301;Bad Marienberg (Westerwald), Verbandsgem.;6010;4522;1089;343;50;6
0714301206;Bad Marienberg (Westerwald);1451;947;292;169;37;6
0714301211;Bölsberg;116;85;21;10;-;-
0714301216;Dreisbach;208;166;33;9;-;-
0714301222;Fehl-Ritzhausen;271;222;46;-;3;-
0714301227;Großseifen;200;157;40;3;-;-
0714301231;Hahn bei Marienberg;141;103;31;7;-;-
0714301234;Hardt, Westerwald;152;121;25;3;3;-
0714301243;Hof;403;316;72;15;-;-
0714301248;Kirburg;234;193;22;19;-;-
0714301253;Langenbach bei Kirburg;306;229;68;6;3;-
0714301255;Lautzenbrücken;132;108;17;7;-;-
0714301264;Mörlen;187;150;27;10;-;-
0714301270;Neunkhausen;361;299;52;10;-;-
0714301277;Nisterau;307;262;38;7;-;-
0714301279;Nistertal;398;295;84;19;-;-
0714301280;Norken;348;283;62;3;-;-
0714301297;Stockhausen-Illfurth;153;108;39;6;-;-
0714301300;Unnau;642;478;120;40;4;-
0714302;Hachenburg, Verbandsgem.;8048;6060;1426;529;24;9
0714302202;Alpenrod;549;415;103;31;-;-
0714302204;Astert;96;78;18;-;-;-
0714302205;Atzelgift;226;178;42;6;-;-
0714302212;Borod;185;142;37;6;-;-
0714302215;Dreifelden;88;62;20;6;-;-
0714302223;Gehlert;220;176;26;18;-;-
0714302225;Giesenhausen;114;89;19;6;-;-
0714302229;Hachenburg;1683;1183;255;215;21;9
0714302235;Hattert;565;426;110;29;-;-
0714302236;Heimborn;101;72;29;-;-;-
0714302240;Heuzert;45;39;3;3;-;-
0714302241;Höchstenbach;247;191;39;17;-;-
0714302250;Kroppach;242;186;46;10;-;-
0714302252;Kundert;92;69;20;3;-;-
0714302257;Limbach, Westerwald;142;126;16;0;-;-
0714302258;Linden, Westerwald;49;39;7;3;-;-
0714302259;Lochum;125;79;32;14;-;-
0714302260;Luckenbach;213;162;35;16;-;-
0714302261;Marzhausen;94;76;18;-;-;-
0714302262;Merkelbach;154;136;15;3;-;-
0714302265;Mörsbach;172;134;35;3;-;-
0714302267;Mudenbach;274;208;60;6;-;-
0714302268;Mündersbach;250;180;54;16;-;-
0714302269;Müschenbach;350;272;71;7;-;-
0714302276;Nister;351;274;62;15;-;-
0714302287;Roßbach, Westerwald;298;207;78;13;-;-
0714302294;Steinebach an der Wied;297;234;37;26;-;-
0714302296;Stein-Wingert;69;49;17;3;-;-
0714302299;Streithausen;165;134;18;13;-;-
0714302301;Wahlrod;279;192;66;21;-;-
0714302306;Welkenbach;65;48;6;8;3;-
0714302310;Wied;171;140;28;3;-;-
0714302313;Winkelbach;77;64;4;9;-;-
0714303;Höhr-Grenzhausen, Verbandsgem.;3910;2638;760;443;47;22
0714303030;Hilgert;523;401;106;16;-;-
0714303031;Hillscheid;858;594;187;71;6;-
0714303032;Höhr-Grenzhausen;2434;1576;449;346;41;22
0714303040;Kammerforst, Westerwald;95;67;18;10;-;-
0714304;Montabaur, Verbandsgem.;11992;8601;2387;872;111;21
0714304005;Boden;198;165;23;10;-;-
0714304008;Daubach, Westerwald;169;142;21;6;-;-
0714304013;Eitelborn;826;582;177;67;-;-
0714304020;Gackenbach;196;133;46;17;-;-
0714304021;Girod;390;277;94;19;-;-
0714304023;Görgeshausen;262;187;63;12;-;-
0714304024;Großholbach;309;225;62;19;3;-
0714304026;Heilberscheid;244;193;47;4;-;-
0714304027;Heiligenroth;468;347;100;18;3;-
0714304033;Holler;374;289;67;12;6;-
0714304034;Horbach, Westerwald;213;159;48;6;-;-
0714304036;Hübingen;184;140;41;3;-;-
0714304039;Kadenbach;450;285;129;33;3;-
0714304048;Montabaur;3314;2250;559;397;87;21
0714304051;Nentershausen, Westerwald;656;445;159;46;6;-
0714304052;Neuhäusel;677;536;103;38;-;-
0714304053;Niederelbert;563;395;134;34;-;-
0714304054;Niedererbach;338;244;75;19;-;-
0714304055;Nomborn;241;173;65;3;-;-
0714304057;Oberelbert;350;268;69;13;-;-
0714304065;Ruppach-Goldhausen;397;297;87;13;-;-
0714304071;Simmern;447;315;82;47;3;-
0714304072;Stahlhofen;243;194;34;15;-;-
0714304077;Untershausen;144;110;25;9;-;-
0714304079;Welschneudorf;339;250;77;12;-;-
0714305;Ransbach-Baumbach, Verbandsgem.;4470;3334;781;311;38;6
0714305001;Alsbach;223;167;40;16;-;-
0714305006;Breitenau, Westerwald;221;177;28;10;6;-
0714305007;Caan;233;183;40;10;-;-
0714305009;Deesen;232;178;30;24;-;-
0714305038;Hundsdorf;140;104;29;7;-;-
0714305050;Nauort;716;515;147;51;3;-
0714305059;Oberhaid, Westerwald;127;90;28;9;-;-
0714305062;Ransbach-Baumbach;2089;1544;344;166;29;6
0714305068;Sessenbach;160;121;31;8;-;-
0714305082;Wirscheid;123;110;13;-;-;-
0714305084;Wittgert;206;145;51;10;-;-
0714306;Rennerod, Verbandsgem.;5626;4396;961;254;12;3
0714306214;Bretthausen;83;71;12;-;-;-
0714306218;Elsoff (Westerwald);363;297;45;21;-;-
0714306237;Hellenhahn-Schellenberg;448;342;74;32;-;-
0714306244;Homberg, Westerwald;69;60;6;3;-;-
0714306245;Hüblingen;127;108;15;4;-;-
0714306246;Irmtraut;248;184;46;18;-;-
0714306256;Liebenscheid;293;234;59;0;-;-
0714306271;Neunkirchen, Westerwald;180;132;36;6;6;-
0714306272;Neustadt/Westerwald;196;153;33;10;-;-
0714306274;Niederroßbach;253;193;54;6;-;-
0714306278;Nister-Möhrendorf;110;98;12;-;-;-
0714306282;Oberrod;243;181;59;3;-;-
0714306283;Oberroßbach;118;105;13;-;-;-
0714306285;Rehe;292;215;68;9;-;-
0714306286;Rennerod;1190;851;234;96;6;3
0714306291;Salzburg;80;65;12;3;-;-
0714306292;Seck;424;340;62;22;-;-
0714306295;Stein-Neukirch;153;134;19;-;-;-
0714306302;Waigandshain;74;57;14;3;-;-
0714306303;Waldmühlen;103;88;12;3;-;-
0714306309;Westernohe;340;269;59;12;-;-
0714306311;Willingen;94;87;7;-;-;-
0714306315;Zehnhausen bei Rennerod;145;132;10;3;-;-
0714307;Selters (Westerwald), Verbandsgem.;5426;4151;906;345;24;-
0714307015;Ellenhausen;112;87;19;6;-;-
0714307018;Freilingen;293;236;35;22;-;-
0714307019;Freirachdorf;235;208;21;6;-;-
0714307022;Goddert;149;102;35;12;-;-
0714307025;Hartenfels;263;201;52;10;-;-
0714307029;Herschbach;945;741;152;43;9;-
0714307041;Krümmel;101;79;16;3;3;-
0714307044;Marienrachdorf;337;274;45;18;-;-
0714307045;Maroth;78;57;21;-;-;-
0714307046;Maxsain;361;287;38;36;-;-
0714307056;Nordhofen;192;162;21;9;-;-
0714307061;Quirnbach;165;137;22;6;-;-
0714307064;Rückeroth;179;133;37;9;-;-
0714307066;Schenkelberg;232;151;64;17;-;-
0714307067;Selters (Westerwald);728;497;128;91;12;-
0714307069;Sessenhausen;316;233;54;29;-;-
0714307075;Steinen, Westerwald;72;63;6;3;-;-
0714307078;Vielbach;200;145;45;10;-;-
0714307085;Wölferlingen;180;125;43;12;-;-
0714307221;Ewighausen;98;79;16;3;-;-
0714307305;Weidenhahn;190;154;36;-;-;-
0714308;Wallmerod, Verbandsgem.;4939;3916;803;211;9;-
0714308011;Dreikirchen;353;264;69;20;-;-
0714308037;Hundsangen;659;509;132;18;-;-
0714308058;Obererbach;180;144;24;9;3;-
0714308074;Steinefrenz;266;232;25;9;-;-
0714308080;Weroth;197;154;39;4;-;-
0714308203;Arnshöfen;73;63;10;-;-;-
