GENESIS-Tabelle: 31211-05-01-5-B
Wohngebäude nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01051134;Windbergen;291;257;28;6;-;-
01051135;Wolmersdorf;128;110;15;3;-;-
01051136;Wrohm;295;269;23;3;-;-
01051137;Nordermeldorf;235;187;28;20;-;-
01051138;Tensbüttel-Röst;226;170;49;7;-;-
01051139;Süderdorf;119;91;25;3;-;-
01051140;Oesterwurth;99;93;6;-;-;-
01051141;Süderheistedt;198;158;34;6;-;-
01053001;Albsfelde;32;32;-;-;-;-
01053002;Alt Mölln;265;215;38;9;3;-
01053003;Aumühle;949;713;132;94;10;-
01053004;Bäk;319;254;55;10;-;-
01053005;Bälau;69;60;6;3;-;-
01053006;Basedow;255;215;17;16;7;-
01053007;Basthorst;158;127;25;6;-;-
01053008;Behlendorf;127;105;12;10;-;-
01053009;Berkenthin;605;491;87;27;-;-
01053010;Besenthal;23;23;-;-;-;-
01053011;Bliestorf;217;161;44;12;-;-
01053012;Börnsen;1295;1063;162;58;12;-
01053013;Borstorf;98;85;13;-;-;-
01053014;Breitenfelde;569;454;68;41;6;-
01053015;Bröthen;98;83;12;3;-;-
01053016;Brunsmark;84;78;6;-;-;-
01053017;Brunstorf;198;172;16;6;4;-
01053018;Buchholz;82;60;15;7;-;-
01053019;Buchhorst;57;50;4;3;-;-
01053020;Büchen;1658;1338;167;125;28;-
01053021;Dahmker;60;53;7;-;-;-
01053022;Dalldorf;142;125;13;4;-;-
01053023;Dassendorf;1080;920;128;29;3;-
01053024;Düchelsdorf;49;36;13;-;-;-
01053025;Duvensee;150;122;20;8;-;-
01053026;Einhaus;135;112;16;7;-;-
01053027;Elmenhorst;251;191;39;18;3;-
01053028;Escheburg;1012;828;101;55;28;-
01053029;Fitzen;158;142;13;3;-;-
01053030;Fredeburg;10;10;-;-;-;-
01053031;Fuhlenhagen;75;56;15;4;-;-
01053032;Geesthacht;6879;5146;669;604;392;68
01053033;Giesensdorf;43;37;6;-;-;-
01053034;Göldenitz;71;61;7;3;-;-
01053035;Göttin;29;29;-;-;-;-
01053036;Grabau;102;85;17;-;-;-
01053037;Grambek;166;147;15;4;-;-
01053038;Grinau;80;68;9;3;-;-
01053039;Groß Boden;76;70;6;-;-;-
01053040;Groß Disnack;27;24;3;-;-;-
01053041;Groß Grönau;1338;1155;127;53;3;-
01053042;Groß Pampau;49;45;4;-;-;-
01053043;Groß Sarau;308;264;25;16;3;-
01053044;Groß Schenkenberg;180;162;15;3;-;-
01053045;Grove;85;69;16;-;-;-
01053046;Gudow;595;522;57;16;-;-
01053047;Gülzow;387;295;67;18;7;-
01053048;Güster;611;542;54;15;-;-
01053049;Hamfelde;174;127;32;12;3;-
01053050;Hamwarde;241;176;56;9;-;-
01053051;Harmsdorf;91;72;16;3;-;-
01053052;Havekost;49;27;10;12;-;-
01053053;Hohenhorn;166;125;23;18;-;-
01053054;Hollenbek;156;129;20;7;-;-
01053056;Hornbek;76;64;9;3;-;-
01053057;Horst;95;77;9;9;-;-
01053058;Juliusburg;50;37;13;-;-;-
01053059;Kankelau;58;45;9;4;-;-
01053060;Kasseburg;165;152;9;4;-;-
01053061;Kastorf;375;313;44;18;-;-
01053062;Kittlitz;97;76;11;10;-;-
01053064;Klein Pampau;207;176;28;3;-;-
01053066;Klein Zecher;92;73;16;3;-;-
01053067;Klempau;221;192;20;9;-;-
01053068;Klinkrade;190;144;30;13;3;-
01053069;Koberg;251;194;42;15;-;-
01053070;Köthel;93;79;8;3;3;-
01053071;Kollow;193;157;27;9;-;-
01053072;Kröppelshagen-Fahrendorf;404;339;59;6;-;-
01053073;Krüzen;109;99;10;-;-;-
01053074;Krukow;53;40;10;3;-;-
01053075;Krummesse;597;505;76;16;-;-
01053076;Kuddewörde;444;370;62;12;-;-
01053077;Kühsen;120;82;20;18;-;-
01053078;Kulpin;67;51;13;3;-;-
01053079;Labenz;261;226;32;3;-;-
01053080;Langenlehsten;48;39;3;6;-;-
01053081;Lankau;167;131;30;6;-;-
01053082;Lanze;90;78;3;9;-;-
01053083;Lauenburg/Elbe;3043;2298;361;291;80;13
01053084;Lehmrade;145;110;27;8;-;-
01053085;Linau;404;329;59;16;-;-
01053086;Lüchow;94;69;22;3;-;-
01053087;Lütau;210;141;60;9;-;-
01053088;Mechow;33;24;6;3;-;-
01053089;Möhnsen;161;121;25;12;3;-
01053090;Mölln;5001;3862;468;468;166;37
01053091;Mühlenrade;63;51;3;6;3;-
01053092;Müssen;359;295;55;9;-;-
01053093;Mustin;260;210;50;0;-;-
01053094;Niendorf bei Berkenthin;60;53;7;-;-;-
01053095;Niendorf/Stecknitz;213;175;32;6;-;-
01053096;Nusse;334;288;34;9;3;-
01053097;Panten;272;235;28;6;3;-
01053098;Pogeez;146;116;18;12;-;-
01053099;Poggensee;109;84;25;-;-;-
01053100;Ratzeburg;3599;2829;244;363;125;38
01053101;Ritzerau;87;71;13;3;-;-
01053102;Römnitz;19;19;-;-;-;-
01053103;Rondeshagen;252;215;25;9;3;-
01053104;Roseburg;196;149;27;20;-;-
01053105;Sachsenwald;-;-;-;-;-;-
01053106;Sahms;120;114;3;3;-;-
01053107;Salem;283;239;35;9;-;-
01053108;Sandesneben;529;442;72;15;-;-
01053109;Schiphorst;182;163;16;3;-;-
01053110;Schmilau;211;186;16;9;-;-
01053111;Schnakenbek;311;253;45;13;-;-
01053112;Schönberg;410;336;55;13;6;-
01053113;Schretstaken;160;113;34;13;-;-
01053114;Schürensöhlen;58;46;9;3;-;-
01053115;Schulendorf;149;136;10;3;-;-
01053116;Schwarzenbek;3492;2718;240;382;143;9
01053117;Seedorf;257;202;35;20;-;-
01053118;Siebenbäumen;187;148;33;6;-;-
01053119;Siebeneichen;88;65;13;7;3;-
01053120;Sierksrade;107;85;16;3;3;-
01053121;Sirksfelde;122;94;20;8;-;-
01053122;Steinhorst;199;162;26;7;4;-
01053123;Sterley;334;277;45;12;-;-
01053124;Stubben;121;108;10;3;-;-
01053125;Talkau;184;169;15;-;-;-
01053126;Tramm;115;92;13;10;-;-
01053127;Walksfelde;61;52;3;6;-;-
01053128;Wangelau;63;57;6;-;-;-
01053129;Wentorf bei Hamburg;2618;1951;199;294;149;25
01053130;Wentorf (Amt Sandesneben);232;171;41;20;-;-
01053131;Wiershop;58;42;16;-;-;-
01053132;Witzeeze;276;218;48;7;3;-
01053133;Wohltorf;793;646;83;47;17;-
01053134;Woltersdorf;113;97;10;6;-;-
01053135;Worth;56;38;12;6;-;-
01053136;Ziethen;315;267;31;14;3;-
01054001;Achtrup;545;466;62;17;-;-
01054002;Ahrenshöft;209;180;29;-;-;-
01054003;Ahrenviöl;168;148;13;4;3;-
01054004;Ahrenviölfeld;93;81;9;3;-;-
01054005;Alkersum;162;99;33;30;-;-
01054006;Almdorf;212;182;20;10;-;-
01054007;Arlewatt;121;95;22;4;-;-
01054009;Aventoft;196;171;13;12;-;-
01054010;Bargum;221;199;19;3;-;-
01054011;Behrendorf;209;164;39;6;-;-
01054012;Bohmstedt;284;250;31;3;-;-
01054013;Bondelum;60;47;13;-;-;-
01054014;Bordelum;805;677;103;25;-;-
01054015;Borgsum;135;66;37;29;3;-
01054016;Bosbüll;81;59;19;3;-;-
01054017;Braderup;271;220;44;7;-;-
01054018;Bramstedtlund;76;70;3;3;-;-
01054019;Bredstedt;1852;1563;157;123;9;-
01054020;Breklum;859;766;60;33;-;-
01054022;Dagebüll;408;341;43;24;-;-
01054023;Drage;206;183;20;3;-;-
01054024;Drelsdorf;476;424;40;12;-;-
01054025;Dunsum;46;21;10;12;3;-
01054026;Elisabeth-Sophien-Koog;22;13;6;3;-;-
01054027;Ellhöft;41;41;-;-;-;-
01054032;Fresendelf;53;39;14;-;-;-
01054033;Friedrichstadt;976;801;91;81;3;-
01054034;Friedrich-Wilhelm-Lübke-Koog;42;36;6;-;-;-
01054035;Garding, Kirchspiel;130;102;19;9;-;-
01054036;Garding;971;749;106;102;10;4
01054037;Goldebek;108;83;19;6;-;-
01054038;Goldelund;131;113;15;3;-;-
01054039;Gröde;4;4;-;-;-;-
01054040;Grothusenkoog;15;9;3;3;-;-
01054041;Haselund;305;256;43;6;-;-
01054042;Hattstedt;914;771;106;37;-;-
01054043;Hattstedtermarsch;100;78;22;-;-;-
01054045;Högel;151;117;28;6;-;-
01054046;Hörnum (Sylt);451;307;39;82;20;3
01054048;Holm;39;30;3;6;-;-
01054050;Hallig Hooge;50;25;15;10;-;-
