GENESIS-Tabelle: 14331-01-02-5
Landtagswahlen: Schleswig-Holstein - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Schleswig-Holstein;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
06.05.2012;01051080;Norderheistedt;112;59,8;66;34;12;4;1;2;13
06.05.2012;01051081;Norderwöhrden;236;63,1;142;85;19;6;14;5;13
06.05.2012;01051082;Nordhastedt;2161;64,7;1369;523;371;132;105;25;213
06.05.2012;01051083;Odderade;257;75,1;193;80;53;18;20;3;19
06.05.2012;01051084;Oesterdeichstrich;198;64,1;125;51;32;9;15;2;16
06.05.2012;01051085;Offenbüttel;226;66,8;150;93;13;15;16;2;11
06.05.2012;01051086;Osterrade;349;70,2;239;112;40;34;10;5;38
06.05.2012;01051087;Ostrohe;797;66,1;524;176;166;55;55;5;67
06.05.2012;01051088;Pahlen;918;58,6;525;231;123;35;42;6;88
06.05.2012;01051089;Quickborn;163;66,9;106;42;22;17;10;3;12
06.05.2012;01051090;Ramhusen;131;59,5;76;34;15;1;9;0;17
06.05.2012;01051092;Rehm-Flehde-Bargen;428;57,0;241;91;68;16;29;2;35
06.05.2012;01051093;Reinsbüttel;341;65,4;218;69;61;15;26;5;42
06.05.2012;01051096;Sankt Annen;260;75,0;193;64;50;26;22;3;28
06.05.2012;01051097;Sankt Michaelisdonn;2867;54,3;1530;587;418;108;144;24;249
06.05.2012;01051098;Sarzbüttel;578;65,4;372;115;127;37;29;13;51
06.05.2012;01051099;Schafstedt;1082;62,8;666;257;151;53;93;13;99
06.05.2012;01051100;Schalkholz;479;58,5;278;135;39;28;22;6;48
06.05.2012;01051102;Schlichting;183;73,8;133;73;27;14;7;1;11
06.05.2012;01051103;Schmedeswurth;160;73,1;113;51;24;9;5;2;22
06.05.2012;01051104;Schrum;64;67,2;43;21;6;2;7;3;4
06.05.2012;01051105;Schülp;359;66,6;235;78;78;18;23;6;32
06.05.2012;01051107;Stelle-Wittenwurth;399;49,6;189;88;44;7;18;6;26
06.05.2012;01051108;Strübbel;77;77,9;56;23;15;3;5;1;9
06.05.2012;01051109;Süderdeich;381;58,3;220;72;65;18;27;2;36
06.05.2012;01051110;Süderhastedt;658;60,8;394;181;89;26;39;5;54
06.05.2012;01051111;Süderheistedt;-;-;-;-;-;-;-;-;-
06.05.2012;01051113;Wöhrden;1071;60,4;641;240;203;38;44;13;103
06.05.2012;01051114;Tellingstedt;2052;65,0;1296;568;312;89;121;15;191
06.05.2012;01051117;Tielenhemme;135;77,8;102;40;23;16;9;2;12
06.05.2012;01051118;Trennewurth;219;69,4;150;49;49;15;14;2;21
06.05.2012;01051119;Volsemenhusen;263;68,1;175;68;41;26;21;1;18
06.05.2012;01051120;Wallen;29;75,9;21;7;1;5;0;3;5
06.05.2012;01051121;Warwerort;203;70,4;142;57;37;19;8;2;19
06.05.2012;01051122;Weddingstedt;1884;60,7;1120;394;332;133;101;17;143
06.05.2012;01051125;Welmbüttel;355;60,8;213;81;35;17;32;5;43
06.05.2012;01051126;Wennbüttel;68;79,4;54;23;12;3;10;0;6
06.05.2012;01051127;Wesselburen;2402;51,8;1215;426;395;77;114;30;173
06.05.2012;01051128;Wesselburener Deichhausen;110;65,5;71;27;14;8;3;8;11
06.05.2012;01051129;Wesselburenerkoog;130;69,2;87;30;26;6;11;1;13
06.05.2012;01051130;Wesseln;1163;66,6;765;291;228;73;67;10;96
06.05.2012;01051131;Westerborstel;85;83,5;68;31;13;11;7;1;5
06.05.2012;01051132;Westerdeichstrich;720;56,4;398;129;139;34;42;4;50
06.05.2012;01051133;Wiemerstedt;133;75,9;97;57;13;7;8;2;10
06.05.2012;01051134;Windbergen;642;60,6;380;183;90;33;18;4;52
06.05.2012;01051135;Wolmersdorf;262;77,1;197;73;45;25;19;4;31
06.05.2012;01051136;Wrohm;571;66,4;366;171;79;21;40;5;50
06.05.2012;01051137;Nordermeldorf;453;59,4;261;136;51;11;29;4;30
06.05.2012;01051138;Tensbüttel-Röst;539;63,1;337;156;72;36;21;4;48
06.05.2012;01051139;Süderdorf;297;69,7;203;139;15;11;18;0;20
06.05.2012;01051140;Oesterwurth;224;71,9;161;54;40;20;13;1;33
06.05.2012;01051141;Süderheistedt;452;66,4;292;123;66;19;22;9;53
06.05.2012;01053001;Albsfelde;58;74,1;43;22;4;8;5;0;4
06.05.2012;01053002;Alt Mölln;692;65,2;442;177;95;64;34;14;58
06.05.2012;01053003;Aumühle;2503;70,6;1756;656;364;284;300;32;120
06.05.2012;01053004;Bäk;685;71,1;481;203;107;55;52;13;51
06.05.2012;01053005;Bälau;213;60,6;128;54;29;14;16;0;15
06.05.2012;01053006;Basedow;548;57,8;310;73;99;38;20;6;74
