GENESIS-Tabelle: 12411-07-01-5-B
Durchschnittsalter der Bevölkerung;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
;;;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung
;;;;männlich;weiblich
;;;Jahre;Jahre;Jahre
31.12.2015;03151401002;Barwedel;45,4;44,4;46,4
31.12.2015;03151401004;Bokensdorf;41,4;41,6;41,2
31.12.2015;03151401014;Jembke;42,5;42,7;42,3
31.12.2015;03151401020;Osloß;45,3;44,0;46,5
31.12.2015;03151401030;Tappenbeck;41,9;42,2;41,6
31.12.2015;03151401039;Weyhausen;46,5;45,4;47,5
31.12.2015;03151402;Brome, Samtgemeinde;42,3;41,2;43,5
31.12.2015;03151402003;Bergfeld;44,4;43,4;45,3
31.12.2015;03151402005;Brome;45,0;43,7;46,3
31.12.2015;03151402008;Ehra-Lessien;39,1;36,8;42,1
31.12.2015;03151402021;Parsau;44,5;43,9;45,1
31.12.2015;03151402024;Rühen;40,3;39,7;40,9
31.12.2015;03151402031;Tiddische;43,5;43,2;43,8
31.12.2015;03151402032;Tülau;44,0;42,8;45,2
31.12.2015;03151403;Hankensbüttel, Samtgemeinde;45,2;43,6;46,9
31.12.2015;03151403007;Dedelstorf;47,0;46,3;47,7
31.12.2015;03151403011;Hankensbüttel;43,4;41,4;45,4
31.12.2015;03151403019;Obernholz;45,1;42,8;47,5
31.12.2015;03151403028;Sprakensehl;48,2;46,6;49,9
31.12.2015;03151403029;Steinhorst, Niedersachs;47,1;46,1;48,1
31.12.2015;03151404;Isenbüttel, Samtgemeinde;42,7;41,9;43,6
31.12.2015;03151404006;Calberlah;43,6;42,5;44,6
31.12.2015;03151404013;Isenbüttel;42,2;41,6;42,8
31.12.2015;03151404022;Ribbesbüttel;42,1;40,7;43,6
31.12.2015;03151404037;Wasbüttel;43,0;42,2;43,8
31.12.2015;03151405;Meinersen, Samtgemeinde;43,0;42,1;43,9
31.12.2015;03151405012;Hillerse;42,5;42,0;43,0
31.12.2015;03151405015;Leiferde;42,9;41,9;43,9
31.12.2015;03151405017;Meinersen;43,0;42,0;44,0
31.12.2015;03151405018;Müden (Aller);43,2;42,3;44,2
31.12.2015;03151406;Papenteich, Samtgemeinde;43,7;42,8;44,5
31.12.2015;03151406001;Adenbüttel;41,8;40,7;42,9
31.12.2015;03151406016;Meine;43,6;42,8;44,5
31.12.2015;03151406023;Rötgesbüttel;40,5;39,9;41,0
31.12.2015;03151406027;Schwülper;44,6;44,0;45,1
31.12.2015;03151406034;Vordorf;44,7;43,6;46,0
31.12.2015;03151406041;Didderse;44,4;42,8;46,0
31.12.2015;03151407;Wesendorf, Samtgemeinde;42,0;41,1;43,0
31.12.2015;03151407010;Groß Oesingen;42,0;41,2;43,0
31.12.2015;03151407026;Schönewörde;42,5;41,1;44,0
31.12.2015;03151407033;Ummern;40,8;40,2;41,5
31.12.2015;03151407035;Wagenhoff;42,7;42,6;42,8
31.12.2015;03151407036;Wahrenholz;41,7;40,7;42,8
31.12.2015;03151407038;Wesendorf, Niedersachs;42,4;41,3;43,4
31.12.2015;03151501;Giebel, gem.fr. Geb.;-;-;-
31.12.2015;03152001;Adelebsen;46,1;44,7;47,4
31.12.2015;03152004;Bovenden;45,5;44,6;46,3
31.12.2015;03152007;Duderstadt;45,4;43,9;46,8
31.12.2015;03152009;Friedland, Kr Göttingen;37,6;35,7;40,0
31.12.2015;03152011;Gleichen;45,3;44,3;46,3
31.12.2015;03152012;Göttingen;41,5;40,1;42,8
31.12.2015;03152016;Hann. Münden;45,9;44,4;47,4
31.12.2015;03152021;Rosdorf, Kr Göttingen;44,0;42,9;45,2
31.12.2015;03152026;Staufenberg, Niedersachs;47,1;46,1;48,1
31.12.2015;03152401;Dransfeld, Samtgemeinde;46,0;44,9;47,1
31.12.2015;03152401005;Bühren;46,6;45,4;47,6
31.12.2015;03152401006;Dransfeld;46,0;44,9;47,1
31.12.2015;03152401013;Jühnde;45,5;43,7;47,4
31.12.2015;03152401017;Niemetal;46,0;46,2;45,8
31.12.2015;03152401023;Scheden;46,1;44,5;47,7
31.12.2015;03152402;Gieboldehausen, Samtgemeinde;45,1;44,1;46,1
31.12.2015;03152402002;Bilshausen;45,8;44,8;47,0
31.12.2015;03152402003;Bodensee;42,9;43,1;42,7
31.12.2015;03152402010;Gieboldehausen;43,6;42,5;44,6
31.12.2015;03152402014;Krebeck;44,7;44,3;45,0
31.12.2015;03152402018;Obernfeld;43,5;42,8;44,1
31.12.2015;03152402019;Rhumspringe;47,9;46,4;49,6
31.12.2015;03152402020;Rollshausen;46,1;44,6;47,7
31.12.2015;03152402022;Rüdershausen;45,5;45,1;45,9
31.12.2015;03152402028;Wollbrandshausen;51,1;48,7;53,4
31.12.2015;03152402029;Wollershausen;41,2;40,4;42,1
31.12.2015;03152403;Radolfshausen, Samtgemeinde;45,6;44,5;46,5
31.12.2015;03152403008;Ebergötzen;48,0;46,9;49,1
31.12.2015;03152403015;Landolfshausen;46,4;45,7;47,1
31.12.2015;03152403024;Seeburg, Niedersachs;43,5;42,5;44,4
31.12.2015;03152403025;Seulingen;43,8;42,7;44,9
31.12.2015;03152403027;Waake;45,6;44,8;46,4
31.12.2015;03153002;Bad Harzburg;51,4;49,4;53,2
31.12.2015;03153003;Braunlage, Stadt;-;-;-
31.12.2015;03153005;Goslar, Stadt;-;-;-
31.12.2015;03153007;Langelsheim;48,2;46,6;49,7
31.12.2015;03153008;Liebenburg;47,3;45,6;49,0
31.12.2015;03153010;Sankt Andreasberg, Bergstadt;-;-;-
31.12.2015;03153012;Seesen;47,1;45,3;48,8
31.12.2015;03153013;Vienenburg, Stadt;-;-;-
31.12.2015;03153016;Braunlage, Stadt;48,2;45,9;50,7
31.12.2015;03153017;Goslar, Stadt;47,7;46,0;49,4
31.12.2015;03153018;Clausthal-Zellerfeld, Berg- und Universitätsstadt;43,2;40,8;46,3
31.12.2015;03153401;Lutter am Barenberge, Samtgemeinde;47,0;45,9;48,1
31.12.2015;03153401006;Hahausen;47,1;45,8;48,5
31.12.2015;03153401009;Lutter am Barenberge;46,6;45,1;48,0
31.12.2015;03153401014;Wallmoden;48,0;48,2;47,8
31.12.2015;03153402;Samtgemeinde Oberharz;-;-;-
31.12.2015;03153402001;Altenau, Bergstadt;-;-;-
31.12.2015;03153402004;Clausthal-Zellerfeld, Bergstadt;-;-;-
31.12.2015;03153402011;Schulenberg im Oberharz;-;-;-
31.12.2015;03153402015;Wildemann, Bergstadt;-;-;-
31.12.2015;03153504;Harz (Landkreis Goslar), gem.fr. Geb.;-;-;-
31.12.2015;03154003;Büddenstedt;48,3;46,5;50,0
31.12.2015;03154010;Helmstedt;46,2;44,4;47,9
31.12.2015;03154013;Königslutter am Elm;46,0;44,6;47,3
31.12.2015;03154014;Lehre;45,0;43,8;46,1
31.12.2015;03154019;Schöningen;47,4;45,4;49,4
31.12.2015;03154401;Grasleben, Samtgemeinde;46,8;45,8;47,8
31.12.2015;03154401008;Grasleben;46,5;45,3;47,7
31.12.2015;03154401015;Mariental b Helmstedt;50,0;48,5;51,4
31.12.2015;03154401016;Querenhorst;44,7;42,8;46,7
31.12.2015;03154401018;Rennau;45,4;46,5;44,5
31.12.2015;03154402;Heeseberg, Samtgemeinde;46,3;44,8;47,7
31.12.2015;03154402002;Beierstedt;48,8;47,6;50,0
31.12.2015;03154402006;Gevensleben;46,6;45,0;48,1
31.12.2015;03154402011;Ingeleben;45,4;46,1;44,9
31.12.2015;03154402012;Jerxheim;47,2;43,8;50,3
31.12.2015;03154402020;Söllingen;44,4;44,2;44,7
31.12.2015;03154402023;Twieflingen;45,1;44,5;45,7
31.12.2015;03154402027;Söllingen;-;-;-
31.12.2015;03154403;Nord-Elm, Samtgemeinde;47,5;46,4;48,5
31.12.2015;03154403005;Frellstedt;46,3;44,8;48,0
31.12.2015;03154403017;Räbke;49,9;51,0;48,8
31.12.2015;03154403021;Süpplingen;47,3;45,6;48,9
31.12.2015;03154403022;Süpplingenburg;44,9;44,4;45,4
31.12.2015;03154403025;Warberg;47,6;46,2;49,0
31.12.2015;03154403026;Wolsdorf;48,9;47,6;50,2
31.12.2015;03154404;Velpke, Samtgemeinde;44,9;43,8;46,0
31.12.2015;03154404001;Bahrdorf;43,9;42,9;44,9
31.12.2015;03154404004;Danndorf;43,7;43,2;44,2
31.12.2015;03154404007;Grafhorst;46,4;45,6;47,2
31.12.2015;03154404009;Groß Twülpstedt;44,6;43,3;45,9
31.12.2015;03154404024;Velpke;45,7;44,4;47,0
31.12.2015;03154501;Brunsleberfeld, gem.fr. Geb.;-;-;-
31.12.2015;03154502;Helmstedt, gem.fr. Geb.;-;-;-
31.12.2015;03154503;Königslutter, gem.fr. Geb.;-;-;-
31.12.2015;03154504;Mariental, gem.fr. Geb.;-;-;-
31.12.2015;03154506;Schöningen, gem.fr. Geb.;-;-;-
31.12.2015;03155001;Bad Gandersheim;46,4;44,0;48,7
31.12.2015;03155002;Bodenfelde;47,6;46,5;48,8
31.12.2015;03155003;Dassel;46,4;45,4;47,4
31.12.2015;03155004;Einbeck;-;-;-
31.12.2015;03155005;Hardegsen;46,3;45,5;47,2
31.12.2015;03155006;Kalefeld;47,0;45,6;48,4
31.12.2015;03155007;Katlenburg-Lindau;45,5;44,3;46,7
31.12.2015;03155008;Kreiensen;-;-;-
31.12.2015;03155009;Moringen;45,0;43,6;46,4
31.12.2015;03155010;Nörten-Hardenberg;46,0;45,0;47,0
31.12.2015;03155011;Northeim;46,5;45,0;48,0
31.12.2015;03155012;Uslar;48,5;46,8;50,1
31.12.2015;03155013;Einbeck, Stadt;47,1;45,8;48,4
31.12.2015;03155501;Solling (Lkr.Northeim);-;-;-
31.12.2015;03156002;Bad Lauterberg im Harz;49,8;48,4;51,0
31.12.2015;03156003;Bad Sachsa;50,0;48,1;51,7
31.12.2015;03156009;Herzberg am Harz;47,7;46,1;49,2
31.12.2015;03156011;Osterode am Harz;47,9;45,9;49,8
31.12.2015;03156017;Bad Grund (Harz);48,4;47,5;49,4
31.12.2015;03156401;Bad Grund (Harz), Samtgemeinde;-;-;-
31.12.2015;03156401001;Bad Grund (Harz);-;-;-
31.12.2015;03156401004;Badenhausen;-;-;-
31.12.2015;03156401005;Eisdorf;-;-;-
31.12.2015;03156401007;Gittelde;-;-;-
31.12.2015;03156401014;Windhausen;-;-;-
31.12.2015;03156402;Hattorf am Harz, Samtgemeinde;47,9;46,5;49,3
31.12.2015;03156402006;Elbingerode;45,5;45,1;45,8
31.12.2015;03156402008;Hattorf am Harz;48,6;46,8;50,3
31.12.2015;03156402010;Hörden;48,5;47,4;49,5
31.12.2015;03156402015;Wulften;46,5;45,4;47,6
31.12.2015;03156403;Walkenried, Samtgemeinde;50,8;49,4;52,2
31.12.2015;03156403012;Walkenried;48,5;47,2;49,7
31.12.2015;03156403013;Wieda;53,3;51,9;54,9
31.12.2015;03156403016;Zorge;52,8;50,7;54,6
31.12.2015;03156501;Harz (Landkreis Osterode), gem.fr. Geb.;-;-;-
31.12.2015;03157001;Edemissen;44,8;43,6;46,0
31.12.2015;03157002;Hohenhameln;44,7;43,8;45,5
31.12.2015;03157003;Ilsede;-;-;-
31.12.2015;03157004;Lahstedt;-;-;-
31.12.2015;03157005;Lengede;43,6;42,3;45,0
31.12.2015;03157006;Peine;44,3;42,6;45,9
31.12.2015;03157007;Vechelde;44,5;43,7;45,4
31.12.2015;03157008;Wendeburg;43,8;43,0;44,6
31.12.2015;03157009;Ilsede;45,4;44,0;46,9
31.12.2015;03158006;Cremlingen;45,4;44,2;46,7
31.12.2015;03158037;Wolfenbüttel;45,9;44,2;47,5
31.12.2015;03158039;Schladen-Werla;47,3;45,7;49,0
31.12.2015;03158401;Samtgemeinde Asse;-;-;-
31.12.2015;03158401008;Denkte;-;-;-
31.12.2015;03158401017;Hedeper;-;-;-
31.12.2015;03158401021;Kissenbrück;-;-;-
31.12.2015;03158401024;Remlingen;-;-;-
31.12.2015;03158401025;Roklum;-;-;-
31.12.2015;03158401029;Semmenstedt;-;-;-
31.12.2015;03158401036;Wittmar;-;-;-
31.12.2015;03158402;Baddeckenstedt, Samtgemeinde;45,5;44,5;46,4
31.12.2015;03158402002;Baddeckenstedt;46,5;45,3;47,7
31.12.2015;03158402004;Burgdorf b Salzgitter;44,7;44,1;45,2
31.12.2015;03158402011;Elbe;46,8;46,3;47,2
31.12.2015;03158402016;Haverlah;44,9;43,6;46,2
31.12.2015;03158402018;Heere;43,3;42,6;44,0
31.12.2015;03158402028;Sehlde;45,6;44,1;47,1
31.12.2015;03158403;Oderwald, Samtgemeinde;44,6;43,7;45,5
31.12.2015;03158403001;Achim;-;-;-
31.12.2015;03158403003;Börßum;-;-;-
31.12.2015;03158403005;Cramme;43,5;42,7;44,3
31.12.2015;03158403010;Dorstadt;43,3;42,1;44,6
31.12.2015;03158403014;Flöthe;45,4;44,5;46,3
31.12.2015;03158403019;Heiningen b Wolfenbüttel;42,6;41,9;43,4
31.12.2015;03158403023;Ohrum;46,9;46,1;47,7
31.12.2015;03158403038;Börßum;44,9;44,0;45,8
31.12.2015;03158404;Schladen, Samtgemeinde;-;-;-
31.12.2015;03158404015;Gielde;-;-;-
31.12.2015;03158404020;Hornburg, Kr Wolfenbüttel;-;-;-
31.12.2015;03158404026;Schladen;-;-;-
31.12.2015;03158404034;Werlaburgdorf;-;-;-
31.12.2015;03158405;Samtgemeinde Schöppenstedt;-;-;-
31.12.2015;03158405007;Dahlum;-;-;-
31.12.2015;03158405022;Kneitlingen;-;-;-
31.12.2015;03158405027;Schöppenstedt, Stadt;-;-;-
31.12.2015;03158405031;Uehrde;-;-;-
31.12.2015;03158405032;Vahlberg;-;-;-
31.12.2015;03158405035;Winnigstedt;-;-;-
31.12.2015;03158406;Sickte, Samtgemeinde;45,3;44,2;46,3
31.12.2015;03158406009;Dettum;43,3;42,7;43,9
31.12.2015;03158406012;Erkerode;47,4;47,5;47,4
31.12.2015;03158406013;Evessen;45,1;43,8;46,5
31.12.2015;03158406030;Sickte;45,3;44,1;46,6
31.12.2015;03158406033;Veltheim (Ohe);45,3;44,0;46,6
31.12.2015;03158407;Samtgemeinde Elm-Asse;45,3;44,6;46,1
31.12.2015;03158407007;Dahlum;48,1;47,2;48,8
31.12.2015;03158407008;Denkte;44,9;44,6;45,2
31.12.2015;03158407017;Hedeper;45,4;43,2;47,8
31.12.2015;03158407021;Kissenbrück;42,3;41,6;42,9
31.12.2015;03158407022;Kneitlingen;47,9;45,8;50,1
31.12.2015;03158407024;Remlingen;44,2;44,0;44,4
31.12.2015;03158407025;Roklum;47,5;46,3;48,7
31.12.2015;03158407027;Schöppenstedt, Stadt;45,8;44,6;47,0
31.12.2015;03158407029;Semmenstedt;44,7;45,2;44,2
31.12.2015;03158407031;Uehrde;47,6;46,7;48,5
31.12.2015;03158407032;Vahlberg;45,8;45,3;46,4
31.12.2015;03158407035;Winnigstedt;43,6;42,8;44,6
31.12.2015;03158407036;Wittmar;45,6;45,8;45,3
31.12.2015;03158407040;Remlingen-Semmenstedt;-;-;-
31.12.2015;03158501;Am Großen Rhode, gem.fr. Geb.;-;-;-
31.12.2015;03158502;Barnstorf-Warle, gem.fr. Geb.;-;-;-
31.12.2015;03158503;Voigtsdahlum, gem.fr. Geb.;-;-;-
31.12.2015;03159001;Adelebsen, Flecken;-;-;-
31.12.2015;03159002;Bad Grund (Harz);-;-;-
31.12.2015;03159003;Bad Lauterberg im Harz, Stadt;-;-;-
31.12.2015;03159004;Bad Sachsa, Stadt;-;-;-
31.12.2015;03159007;Bovenden, Flecken;-;-;-
31.12.2015;03159010;Duderstadt, Stadt;-;-;-
31.12.2015;03159013;Friedland;-;-;-
31.12.2015;03159015;Gleichen;-;-;-
31.12.2015;03159016;Göttingen, Stadt;-;-;-
31.12.2015;03159017;Hann. Münden, Stadt;-;-;-
31.12.2015;03159019;Herzberg am Harz, Stadt;-;-;-
31.12.2015;03159026;Osterode am Harz, Stadt;-;-;-
31.12.2015;03159029;Rosdorf;-;-;-
31.12.2015;03159034;Staufenberg;-;-;-
31.12.2015;03159036;Walkenried;-;-;-
31.12.2015;03159401;Dransfeld, Samtgemeinde;-;-;-
31.12.2015;03159401008;Bühren;-;-;-
31.12.2015;03159401009;Dransfeld, Stadt;-;-;-
31.12.2015;03159401021;Jühnde;-;-;-
31.12.2015;03159401024;Niemetal;-;-;-
31.12.2015;03159401031;Scheden;-;-;-
31.12.2015;03159402;Gieboldehausen, Samtgemeinde;-;-;-
31.12.2015;03159402005;Bilshausen;-;-;-
31.12.2015;03159402006;Bodensee;-;-;-
31.12.2015;03159402014;Gieboldehausen, Flecken;-;-;-
31.12.2015;03159402022;Krebeck;-;-;-
31.12.2015;03159402025;Obernfeld;-;-;-
31.12.2015;03159402027;Rhumspringe;-;-;-
31.12.2015;03159402028;Rollshausen;-;-;-
31.12.2015;03159402030;Rüdershausen;-;-;-
31.12.2015;03159402037;Wollbrandshausen;-;-;-
31.12.2015;03159402038;Wollershausen;-;-;-
31.12.2015;03159403;Hattorf am Harz, Samtgemeinde;-;-;-
31.12.2015;03159403012;Elbingerode;-;-;-
31.12.2015;03159403018;Hattorf am Harz;-;-;-
31.12.2015;03159403020;Hörden am Harz;-;-;-
31.12.2015;03159403039;Wulften am Harz;-;-;-
31.12.2015;03159404;Radolfshausen, Samtgemeinde;-;-;-
31.12.2015;03159404011;Ebergötzen;-;-;-
31.12.2015;03159404023;Landolfshausen;-;-;-
31.12.2015;03159404032;Seeburg;-;-;-
31.12.2015;03159404033;Seulingen;-;-;-
31.12.2015;03159404035;Waake;-;-;-
31.12.2015;03159501;Harz (Ldkr. Göttingen), gemfr. Geb.;-;-;-
31.12.2015;03241001;Hannover, Landeshauptstadt;42,4;40,9;43,9
31.12.2015;03241002;Barsinghausen;46,4;44,8;47,9
31.12.2015;03241003;Burgdorf, Region Hannover;45,3;43,9;46,6
31.12.2015;03241004;Burgwedel;45,8;44,2;47,3
31.12.2015;03241005;Garbsen;45,2;43,8;46,6
31.12.2015;03241006;Gehrden, Han;46,0;44,9;47,0
31.12.2015;03241007;Hemmingen, Han;46,1;44,6;47,5
31.12.2015;03241008;Isernhagen;45,8;44,8;46,7
31.12.2015;03241009;Laatzen;45,5;44,2;46,8
31.12.2015;03241010;Langenhagen, Han;44,0;42,2;45,6
31.12.2015;03241011;Lehrte;44,1;42,6;45,5
31.12.2015;03241012;Neustadt am Rübenberge;44,9;43,6;46,2
31.12.2015;03241013;Pattensen;45,5;44,2;46,6
31.12.2015;03241014;Ronnenberg;44,5;43,2;45,8
31.12.2015;03241015;Seelze;44,2;43,1;45,4
31.12.2015;03241016;Sehnde;43,5;42,7;44,4
31.12.2015;03241017;Springe;46,7;45,1;48,3
31.12.2015;03241018;Uetze;44,2;43,1;45,3
31.12.2015;03241019;Wedemark;44,9;43,9;45,8
31.12.2015;03241020;Wennigsen (Deister);46,3;44,9;47,6
31.12.2015;03241021;Wunstorf;44,7;43,2;46,1
31.12.2015;03251007;Bassum;45,4;44,1;46,6
31.12.2015;03251012;Diepholz;43,5;41,9;45,1
31.12.2015;03251037;Stuhr;45,6;44,6;46,6
31.12.2015;03251040;Sulingen;45,2;43,2;47,1
31.12.2015;03251041;Syke;45,0;43,5;46,4
31.12.2015;03251042;Twistringen;43,5;42,5;44,6
31.12.2015;03251044;Wagenfeld;45,0;43,7;46,2
31.12.2015;03251047;Weyhe;45,3;44,2;46,4
31.12.2015;03251401;Altes Amt Lemförde, Samtgemeinde;45,0;43,9;46,2
31.12.2015;03251401009;Brockum;44,6;44,4;44,8
31.12.2015;03251401020;Hüde;47,8;47,5;48,1
31.12.2015;03251401022;Lembruch;46,5;45,8;47,2
31.12.2015;03251401023;Lemförde;44,3;41,9;46,6
31.12.2015;03251401025;Marl, Dümmer;45,3;44,4;46,3
31.12.2015;03251401029;Quernheim;43,6;43,4;43,9
31.12.2015;03251401036;Stemshorn;42,5;42,6;42,4
31.12.2015;03251402;Barnstorf, Samtgemeinde;44,4;43,0;45,8
31.12.2015;03251402005;Barnstorf;44,7;42,8;46,6
31.12.2015;03251402013;Drebber;43,1;42,3;44,0
31.12.2015;03251402014;Drentwede;46,0;44,6;47,4
31.12.2015;03251402017;Eydelstedt;44,7;44,2;45,3
31.12.2015;03251403;Bruchhausen-Vilsen, Samtgemeinde;45,2;44,0;46,4
31.12.2015;03251403002;Asendorf b Bruchhausen-Vilsen;45,3;44,5;46,2
31.12.2015;03251403010;Bruchhausen-Vilsen, Flecken;-;-;-
31.12.2015;03251403016;Engeln;-;-;-
31.12.2015;03251403026;Martfeld;45,7;44,2;47,2
31.12.2015;03251403033;Schwarme;43,3;42,0;44,8
31.12.2015;03251403039;Süstedt;44,7;44,2;45,2
31.12.2015;03251403048;Bruchhausen-Vilsen, Flecken;45,8;44,4;47,1
31.12.2015;03251403049;Bruchhausen-Vilsen, Flecken;-;-;-
31.12.2015;03251404;Kirchdorf, Samtgemeinde;46,0;45,3;46,9
31.12.2015;03251404003;Bahrenborstel;44,6;43,6;45,6
31.12.2015;03251404004;Barenburg;43,6;42,6;44,7
31.12.2015;03251404018;Freistatt;51,1;51,2;50,5
31.12.2015;03251404021;Kirchdorf b Sulingen;46,3;44,9;47,7
31.12.2015;03251404043;Varrel;46,1;45,1;47,2
31.12.2015;03251404045;Wehrbleck;47,2;46,0;48,6
31.12.2015;03251405;Rehden, Samtgemeinde;43,7;42,6;44,8
31.12.2015;03251405006;Barver;46,7;45,5;48,0
31.12.2015;03251405011;Dickel;43,5;43,9;43,0
31.12.2015;03251405019;Hemsloh;42,8;41,7;43,9
31.12.2015;03251405030;Rehden;43,5;41,9;45,1
31.12.2015;03251405046;Wetschen;42,5;41,5;43,5
31.12.2015;03251406;Schwaförden, Samtgemeinde;45,2;44,3;46,1
31.12.2015;03251406001;Affinghausen;46,4;45,5;47,3
31.12.2015;03251406015;Ehrenburg;46,1;44,9;47,3
31.12.2015;03251406028;Neuenkirchen b Bassum;43,6;43,2;44,1
31.12.2015;03251406031;Scholen;44,3;44,1;44,6
31.12.2015;03251406032;Schwaförden;43,9;42,4;45,5
31.12.2015;03251406038;Sudwalde;47,2;46,8;47,5
31.12.2015;03251407;Siedenburg, Samtgemeinde;45,0;44,4;45,6
31.12.2015;03251407008;Borstel b Sulingen;45,7;45,5;45,8
31.12.2015;03251407024;Maasen;46,4;46,7;46,1
31.12.2015;03251407027;Mellinghausen;44,8;44,1;45,6
31.12.2015;03251407034;Siedenburg;43,8;42,7;44,9
31.12.2015;03251407035;Staffhorst;45,5;44,8;46,2
31.12.2015;03252001;Aerzen;46,1;45,1;47,1
31.12.2015;03252002;Bad Münder a. D.;47,0;45,4;48,5
31.12.2015;03252003;Bad Pyrmont;49,8;47,2;52,1
31.12.2015;03252004;Coppenbrügge;46,7;45,6;47,7
31.12.2015;03252005;Emmerthal;46,6;45,7;47,6
31.12.2015;03252006;Hameln;46,1;44,3;47,7
31.12.2015;03252007;Hessisch Oldendorf;45,7;44,5;46,8
31.12.2015;03252008;Salzhemmendorf;46,8;45,7;48,0
31.12.2015;03254002;Alfeld (Leine);47,7;45,8;49,5
31.12.2015;03254003;Algermissen;44,7;43,6;45,8
31.12.2015;03254005;Bad Salzdetfurth;46,8;45,3;48,1
31.12.2015;03254008;Bockenem;46,9;45,3;48,6
31.12.2015;03254011;Diekholzen;46,7;45,9;47,5
31.12.2015;03254014;Elze;46,7;45,0;48,3
31.12.2015;03254017;Giesen;44,1;43,0;45,1
31.12.2015;03254020;Harsum;44,6;43,4;45,8
31.12.2015;03254021;Hildesheim;44,1;42,7;45,4
31.12.2015;03254022;Holle;45,6;44,3;46,9
31.12.2015;03254026;Nordstemmen;45,5;44,2;46,6
31.12.2015;03254028;Sarstedt;44,2;42,7;45,7
31.12.2015;03254029;Schellerten;45,8;44,4;47,2
31.12.2015;03254032;Söhlde;45,7;44,5;46,8
31.12.2015;03254042;Freden (Leine);-;-;-
31.12.2015;03254044;Lamspringe;-;-;-
31.12.2015;03254045;Sibbesse;-;-;-
31.12.2015;03254401;Freden (Leine), Samtgemeinde;47,5;46,2;48,9
31.12.2015;03254401015;Everode;46,2;45,3;47,2
31.12.2015;03254401016;Freden (Leine);46,5;45,2;47,8
31.12.2015;03254401024;Landwehr;47,7;46,2;49,4
31.12.2015;03254401034;Winzenburg;52,9;51,2;54,5
31.12.2015;03254402;Gronau (Leine), Samtgemeinde;46,7;44,7;48,7
31.12.2015;03254402006;Banteln;46,0;44,2;47,7
31.12.2015;03254402007;Betheln;46,4;44,8;48,0
31.12.2015;03254402009;Brüggen, Leine;47,8;46,1;49,6
31.12.2015;03254402010;Despetal;47,3;46,3;48,2
31.12.2015;03254402013;Eime;46,3;44,5;48,3
31.12.2015;03254402018;Gronau (Leine);46,4;43,9;48,7
31.12.2015;03254402027;Rheden;49,6;47,3;51,8
31.12.2015;03254403;Lamspringe, Samtgemeinde;47,2;46,1;48,2
31.12.2015;03254403019;Harbarnsen;47,9;48,7;47,1
31.12.2015;03254403023;Lamspringe;46,7;45,6;47,9
31.12.2015;03254403025;Neuhof b Hildesheim;46,5;45,5;47,5
31.12.2015;03254403030;Sehlem, Niedersachs;48,4;45,7;51,1
31.12.2015;03254403035;Woltershausen;47,2;46,8;47,7
31.12.2015;03254404;Sibbesse, Samtgemeinde;46,7;45,7;47,7
31.12.2015;03254404001;Adenstedt;47,4;45,9;49,1
31.12.2015;03254404004;Almstedt;47,0;45,4;48,7
31.12.2015;03254404012;Eberholzen;46,7;46,8;46,5
31.12.2015;03254404031;Sibbesse;46,6;45,7;47,5
31.12.2015;03254404033;Westfeld;45,9;44,9;46,9
31.12.2015;03254405;Duingen, Samtgemeinde;47,5;45,7;49,3
31.12.2015;03254405036;Coppengrave;48,4;48,9;47,9
31.12.2015;03254405037;Duingen;47,2;44,8;49,6
31.12.2015;03254405038;Hoyershausen;47,6;46,4;48,9
31.12.2015;03254405039;Marienhagen;47,7;45,7;49,6
31.12.2015;03254405040;Weenzen;47,7;46,2;49,3
31.12.2015;03254406;Leinebergland, Samtgemeinde;-;-;-
31.12.2015;03254406013;Eime, Flecken;-;-;-
31.12.2015;03254406041;Duingen, Flecken;-;-;-
31.12.2015;03254406043;Gronau (Leine), Stadt;-;-;-
31.12.2015;03255008;Delligsen;47,6;45,6;49,6
31.12.2015;03255023;Holzminden;45,8;44,0;47,5
31.12.2015;03255401;Bevern, Samtgemeinde;47,2;45,9;48,6
31.12.2015;03255401002;Bevern, Kr Holzminden;47,6;45,9;49,1
31.12.2015;03255401015;Golmbach;47,9;46,3;49,4
31.12.2015;03255401021;Holenberg;47,7;48,2;47,2
31.12.2015;03255401030;Negenborn;44,4;43,9;44,8
31.12.2015;03255402;Bodenwerder, Samtgemeinde;-;-;-
31.12.2015;03255402003;Bodenwerder;-;-;-
31.12.2015;03255402016;Halle, Kr Holzminden;-;-;-
31.12.2015;03255402017;Hehlen;-;-;-
31.12.2015;03255402020;Heyen;-;-;-
31.12.2015;03255402025;Kirchbrak;-;-;-
31.12.2015;03255402032;Pegestorf;-;-;-
31.12.2015;03255403;Boffzen, Samtgemeinde;47,1;45,9;48,4
31.12.2015;03255403004;Boffzen;46,7;45,4;48,0
31.12.2015;03255403009;Derental;49,1;50,0;48,2
31.12.2015;03255403014;Fürstenberg;48,5;47,4;49,5
31.12.2015;03255403026;Lauenförde;46,6;44,8;48,3
31.12.2015;03255405;Eschershausen, Samtgemeinde;-;-;-
31.12.2015;03255405010;Dielmissen;-;-;-
31.12.2015;03255405012;Eimen;-;-;-
31.12.2015;03255405013;Eschershausen, Stadt;-;-;-
