GENESIS-Tabelle: 31111-03-02-5-B
Baugenehmigungen: Wohnungen in Wohn- und Nichtwohngebäuden;;;;;;
(einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
06532013;Hohenahr;8;-1;0;1;8
06532014;Hüttenberg;53;2;9;10;32
06532015;Lahnau;47;9;13;12;13
06532016;Leun;6;1;0;1;4
06532017;Mittenaar;6;1;1;0;4
06532018;Schöffengrund;19;2;2;0;15
06532019;Siegbach;0;-2;1;0;1
06532020;Sinn;9;0;5;-1;5
06532021;Solms;29;2;2;3;22
06532022;Waldsolms;21;8;0;7;6
06532023;Wetzlar;335;51;75;42;167
06533001;Beselich;12;0;4;2;6
06533002;Brechen;10;0;1;-1;10
06533003;Bad Camberg;57;3;17;13;24
06533004;Dornburg, Westerw;9;1;0;0;8
06533005;Elbtal;8;4;4;-1;1
06533006;Elz;16;2;4;2;8
06533007;Hadamar;19;0;3;3;13
06533008;Hünfelden;22;0;4;0;18
06533009;Limburg a.d.Lahn;100;20;16;6;58
06533010;Löhnberg;17;1;2;4;10
06533011;Mengerskirchen;5;1;-2;0;6
06533012;Merenberg;4;0;0;1;3
06533013;Runkel;8;5;-3;-6;12
06533014;Selters (Taunus);22;12;2;2;6
06533015;Villmar;16;0;3;9;4
06533016;Waldbrunn (Westerwald);19;1;1;2;15
06533017;Weilburg;81;66;8;1;6
06533018;Weilmünster;25;18;1;-2;8
06533019;Weinbach;6;0;3;2;1
06534001;Amöneburg;15;0;0;2;13
06534002;Angelburg;10;7;-1;0;4
06534003;Bad Endbach;9;1;-2;3;7
06534004;Biedenkopf;26;-1;3;7;17
06534005;Breidenbach;15;0;1;2;12
06534006;Cölbe;6;0;1;2;3
06534007;Dautphetal;10;-7;0;-2;19
06534008;Ebsdorfergrund;37;1;4;6;26
06534009;Fronhausen;7;1;0;1;5
06534010;Gladenbach;44;3;5;1;35
06534011;Kirchhain;50;6;-1;12;33
06534012;Lahntal;46;1;1;10;34
06534013;Lohra;13;-1;1;2;11
06534014;Marburg;142;27;52;20;43
06534015;Münchhausen am Christenberg;2;0;-1;1;2
06534016;Neustadt (Hessen);7;0;0;-1;8
06534017;Rauschenberg;16;6;0;1;9
06534018;Stadtallendorf;66;36;7;2;21
06534019;Steffenberg;2;0;-1;0;3
06534020;Weimar (Lahn);6;0;0;0;6
06534021;Wetter (Hessen);13;2;0;-1;12
06534022;Wohratal;2;0;-3;4;1
06535001;Alsfeld;23;13;1;2;7
06535002;Antrifttal;1;0;0;0;1
06535003;Feldatal;1;0;0;1;0
06535004;Freiensteinau;6;0;0;2;4
06535005;Gemünden (Felda);3;0;0;1;2
06535006;Grebenau;1;0;0;0;1
06535007;Grebenhain;3;0;0;-1;4
06535008;Herbstein;7;1;0;0;6
06535009;Homberg (Ohm);16;3;4;1;8
06535010;Kirtorf;2;0;0;0;2
06535011;Lauterbach (Hess.);10;1;1;0;8
06535012;Lautertal (Vogelsberg);1;0;0;0;1
06535013;Mücke;21;0;4;8;9
06535014;Romrod;4;0;0;1;3
06535015;Schlitz;4;0;0;-1;5
06535016;Schotten;8;0;1;2;5
06535017;Schwalmtal, Hess;0;0;0;0;0
06535018;Ulrichstein;2;0;0;0;2
06535019;Wartenberg, Hess;6;0;4;0;2
06611000;Kassel, krsfr. Stadt;586;294;83;122;87
06631001;Bad Salzschlirf;9;0;3;2;4
06631002;Burghaun;7;0;0;0;7
06631003;Dipperz;25;1;1;4;19
06631004;Ebersburg;2;0;0;-1;3
06631005;Ehrenberg (Rhön);5;0;0;-2;7
06631006;Eichenzell;34;13;0;1;20
06631007;Eiterfeld;17;3;6;0;8
06631008;Flieden;18;0;1;-2;19
06631009;Fulda;383;197;85;37;64
06631010;Gersfeld (Rhön);8;2;2;0;4
06631011;Großenlüder;34;4;4;3;23
06631012;Hilders;7;4;0;0;3
06631013;Hofbieber;26;8;1;0;17
06631014;Hosenfeld;11;0;1;0;10
06631015;Hünfeld;104;28;42;5;29
06631016;Kalbach;10;2;1;1;6
06631017;Künzell;46;1;6;9;30
06631018;Neuhof, Kr Fulda;27;0;2;5;20
06631019;Nüsttal;4;0;0;-1;5
06631020;Petersberg, Kr Fulda;92;16;24;10;42
06631021;Poppenhausen (Wasserkuppe);10;0;4;-1;7
06631022;Rasdorf;2;0;1;0;1
06631023;Tann (Rhön);9;2;0;1;6
06632001;Alheim;4;0;0;0;4
06632002;Bad Hersfeld;133;59;35;12;27
06632003;Bebra;31;4;10;10;7
06632004;Breitenbach a. Herzberg;1;0;0;0;1
06632005;Cornberg;0;0;0;0;0
06632006;Friedewald, Hess;1;0;-1;0;2
06632007;Hauneck;6;0;0;0;6
06632008;Haunetal;3;0;-1;1;3
06632009;Heringen (Werra);3;0;0;0;3
06632010;Hohenroda;4;0;1;-1;4
06632011;Kirchheim, Hess;2;1;0;1;0
06632012;Ludwigsau;10;0;0;2;8
06632013;Nentershausen, Hess;1;0;0;0;1
06632014;Neuenstein, Hess;3;0;0;-1;4
06632015;Niederaula;6;1;0;0;5
06632016;Philippsthal (Werra);2;0;0;-1;3
06632017;Ronshausen;2;0;0;0;2
06632018;Rotenburg a.d.Fulda;43;11;17;6;9
06632019;Schenklengsfeld;5;0;1;1;3
06632020;Wildeck;2;0;0;0;2
06633001;Ahnatal;8;0;0;1;7
06633002;Bad Karlshafen;1;0;0;0;1
06633003;Baunatal;58;9;11;10;28
06633004;Breuna;3;0;1;0;2
06633005;Calden;8;1;1;-1;7
06633006;Bad Emstal;11;0;-1;3;9
06633007;Espenau;40;2;4;11;23
06633008;Fuldabrück;34;3;9;6;16
06633009;Fuldatal;27;0;0;2;25
06633010;Grebenstein;5;0;0;0;5
06633011;Habichtswald;14;0;1;1;12
06633012;Helsa;13;5;2;3;3
06633013;Hofgeismar;30;1;11;1;17
06633014;Immenhausen;10;0;0;0;10
06633015;Kaufungen;15;0;2;4;9
06633016;Liebenau, Hess;4;0;0;0;4
06633017;Lohfelden;39;1;6;9;23
06633018;Naumburg;11;0;0;0;11
06633019;Nieste;21;0;0;1;20
06633020;Niestetal;128;77;14;5;32
06633021;Oberweser;3;0;0;-1;4
06633022;Reinhardshagen;1;0;-1;0;2
06633023;Schauenburg;29;3;5;7;14
06633024;Söhrewald;11;-1;-1;0;13
06633025;Trendelburg;5;0;4;-2;3
06633026;Vellmar;43;0;10;8;25
06633027;Wahlsburg;6;0;6;0;0
06633028;Wolfhagen;45;27;2;4;12
06633029;Zierenberg;12;0;1;2;9
06633200;Gutsbezirk Reinhardswald;0;0;0;0;0
06634001;Borken (Hessen);9;-1;2;2;6
06634002;Edermünde;35;1;2;2;30
06634003;Felsberg;19;0;1;-2;20
06634004;Frielendorf;10;1;1;2;6
06634005;Fritzlar;38;1;1;3;33
06634006;Gilserberg;1;0;0;0;1
06634007;Gudensberg;48;7;-1;5;37
06634008;Guxhagen;10;1;1;1;7
06634009;Homberg (Efze);21;2;2;3;14
06634010;Jesberg;1;0;0;0;1
06634011;Knüllwald;3;1;2;0;0
06634012;Körle;8;1;0;1;6
06634013;Malsfeld;8;2;2;0;4
06634014;Melsungen;49;7;8;18;16
06634015;Morschen;1;0;0;0;1
06634016;Neuental;5;1;-2;1;5
06634017;Neukirchen, Knüll;4;0;0;-2;6
06634018;Niedenstein;22;4;8;1;9
06634019;Oberaula;1;1;0;0;0
06634020;Ottrau;0;0;0;0;0
06634021;Schrecksbach;5;0;2;4;-1
06634022;Schwalmstadt;24;4;4;0;16
06634023;Schwarzenborn, Knüll;-1;0;0;0;-1
06634024;Spangenberg;5;0;-1;0;6
06634025;Wabern;17;1;0;1;15
06634026;Willingshausen;7;0;0;0;7
06634027;Bad Zwesten;24;16;2;1;5
06635001;Allendorf (Eder);33;8;6;5;14
06635002;Bad Arolsen;11;4;0;1;6
06635003;Bad Wildungen;8;0;1;0;7
06635004;Battenberg (Eder);20;2;3;5;10
06635005;Bromskirchen;0;0;0;0;0
06635006;Burgwald;18;0;0;3;15
06635007;Diemelsee;4;0;-1;1;4
06635008;Diemelstadt;6;0;2;0;4
06635009;Edertal;10;0;1;1;8
06635010;Frankenau;2;0;0;0;2
06635011;Frankenberg (Eder);37;2;9;6;20
06635012;Gemünden (Wohra);2;0;0;0;2
06635013;Haina (Kloster);0;0;0;-1;1
06635014;Hatzfeld (Eder);1;0;0;0;1
06635015;Korbach;4;1;-1;1;3
06635016;Lichtenfels, Hess;6;0;0;0;6
06635017;Rosenthal, Hess;4;0;1;0;3
06635018;Twistetal;2;0;0;0;2
06635019;Vöhl;5;0;0;0;5
06635020;Volkmarsen;24;15;1;0;8
06635021;Waldeck, Hess;7;0;3;-1;5
06635022;Willingen (Upland);23;2;3;6;12
06636001;Bad Sooden-Allendorf;9;0;0;0;9
06636002;Berkatal;0;0;0;0;0
06636003;Eschwege;30;19;1;1;9
06636004;Großalmerode;3;0;0;1;2
06636005;Herleshausen;2;-1;0;1;2
06636006;Hessisch Lichtenau;17;1;3;11;2
06636007;Meinhard;0;0;0;0;0
06636008;Meißner;0;0;0;-1;1
06636009;Neu-Eichenberg;1;-1;-1;1;2
06636010;Ringgau;5;-1;0;-1;7
06636011;Sontra;2;0;0;0;2
06636012;Waldkappel;2;-1;1;0;2
06636013;Wanfried;3;0;1;0;2
06636014;Wehretal;8;2;2;2;2
06636015;Weißenborn b Eschwege;0;0;0;0;0
06636016;Witzenhausen;13;0;0;4;9
06636200;Gutsbezirk Kaufunger Wald;0;0;0;0;0
07111000;Koblenz, krsfr. Stadt;370;209;25;45;91
0713100007;Bad Neuenahr-Ahrweiler, verbandsfr. Gemeinde;135;38;38;26;33
0713100070;Remagen, verbandsfr. Gemeinde;77;18;12;10;37
0713100077;Sinzig, verbandsfr. Gemeinde;50;3;8;3;36
0713100090;Grafschaft, verbandsfr. Gemeinde;48;8;7;4;29
0713101;Adenau, Verbandsgem.;82;20;7;33;22
0713101001;Adenau;52;20;4;26;2
0713101004;Antweiler;1;0;0;0;1
0713101005;Aremberg;2;0;1;0;1
0713101008;Barweiler;0;0;0;0;0
0713101009;Bauler b Barweiler;0;0;0;0;0
0713101015;Dankerath;0;0;0;0;0
0713101018;Dorsel;0;0;0;0;0
0713101021;Eichenbach;0;0;0;0;0
0713101022;Fuchshofen;0;0;0;0;0
0713101026;Harscheid;1;0;0;0;1
0713101028;Herschbroich;2;0;0;1;1
0713101030;Hoffeld, Eifel;2;0;0;0;2
0713101032;Honerath;0;0;0;0;0
0713101033;Hümmel;3;0;0;0;3
0713101034;Insul;1;0;0;0;1
0713101037;Kaltenborn;0;0;0;0;0
0713101042;Kottenborn;0;0;0;0;0
0713101044;Leimbach b Adenau;1;0;0;1;0
0713101050;Meuspath;0;0;0;0;0
0713101051;Müllenbach b Adenau;1;0;0;-1;2
0713101052;Müsch;1;0;0;0;1
0713101058;Nürburg;1;0;0;0;1
0713101062;Ohlenhard;0;0;0;0;0
0713101065;Pomster;1;0;0;1;0
0713101066;Quiddelbach;1;0;0;0;1
0713101069;Reifferscheid;0;0;0;0;0
0713101072;Rodder;0;0;0;0;0
0713101074;Schuld;0;0;0;0;0
0713101075;Senscheid;0;0;0;0;0
0713101076;Sierscheid;0;0;0;0;0
0713101079;Trierscheid;0;0;0;0;0
0713101082;Wershofen;1;0;0;0;1
0713101083;Wiesemscheid;4;0;1;1;2
0713101084;Wimbach;5;0;1;3;1
0713101085;Winnerath;2;0;0;2;0
0713101086;Wirft;0;0;0;-1;1
0713101501;Dümpelfeld;0;0;0;0;0
0713102;Altenahr, Verbandsgem.;22;2;1;-2;21
0713102002;Ahrbrück;3;0;0;0;3
0713102003;Altenahr;9;1;1;0;7
0713102011;Berg, Kr Ahrweiler;3;0;0;-1;4
0713102017;Dernau;3;1;0;-1;3
0713102027;Heckenbach;0;0;0;0;0
0713102029;Hönningen;0;0;0;0;0
0713102036;Kalenborn, Kr Ahrweiler;0;0;0;0;0
0713102039;Kesseling;0;0;0;0;0
0713102040;Kirchsahr;0;0;0;0;0
0713102047;Lind, Kr Ahrweiler;2;0;0;0;2
0713102049;Mayschoß;2;0;0;0;2
0713102068;Rech;0;0;0;0;0
0713103;Bad Breisig, Verbandsgem.;24;2;7;2;13
0713103006;Bad Breisig;12;1;1;3;7
0713103014;Brohl-Lützing;9;0;5;0;4
0713103025;Gönnersdorf, Kr Ahrweiler;0;0;0;-1;1
0713103081;Waldorf;3;1;1;0;1
0713104;Brohltal, Verbandsgem.;76;6;15;14;41
0713104016;Dedenbach;2;0;0;0;2
0713104041;Königsfeld, Eifel;0;0;0;0;0
0713104054;Niederdürenbach;4;0;0;0;4
0713104055;Niederzissen;22;7;4;4;7
0713104059;Oberdürenbach;3;0;1;1;1
0713104060;Oberzissen;2;0;0;0;2
0713104073;Schalkenbach;5;-1;3;1;2
0713104201;Brenk;0;0;0;0;0
0713104202;Burgbrohl;2;-1;0;2;1
0713104204;Galenberg;1;0;0;0;1
0713104205;Glees;2;0;0;0;2
0713104206;Hohenleimbach;4;1;3;1;-1
0713104208;Spessart;5;0;0;1;4
0713104209;Wassenach;13;0;4;5;4
0713104210;Wehr, Eifel;1;0;0;0;1
0713104211;Weibern;7;0;0;-1;8
0713104502;Kempenich;3;0;0;0;3
0713200050;Herdorf, verbandsfr. Gemeinde;-;-;-;-;-
0713201;Altenkirchen (Westerwald), Verbandsgem.;63;4;14;13;32
0713201001;Almersbach;0;0;0;0;0
0713201004;Bachenberg;0;0;0;0;0
0713201009;Birnbach;3;0;0;0;3
0713201017;Busenhausen;1;0;0;0;1
0713201022;Eichelhardt;1;0;-1;1;1
0713201027;Ersfeld;0;0;0;0;0
0713201031;Fiersbach;0;0;0;0;0
0713201033;Fluterschen;0;0;0;0;0
0713201035;Forstmehren;0;0;0;0;0
0713201040;Gieleroth;2;0;0;0;2
0713201046;Hasselbach, Westerwald;0;0;0;0;0
0713201047;Helmenzen;2;0;0;0;2
0713201048;Helmeroth;0;0;0;0;0
0713201049;Hemmelzen;1;0;0;0;1
0713201051;Heupelzen;0;0;0;0;0
0713201052;Hilgenroth;1;0;0;0;1
0713201053;Hirz-Maulsbach;1;0;0;1;0
0713201056;Idelberg;0;0;0;0;0
0713201057;Ingelbach;1;1;0;0;0
0713201058;Isert;0;0;0;0;0
0713201061;Kettenhausen;1;0;0;-1;2
0713201062;Kircheib;0;0;0;0;0
0713201064;Kraam;0;0;0;0;0
0713201067;Mammelzen;4;0;1;0;3
0713201069;Mehren, Westerwald;0;0;0;0;0
0713201070;Michelbach (Westerwald);0;0;0;0;0
0713201074;Neitersen;3;0;0;0;3
0713201081;Obererbach (Westerwald);0;0;0;-1;1
0713201082;Oberirsen;1;0;0;1;0
0713201086;Oberwambach;0;0;0;0;0
0713201087;Ölsen;0;0;0;0;0
0713201092;Racksen;0;0;0;0;0
0713201094;Rettersen;1;0;0;0;1
0713201099;Schöneberg, Westerwald;0;0;0;0;0
0713201106;Sörth;1;0;0;0;1
0713201109;Stürzelbach;0;0;0;0;0
0713201110;Volkerzen;0;0;0;0;0
0713201114;Werkhausen;0;0;0;0;0
0713201115;Weyerbusch;11;1;0;6;4
0713201118;Wölmersen;2;0;0;0;2
0713201201;Berod bei Hachenburg;0;0;0;0;0
0713201501;Altenkirchen (Westerwald);26;2;14;6;4
0713202;Betzdorf, Verbandsgem.;25;5;3;3;14
0713202002;Alsdorf, Sieg;4;1;0;0;3
0713202006;Betzdorf;11;3;3;1;4
0713202042;Grünebach;1;0;0;1;0
0713202098;Scheuerfeld;4;1;0;1;2
0713202111;Wallmenroth;5;0;0;0;5
0713203;Daaden, Verbandsgem.;22;1;1;4;16
0713203018;Daaden;3;0;0;0;3
0713203019;Derschen;1;0;0;0;1
0713203026;Emmerzhausen;1;0;0;0;1
0713203036;Friedewald, Westerwald;0;0;0;0;0
0713203050;Herdorf, Stadt;11;1;1;4;5
0713203068;Mauden;0;0;0;0;0
0713203075;Niederdreisbach;0;0;0;0;0
0713203079;Nisterberg;1;0;0;0;1
0713203101;Schutzbach;0;0;0;0;0
0713203113;Weitefeld;5;0;0;0;5
0713204;Flammersfeld, Verbandsgem.;32;0;4;5;23
0713204005;Berzhausen;0;0;0;0;0
0713204015;Bürdenbach;0;0;0;0;0
0713204016;Burglahr;1;0;0;0;1
0713204023;Eichen;1;0;0;1;0
0713204029;Eulenberg;0;0;0;0;0
0713204032;Flammersfeld;0;0;0;0;0
0713204041;Giershausen;1;0;0;1;0
0713204043;Güllesheim;4;0;0;0;4
0713204055;Horhausen (Westerwald);8;0;1;0;7
0713204060;Kescheid;1;0;0;0;1
0713204065;Krunkel;0;0;0;0;0
0713204078;Niedersteinebach;2;0;1;1;0
0713204083;Oberlahr;0;0;0;0;0
0713204084;Obernau;0;0;0;0;0
0713204085;Obersteinebach;0;0;0;0;0
0713204088;Orfgen;2;0;1;1;0
0713204089;Peterslahr;1;0;0;1;0
0713204090;Pleckhausen;8;0;1;0;7
0713204093;Reiferscheid;0;0;0;0;0
0713204097;Rott, Westerwald;1;0;0;0;1
0713204100;Schürdt;0;0;0;0;0
0713204103;Seelbach (Westerwald);1;0;0;0;1
0713204104;Seifen;0;0;0;0;0
0713204112;Walterschen;0;0;0;0;0
0713204116;Willroth;1;0;0;0;1
0713204119;Ziegenhain;0;0;0;0;0
0713205;Gebhardshain, Verbandsgem.;21;0;2;2;17
0713205020;Dickendorf;0;0;0;0;0
0713205024;Elben;1;0;0;1;0
0713205025;Elkenroth;4;0;1;1;2
0713205030;Fensdorf;1;0;0;0;1
0713205039;Gebhardshain;3;0;0;0;3
0713205059;Kausen;2;0;0;0;2
0713205066;Malberg, Westerwald;3;0;0;0;3
0713205071;Molzhain;1;0;1;0;0
0713205073;Nauroth;3;0;0;0;3
0713205095;Rosenheim (Landkreis Altenkirchen);2;0;0;0;2
0713205107;Steinebach/Sieg;1;0;0;0;1
0713205108;Steineroth;0;0;0;0;0
0713206;Hamm (Sieg), Verbandsgem.;25;0;3;4;18
0713206007;Birkenbeul;0;0;0;0;0
0713206010;Bitzen;0;0;0;0;0
0713206013;Breitscheidt;0;0;0;0;0
0713206014;Bruchertseifen;4;0;0;0;4
0713206028;Etzbach;3;0;0;0;3
0713206034;Forst b Wissen, Sieg;1;0;0;0;1
0713206038;Fürthen;1;0;0;1;0
0713206044;Hamm (Sieg);10;0;2;1;7
0713206077;Niederirsen;2;0;1;1;0
0713206091;Pracht;2;0;0;0;2
0713206096;Roth b Hamm, Sieg;1;0;0;0;1
0713206102;Seelbach b Hamm (Sieg);1;0;0;1;0
0713207;Kirchen (Sieg), Verbandsgem.;28;3;6;5;14
0713207012;Brachbach;6;2;0;1;3
0713207037;Friesenhagen;1;0;1;0;0
0713207045;Harbach;0;0;0;0;0
0713207063;Kirchen (Sieg);6;1;-1;3;3
0713207072;Mudersbach;5;0;0;1;4
0713207076;Niederfischbach;10;0;6;0;4
0713208;Wissen, Verbandsgem.;17;1;2;1;13
0713208008;Birken-Honigsessen;2;0;0;0;2
0713208011;Mittelhof;0;0;0;0;0
0713208054;Hövels;0;0;0;0;0
0713208080;Katzwinkel (Sieg);1;0;0;0;1
0713208105;Selbach (Sieg);1;0;0;0;1
0713208117;Wissen;13;1;2;1;9
0713209;Betzdorf-Gebhardshain;-;-;-;-;-
0713209002;Alsdorf;-;-;-;-;-
0713209006;Betzdorf, Stadt;-;-;-;-;-
0713209020;Dickendorf;-;-;-;-;-
0713209024;Elben;-;-;-;-;-
0713209025;Elkenroth;-;-;-;-;-
0713209030;Fensdorf;-;-;-;-;-
0713209039;Gebhardshain;-;-;-;-;-
0713209042;Grünebach;-;-;-;-;-
0713209059;Kausen;-;-;-;-;-
0713209066;Malberg;-;-;-;-;-
0713209071;Molzhain;-;-;-;-;-
0713209073;Nauroth;-;-;-;-;-
0713209095;Rosenheim (Altenk.);-;-;-;-;-
0713209098;Scheuerfeld;-;-;-;-;-
0713209107;Steinebach/Sieg;-;-;-;-;-
0713209108;Steineroth;-;-;-;-;-
0713209111;Wallmenroth;-;-;-;-;-
0713300006;Bad Kreuznach, verbandsfr. Gemeinde;213;37;39;60;77
0713300052;Kirn, verbandsfr. Gemeinde;3;0;-1;1;3
0713301;Bad Kreuznach, Verbandsgem.;30;0;6;9;15
0713301003;Altenbamberg;-;-;-;-;-
0713301012;Biebelsheim;1;0;1;0;0
0713301030;Feilbingert;-;-;-;-;-
0713301031;Frei-Laubersheim;6;0;1;2;3
0713301032;Fürfeld;1;0;0;1;0
0713301037;Hackenheim;1;0;1;1;-1
0713301039;Hallgarten;-;-;-;-;-
0713301045;Hochstätten;-;-;-;-;-
0713301069;Neu-Bamberg;6;0;0;-1;7
0713301078;Pfaffen-Schwabenheim;10;0;2;6;2
0713301080;Pleitersheim;1;0;1;0;0
0713301104;Tiefenthal, Rheinhessen;0;0;0;0;0
0713301106;Volxheim;4;0;0;0;4
0713302;Bad Münster am Stein-Ebernburg, Verbandsgem.;15;0;3;5;7
0713302003;Altenbamberg;3;0;1;1;1
0713302007;Bad Münster am Stein-Ebernburg;-;-;-;-;-
0713302027;Duchroth;1;0;0;1;0
0713302030;Feilbingert;1;0;0;1;0
0713302039;Hallgarten;3;0;0;2;1
0713302045;Hochstätten;0;0;0;0;0
0713302070;Niederhausen;2;0;2;0;0
0713302071;Norheim;3;0;0;0;3
0713302074;Oberhausen an der Nahe;0;0;0;0;0
0713302105;Traisen;2;0;0;0;2
0713303;Kirn-Land, Verbandsgem.;22;0;1;0;21
0713303008;Bärenbach b Idar-Oberstein;1;0;0;0;1
0713303010;Becherbach bei Kirn;0;0;0;0;0
0713303016;Brauweiler;0;0;0;0;0
0713303038;Hahnenbach;2;0;0;0;2
0713303041;Heimweiler;1;0;0;0;1
0713303042;Heinzenberg;0;0;0;0;0
0713303043;Hennweiler;3;0;0;0;3
0713303046;Hochstetten-Dhaun;1;0;0;0;1
0713303047;Horbach b Simmertal;0;0;0;0;0
0713303059;Limbach b Kirn, Nahe;2;0;0;0;2
0713303063;Meckenbach b Kirn, Nahe;1;0;0;0;1
0713303073;Oberhausen bei Kirn;1;0;0;0;1
0713303077;Otzweiler;0;0;0;0;0
0713303096;Simmertal;8;0;0;0;8
0713303113;Weitersborn;1;0;0;0;1
0713303201;Bruschied;0;0;0;0;0
0713303202;Kellenbach;1;0;1;0;0
0713303203;Königsau;0;0;0;0;0
0713303204;Schneppenbach;0;0;0;0;0
0713303205;Schwarzerden;0;0;0;0;0
0713304;Langenlonsheim, Verbandsgem.;47;6;3;6;32
0713304018;Bretzenheim;2;0;0;-1;3
0713304026;Dorsheim;3;1;0;1;1
0713304035;Guldental;3;0;0;0;3
0713304054;Langenlonsheim;18;0;-1;1;18
0713304056;Laubenheim;2;0;0;0;2
0713304087;Rümmelsheim;3;0;0;0;3
0713304114;Windesheim;16;5;4;5;2
0713305;Meisenheim, Verbandsgem.;26;8;5;5;8
0713305001;Abtweiler;0;0;0;0;0
0713305011;Becherbach;3;0;0;1;2
0713305017;Breitenheim;1;0;0;0;1
0713305020;Callbach;0;0;0;0;0
0713305024;Desloch;0;0;0;0;0
0713305049;Hundsbach;0;0;0;0;0
0713305051;Jeckenbach;0;0;0;0;0
0713305058;Lettweiler;1;0;0;0;1
0713305060;Löllbach;0;0;0;0;0
0713305065;Meisenheim;19;8;5;4;2
0713305081;Raumbach;2;0;0;0;2
0713305083;Rehborn;0;0;0;0;0
0713305084;Reiffelbach;0;0;0;0;0
0713305090;Schmittweiler;0;0;0;0;0
0713305092;Schweinschied;0;0;0;0;0
0713306;Rüdesheim, Verbandsgem.;81;3;0;12;66
0713306002;Allenfeld;0;0;0;0;0
0713306004;Argenschwang;0;0;0;0;0
0713306013;Bockenau;3;0;0;0;3
0713306014;Boos, Nahe;0;0;0;0;0
0713306015;Braunweiler;3;0;0;0;3
0713306019;Burgsponheim;1;0;0;1;0
0713306021;Dalberg;1;0;0;0;1
0713306027;Duchroth;-;-;-;-;-
0713306033;Gebroth;1;0;0;0;1
0713306036;Gutenberg;1;0;0;0;1
0713306040;Hargesheim;10;1;1;1;7
0713306044;Hergenfeld;1;0;0;0;1
0713306048;Hüffelsheim;0;0;0;0;0
0713306061;Mandel;2;0;0;0;2
0713306068;Münchwald;0;0;-1;0;1
0713306070;Niederhausen;-;-;-;-;-
0713306071;Norheim;-;-;-;-;-
0713306074;Oberhausen an d.Nahe;-;-;-;-;-
0713306075;Oberstreit;0;0;0;0;0
0713306086;Roxheim;37;0;0;6;31
0713306088;Sankt Katharinen;0;0;0;0;0
0713306089;Schloßböckelheim;0;0;0;-1;1
0713306098;Sommerloch;2;0;0;2;0
0713306099;Spabrücken;6;2;1;1;2
0713306100;Spall;1;0;0;0;1
0713306101;Sponheim;0;0;-1;0;1
0713306105;Traisen;-;-;-;-;-
0713306107;Waldböckelheim;1;0;0;0;1
0713306109;Wallhausen, Kr Bad Kreuznach;4;0;0;1;3
0713306112;Weinsheim, Kr Bad Kreuznach;4;0;0;1;3
0713306115;Winterbach, Kr Bad Kreuznach;0;0;0;0;0
0713306117;Rüdesheim;3;0;0;0;3
0713307;Bad Sobernheim, Verbandsgem.;47;30;0;3;14
0713307005;Auen;0;0;0;0;0
0713307009;Bärweiler;0;0;-1;0;1
0713307022;Daubach, Hunsrück;0;0;0;0;0
0713307050;Ippenschied;1;0;0;0;1
0713307053;Kirschroth;0;0;0;0;0
0713307055;Langenthal;0;0;0;0;0
0713307057;Lauschied;2;0;0;0;2
0713307062;Martinstein;0;0;0;0;0
0713307064;Meddersheim;1;0;0;0;1
0713307066;Merxheim;-1;0;0;0;-1
0713307067;Monzingen;6;5;1;0;0
0713307072;Nußbaum;0;0;0;0;0
0713307076;Odernheim am Glan;1;0;0;0;1
0713307082;Rehbach;0;0;0;0;0
0713307094;Seesbach;0;0;0;0;0
0713307102;Staudernheim;0;0;0;0;0
0713307111;Weiler bei Monzingen;0;0;0;0;0
0713307116;Winterburg;0;0;0;0;0
0713307501;Bad Sobernheim;37;25;0;3;9
0713308;Stromberg, Verbandsgem.;12;0;1;-1;12
0713308023;Daxweiler;2;0;0;0;2
0713308025;Dörrebach;1;0;0;0;1
0713308028;Eckenroth;0;0;0;0;0
0713308085;Roth b Stromberg, Hunsrück;1;0;0;0;1
0713308091;Schöneberg, Hunsrück;0;0;0;0;0
0713308093;Schweppenhausen;1;0;1;-1;1
0713308095;Seibersbach;0;0;0;0;0
0713308103;Stromberg;4;0;0;0;4
0713308108;Waldlaubersheim;0;0;0;0;0
0713308110;Warmsroth;3;0;0;0;3
0713400045;Idar-Oberstein, verbandsfr. Gemeinde;30;7;9;-1;15
0713401;Baumholder, Verbandsgem.;10;0;2;0;8
0713401005;Baumholder;4;0;2;0;2
0713401007;Berglangenbach;1;0;0;0;1
0713401008;Berschweiler bei Baumholder;1;0;0;0;1
0713401021;Eckersweiler;1;0;0;0;1
0713401026;Fohren-Linden;0;0;0;0;0
0713401027;Frauenberg;0;0;0;0;0
0713401033;Hahnweiler;0;0;0;0;0
0713401036;Heimbach, Nahe;0;0;0;0;0
0713401051;Leitzweiler;0;0;0;0;0
0713401054;Mettweiler;0;0;0;0;0
0713401068;Reichenbach, Kr Birkenfeld, Nahe;3;0;0;0;3
0713401073;Rohrbach, Nahe;0;0;0;0;0
0713401074;Rückweiler;0;0;0;0;0
0713401075;Ruschberg;0;0;0;0;0
0713402;Birkenfeld, Verbandsgem.;23;0;1;2;20
0713402001;Abentheuer;0;0;0;0;0
