GENESIS-Tabelle: 31111-03-02-5-B
Baugenehmigungen: Wohnungen in Wohn- und Nichtwohngebäuden;;;;;;
(einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01053012;Börnsen;120;72;6;3;39
01053013;Borstorf;12;3;5;2;2
01053014;Breitenfelde;13;0;6;0;7
01053015;Bröthen;2;0;0;1;1
01053016;Brunsmark;0;0;0;0;0
01053017;Brunstorf;15;0;1;5;9
01053018;Buchholz;3;0;0;0;3
01053019;Buchhorst;1;0;0;0;1
01053020;Büchen;34;13;7;6;8
01053021;Dahmker;0;0;0;0;0
01053022;Dalldorf;0;0;0;0;0
01053023;Dassendorf;12;0;0;3;9
01053024;Düchelsdorf;0;0;0;0;0
01053025;Duvensee;4;0;2;1;1
01053026;Einhaus;3;0;0;1;2
01053027;Elmenhorst;1;0;0;1;0
01053028;Escheburg;9;0;0;4;5
01053029;Fitzen;1;0;0;0;1
01053030;Fredeburg;0;0;0;0;0
01053031;Fuhlenhagen;4;0;0;-1;5
01053032;Geesthacht;124;42;30;17;35
01053033;Giesensdorf;1;0;0;0;1
01053034;Göldenitz;0;0;0;0;0
01053035;Göttin;0;0;0;0;0
01053036;Grabau;7;0;0;1;6
01053037;Grambek;3;0;0;1;2
01053038;Grinau;0;0;0;0;0
01053039;Groß Boden;0;0;0;0;0
01053040;Groß Disnack;0;0;0;0;0
01053041;Groß Grönau;9;8;-1;0;2
01053042;Groß Pampau;0;0;0;0;0
01053043;Groß Sarau;4;0;0;0;4
01053044;Groß Schenkenberg;0;0;0;0;0
01053045;Grove;1;0;0;0;1
01053046;Gudow;12;0;2;4;6
01053047;Gülzow;1;0;0;0;1
01053048;Güster;9;1;7;0;1
01053049;Hamfelde;2;0;0;0;2
01053050;Hamwarde;4;0;0;0;4
01053051;Harmsdorf;0;0;0;-1;1
01053052;Havekost;0;0;0;0;0
01053053;Hohenhorn;2;0;0;2;0
01053054;Hollenbek;2;0;0;1;1
01053056;Hornbek;3;0;0;2;1
01053057;Horst;0;0;0;0;0
01053058;Juliusburg;0;0;0;0;0
01053059;Kankelau;1;0;0;0;1
01053060;Kasseburg;0;0;0;0;0
01053061;Kastorf;4;0;-1;1;4
01053062;Kittlitz;0;0;0;0;0
01053064;Klein Pampau;3;0;1;0;2
01053066;Klein Zecher;0;0;0;0;0
01053067;Klempau;0;0;0;0;0
01053068;Klinkrade;1;0;0;0;1
01053069;Koberg;3;0;1;0;2
01053070;Köthel;1;0;0;0;1
01053071;Kollow;4;0;0;0;4
01053072;Kröppelshagen-Fahrendorf;0;0;0;0;0
01053073;Krüzen;1;-1;0;0;2
01053074;Krukow;0;0;0;0;0
01053075;Krummesse;24;0;6;14;4
01053076;Kuddewörde;4;0;0;1;3
01053077;Kühsen;2;0;0;2;0
01053078;Kulpin;0;0;0;0;0
01053079;Labenz;13;2;4;2;5
01053080;Langenlehsten;0;0;0;0;0
01053081;Lankau;1;0;0;-1;2
01053082;Lanze;0;0;0;0;0
01053083;Lauenburg/Elbe;14;0;0;1;13
01053084;Lehmrade;0;0;0;0;0
01053085;Linau;7;0;0;2;5
01053086;Lüchow;0;0;0;0;0
01053087;Lütau;2;0;0;0;2
01053088;Mechow;2;0;0;0;2
01053089;Möhnsen;2;0;1;0;1
01053090;Mölln;39;2;5;7;25
01053091;Mühlenrade;0;0;0;0;0
01053092;Müssen;3;0;-1;3;1
01053093;Mustin;6;1;3;1;1
01053094;Niendorf bei Berkenthin;1;0;0;0;1
01053095;Niendorf/Stecknitz;2;0;0;1;1
01053096;Nusse;10;2;1;3;4
01053097;Panten;3;0;2;1;0
01053098;Pogeez;14;0;0;2;12
01053099;Poggensee;1;0;0;0;1
01053100;Ratzeburg;48;6;9;10;23
01053101;Ritzerau;4;0;0;1;3
01053102;Römnitz;0;0;0;0;0
01053103;Rondeshagen;0;0;0;0;0
01053104;Roseburg;1;0;0;0;1
01053105;Sachsenwald;0;0;0;0;0
01053106;Sahms;0;0;0;0;0
01053107;Salem;1;0;0;0;1
01053108;Sandesneben;6;0;1;3;2
01053109;Schiphorst;11;0;0;6;5
01053110;Schmilau;0;0;0;-1;1
01053111;Schnakenbek;4;0;0;1;3
01053112;Schönberg;9;3;3;0;3
01053113;Schretstaken;2;0;1;1;0
01053114;Schürensöhlen;0;0;0;0;0
01053115;Schulendorf;0;0;0;0;0
01053116;Schwarzenbek;71;0;1;6;64
01053117;Seedorf;5;3;0;0;2
01053118;Siebenbäumen;1;0;0;0;1
01053119;Siebeneichen;0;0;0;0;0
01053120;Sierksrade;2;0;0;0;2
01053121;Sirksfelde;2;0;0;0;2
01053122;Steinhorst;3;0;0;0;3
01053123;Sterley;3;2;1;1;-1
01053124;Stubben;1;0;0;0;1
01053125;Talkau;1;0;-1;0;2
01053126;Tramm;1;0;0;0;1
01053127;Walksfelde;1;0;0;0;1
01053128;Wangelau;0;0;0;0;0
01053129;Wentorf bei Hamburg;195;35;61;27;72
01053130;Wentorf (Amt Sandesneben);3;0;0;1;2
01053131;Wiershop;1;0;0;0;1
01053132;Witzeeze;0;0;0;0;0
01053133;Wohltorf;10;0;3;-1;8
01053134;Woltersdorf;0;0;0;0;0
01053135;Worth;0;0;0;0;0
01053136;Ziethen;5;0;1;1;3
01054001;Achtrup;14;0;6;0;8
01054002;Ahrenshöft;3;0;-1;0;4
01054003;Ahrenviöl;2;0;0;0;2
01054004;Ahrenviölfeld;0;0;0;0;0
01054005;Alkersum;2;0;-1;2;1
01054006;Almdorf;1;0;0;0;1
01054007;Arlewatt;5;0;1;1;3
01054009;Aventoft;5;1;2;0;2
01054010;Bargum;4;0;0;2;2
01054011;Behrendorf;5;0;0;4;1
01054012;Bohmstedt;0;0;0;0;0
01054013;Bondelum;1;0;0;0;1
01054014;Bordelum;13;0;3;6;4
01054015;Borgsum;4;1;0;0;3
