GENESIS-Tabelle: 71517-02-03-5-B
Bruttoausgaben der Gemeinden - Jahressumme -;;;;;;;;;
regionale Ebenen;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;
2014;;;;;;;;;
;;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Nettoausgaben der Gemeinden
;;;Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);
;;;Ausgaben des Verwaltungshaushalts, insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben des Vermögenshaushalts, insgesamt;Tilgung v.Krediten,Rückzahlungen v.inneren Darleh.;Ausgaben für Sachinvestitionen;
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
0713701096;Saffig;2353296;2274394;187356;240534;78902;67747;10698;2171598
0713702;Maifeld, Verbandsgem.;56239205;38159266;11446015;5922551;18079939;9887165;6905722;37909298
0713702023;Einig;163130;141337;9752;15598;21793;1494;17974;156423
0713702027;Gappenach;381558;249836;14232;50913;131722;2460;128742;248411
0713702029;Gering;343303;320233;30199;42331;23070;0;18798;266552
0713702030;Gierschnach;343378;224996;8059;47392;118382;0;112404;277518
0713702041;Kalt;410260;400734;16240;95335;9526;0;8130;281855
0713702048;Kerben;348030;329508;16352;41400;18522;0;18522;287992
0713702053;Kollig;459102;421528;20818;69992;37574;3876;25243;384296
0713702065;Lonnig;1126992;934825;83597;108122;192167;184676;7491;976893
0713702070;Mertloch;1145973;1041382;41012;151355;104591;61210;43381;885764
0713702080;Naunheim;370475;357217;24808;52400;13258;3345;8132;291679
0713702086;Ochtendung;7902572;6545521;2020337;739568;1357051;520995;836056;6257155
0713702087;Pillig;628315;621525;225505;121581;6790;0;6790;287763
0713702089;Polch;17404119;10565531;2483606;1265197;6838588;2691930;3806409;14995701
0713702095;Rüber;1067526;997788;365243;109726;69738;67657;2081;652525
0713702102;Trimbs;731558;709133;263854;87463;22425;11307;11118;322846
0713702112;Welling;1118230;1001527;319468;143516;116703;26227;81236;758120
0713702114;Wierschem;292448;265266;24274;45446;27182;9015;17594;263465
0713702501;Münstermaifeld;5696269;3449225;338897;603182;2247044;1154704;216866;4291291
0713703;Vordereifel, Verbandsgem.;29508680;24192596;6790974;5163433;5316084;3785708;1260604;17819230
0713703001;Acht;104896;93126;7652;39064;11770;11280;490;91798
0713703004;Anschau;322057;232951;11364;45533;89106;82155;5197;307756
0713703006;Arft;247558;237816;17728;63233;9742;0;9742;148823
0713703007;Baar;1013612;699834;58619;172263;313778;288065;21491;797848
0713703011;Bermel;395580;336361;24635;76432;59219;0;58652;258470
0713703014;Boos, Eifel;1076352;755348;210997;151563;321004;320544;460;711209
0713703019;Ditscheid;247973;231068;23824;45087;16905;0;15277;158091
0713703025;Ettringen, Eifel;3065891;2213899;239514;433655;851992;540022;129866;2464005
0713703034;Hausten;329946;324647;19109;85766;5299;0;1729;216971
0713703035;Herresbach;701947;505907;16905;141662;196040;167750;25759;603485
0713703036;Hirten;308920;196527;8031;31228;112393;112251;0;258590
0713703043;Kehrig;2395463;1793606;472547;241768;601857;425549;176308;1986909
0713703049;Kirchwald;1123056;1006289;318483;159324;116767;104949;11818;606654
0713703055;Kottenheim;3080409;2626399;292073;668240;454010;274955;118112;2956410
0713703060;Langenfeld, Eifel;776080;620071;39664;157555;156009;135452;20557;742871
0713703061;Langscheid;147089;139739;6441;76007;7350;0;7350;141070
0713703063;Lind b Mayen;59622;59622;6060;15828;0;0;0;46919
0713703066;Luxem;288419;258581;11626;38681;29838;5015;24653;193566
0713703074;Monreal;1193445;768027;69061;137425;425418;272804;151333;812441
0713703077;Münk;236877;235318;9692;66152;1559;0;0;166614
0713703079;Nachtsheim;623886;442219;27761;93350;181667;0;178285;489248
0713703092;Reudelsterz;327894;316718;14934;37339;11176;0;10582;231957
0713703097;Sankt Johann b Mayen;1319292;1195889;475643;191966;123403;112583;9820;958568
0713703099;Siebenbach;285519;238094;13958;91432;47425;42307;4000;277468
0713703105;Virneburg;527665;457571;128498;84501;70094;69888;0;346763
0713703110;Weiler b Mayen;733862;663102;16328;110955;70760;0;70489;670468
0713703113;Welschenbach;160892;160604;7094;26401;288;0;0;156982
0713704;Mendig, Verbandsgem.;26213536;20263752;5847383;3443911;5949784;3474703;2315269;17688756
0713704008;Bell;1752096;1650386;452066;271430;101710;31085;70625;1302053
0713704069;Mendig;12742853;9168760;1682560;1318131;3574093;2131834;1351679;11178160
0713704093;Rieden, Eifel;1479655;1287093;298816;174980;192562;165270;15938;998039
0713704101;Thür;2168481;1639845;498657;209837;528636;244921;275008;1707837
0713704106;Volkesfeld;599028;584353;144400;88654;14675;4189;10486;364024
0713705;Rhens, Verbandsgem.;-;-;-;-;-;-;-;-
0713705204;Brey;-;-;-;-;-;-;-;-
0713705221;Rhens;-;-;-;-;-;-;-;-
0713705223;Spay;-;-;-;-;-;-;-;-
0713705227;Waldesch;-;-;-;-;-;-;-;-
0713706;Untermosel, Verbandsgem.;-;-;-;-;-;-;-;-
0713706201;Alken;-;-;-;-;-;-;-;-
0713706205;Brodenbach;-;-;-;-;-;-;-;-
0713706206;Burgen, Mosel;-;-;-;-;-;-;-;-
0713706207;Dieblich;-;-;-;-;-;-;-;-
0713706208;Hatzenport;-;-;-;-;-;-;-;-
0713706212;Kobern-Gondorf;-;-;-;-;-;-;-;-
0713706214;Löf;-;-;-;-;-;-;-;-
0713706215;Macken;-;-;-;-;-;-;-;-
0713706217;Niederfell;-;-;-;-;-;-;-;-
0713706219;Nörtershausen;-;-;-;-;-;-;-;-
0713706220;Oberfell;-;-;-;-;-;-;-;-
0713706230;Winningen, Mosel;-;-;-;-;-;-;-;-
0713706231;Wolken;-;-;-;-;-;-;-;-
0713706504;Lehmen;-;-;-;-;-;-;-;-
0713707;Vallendar, Verbandsgem.;29128747;24500750;6581326;5037670;4627997;947686;3260505;19078318
0713707218;Niederwerth;1631622;1260651;327807;149045;370971;4104;363867;1166543
0713707224;Urbar b Koblenz am Rhein;3119665;2985073;514285;446513;134592;45914;88678;2699025
0713707226;Vallendar;12017708;10718062;2101930;1921276;1299646;434860;864376;9889593
0713707229;Weitersburg;4286199;2003002;191890;305224;2283197;54679;1812122;3956941
0713708;Weißenthurm, Verbandsgem.;68563714;59358585;17549617;8710437;9205129;1003366;8146283;43992868
0713708202;Bassenheim;3018191;2530225;289384;468382;487966;33534;454432;2746433
0713708209;Kaltenengers;1902556;1795151;205627;337329;107405;40510;66895;1518156
0713708211;Kettig;4601313;3866116;1458900;474087;735197;64722;656857;3176098
0713708216;Mülheim-Kärlich;17433356;16088477;1104587;1832042;1344879;0;1303017;16569155
0713708222;Sankt Sebastian;3393856;1985892;293272;219445;1407964;8512;1399452;2829482
0713708225;Urmitz;4475986;4070819;506070;462153;405167;0;405167;4169860
0713708228;Weißenthurm;8141710;7693892;893651;998498;447818;246820;200998;7494515
0713709;Rhein-Mosel;50829605;40823975;12428757;7244997;10005630;1592541;7899163;32753022
0713709201;Alken;744167;515457;62734;122771;228710;32483;196227;685042
0713709204;Brey;1644560;1557593;532812;244486;86967;14942;70484;1136353
0713709205;Brodenbach;1148024;804864;359540;106594;343160;59858;283302;790602
0713709206;Burgen;733635;651415;65610;132723;82220;63060;19160;615728
0713709207;Dieblich;2949667;2413555;665148;430404;536112;2380;533732;2225655
0713709208;Hatzenport;764261;703646;213275;138274;60615;60615;0;353203
0713709212;Kobern-Gondorf;5616033;3965275;1005278;553993;1650758;127670;1520588;4466150
0713709214;Löf;2018646;1356117;376973;213032;662529;68346;594183;1652110
0713709215;Macken;466015;468298;105501;156995;-2283;0;-2283;309553
0713709217;Niederfell;976049;845566;78691;205369;130483;26116;104367;669086
0713709219;Nörtershausen;1466581;1200217;404264;167213;266364;32188;232334;1058323
0713709220;Oberfell;1897072;1529702;763233;184065;367370;60615;6707;1231397
0713709221;Rhens;3606014;2795908;280471;565846;810106;342014;417474;3131578
0713709223;Spay;5612520;4161690;583333;352135;1450830;0;1315589;5158115
0713709227;Waldesch;2346494;1954191;147969;404065;392303;302002;84516;2079045
0713709230;Winningen;3447211;3150867;1029235;453576;296344;29781;266563;2600887
0713709231;Wolken;2699754;1336069;539361;135194;1363685;23471;1340214;2130286
0713709504;Lehmen;1627385;1352957;422049;193292;274428;72476;200005;1023209
0713800045;Neuwied, verbandsfr. Gemeinde;119525488;109978325;27044734;26740741;9547163;3315315;5335591;79038649
0713801;Asbach, Verbandsgem.;52426572;45551705;7470808;6161178;6874867;614819;5935280;38483262
0713801003;Asbach, Westerwald;6698325;5200420;267385;855078;1497905;0;1251429;6362238
0713801044;Neustadt (Wied);8547557;6932082;463664;779266;1615475;0;1552010;7939283
0713801077;Windhagen;20175083;19581010;836617;1011587;594073;0;591465;19108107
0713801080;Buchholz (Westerwald);5303588;4271397;726005;518206;1032191;0;1015145;4452504
0713802;Bad Hönningen, Verbandsgem.;21707228;20159404;3633980;4606277;1547824;952357;319668;12536357
0713802004;Bad Hönningen;9154766;8968561;142586;2422246;186205;170366;15839;7489361
0713802024;Hammerstein;310454;309954;17463;75720;500;0;500;214992
0713802038;Leutesdorf;1745537;1489986;31649;155573;255551;114722;1500;1085642
0713802063;Rheinbrohl;3459185;3407335;224601;493122;51850;24281;27569;2913782
0713803;Dierdorf, Verbandsgem.;22504758;16743178;4938017;3126718;5761580;3970526;1574713;14905379
0713803012;Dierdorf;7129838;6339599;1874274;847683;790239;172246;436709;5027753
0713803023;Großmaischeid;2820348;2801312;199296;378729;19036;0;18800;2705415
0713803031;Isenburg;649767;558351;94682;69961;91416;14247;77169;473913
0713803034;Kleinmaischeid;1309345;1195212;125206;215928;114133;0;90660;1256453
0713803069;Stebach;285826;284351;20643;68934;1475;0;1356;217289
0713803201;Marienhausen;773982;470290;37110;117791;303692;0;292463;714145
0713804;Linz am Rhein, Verbandsgem.;37034460;32891610;8282292;6621730;4142850;723959;3341185;26790261
0713804009;Dattenberg;1832222;1659578;570987;289507;172644;7200;165444;1362018
0713804037;Leubsdorf, Rhein;1429572;1322653;132875;380359;106919;26927;79992;1220089
0713804041;Linz am Rhein;8107265;6292251;743819;1682552;1815014;0;1755958;7508026
0713804055;Ockenfels;1044607;1014045;299690;196652;30562;27393;3169;792248
0713804068;St. Katharinen (Landkreis Neuwied);5445245;5251761;1170418;796998;193484;43328;150156;4583152
0713804075;Vettelschoß;10479307;9819426;1353757;1347391;659881;0;659881;9308693
0713804501;Kasbach-Ohlenberg;1320355;1271560;422435;163043;48795;31312;17483;968005
0713805;Puderbach, Verbandsgem.;26978232;24699668;7670099;4086179;2278564;927335;1298645;13596545
0713805011;Dernbach b Dierdorf;1476335;1441430;60976;119079;34905;32931;1974;1435358
0713805013;Döttesfeld;635793;618530;59785;136364;17263;14750;2513;443738
0713805014;Dürrholz;1808261;1670246;70167;121963;138015;11152;121863;1749352
0713805025;Hanroth;516240;504791;17076;67890;11449;0;11449;331740
0713805027;Harschbach;332378;321569;20283;27404;10809;9461;1348;291580
0713805040;Linkenbach;405387;388856;32545;43517;16531;16531;0;311363
0713805048;Niederhofen;394987;327576;23905;36061;67411;3521;63890;269980
0713805050;Niederwambach;441770;441151;28037;106669;619;0;619;385749
0713805052;Oberdreis;870079;823568;74785;156268;46511;1656;44855;580074
0713805057;Puderbach;2540308;2364406;162033;326717;175902;97787;57936;1954058
0713805058;Ratzert;219287;208931;11582;37056;10356;4416;5940;150582
0713805059;Raubach;2188226;1963997;86750;297550;224229;74195;133261;2122589
0713805064;Rodenbach bei Puderbach;560092;547273;18401;77096;12819;0;12537;350721
0713805070;Steimel;1302757;1190771;84543;234333;111986;96552;15434;967740
0713805074;Urbach, Westerwald;1243956;1210670;75678;123748;33286;1461;31825;851503
0713805078;Woldert;578966;536500;29064;96930;42466;0;42466;396520
0713806;Rengsdorf, Verbandsgem.;25452603;22319874;4247802;4360004;3132729;67246;2940818;18270220
0713806002;Anhausen;1555819;1292231;132706;201595;263588;0;246765;1444606
0713806005;Bonefeld;1058516;764789;25863;169550;293727;0;293727;849524
0713806015;Ehlscheid;1016127;965778;103277;137769;50349;13753;36596;741499
0713806026;Hardert;752400;677624;74550;144226;74776;0;74776;631428
0713806030;Hümmerich;628162;573635;35258;100450;54527;0;-35508;323392
0713806036;Kurtscheid;1343116;1242593;115431;256146;100523;0;100523;1256323
0713806042;Meinborn;685720;430322;15039;123290;255398;0;249163;618673
0713806043;Melsbach;1882017;1653528;162930;359836;228489;0;228489;1774471
0713806053;Oberhonnefeld-Gierend;1178897;1091759;72545;180255;87138;0;87138;1139773
0713806054;Oberraden;676624;619170;25542;98489;57454;0;57454;637817
0713806061;Rengsdorf;5388171;4682103;450821;643220;706068;0;706068;4996467
0713806066;Rüscheid;616585;598994;38506;106848;17591;0;8019;517745
0713806071;Straßenhaus;1720542;1660095;129973;300327;60447;53493;5454;1627107
0713806072;Thalhausen;1099094;1089023;65660;128941;10071;0;10071;1027272
0713807;Unkel, Verbandsgem.;23371323;20519695;6366341;3862714;2851628;1323465;1423631;14955360
0713807008;Bruchhausen;1505244;1379325;297304;232198;125919;41553;84366;1145619
0713807019;Erpel;3414390;2718297;756742;507485;696093;212479;469035;2563526
0713807062;Rheinbreitbach;7286423;6387946;1513657;938489;898477;325326;487184;5818881
0713807073;Unkel;5541153;4938226;972965;989710;602927;361138;237803;4089857
0713808;Waldbreitbach, Verbandsgem.;14942533;13217983;4403585;2177272;1724550;402363;1233089;8712319
0713808006;Breitscheid Kr Neuwied;2218329;2118039;603422;296892;100290;18788;69883;1615363
0713808007;Hausen (Wied);1886754;1704814;372442;193248;181940;23814;158126;1161896
0713808010;Datzeroth;197243;176199;15098;20015;21044;0;21044;159297
0713808047;Niederbreitbach;1830455;1637600;446814;209310;192855;32116;83260;1141275
0713808065;Roßbach, Wied;1485173;1309189;69863;197427;175984;46392;129592;1325882
0713808076;Waldbreitbach;1808811;1612222;87163;176809;196589;35539;161050;1507031
0714000501;Boppard, verbandsfr. Gemeinde;24639358;20145688;7574565;3399463;4493670;471172;3885471;20687589
0714002;Emmelshausen, Verbandsgem.;27477705;21651725;5124948;4064156;5825980;506623;4863224;18536282
0714002005;Badenhard;150236;143964;8462;26097;6272;0;742;134997
0714002014;Bickenbach, Hunsrück;850086;445847;13212;97989;404239;0;404239;773352
0714002016;Birkheim;157473;151473;6879;43505;6000;0;575;133764
0714002031;Dörth;2598940;1382477;258646;192077;1216463;13500;1184238;1883656
0714002036;Emmelshausen;5487366;4853906;1026644;632422;633460;8281;572664;4455965
0714002043;Gondershausen;1372492;1211330;97425;233201;161162;0;161162;1313922
0714002045;Halsenbach;1699270;1276263;74414;137218;423007;0;333267;1615117
0714002047;Hausbay;413434;388856;12877;91403;24578;0;24578;386986
0714002060;Hungenroth;263582;252867;14948;60402;10715;0;1720;242850
0714002063;Karbach, Hunsrück;704160;494958;19920;66795;209202;46822;90687;553481
0714002075;Kratzenburg;433205;381468;23328;47063;51737;7049;2058;329260
0714002084;Leiningen;1118982;696206;38572;85979;422776;0;422776;939363
0714002087;Lingerhahn;616214;537634;19268;143425;78580;0;4360;549060
0714002089;Maisborn;129908;129123;9875;24228;785;0;785;98494
0714002093;Mermuth;284648;212848;13154;26210;71800;3856;67944;232168
0714002098;Mühlpfad;135365;135365;4703;78513;0;0;0;105791
0714002102;Ney;370173;311549;18705;51875;58624;0;19984;346856
0714002108;Niedert;184878;179732;8050;46198;5146;0;5146;175249
0714002110;Norath;759647;455520;21524;75880;304127;270192;33935;664944
0714002117;Pfalzfeld;1215254;1139981;418902;214480;75273;0;75273;843974
0714002140;Schwall;330947;296000;16965;45600;34947;0;22417;299164
0714002149;Thörlingen;146018;146018;9840;31168;0;0;0;102453
0714002156;Utzenhain;298037;159100;8444;57090;138937;0;134492;269370
0714002201;Beulich;638837;592894;23519;180053;45943;0;28093;596814
0714002205;Morshausen;542664;343492;17927;56559;199172;0;185977;415762
0714003;Kastellaun, Verbandsgem.;31474369;26483681;6082743;6298012;4990688;948070;3648635;20781528
0714003001;Alterkülz;1028372;804291;387551;147022;224081;12710;209171;517575
0714003009;Bell (Hunsrück);1820941;1666664;459978;306059;154277;32081;120796;1174223
0714003010;Beltheim;2641528;2063130;143894;655463;578398;25924;552474;2366636
0714003018;Braunshorn;654719;548746;47833;109131;105973;28665;72643;570022
0714003021;Buch, Hunsrück;1371278;1282267;423938;246781;89011;51259;37752;710100
0714003042;Gödenroth;1219600;1114131;614018;210957;105469;3800;101669;347156
0714003046;Hasselbach, Hunsrück;315445;184516;12684;45032;130929;99456;31473;245197
0714003055;Hollnich;251550;212022;16943;19936;39528;0;38287;193717
0714003064;Kastellaun;6335070;5365758;366307;1125212;969312;100600;524396;5808417
0714003073;Korweiler;80156;79800;6281;15186;356;0;356;53152
0714003095;Michelbach, Hunsrück;164704;134754;9727;18167;29950;0;29950;107891
0714003131;Roth, Rhein-Hunsrück-Kr;830392;444640;15046;266238;385752;0;373678;757876
0714003147;Spesenroth;148442;123916;7488;24137;24526;0;24526;98513
0714003153;Uhler;493028;395442;30565;117252;97586;0;97586;425757
0714003202;Dommershausen;2438623;2227402;248489;381354;211221;0;211221;2154440
0714003204;Mastershausen;2195603;1234823;77137;341104;960780;0;960780;2057402
0714003502;Lahr;165087;160218;9611;28262;4869;1491;3378;106328
0714003503;Mörsdorf;980195;674494;48224;155040;305701;196121;102080;751251
0714003504;Zilshausen;315937;297931;16012;65029;18006;7707;19;213859
0714004;Kirchberg (Hunsrück), Verbandsgem.;40827770;32413160;9400396;6912973;8414610;525988;7070867;23989005
0714004006;Bärenbach b Simmern, Hunsrück;1176659;1115241;24218;84861;61418;5716;56211;1134450
0714004007;Belg;134952;132084;6169;40427;2868;2500;0;86264
0714004024;Büchenbeuren;3829774;2902798;1113394;746710;926976;0;893953;2584097
0714004028;Dickenschied;1219006;1016791;389658;184961;202215;0;202215;776958
0714004029;Dill;309322;186904;11522;65446;122418;0;122464;222299
0714004030;Dillendorf;511812;429811;15368;49274;82001;1500;0;299476
0714004040;Gehlweiler;376108;229448;12587;60323;146660;0;145500;301790
0714004041;Gemünden, Hunsrück;1446232;1409191;499589;177456;37041;0;37041;853245
0714004044;Hahn;193624;182962;10336;52892;10662;0;8881;141610
0714004048;Hecken;120431;120152;7343;36260;279;0;247;84284
0714004049;Heinzenbach;461969;388079;20890;95416;73890;0;0;373613
0714004050;Henau;176932;171520;7647;63863;5412;0;4824;82827
0714004053;Hirschfeld (Hunsrück);322993;322777;15457;122614;216;0;125;265039
0714004062;Kappel;1863491;1203769;299077;206158;659722;0;576705;1362200
0714004067;Kirchberg (Hunsrück);6372285;4052982;667233;554300;2319303;0;2245094;5243522
0714004071;Kludenbach;225429;123303;7430;49025;102126;0;81442;202969
0714004081;Laufersweiler;1040060;981403;326348;163518;58657;10226;30937;614201
0714004082;Lautzenhausen;1227087;1074045;24374;156088;153042;0;143588;1201346
0714004086;Lindenschied;164874;164012;8967;25931;862;0;790;141315
0714004090;Maitzborn;119847;93528;6582;19785;26319;0;2329;102850
0714004094;Metzenhausen;199692;135856;7327;49713;63836;0;42621;161795
0714004105;Nieder-Kostenz;227143;170115;9666;49988;57028;0;24511;195381
0714004107;Niedersohren;775730;355796;13566;52567;419934;0;399756;638706
0714004109;Niederweiler, Hunsrück;644718;461744;16133;83547;182974;0;182700;464664
0714004111;Ober Kostenz;712838;302264;14052;71999;410574;8044;327747;504897
0714004120;Raversbeuren;222099;182880;7037;87694;39219;7556;31663;185908
0714004122;Reckershausen;510895;374548;31201;95140;136347;0;50404;477421
0714004128;Rödelhausen;171434;139827;11519;26396;31607;0;5914;118497
0714004129;Rödern;143782;139592;7036;16566;4190;1000;678;95970
0714004130;Rohrbach, Hunsrück;163276;157956;13377;33370;5320;4029;1201;94318
0714004135;Schlierschied;201873;200710;14214;54443;1163;0;0;169398
0714004141;Schwarzen;182767;140358;9838;39060;42409;9216;4943;133156
0714004145;Sohren;4462557;3894634;1412666;437431;567923;53961;513962;2519367
0714004146;Sohrschied;162650;128604;6217;48291;34046;0;20785;136671
0714004151;Todenroth;112177;85433;4508;19950;26744;0;5101;70593
0714004154;Unzenberg;518917;461502;19182;176163;57415;0;3570;394028
0714004159;Wahlenau;785985;316196;18357;148709;469789;0;462704;723225
0714004163;Womrath;290397;290305;11971;141098;92;0;0;244434
0714004164;Woppenroth;287789;268775;8962;89671;19014;15927;3020;204173
0714004165;Würrich;233319;163868;10130;52330;69451;0;69622;172594
0714005;Rheinböllen, Verbandsgem.;18124492;16275514;4182035;3254561;1848978;169397;1505008;11133543
0714005003;Argenthal;1527328;1509726;122291;302987;17602;0;17602;1364121
0714005011;Benzweiler;242340;211432;10202;38045;30908;0;30908;179890
0714005027;Dichtelbach;684706;591340;31645;106428;93366;0;93366;584852
0714005035;Ellern (Hunsrück);885488;877097;52322;174519;8391;0;8391;836040
0714005037;Erbach, Hunsrück;353125;282014;14796;85117;71111;0;71111;277607
0714005068;Kisselbach;799512;634527;34070;180360;164985;0;164985;750987
0714005085;Liebshausen;604002;570042;45389;107166;33960;0;33960;578616
0714005096;Mörschbach;506232;488473;16834;130723;17759;11430;6329;489492
0714005125;Rheinböllen;5446278;4763932;358245;647493;682346;20274;662072;5057578
0714005127;Riesweiler;996120;694790;69506;112568;301330;1423;163493;852363
0714005138;Schnorbach;215514;215345;7661;33764;169;0;169;201946
0714005148;Steinbach, Hunsrück;148912;148912;7117;29597;0;0;0;117060
0714006;Sankt Goar-Oberwesel, Verbandsgem.;19457843;15422351;4049845;2951965;4035492;540424;3372804;12584484
0714006025;Damscheid;652406;581744;89313;61686;70662;6520;64142;455758
0714006080;Laudert;711039;690213;18404;237679;20826;2351;18475;666307
0714006104;Niederburg;1244258;603179;27647;100363;641079;2718;638361;731387
0714006112;Oberwesel;3647951;3268352;497328;700018;379599;0;320646;3197270
0714006116;Perscheid;669647;401241;23748;103530;268406;0;268406;496518
0714006133;Sankt Goar;4825943;3391562;718978;705025;1434381;57873;1325087;3793947
0714006155;Urbar b St Goar;1104361;1016973;461724;80897;87388;6014;81374;471019
0714006161;Wiebelsheim;2428182;1978009;44600;104153;450173;0;438283;2397253
0714007;Simmern/Hunsrück, Verbandsgem.;43404871;36689898;8351418;8286265;6714973;834451;4761061;29689688
0714007002;Altweidelbach;260950;259080;14162;80661;1870;0;1870;206997
0714007008;Belgweiler;234583;184798;10802;34416;49785;4570;14315;173637
0714007012;Bergenhausen;417865;238066;7703;46524;179799;0;77799;374852
0714007015;Biebern;860975;290691;9835;55145;570284;0;551671;684479
0714007020;Bubach;984869;400914;16014;176630;583955;0;27955;944505
0714007023;Budenbach;214831;212023;9307;55552;2808;0;2808;205222
0714007039;Fronhofen;254486;240049;10089;67169;14437;0;893;219458
0714007056;Holzbach;446749;496929;23762;98743;-50180;619;-54360;287706
0714007058;Horn;737376;435494;25286;131961;301882;0;201882;667746
0714007065;Keidelheim;877178;813113;24543;580533;64065;0;64065;858880
0714007070;Klosterkumbd;704833;427157;15987;138324;277676;2723;274953;681344
0714007076;Külz (Hunsrück);689025;596713;21698;94564;92312;7500;84812;551254
0714007077;Kümbdchen;438778;397578;16956;94612;41200;3809;37391;292390
0714007079;Laubach b Kastellaun;1199050;1012107;459386;224567;186943;0;186943;662440
0714007092;Mengerschied;1208157;1148424;467946;166607;59733;0;-40267;501550
0714007099;Mutterschied;401311;401311;21065;76426;0;0;0;170548
0714007100;Nannhausen;758951;473718;28844;79727;285233;0;264121;545846
0714007101;Neuerkirch;669453;496139;14503;116606;173314;5000;168314;654630
0714007106;Niederkumbd;642111;540180;19867;47015;101931;0;1931;603538
0714007113;Ohlweiler;330233;327055;17886;57233;3178;0;507;292183
0714007115;Oppertshausen;148665;147770;6702;16639;895;895;0;127954
0714007118;Pleizenhausen;288374;285370;11721;82185;3004;0;3004;276075
0714007119;Ravengiersburg;296574;280261;14520;53327;16313;9414;2499;210915
0714007121;Rayerschied;190682;196412;4884;83800;-5730;0;-5730;168812
0714007123;Reich;601511;550775;24442;259683;50736;3132;34685;577796
0714007126;Riegenroth;320714;307735;20808;98265;12979;0;12979;309826
0714007134;Sargenroth;694517;427813;27438;76700;266704;6454;242600;599547
0714007139;Schönborn, Hunsrück;246112;243484;10113;67417;2628;0;2628;160927
0714007144;Simmern/Hunsrück;17698185;15330715;2257675;2503776;2367470;176409;2178729;15426037
0714007150;Tiefenbach, Hunsrück;1159820;1143735;479009;176000;16085;3712;12373;291736
0714007158;Wahlbach;364769;363463;10546;218517;1306;0;1306;260219
0714007166;Wüschheim;388278;356846;20112;67756;31432;0;17673;375861
0714100075;Lahnstein, verbandsfr. Gemeinde;32122701;27896853;7118192;6620052;4225848;1290850;2825684;27750089
0714101;Bad Ems, Verbandsgem.;31051757;27355623;6825180;4352251;3696134;1436692;1819656;17493491
0714101006;Bad Ems;11697104;10124357;2063919;1238786;1572747;838583;459733;9228474
0714101008;Becheln;876797;576597;35310;79502;300200;0;268200;689038
0714101025;Dausenau;1846863;1585156;345560;237646;261707;25192;236515;1079243
0714101041;Fachbach;1313489;1167514;29498;95357;145975;44849;67801;1147823
0714101044;Frücht;529827;513774;29915;70424;16053;9263;6790;415699
0714101071;Kemmenau;466970;445546;26144;87280;21424;9040;12384;415379
0714101086;Miellen;321221;295702;22752;23617;25519;12551;3072;266770
0714101098;Nievern;850942;803541;65365;90203;47401;2690;18432;743963
0714101201;Arzbach;1739433;1490291;158362;201113;249142;84304;126594;1450100
0714102;Braubach, Verbandsgem.;-;-;-;-;-;-;-;-
0714102023;Dachsenhausen;-;-;-;-;-;-;-;-
0714102042;Filsen;-;-;-;-;-;-;-;-
0714102066;Kamp-Bornhofen;-;-;-;-;-;-;-;-
0714102108;Osterspai;-;-;-;-;-;-;-;-
0714102501;Braubach;-;-;-;-;-;-;-;-
0714103;Diez, Verbandsgem.;43254111;37726852;7709211;6651302;5527259;1413589;3572701;27362609
0714103002;Altendiez;1927273;1824188;96834;232088;103085;31747;67860;1659584
0714103005;Aull;372257;342652;30101;43775;29605;23560;0;311205
0714103014;Birlenbach;1551175;1327823;99499;207475;223352;40770;155549;1110802
0714103021;Charlottenberg;136332;120327;12461;16959;16005;0;15853;95843
0714103022;Cramberg;412316;409160;18524;77966;3156;0;2546;386604
0714103029;Diez;16427734;13960347;1221774;2127408;2467387;924631;1259094;14196767
0714103030;Dörnberg;741736;597690;230321;79731;144046;14968;128606;305910
0714103038;Eppenrod;874810;605726;29413;103448;269084;5039;256873;706675
0714103045;Geilnau;373407;324602;35710;50817;48805;19289;25190;282059
0714103049;Gückingen;1076853;905447;41625;186928;171406;0;158986;976333
0714103052;Hambach;400184;335929;20465;40603;64255;8199;49803;287484
0714103053;Heistenbach;1006914;918327;69784;198410;88587;30148;47301;902260
0714103057;Hirschberg, Rhein-Lahn-Kreis;340184;309754;17610;59357;30430;7755;17775;237265
0714103059;Holzappel;989155;950853;101942;131091;38302;25098;12067;876098
0714103061;Holzheim, Rhein-Lahn-Kreis;915224;816689;36408;171244;98535;26615;13173;871835
0714103062;Horhausen, Rhein-Lahn-Kreis;539510;220992;15109;46690;318518;5612;310105;439569
0714103064;Isselbach;395324;342128;26647;52986;53196;11275;41523;272322
0714103076;Langenscheid;524540;443071;24325;83558;81469;4200;76737;298846
