GENESIS-Tabelle: 12613-01-01-5-B
Sterbefälle: Gestorbene nach Geschlecht - Jahressumme -;;;;;
regionale Ebenen;;;;;
Statistik der Sterbefälle;;;;;
Gestorbene (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;männlich;weiblich
2015;01053025;Duvensee;12;3;9
2015;01053026;Einhaus;3;2;1
2015;01053027;Elmenhorst;6;3;3
2015;01053028;Escheburg;19;11;8
2015;01053029;Fitzen;5;1;4
2015;01053030;Fredeburg;-;-;-
2015;01053031;Fuhlenhagen;2;1;1
2015;01053032;Geesthacht;384;191;193
2015;01053033;Giesensdorf;2;2;-
2015;01053034;Göldenitz;2;-;2
2015;01053035;Göttin;-;-;-
2015;01053036;Grabau;2;1;1
2015;01053037;Grambek;4;3;1
2015;01053038;Grinau;25;9;16
2015;01053039;Groß Boden;2;-;2
2015;01053040;Groß Disnack;2;1;1
2015;01053041;Groß Grönau;34;18;16
2015;01053042;Groß Pampau;-;-;-
2015;01053043;Groß Sarau;6;3;3
2015;01053044;Groß Schenkenberg;5;1;4
2015;01053045;Grove;1;1;-
2015;01053046;Gudow;17;13;4
2015;01053047;Gülzow;23;13;10
2015;01053048;Güster;15;7;8
2015;01053049;Hamfelde;5;5;-
2015;01053050;Hamwarde;9;7;2
2015;01053051;Harmsdorf;-;-;-
2015;01053052;Havekost;1;-;1
2015;01053053;Hohenhorn;2;1;1
2015;01053054;Hollenbek;2;1;1
2015;01053056;Hornbek;1;1;-
2015;01053057;Horst;3;2;1
2015;01053058;Juliusburg;2;-;2
2015;01053059;Kankelau;3;-;3
2015;01053060;Kasseburg;4;1;3
2015;01053061;Kastorf;10;3;7
2015;01053062;Kittlitz;2;1;1
2015;01053064;Klein Pampau;3;1;2
2015;01053066;Klein Zecher;2;2;-
2015;01053067;Klempau;8;5;3
2015;01053068;Klinkrade;3;3;-
2015;01053069;Koberg;7;4;3
2015;01053070;Köthel;-;-;-
2015;01053071;Kollow;5;4;1
2015;01053072;Kröppelshagen-Fahrendorf;7;4;3
2015;01053073;Krüzen;2;1;1
2015;01053074;Krukow;1;-;1
2015;01053075;Krummesse;20;13;7
2015;01053076;Kuddewörde;31;8;23
2015;01053077;Kühsen;3;2;1
2015;01053078;Kulpin;2;-;2
2015;01053079;Labenz;5;1;4
2015;01053080;Langenlehsten;1;-;1
2015;01053081;Lankau;4;4;-
2015;01053082;Lanze;6;2;4
2015;01053083;Lauenburg/Elbe;148;74;74
2015;01053084;Lehmrade;5;1;4
2015;01053085;Linau;8;4;4
2015;01053086;Lüchow;2;1;1
2015;01053087;Lütau;2;1;1
2015;01053088;Mechow;-;-;-
2015;01053089;Möhnsen;5;4;1
2015;01053090;Mölln;289;137;152
2015;01053091;Mühlenrade;-;-;-
2015;01053092;Müssen;7;6;1
2015;01053093;Mustin;10;2;8
2015;01053094;Niendorf bei Berkenthin;4;4;-
2015;01053095;Niendorf/Stecknitz;7;5;2
2015;01053096;Nusse;8;5;3
2015;01053097;Panten;4;2;2
2015;01053098;Pogeez;4;3;1
2015;01053099;Poggensee;8;3;5
2015;01053100;Ratzeburg;221;90;131
2015;01053101;Ritzerau;1;1;-
2015;01053102;Römnitz;2;-;2
2015;01053103;Rondeshagen;7;5;2
2015;01053104;Roseburg;6;3;3
2015;01053105;Sachsenwald;-;-;-
2015;01053106;Sahms;1;-;1
2015;01053107;Salem;7;4;3
2015;01053108;Sandesneben;27;13;14
2015;01053109;Schiphorst;4;1;3
2015;01053110;Schmilau;9;2;7
2015;01053111;Schnakenbek;5;4;1
2015;01053112;Schönberg;4;2;2
2015;01053113;Schretstaken;2;-;2
2015;01053114;Schürensöhlen;-;-;-
2015;01053115;Schulendorf;-;-;-
2015;01053116;Schwarzenbek;190;82;108
2015;01053117;Seedorf;7;6;1
2015;01053118;Siebenbäumen;8;1;7
2015;01053119;Siebeneichen;4;4;-
2015;01053120;Sierksrade;1;1;-
2015;01053121;Sirksfelde;4;4;-
2015;01053122;Steinhorst;2;-;2
2015;01053123;Sterley;6;3;3
2015;01053124;Stubben;3;2;1
2015;01053125;Talkau;6;4;2
2015;01053126;Tramm;6;5;1
2015;01053127;Walksfelde;1;1;-
2015;01053128;Wangelau;5;2;3
2015;01053129;Wentorf bei Hamburg;130;68;62
2015;01053130;Wentorf (Amt Sandesneben);5;3;2
2015;01053131;Wiershop;-;-;-
2015;01053132;Witzeeze;35;8;27
2015;01053133;Wohltorf;27;14;13
2015;01053134;Woltersdorf;2;1;1
2015;01053135;Worth;-;-;-
2015;01053136;Ziethen;18;6;12
2015;01054001;Achtrup;20;13;7
2015;01054002;Ahrenshöft;11;5;6
2015;01054003;Ahrenviöl;2;1;1
2015;01054004;Ahrenviölfeld;1;-;1
2015;01054005;Alkersum;6;3;3
2015;01054006;Almdorf;5;3;2
2015;01054007;Arlewatt;2;1;1
2015;01054009;Aventoft;5;3;2
2015;01054010;Bargum;5;2;3
2015;01054011;Behrendorf;10;5;5
2015;01054012;Bohmstedt;5;4;1
2015;01054013;Bondelum;4;3;1
2015;01054014;Bordelum;16;10;6
2015;01054015;Borgsum;2;1;1
2015;01054016;Bosbüll;3;2;1
2015;01054017;Braderup;6;4;2
2015;01054018;Bramstedtlund;1;-;1
2015;01054019;Bredstedt;88;42;46
2015;01054020;Breklum;22;12;10
2015;01054022;Dagebüll;15;8;7
2015;01054023;Drage;17;5;12
2015;01054024;Drelsdorf;13;6;7
2015;01054025;Dunsum;-;-;-
2015;01054026;Elisabeth-Sophien-Koog;1;-;1
2015;01054027;Ellhöft;2;2;-
2015;01054032;Fresendelf;2;-;2
2015;01054033;Friedrichstadt;43;25;18
2015;01054034;Friedrich-Wilhelm-Lübke-Koog;5;3;2
2015;01054035;Garding, Kirchspiel;3;2;1
2015;01054036;Garding;40;23;17
2015;01054037;Goldebek;3;3;-
2015;01054038;Goldelund;3;-;3
2015;01054039;Gröde;-;-;-
2015;01054040;Grothusenkoog;-;-;-
2015;01054041;Haselund;6;2;4
2015;01054042;Hattstedt;19;10;9
2015;01054043;Hattstedtermarsch;2;1;1
2015;01054045;Högel;6;2;4
2015;01054046;Hörnum (Sylt);6;4;2
2015;01054048;Holm;1;-;1
2015;01054050;Hallig Hooge;1;-;1
2015;01054052;Horstedt;6;4;2
2015;01054054;Hude;3;1;2
2015;01054055;Humptrup;8;6;2
2015;01054056;Husum;325;148;177
2015;01054057;Immenstedt;5;2;3
2015;01054059;Joldelund;8;5;3
2015;01054061;Kampen (Sylt);7;3;4
2015;01054062;Karlum;2;2;-
2015;01054063;Katharinenheerd;3;2;1
2015;01054065;Klanxbüll;22;11;11
2015;01054068;Klixbüll;10;5;5
2015;01054070;Koldenbüttel;5;4;1
2015;01054071;Kolkerheide;1;-;1
2015;01054072;Kotzenbüll;1;-;1
2015;01054073;Ladelund;17;6;11
2015;01054074;Langeneß;3;1;2
2015;01054075;Langenhorn;40;22;18
2015;01054076;Leck;90;44;46
2015;01054077;Lexgaard;-;-;-
2015;01054078;List;7;6;1
2015;01054079;Löwenstedt;2;1;1
2015;01054080;Lütjenholm;2;2;-
2015;01054083;Midlum;5;1;4
2015;01054084;Mildstedt;61;28;33
2015;01054085;Nebel;10;5;5
2015;01054086;Neukirchen;7;5;2
2015;01054087;Nieblum;8;3;5
2015;01054088;Niebüll;115;56;59
2015;01054089;Norddorf auf Amrum;4;2;2
2015;01054090;Norderfriedrichskoog;-;-;-
2015;01054091;Nordstrand;37;17;20
2015;01054092;Norstedt;4;2;2
2015;01054093;Ockholm;6;5;1
2015;01054094;Oevenum;2;2;-
2015;01054095;Oldenswort;12;9;3
2015;01054096;Oldersbek;7;3;4
2015;01054097;Olderup;4;2;2
2015;01054098;Oldsum;9;4;5
2015;01054099;Ostenfeld (Husum);11;7;4
2015;01054100;Osterhever;9;7;2
2015;01054101;Oster-Ohrstedt;6;2;4
2015;01054103;Pellworm;17;7;10
2015;01054104;Poppenbüll;2;-;2
2015;01054105;Ramstedt;5;4;1
2015;01054106;Rantrum;16;10;6
2015;01054107;Rantum (Sylt);-;-;-
2015;01054108;Reußenköge;-;-;-
2015;01054109;Risum-Lindholm;31;18;13
2015;01054110;Rodenäs;2;1;1
2015;01054113;Sankt Peter-Ording;47;27;20
2015;01054116;Schwabstedt;15;11;4
2015;01054118;Schwesing;4;1;3
2015;01054119;Seeth;4;3;1
2015;01054120;Simonsberg;5;4;1
2015;01054121;Sönnebüll;2;2;-
2015;01054123;Sollwitt;1;-;1
2015;01054124;Sprakebüll;1;1;-
2015;01054125;Stadum;8;8;-
2015;01054126;Stedesand;10;6;4
2015;01054128;Struckum;21;11;10
2015;01054129;Süderende;2;2;-
2015;01054130;Süderhöft;-;-;-
2015;01054131;Süderlügum;38;20;18
2015;01054132;Südermarsch;-;-;-
2015;01054133;Sylt-Ost;-;-;-
2015;01054134;Tating;11;8;3
2015;01054135;Tetenbüll;19;9;10
2015;01054136;Tinningstedt;-;-;-
2015;01054138;Tönning;54;32;22
2015;01054140;Tümlauer Koog;1;1;-
2015;01054141;Uelvesbüll;1;1;-
2015;01054142;Uphusum;7;5;2
2015;01054143;Utersum;4;1;3
2015;01054144;Viöl;32;11;21
2015;01054145;Vollerwiek;6;3;3
2015;01054146;Vollstedt;1;1;-
2015;01054148;Welt;-;-;-
2015;01054149;Wenningstedt-Braderup (Sylt);18;9;9
2015;01054150;Westerhever;-;-;-
2015;01054151;Westerland;-;-;-
2015;01054152;Wester-Ohrstedt;9;8;1
2015;01054154;Westre;4;2;2
2015;01054156;Winnert;11;7;4
2015;01054157;Wisch;-;-;-
2015;01054158;Witsum;-;-;-
2015;01054159;Wittbek;9;6;3
2015;01054160;Wittdün auf Amrum;4;2;2
2015;01054161;Witzwort;10;6;4
2015;01054162;Wobbenbüll;7;4;3
2015;01054163;Wrixum;4;2;2
2015;01054164;Wyk auf Föhr;50;19;31
2015;01054165;Galmsbüll;6;3;3
2015;01054166;Emmelsbüll-Horsbüll;6;4;2
2015;01054167;Enge-Sande;10;4;6
2015;01054168;Sylt;184;82;102
2015;01055001;Ahrensbök;90;43;47
2015;01055002;Altenkrempe;13;10;3
2015;01055004;Bad Schwartau;280;129;151
2015;01055006;Beschendorf;3;2;1
2015;01055007;Bosau;23;11;12
2015;01055010;Dahme;25;15;10
2015;01055011;Damlos;7;5;2
2015;01055012;Eutin;240;100;140
2015;01055014;Göhl;8;7;1
2015;01055015;Gremersdorf;13;9;4
2015;01055016;Grömitz;108;48;60
2015;01055017;Großenbrode;79;34;45
2015;01055018;Grube;12;8;4
2015;01055020;Harmsdorf;11;7;4
2015;01055021;Heiligenhafen;173;91;82
2015;01055022;Heringsdorf (Holstein);10;7;3
2015;01055023;Kabelhorst;7;3;4
2015;01055024;Kasseedorf;15;11;4
2015;01055025;Kellenhusen (Ostsee);15;10;5
2015;01055027;Lensahn;70;39;31
2015;01055028;Malente;173;82;91
2015;01055029;Manhagen;4;2;2
2015;01055031;Neukirchen;13;4;9
2015;01055032;Neustadt in Holstein;217;106;111
2015;01055033;Oldenburg in Holstein;118;65;53
2015;01055035;Ratekau;195;100;95
2015;01055036;Riepsdorf;4;1;3
2015;01055037;Schashagen;17;9;8
2015;01055038;Schönwalde am Bungsberg;35;15;20
2015;01055039;Sierksdorf;34;11;23
2015;01055040;Stockelsdorf;188;90;98
2015;01055041;Süsel;59;31;28
2015;01055042;Timmendorfer Strand;140;56;84
2015;01055043;Wangels;27;17;10
2015;01055044;Scharbeutz;163;89;74
2015;01055046;Fehmarn;171;85;86
2015;01056001;Appen;50;25;25
2015;01056002;Barmstedt;142;77;65
2015;01056003;Bevern;9;4;5
2015;01056004;Bilsen;9;5;4
2015;01056005;Bönningstedt;48;21;27
2015;01056006;Bokel;3;3;-
2015;01056008;Bokholt-Hanredder;9;4;5
2015;01056009;Borstel-Hohenraden;13;7;6
2015;01056010;Brande-Hörnerkirchen;14;9;5
2015;01056011;Bullenkuhlen;1;1;-
2015;01056013;Ellerbek;38;18;20
2015;01056014;Ellerhoop;4;3;1
2015;01056015;Elmshorn;546;286;260
2015;01056016;Groß Nordende;3;2;1
2015;01056017;Groß Offenseth-Aspern;5;2;3
2015;01056018;Halstenbek;155;83;72
2015;01056019;Haselau;14;9;5
2015;01056020;Haseldorf;25;11;14
2015;01056021;Hasloh;50;24;26
2015;01056022;Heede;5;3;2
2015;01056023;Heidgraben;16;9;7
2015;01056024;Heist;52;19;33
2015;01056025;Helgoland;9;6;3
2015;01056026;Hemdingen;13;8;5
2015;01056027;Hetlingen;8;5;3
2015;01056028;Holm;29;16;13
2015;01056029;Klein Nordende;25;12;13
2015;01056030;Klein Offenseth-Sparrieshoop;23;12;11
2015;01056031;Kölln-Reisiek;16;7;9
2015;01056032;Kummerfeld;37;19;18
2015;01056033;Seester;5;2;3
2015;01056034;Langeln;6;4;2
2015;01056035;Lutzhorn;9;8;1
2015;01056036;Moorrege;35;24;11
2015;01056037;Neuendeich;5;5;-
2015;01056038;Osterhorn;3;2;1
2015;01056039;Pinneberg;474;223;251
2015;01056040;Prisdorf;21;8;13
2015;01056041;Quickborn;253;119;134
2015;01056042;Raa-Besenbek;5;2;3
