GENESIS-Tabelle: 13111-08-02-5-B
Sozialversicherungspflichtig Beschäftigte am Arbeits- und;;;;;;
Wohnort sowie Ein- und Auspendler über Gemeindegrenzen;;;;;;
- Stichtag 30.06. - regionale Ebenen;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;
30.06.2015;;;;;;
;;Sozialversicherungspfl. Beschäftigte (Arbeitsort);Einpendler(innen) über Gemeindegrenze (Arbeitsort);Sozialversicherungspfl. Beschäftigte (Wohnort);Auspendler(innen) über Gemeindegrenzen (Wohnort);Pendlersaldo (über Gemeindegrenze)
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01053003;Aumühle;636;551;912;827;-276
01053004;Bäk;137;119;260;242;-123
01053005;Bälau;.;.;78;74;.
01053006;Basedow;20;13;221;214;-201
01053007;Basthorst;34;25;158;149;-124
01053008;Behlendorf;17;14;138;135;-121
01053009;Berkenthin;431;329;738;636;-307
01053010;Besenthal;.;-;28;25;-25
01053011;Bliestorf;240;159;248;167;-8
01053012;Börnsen;660;581;1705;1626;-1045
01053013;Borstorf;.;.;110;107;.
01053014;Breitenfelde;386;294;759;667;-373
01053015;Bröthen;.;.;109;106;.
01053016;Brunsmark;.;.;62;.;.
01053017;Brunstorf;134;125;253;244;-119
01053018;Buchholz;26;17;71;62;-45
01053019;Buchhorst;29;26;57;54;-28
01053020;Büchen;2303;1730;2210;1637;93
01053021;Dahmker;52;46;56;50;-4
01053022;Dalldorf;.;.;134;129;.
01053023;Dassendorf;595;483;1145;1036;-553
01053024;Düchelsdorf;.;.;59;.;.
01053025;Duvensee;83;67;189;173;-106
01053026;Einhaus;.;.;125;122;.
01053027;Elmenhorst;788;732;381;325;407
01053028;Escheburg;262;220;1460;1418;-1198
01053029;Fitzen;9;5;136;132;-127
01053030;Fredeburg;.;.;12;7;.
01053031;Fuhlenhagen;91;75;140;124;-49
01053032;Geesthacht;9703;6214;11764;8276;-2062
01053033;Giesensdorf;.;.;51;51;.
01053034;Göldenitz;38;30;88;80;-50
01053035;Göttin;.;.;29;.;.
01053036;Grabau;.;.;132;.;.
01053037;Grambek;180;167;147;135;32
01053038;Grinau;.;.;77;.;.
01053039;Groß Boden;.;.;83;80;.
01053040;Groß Disnack;.;.;40;35;.
