GENESIS-Tabelle: 13111-08-02-5-B
Sozialversicherungspflichtig Beschäftigte am Arbeits- und;;;;;;
Wohnort sowie Ein- und Auspendler über Gemeindegrenzen;;;;;;
- Stichtag 30.06. - regionale Ebenen;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;
30.06.2015;;;;;;
;;Sozialversicherungspfl. Beschäftigte (Arbeitsort);Einpendler(innen) über Gemeindegrenze (Arbeitsort);Sozialversicherungspfl. Beschäftigte (Wohnort);Auspendler(innen) über Gemeindegrenzen (Wohnort);Pendlersaldo (über Gemeindegrenze)
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
05354008;Baesweiler, Stadt;-;-;-;-;-
05354012;Eschweiler, Stadt;-;-;-;-;-
05354016;Herzogenrath, Stadt;-;-;-;-;-
05354020;Monschau, Stadt;-;-;-;-;-
05354024;Roetgen;-;-;-;-;-
05354028;Simmerath;-;-;-;-;-
05354032;Stolberg (Rhld.), Stadt;-;-;-;-;-
05354036;Würselen, Stadt;-;-;-;-;-
05358004;Aldenhoven;2573;1902;4986;4317;-2415
05358008;Düren;40844;24732;29303;13207;11525
05358012;Heimbach, Eifel;512;267;1430;1185;-918
05358016;Hürtgenwald;1173;754;3200;2782;-2028
05358020;Inden;907;653;2873;2620;-1967
05358024;Jülich;14399;9654;11588;6844;2810
05358028;Kreuzau;3053;2057;6147;5154;-3097
05358032;Langerwehe;1495;978;5125;4609;-3631
05358036;Linnich;3662;2795;4552;3687;-892
05358040;Merzenich;2823;2532;3636;3349;-817
05358044;Nideggen;1276;784;3363;2871;-2087
05358048;Niederzier;3859;3035;5310;4488;-1453
05358052;Nörvenich;1552;1101;4006;3555;-2454
05358056;Titz;814;509;3081;2777;-2268
05358060;Vettweiß;720;447;3480;3207;-2760
05362004;Bedburg;3728;2244;8733;7250;-5006
05362008;Bergheim, Erft;17354;11831;21217;15704;-3873
05362012;Brühl, Rheinl;14724;10330;15930;11543;-1213
05362016;Elsdorf, Stadt;3695;2394;7842;6543;-4149
05362020;Erftstadt;8695;5218;17022;13548;-8330
05362024;Frechen;19652;14934;19276;14561;373
05362028;Hürth;21289;16091;23071;17877;-1786
05362032;Kerpen;17806;12222;23748;18171;-5949
05362036;Pulheim;12500;9065;18767;15337;-6272
05362040;Wesseling;12510;9243;13343;10082;-839
05366004;Bad Münstereifel;3270;1846;5965;4543;-2697
05366008;Blankenheim, Ahr;2135;1525;2752;2146;-621
05366012;Dahlem, b Kall;434;231;1404;1201;-970
05366016;Euskirchen;20765;12615;19810;11670;945
05366020;Hellenthal;2575;1596;2717;1738;-142
05366024;Kall;3268;2257;4144;3134;-877
05366028;Mechernich;6681;4116;9535;6976;-2860
05366032;Nettersheim;1677;1152;2763;2238;-1086
05366036;Schleiden;3385;1941;4578;3137;-1196
05366040;Weilerswist;4241;3189;6590;5543;-2354
05366044;Zülpich;5600;3599;7374;5374;-1775
05370004;Erkelenz;12749;7994;15927;11180;-3186
05370008;Gangelt;3220;2194;3980;2958;-764
05370012;Geilenkirchen;7674;5153;9213;6697;-1544
05370016;Heinsberg (Rhld.);15525;9670;14037;8193;1477
05370020;Hückelhoven;9173;5668;13223;9723;-4055
05370024;Selfkant;1093;624;2367;1899;-1275
05370028;Übach-Palenberg;5996;4152;8259;6416;-2264
05370032;Waldfeucht;1219;745;2925;2451;-1706
05370036;Wassenberg;2887;1911;6100;5123;-3212
05370040;Wegberg;5237;3293;9800;7857;-4564
05374004;Bergneustadt;5065;2956;6827;4719;-1763
05374008;Engelskirchen;6353;4258;7417;5327;-1069
05374012;Gummersbach;27951;19865;18355;10284;9581
05374016;Hückeswagen;4356;2788;5770;4202;-1414
05374020;Lindlar;5936;3486;8166;5719;-2233
05374024;Marienheide;3467;2234;5116;3883;-1649
05374028;Morsbach;4315;2877;4017;2583;294
05374032;Nümbrecht;3820;2300;6341;4824;-2524
05374036;Radevormwald;7941;4226;8390;4682;-456
05374040;Reichshof;5543;3775;7210;5446;-1671
05374044;Waldbröl;5026;2932;6783;4690;-1758
05374048;Wiehl;11204;7930;9648;6378;1552
05374052;Wipperfürth;7399;3702;8570;4879;-1177
05378004;Bergisch Gladbach;31873;19336;36955;24441;-5105
05378008;Burscheid, Rheinl;6701;4872;7300;5477;-605
05378012;Kürten;3435;2141;7253;5961;-3820
05378016;Leichlingen (Rhld.);4256;2601;10301;8646;-6045
05378020;Odenthal;1363;925;5523;5086;-4161
05378024;Overath;6232;4235;9454;7460;-3225
05378028;Rösrath;4740;3166;10210;8636;-5470
05378032;Wermelskirchen;11516;6756;13166;8412;-1656
05382004;Alfter;2777;2029;8547;7800;-5771
05382008;Bad Honnef;7404;5224;8201;6024;-800
05382012;Bornheim, Rheinl;10014;6631;18141;14766;-8135
05382016;Eitorf;5044;2652;6612;4222;-1570
05382020;Hennef (Sieg);11403;7425;17140;13172;-5747
05382024;Königswinter;7559;4803;13832;11085;-6282
05382028;Lohmar;7321;5463;10602;8750;-3287
05382032;Meckenheim, Rheinl;7694;5864;7439;5615;249
05382036;Much;3089;1872;5382;4168;-2296
05382040;Neunkirchen-Seelscheid;3429;2181;6849;5605;-3424
05382044;Niederkassel;5606;3084;14355;11837;-8753
05382048;Rheinbach;6204;4079;9000;6877;-2798
05382052;Ruppichteroth;1887;974;4007;3096;-2122
05382056;Sankt Augustin;13704;10295;19056;15653;-5358
05382060;Siegburg;17327;13701;14986;11364;2337
05382064;Swisttal;2266;1498;6224;5460;-3962
05382068;Troisdorf;29232;20292;28314;19390;902
05382072;Wachtberg;3064;2125;6918;5979;-3854
05382076;Windeck;2538;1069;6306;4838;-3769
05512000;Bottrop, krsfr. Stadt;32489;18085;39542;25153;-7068
05513000;Gelsenkirchen, krsfr. Stadt;76276;41229;77143;42110;-881
05515000;Münster, krsfr. Stadt;156981;77249;107576;27901;49348
05554004;Ahaus;18236;10125;14918;6818;3307
05554008;Bocholt;29568;12238;27234;9916;2322
05554012;Borken;17150;9674;15627;8160;1514
05554016;Gescher;7254;4305;6984;4043;262
05554020;Gronau (Westf.);15878;6101;15898;6129;-28
05554024;Heek;2371;1503;3303;2435;-932
05554028;Heiden;1967;1322;3158;2514;-1192
05554032;Isselburg;3378;2193;3971;2787;-594
05554036;Legden;1683;1020;2743;2080;-1060
05554040;Raesfeld;2503;1406;4216;3119;-1713
05554044;Reken;3880;2142;5576;3838;-1696
05554048;Rhede;6164;3835;7542;5217;-1382
05554052;Schöppingen;1813;1042;2832;2061;-1019
05554056;Stadtlohn;7965;4434;8223;4694;-260
05554060;Südlohn;2883;1766;3496;2381;-615
05554064;Velen, Stadt;2602;1504;5102;4004;-2500
05554068;Vreden;9285;4224;9021;3962;262
05558004;Ascheberg;3862;2481;5951;4575;-2094
05558008;Billerbeck;2989;1817;4552;3380;-1563
05558012;Coesfeld;16699;10038;14347;7690;2348
05558016;Dülmen;12282;5243;17734;10703;-5460
05558020;Havixbeck;2544;1683;4329;3470;-1787
05558024;Lüdinghausen;7303;4150;8892;5740;-1590
05558028;Nordkirchen;3291;2508;3712;2934;-426
05558032;Nottuln;4097;2693;7683;6281;-3588
05558036;Olfen;3220;2381;4539;3711;-1330
05558040;Rosendahl;2890;1895;4594;3603;-1708
05558044;Senden, Westf;4366;2824;7906;6365;-3541
05562004;Castrop-Rauxel;14293;7780;25021;18515;-10735
05562008;Datteln;8922;5423;11879;8383;-2960
05562012;Dorsten;16621;8060;25411;16856;-8796
05562014;Gladbeck;16693;9785;24201;17306;-7521
05562016;Haltern am See;7287;3524;13586;9825;-6301
05562020;Herten;18583;12968;19732;14126;-1158
05562024;Marl, Westf;28273;17460;27892;17093;367
05562028;Oer-Erkenschwick;4290;2660;10195;8568;-5908
05562032;Recklinghausen;38282;23983;38679;24394;-411
05562036;Waltrop;5731;3376;10247;7891;-4515
05566004;Altenberge;3964;3119;3947;3104;15
05566008;Emsdetten;14488;7804;14331;7653;151
05566012;Greven, Westf;13631;8972;14202;9549;-577
05566016;Hörstel;6007;3815;8012;5821;-2006
05566020;Hopsten;1471;871;2966;2366;-1495
05566024;Horstmar;1348;990;2437;2079;-1089
05566028;Ibbenbüren;18693;10358;19893;11566;-1208
05566032;Ladbergen;2253;1612;2717;2079;-467
05566036;Laer;1034;690;2498;2156;-1466
05566040;Lengerich, Westf;9497;5732;8640;4877;855
05566044;Lienen;1256;714;3273;2731;-2017
05566048;Lotte;3927;3211;5768;5052;-1841
05566052;Metelen;1051;621;2456;2026;-1405
05566056;Mettingen;3823;2548;4695;3421;-873
05566060;Neuenkirchen, Kr Steinfurt;3211;2037;5280;4107;-2070
05566064;Nordwalde;2343;1422;3600;2682;-1260
05566068;Ochtrup;6617;3401;7492;4278;-877
05566072;Recke;2311;1404;4585;3681;-2277
05566076;Rheine;28137;13971;27211;13053;918
05566080;Saerbeck;2033;1492;2868;2328;-836
05566084;Steinfurt;10291;6152;12118;7982;-1830
05566088;Tecklenburg;3802;3229;3325;2753;476
05566092;Westerkappeln;3047;2320;4540;3818;-1498
05566096;Wettringen, Kr Steinfurt;2055;1307;3140;2394;-1087
05570004;Ahlen;14455;6700;17676;9925;-3225
05570008;Beckum;14863;8295;13870;7306;989
05570012;Beelen;2153;1529;2669;2046;-517
05570016;Drensteinfurt;2297;1374;6026;5103;-3729
05570020;Ennigerloh;5604;3437;7994;5830;-2393
05570024;Everswinkel;2859;1960;3670;2773;-813
05570028;Oelde;11454;6221;12116;6885;-664
05570032;Ostbevern;2783;1620;4161;3001;-1381
05570036;Sassenberg;4042;2424;5942;4324;-1900
05570040;Sendenhorst;4331;2556;5188;3415;-859
05570044;Telgte;6024;3975;7181;5135;-1160
05570048;Wadersloh;2887;1585;4998;3696;-2111
05570052;Warendorf;13013;7348;14249;8588;-1240
05711000;Bielefeld, krsfr. Stadt;144063;62170;116295;34474;27696
05754004;Borgholzhausen;3262;2363;3505;2607;-244
05754008;Gütersloh;52686;30855;38896;17107;13748
05754012;Halle (Westf.);12787;9765;8243;5231;4534
05754016;Harsewinkel;11080;7138;9846;5911;1227
05754020;Herzebrock-Clarholz;6390;4389;7105;5111;-722
05754024;Langenberg;1570;1020;3477;2929;-1909
05754028;Rheda-Wiedenbrück;19622;11871;19591;11854;17
05754032;Rietberg;11826;7182;12316;7684;-502
05754036;Schloß Holte-Stukenbrock;8728;5421;10376;7074;-1653
05754040;Steinhagen, Westf;7496;5554;7872;5930;-376
05754044;Verl, Stadt;14820;11210;10832;7228;3982
05754048;Versmold;7730;4032;9085;5390;-1358
05754052;Werther (Westf.);2810;1951;4174;3319;-1368
05758004;Bünde;14804;8663;17398;11266;-2603
05758008;Enger;5269;3937;7922;6592;-2655
05758012;Herford;33008;21872;23740;12617;9255
05758016;Hiddenhausen;4902;3792;7632;6525;-2733
05758020;Kirchlengern;6254;4949;6347;5045;-96
05758024;Löhne;12635;8006;15353;10732;-2726
05758028;Rödinghausen;3159;2408;3946;3199;-791
05758032;Spenge;2903;1931;5569;4597;-2666
05758036;Vlotho;6390;4194;7123;4932;-738
05762004;Bad Driburg;6382;3235;6837;3692;-457
05762008;Beverungen;2711;1354;4649;3292;-1938
05762012;Borgentreich;1588;774;3400;2587;-1813
05762016;Brakel;5635;3208;5899;3472;-264
05762020;Höxter;10597;5466;10574;5449;17
05762024;Marienmünster;1052;698;2014;1660;-962
05762028;Nieheim;1016;574;2253;1811;-1237
05762032;Steinheim;3647;2169;4761;3286;-1117
05762036;Warburg;9038;4626;8617;4211;415
05762040;Willebadessen;934;446;2942;2455;-2009
05766004;Augustdorf;2220;1474;3612;2869;-1395
05766008;Bad Salzuflen;17529;10001;18301;10782;-781
05766012;Barntrup;2123;1364;3313;2554;-1190
05766016;Blomberg, Lippe;7526;5344;5898;3722;1622
05766020;Detmold;31451;17280;25770;11606;5674
05766024;Dörentrup;2012;1468;3109;2564;-1096
05766028;Extertal;3007;1655;4284;2932;-1277
05766032;Horn-Bad Meinberg;3530;2001;6031;4502;-2501
05766036;Kalletal;2301;1144;5302;4142;-2998
05766040;Lage, Lippe;6217;3672;12532;9989;-6317
05766044;Lemgo;16923;9871;15397;8356;1515
05766048;Leopoldshöhe;4385;3486;6245;5349;-1863
05766052;Lügde;1528;829;3739;3039;-2210
05766056;Oerlinghausen;3733;2808;6177;5254;-2446
05766060;Schieder-Schwalenberg;1205;773;3147;2715;-1942
05766064;Schlangen;1487;949;3406;2869;-1920
05770004;Bad Oeynhausen;22925;14411;18113;9609;4802
05770008;Espelkamp;11266;7185;9614;5537;1648
05770012;Hille;3124;1954;6465;5296;-3342
05770016;Hüllhorst;3451;2271;5306;4128;-1857
05770020;Lübbecke;13514;9514;10114;6121;3393
05770024;Minden, Westf;38067;22235;28112;12290;9945
05770028;Petershagen;4075;1987;9885;7801;-5814
05770032;Porta Westfalica;11475;7666;13535;9729;-2063
05770036;Preußisch Oldendorf;3006;1882;5098;3975;-2093
05770040;Rahden;4590;2607;6336;4354;-1747
05770044;Stemwede;5875;4006;5373;3505;501
05774004;Altenbeken;1137;611;3429;2903;-2292
05774008;Bad Lippspringe;4170;2705;5501;4036;-1331
05774012;Borchen;2413;1634;5125;4346;-2712
05774016;Büren;6643;3803;8390;5552;-1749
05774020;Delbrück;8267;3846;12369;7952;-4106
05774024;Hövelhof;5505;3227;6509;4232;-1005
05774028;Lichtenau, Westf;1967;1107;4150;3290;-2183
05774032;Paderborn;70329;35467;53757;18925;16542
05774036;Salzkotten;7026;4267;9676;6922;-2655
05774040;Bad Wünnenberg;3895;2285;4904;3296;-1011
05911000;Bochum, krsfr. Stadt;126140;62578;121451;57932;4646
05913000;Dortmund, krsfr. Stadt;218194;97410;193745;73068;24342
05914000;Hagen, krsfr. Stadt;68465;30581;64271;26407;4174
05915000;Hamm, krsfr. Stadt;54910;20262;59290;24672;-4410
05916000;Herne, krsfr. Stadt;42891;24564;48517;30205;-5641
05954004;Breckerfeld;1654;1073;3307;2726;-1653
05954008;Ennepetal;13521;9377;11255;7117;2260
05954012;Gevelsberg;8932;6127;11551;8749;-2622
05954016;Hattingen;12009;6449;19372;13814;-7365
05954020;Herdecke;6407;4608;8174;6375;-1767
05954024;Schwelm;10092;7428;9685;7025;403
05954028;Sprockhövel;7051;5377;9313;7650;-2273
05954032;Wetter (Ruhr);11293;7856;10486;7057;799
05954036;Witten;31687;17409;33653;19373;-1964
05958004;Arnsberg;29303;11906;27208;9819;2087
05958008;Bestwig;3519;2218;4285;2984;-766
05958012;Brilon;12159;5848;10090;3783;2065
05958016;Eslohe (Sauerland);2681;1331;3298;1949;-618
05958020;Hallenberg;1728;1071;1808;1151;-80
05958024;Marsberg;6455;2028;7860;3437;-1409
05958028;Medebach;2231;1073;3049;1892;-819
05958032;Meschede;12438;6813;11015;5392;1421
05958036;Olsberg;6166;3378;6024;3236;142
05958040;Schmallenberg;9449;3207;10064;3825;-618
05958044;Sundern (Sauerland);8735;2996;10904;5166;-2170
05958048;Winterberg;3872;1569;4985;2684;-1115
05962004;Altena;5296;2975;6522;4206;-1231
05962008;Balve;2666;1295;4537;3166;-1871
05962012;Halver;6112;3382;6416;3691;-309
05962016;Hemer;12054;7256;13080;8295;-1039
05962020;Herscheid;1852;1244;2833;2225;-981
05962024;Iserlohn;34722;17893;32878;16066;1827
05962028;Kierspe;4601;2748;6161;4311;-1563
05962032;Lüdenscheid;36803;17445;28925;9582;7863
05962036;Meinerzhagen;8578;5003;7665;4093;910
05962040;Menden (Sauerland);15004;6436;20220;11655;-5219
05962044;Nachrodt-Wiblingwerde;1018;699;2357;2038;-1339
05962048;Neuenrade;3741;2192;4708;3161;-969
05962052;Plettenberg;12571;5574;10131;3143;2431
05962056;Schalksmühle;3839;2743;4236;3140;-397
05962060;Werdohl;6609;4128;6562;4081;47
05966004;Attendorn;13405;7334;9850;3786;3548
05966008;Drolshagen;3347;1909;4970;3534;-1625
05966012;Finnentrop;5076;2421;7018;4369;-1948
05966016;Kirchhundem;3310;1784;4724;3202;-1418
05966020;Lennestadt;9400;4536;9974;5113;-577
05966024;Olpe;13716;9259;9630;5174;4085
05966028;Wenden;6366;3938;8230;5803;-1865
05970004;Bad Berleburg;7155;2407;8049;3307;-900
05970008;Burbach, Siegerl;7146;4884;5709;3447;1437
05970012;Erndtebrück;3566;2212;3080;1727;485
05970016;Freudenberg, Westf;5617;3794;7062;5240;-1446
05970020;Hilchenbach;5213;3224;5767;3783;-559
05970024;Kreuztal;10946;7031;11624;7712;-681
05970028;Bad Laasphe;3889;1690;5489;3291;-1601
05970032;Netphen;7245;4671;9413;6841;-2170
05970036;Neunkirchen, Siegerl;6109;4286;4978;3157;1129
05970040;Siegen;46963;26514;36822;16393;10121
05970044;Wilnsdorf;6272;4495;7822;6049;-1554
05974004;Anröchte;2910;1773;4269;3132;-1359
05974008;Bad Sassendorf;2745;1950;3830;3035;-1085
05974012;Ense;3706;2558;4846;3698;-1140
05974016;Erwitte;4399;3051;6077;4732;-1681
05974020;Geseke;4606;2279;7833;5509;-3230
05974024;Lippetal;2068;1078;4755;3766;-2688
05974028;Lippstadt;34141;18032;26041;9946;8086
05974032;Möhnesee;2531;1767;3910;3146;-1379
05974036;Rüthen;2559;1617;4098;3157;-1540
05974040;Soest;21947;13127;17572;8757;4370
05974044;Warstein;9435;4412;9804;4785;-373
05974048;Welver;1251;739;4595;4083;-3344
05974052;Werl;9534;5479;10898;6850;-1371
05974056;Wickede (Ruhr);4477;2975;4395;2893;82
05978004;Bergkamen;9374;5950;16438;13020;-7070
05978008;Bönen;7379;6093;6013;4726;1367
05978012;Fröndenberg/Ruhr;3972;2474;7429;5932;-3458
05978016;Holzwickede;10429;9330;6084;4995;4335
05978020;Kamen;11103;7589;14943;11432;-3843
05978024;Lünen;22040;12696;28346;19014;-6318
05978028;Schwerte;13250;7513;16654;10928;-3415
05978032;Selm;4616;2670;9227;7284;-4614
05978036;Unna, Stadt;26446;18153;21660;13387;4766
05978040;Werne;10332;6820;11003;7495;-675
06411000;Darmstadt, krsfr. Stadt;95578;66100;55789;26346;39754
06412000;Frankfurt am Main, krsfr. Stadt;541805;350454;275762;84722;265732
06413000;Offenbach am Main, krsfr. Stadt;45936;32043;46534;32669;-626
06414000;Wiesbaden, krsfr. Stadt;127778;71450;101369;45107;26343
06431001;Abtsteinach;491;400;914;823;-423
06431002;Bensheim;17344;12431;14366;9460;2971
06431003;Biblis;1421;967;3426;2972;-2005
06431004;Birkenau;1157;742;3531;3116;-2374
06431005;Bürstadt;3760;2232;6538;5015;-2783
06431006;Einhausen, Hess;714;458;2482;2227;-1769
06431007;Fürth;1973;1155;4038;3223;-2068
06431008;Gorxheimertal;306;201;1508;1403;-1202
06431009;Grasellenbach;810;470;1429;1087;-617
06431010;Groß-Rohrheim;904;718;1424;1238;-520
06431011;Heppenheim (Bergstraße);10109;7067;9493;6456;611
06431012;Hirschhorn (Neckar);1136;832;1169;866;-34
06431013;Lampertheim;7871;5144;12375;9655;-4511
06431014;Lautertal (Odenwald);1032;563;2669;2200;-1637
06431015;Lindenfels;908;545;1857;1494;-949
06431016;Lorsch;3552;2601;5098;4149;-1548
06431017;Mörlenbach;1620;1063;3742;3187;-2124
06431018;Neckarsteinach;803;585;1381;1163;-578
06431019;Rimbach, Odenw;1302;799;2992;2490;-1691
06431020;Viernheim;9317;5733;12837;9259;-3526
06431021;Wald-Michelbach;1854;831;3806;2784;-1953
06431022;Zwingenberg (Bergstraße);1288;1042;2655;2409;-1367
06431200;Michelbuch, gem.fr. Geb.;-;-;-;-;-
06432001;Alsbach-Hähnlein;2546;2101;3444;3001;-900
06432002;Babenhausen, Hess;6085;4529;6276;4722;-193
06432003;Bickenbach, Bergstr;1545;1263;2208;1927;-664
06432004;Dieburg;7380;6177;5417;4218;1959
06432005;Eppertshausen;1241;965;2279;2005;-1040
06432006;Erzhausen;764;456;3082;2775;-2319
06432007;Fischbachtal;218;123;1032;938;-815
06432008;Griesheim;5913;4083;10972;9144;-5061
06432009;Groß-Bieberau;1201;917;1714;1429;-512
06432010;Groß-Umstadt;6194;4021;8068;5898;-1877
06432011;Groß-Zimmern;2497;1695;5415;4613;-2918
06432012;Messel;641;510;1476;1347;-837
06432013;Modautal;818;545;1866;1594;-1049
06432014;Mühltal;4322;3351;4943;3975;-624
06432015;Münster b Dieburg;1519;935;5665;5082;-4147
06432016;Ober-Ramstadt;3962;2941;5726;4709;-1768
06432017;Otzberg;836;556;2458;2180;-1624
06432018;Pfungstadt;4925;3097;9600;7775;-4678
06432019;Reinheim;2353;1513;6041;5202;-3689
06432020;Roßdorf b Darmstadt;2455;1834;4519;3898;-2064
06432021;Schaafheim;1027;639;3547;3159;-2520
06432022;Seeheim-Jugenheim;2532;1878;5288;4636;-2758
06432023;Weiterstadt;9028;7250;10302;8526;-1276
06433001;Biebesheim am Rhein;2195;1667;2667;2140;-473
06433002;Bischofsheim;2163;1741;4794;4374;-2633
06433003;Büttelborn;2277;1634;5991;5348;-3714
06433004;Gernsheim;3758;2814;3967;3024;-210
06433005;Ginsheim-Gustavsburg;5330;4380;6485;5538;-1158
06433006;Groß-Gerau;10319;7924;9321;6934;990
06433007;Kelsterbach;6499;5400;6657;5561;-161
06433008;Mörfelden-Walldorf;11208;8653;13132;10586;-1933
06433009;Nauheim;1320;986;3932;3598;-2612
06433010;Raunheim;5298;4540;6309;5556;-1016
06433011;Riedstadt;4237;2731;9151;7650;-4919
06433012;Rüsselsheim;33234;25418;23058;15264;10154
06433013;Stockstadt am Rhein;1107;826;2370;2089;-1263
06433014;Trebur;1775;1065;5491;4779;-3714
06434001;Bad Homburg v.d.Höhe;33662;27352;18829;12542;14810
06434002;Friedrichsdorf;7780;6044;9070;7337;-1293
06434003;Glashütten, Taunus;517;375;1752;1610;-1235
06434004;Grävenwiesbach;824;601;1992;1769;-1168
06434005;Königstein im Taunus;5191;4128;5243;4183;-55
06434006;Kronberg im Taunus;10989;9984;5674;4674;5310
06434007;Neu-Anspach;2399;1547;5690;4839;-3292
06434008;Oberursel (Taunus);18985;14694;16362;12082;2612
06434009;Schmitten;1257;807;3435;2984;-2177
06434010;Steinbach (Taunus);1545;1253;3662;3371;-2118
06434011;Usingen;3227;2350;4938;4062;-1712
06434012;Wehrheim;1764;1296;3422;2954;-1658
06434013;Weilrod;645;351;2400;2109;-1758
06435001;Bad Orb;2338;1380;3194;2239;-859
06435002;Bad Soden-Salmünster;4250;2694;4924;3371;-677
06435003;Biebergemünd;1921;1391;3253;2724;-1333
06435004;Birstein;1180;639;2393;1852;-1213
06435005;Brachttal;502;305;1994;1798;-1493
06435006;Bruchköbel;3238;2167;7598;6528;-4361
06435007;Erlensee;4969;4338;5263;4633;-295
06435008;Flörsbachtal;210;93;903;786;-693
06435009;Freigericht;2441;1292;6077;4933;-3641
06435010;Gelnhausen;13746;11087;8384;5733;5354
06435011;Großkrotzenburg;1091;816;2877;2603;-1787
06435012;Gründau;3857;2840;5792;4777;-1937
06435013;Hammersbach;623;425;1773;1575;-1150
06435014;Hanau;45642;32672;33384;20435;12237
06435015;Hasselroth;899;665;2912;2679;-2014
06435016;Jossgrund;494;229;1377;1112;-883
06435017;Langenselbold;4169;3312;5509;4653;-1341
06435018;Linsengericht;3369;2908;3860;3400;-492
06435019;Maintal;8224;5825;14614;12222;-6397
06435020;Neuberg;456;330;1978;1852;-1522
06435021;Nidderau;2960;1858;7884;6783;-4925
06435022;Niederdorfelden;1087;947;1516;1378;-431
06435023;Rodenbach b Hanau;1394;963;3956;3525;-2562
06435024;Ronneburg, Hess;294;174;1320;1200;-1026
06435025;Schlüchtern;5208;3255;5685;3732;-477
06435026;Schöneck;1514;1047;4703;4237;-3190
06435027;Sinntal;1915;1050;3399;2534;-1484
06435028;Steinau a.d.Straße;2890;1855;3955;2923;-1068
06435029;Wächtersbach;3549;2395;4630;3476;-1081
06435200;Gutsbezirk Spessart;-;-;-;-;-
06436001;Bad Soden am Taunus;5044;3922;8355;7235;-3313
06436002;Eppstein;2376;1794;5064;4483;-2689
06436003;Eschborn;32439;30288;8472;6342;23946
06436004;Flörsheim am Main;4755;3721;8497;7465;-3744
06436005;Hattersheim am Main;5486;4004;10835;9361;-5357
06436006;Hochheim am Main;3605;2541;6804;5743;-3202
06436007;Hofheim am Taunus;13226;10224;15123;12128;-1904
06436008;Kelkheim (Taunus);5343;3428;10468;8554;-5126
06436009;Kriftel;2961;2499;4392;3931;-1432
06436010;Liederbach am Taunus;1928;1726;3301;3100;-1374
06436011;Schwalbach am Taunus;9508;8775;5481;4752;4023
06436012;Sulzbach (Taunus);6971;6598;3666;3299;3299
06437001;Bad König;2441;1706;3219;2484;-778
06437002;Beerfelden;1389;663;2372;1648;-985
06437003;Brensbach;1241;919;1906;1585;-666
06437004;Breuberg;4016;3195;2737;1918;1277
06437005;Brombachtal;447;299;1256;1108;-809
06437006;Erbach;5912;4173;4846;3107;1066
06437007;Fränkisch-Crumbach;531;351;1220;1040;-689
06437008;Hesseneck;20;7;270;257;-250
06437009;Höchst i. Odw.;1336;847;3605;3117;-2270
06437010;Lützelbach;602;264;2674;2338;-2074
06437011;Michelstadt;5100;3507;5662;4073;-566
06437012;Mossautal;333;188;905;760;-572
06437013;Reichelsheim (Odenwald);2180;1237;3242;2300;-1063
06437014;Rothenberg;188;66;914;792;-726
06437015;Sensbachtal;103;57;373;327;-270
06438001;Dietzenbach;12433;9941;11443;8967;974
06438002;Dreieich;14612;11511;15003;11907;-396
06438003;Egelsbach;3719;3007;4398;3685;-678
06438004;Hainburg;2449;1578;5560;4689;-3111
06438005;Heusenstamm;5533;4713;6656;5839;-1126
06438006;Langen (Hessen);14106;10991;14424;11317;-326
06438007;Mainhausen;2700;2141;3562;3004;-863
06438008;Mühlheim am Main;5356;3584;11245;9476;-5892
06438009;Neu-Isenburg;25158;22019;13952;10825;11194
06438010;Obertshausen;7212;5329;9552;7672;-2343
06438011;Rodgau;9232;5803;17337;13915;-8112
06438012;Rödermark;6117;4324;9884;8097;-3773
06438013;Seligenstadt;5336;3691;8075;6430;-2739
06439001;Aarbergen;1167;817;2247;1897;-1080
06439002;Bad Schwalbach;3245;2415;3733;2904;-489
06439003;Eltville am Rhein;5386;3926;6213;4755;-829
06439004;Geisenheim;3150;2151;4104;3106;-955
06439005;Heidenrod;874;495;3009;2630;-2135
06439006;Hohenstein, Untertaunus;617;407;2239;2029;-1622
06439007;Hünstetten;1120;767;4066;3713;-2946
06439008;Idstein;7092;4967;9181;7059;-2092
06439009;Kiedrich;1265;1108;1534;1376;-268
06439010;Lorch, Rheingau;804;538;1362;1096;-558
06439011;Niedernhausen;1392;895;5258;4762;-3867
06439012;Oestrich-Winkel;1756;1097;4232;3575;-2478
06439013;Rüdesheim am Rhein;3536;1985;3613;2066;-81
06439014;Schlangenbad;743;535;2083;1875;-1340
06439015;Taunusstein;7129;4932;10126;7930;-2998
06439016;Waldems;507;373;2016;1882;-1509
06439017;Walluf;2109;1895;1979;1765;130
06440001;Altenstadt, Hess;3099;2322;4488;3713;-1391
06440002;Bad Nauheim;10924;7541;10629;7249;292
06440003;Bad Vilbel;9834;7630;12655;10457;-2827
06440004;Büdingen;6379;4053;7935;5610;-1557
06440005;Butzbach;6133;3820;9329;7017;-3197
06440006;Echzell;949;506;2122;1679;-1173
06440007;Florstadt;1220;765;3379;2924;-2159
06440008;Friedberg (Hessen);11654;9311;10582;8248;1063
06440009;Gedern;1533;749;2774;1990;-1241
06440010;Glauburg;494;371;1104;982;-611
06440011;Hirzenhain;572;424;1034;886;-462
06440012;Karben;7241;5595;8536;6896;-1301
06440013;Kefenrod;474;334;1050;910;-576
06440014;Limeshain;743;537;2071;1866;-1329
06440015;Münzenberg;692;460;2128;1896;-1436
06440016;Nidda;5503;3279;6288;4067;-788
