GENESIS-Tabelle: 14337-01-02-5
Landtagswahlen: Rheinland-Pfalz - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahltag - regionale Tiefe: Gemeinden, Verbandsgemeinden;;;;;;;;;;;
Landtagswahlen: Rheinland.Pfalz;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.03.2016;0713104059;Oberdürenbach;519;75,3;387;154;121;14;22;16;60
13.03.2016;0713104060;Oberzissen;888;69,1;611;248;189;23;34;19;98
13.03.2016;0713104073;Schalkenbach;670;71,9;478;183;129;37;24;16;89
13.03.2016;0713104201;Brenk;139;83,5;115;43;37;4;5;7;19
13.03.2016;0713104202;Burgbrohl;2436;68,0;1637;559;652;80;82;43;221
13.03.2016;0713104204;Galenberg;170;66,5;111;42;46;3;6;1;13
13.03.2016;0713104205;Glees;466;76,4;355;155;95;18;23;5;59
13.03.2016;0713104206;Hohenleimbach;289;67,8;195;107;48;5;15;1;19
13.03.2016;0713104208;Spessart;619;72,2;436;185;116;15;29;12;79
13.03.2016;0713104209;Wassenach;974;72,8;703;256;237;43;31;20;116
13.03.2016;0713104210;Wehr, Eifel;942;77,2;723;345;230;28;39;9;72
13.03.2016;0713104211;Weibern;1232;68,2;829;338;264;48;40;19;120
13.03.2016;0713104502;Kempenich;1451;73,4;1056;463;292;58;59;17;167
13.03.2016;0713200050;Herdorf, verbandsfr. Gemeinde;-;-;-;-;-;-;-;-;-
13.03.2016;0713201;Altenkirchen (Westerwald), Verbandsgem.;17415;65,0;11181;3041;4431;606;763;365;1975
13.03.2016;0713201001;Almersbach;309;67,3;207;40;88;10;21;7;41
13.03.2016;0713201004;Bachenberg;94;68,1;64;7;36;3;5;3;10
13.03.2016;0713201009;Birnbach;465;73,3;338;102;138;22;28;9;39
13.03.2016;0713201017;Busenhausen;271;63,5;170;38;66;9;22;4;31
13.03.2016;0713201022;Eichelhardt;383;72,1;274;53;156;12;18;6;29
13.03.2016;0713201027;Ersfeld;63;73,0;45;12;15;7;3;1;7
13.03.2016;0713201031;Fiersbach;212;69,3;146;44;58;9;10;1;24
13.03.2016;0713201033;Fluterschen;534;66,3;347;109;152;12;22;7;45
13.03.2016;0713201035;Forstmehren;125;71,2;88;23;28;8;11;4;14
13.03.2016;0713201040;Gieleroth;514;77,0;393;79;185;21;20;20;68
13.03.2016;0713201046;Hasselbach, Westerwald;220;64,5;140;47;47;7;8;2;29
13.03.2016;0713201047;Helmenzen;665;68,4;451;155;153;24;34;14;71
13.03.2016;0713201048;Helmeroth;157;74,5;116;26;49;6;12;3;20
13.03.2016;0713201049;Hemmelzen;171;70,8;121;29;49;8;7;3;25
13.03.2016;0713201051;Heupelzen;205;76,1;156;55;55;1;11;1;33
13.03.2016;0713201052;Hilgenroth;232;78,9;180;45;70;5;7;10;43
13.03.2016;0713201053;Hirz-Maulsbach;243;70,0;170;65;56;11;10;1;27
13.03.2016;0713201056;Idelberg;49;65,3;32;9;17;2;0;4;0
13.03.2016;0713201057;Ingelbach;427;72,8;307;44;176;28;14;8;37
13.03.2016;0713201058;Isert;109;77,1;84;21;31;3;5;1;23
13.03.2016;0713201061;Kettenhausen;201;76,6;153;43;52;9;19;2;28
13.03.2016;0713201062;Kircheib;426;62,7;264;79;85;11;23;8;58
13.03.2016;0713201064;Kraam;138;76,8;105;26;32;12;15;6;14
13.03.2016;0713201067;Mammelzen;804;58,3;464;116;195;16;15;18;104
13.03.2016;0713201069;Mehren, Westerwald;380;57,9;218;61;74;19;16;5;43
13.03.2016;0713201070;Michelbach (Westerwald);391;69,3;267;95;99;20;14;5;34
13.03.2016;0713201074;Neitersen;567;67,7;383;103;158;25;29;10;58
13.03.2016;0713201081;Obererbach (Westerwald);446;66,8;297;82;133;9;13;5;55
13.03.2016;0713201082;Oberirsen;509;70,9;353;89;143;27;12;17;65
13.03.2016;0713201086;Oberwambach;326;67,5;219;35;107;11;8;7;51
13.03.2016;0713201087;Ölsen;70;71,4;49;16;23;2;3;0;5
13.03.2016;0713201092;Racksen;104;80,8;84;17;45;1;9;2;10
13.03.2016;0713201094;Rettersen;283;66,8;187;40;71;15;19;6;36
13.03.2016;0713201099;Schöneberg, Westerwald;292;64,7;187;40;75;21;6;8;37
13.03.2016;0713201106;Sörth;178;66,9;116;23;48;9;8;1;27
13.03.2016;0713201109;Stürzelbach;207;69,6;141;41;56;10;8;4;22
13.03.2016;0713201110;Volkerzen;64;78,1;50;14;23;2;2;0;9
13.03.2016;0713201114;Werkhausen;192;74,5;141;34;71;14;7;2;13
13.03.2016;0713201115;Weyerbusch;1107;62,4;681;173;286;46;38;22;116
13.03.2016;0713201118;Wölmersen;293;72,4;212;78;81;9;6;7;31
13.03.2016;0713201201;Berod bei Hachenburg;436;68,6;294;65;130;14;29;12;44
13.03.2016;0713201501;Altenkirchen (Westerwald);4553;55,7;2487;768;819;96;196;109;499
13.03.2016;0713202;Betzdorf, Verbandsgem.;11233;65,9;7294;2724;2483;300;437;186;1164
13.03.2016;0713202002;Alsdorf, Sieg;1206;70,9;846;315;292;16;57;29;137
13.03.2016;0713202006;Betzdorf;7084;62,8;4384;1580;1501;218;277;108;700
13.03.2016;0713202042;Grünebach;431;72,9;313;134;96;12;20;2;49
13.03.2016;0713202098;Scheuerfeld;1583;68,2;1069;381;380;32;63;34;179
13.03.2016;0713202111;Wallmenroth;929;75,3;682;314;214;22;20;13;99
13.03.2016;0713203;Daaden, Verbandsgem.;14022;66,1;9099;2893;3164;301;632;265;1844
13.03.2016;0713203018;Daaden;3360;70,3;2335;625;852;65;199;69;525
13.03.2016;0713203019;Derschen;789;60,1;466;141;155;11;33;6;120
13.03.2016;0713203026;Emmerzhausen;522;68,0;350;123;100;8;22;8;89
13.03.2016;0713203036;Friedewald, Westerwald;898;64,6;544;167;189;12;46;12;118
13.03.2016;0713203050;Herdorf, Stadt;5240;63,4;3260;1244;971;141;190;130;584
13.03.2016;0713203068;Mauden;83;74,7;62;23;14;0;8;2;15
13.03.2016;0713203075;Niederdreisbach;712;70,5;493;137;179;18;30;10;119
13.03.2016;0713203079;Nisterberg;298;69,5;201;61;80;7;11;4;38
13.03.2016;0713203101;Schutzbach;313;69,6;215;62;110;7;4;6;26
13.03.2016;0713203113;Weitefeld;1807;65,9;1173;310;514;32;89;18;210
13.03.2016;0713204;Flammersfeld, Verbandsgem.;9370;68,7;6366;2434;1973;313;366;146;1134
13.03.2016;0713204005;Berzhausen;161;68,3;109;31;45;8;4;4;17
13.03.2016;0713204015;Bürdenbach;445;60,0;263;107;78;12;7;6;53
13.03.2016;0713204016;Burglahr;358;73,2;258;133;64;13;7;5;36
13.03.2016;0713204023;Eichen;435;68,0;293;88;110;16;12;5;62
13.03.2016;0713204029;Eulenberg;43;65,1;28;12;5;1;2;4;4
13.03.2016;0713204032;Flammersfeld;1053;59,5;621;165;255;34;41;21;105
13.03.2016;0713204041;Giershausen;84;76,2;62;13;20;5;6;1;17
13.03.2016;0713204043;Güllesheim;568;72,7;404;188;117;6;22;4;67
13.03.2016;0713204055;Horhausen (Westerwald);1476;68,0;997;474;252;39;54;15;163
13.03.2016;0713204060;Kescheid;111;90,1;99;25;34;8;17;1;14
13.03.2016;0713204065;Krunkel;479;75,4;359;135;103;20;20;5;76
13.03.2016;0713204078;Niedersteinebach;168;61,9;102;37;39;5;5;1;15
13.03.2016;0713204083;Oberlahr;607;69,9;420;235;73;19;24;8;61
13.03.2016;0713204084;Obernau;176;55,1;96;19;36;13;5;3;20
13.03.2016;0713204085;Obersteinebach;198;74,7;148;52;39;9;11;3;34
13.03.2016;0713204088;Orfgen;183;77,0;141;31;56;5;11;9;29
13.03.2016;0713204089;Peterslahr;237;72,2;170;72;39;9;11;6;33
13.03.2016;0713204090;Pleckhausen;562;73,3;409;170;122;17;19;7;74
