GENESIS-Tabelle: 14344-01-02-5
Landtagswahlen: Sachsen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Sachsen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.08.2014;14521350;Lauter/Sa., Stadt;-;-;-;-;-;-;-;-;-
31.08.2014;14521355;Lauter-Bernsbach, Stadt;7665;48,5;3674;1603;294;95;141;716;825
31.08.2014;14521360;Lengefeld, Stadt;-;-;-;-;-;-;-;-;-
31.08.2014;14521370;Lößnitz, Stadt;7576;47,1;3520;1467;371;115;115;733;719
31.08.2014;14521380;Lugau/Erzgeb., Stadt;7206;45,4;3233;1348;314;87;68;823;593
31.08.2014;14521390;Marienberg, Stadt;14815;51,5;7504;3338;702;205;365;1458;1436
31.08.2014;14521400;Mildenau;2893;58,2;1656;851;172;59;39;205;330
31.08.2014;14521410;Neukirchen/Erzgeb.;5761;54,4;3093;1415;360;124;113;510;571
31.08.2014;14521420;Niederdorf;1026;55,8;563;280;56;15;13;82;117
31.08.2014;14521430;Niederwürschnitz;2305;49,2;1118;481;147;29;26;233;202
31.08.2014;14521440;Oberwiesenthal, Kurort, Stadt;1920;56,0;1063;463;97;26;101;237;139
31.08.2014;14521450;Oelsnitz/Erzgeb., Stadt;9762;45,4;4371;1860;515;116;85;905;890
31.08.2014;14521460;Olbernhau, Stadt;7939;48,5;3800;1609;439;103;239;697;713
31.08.2014;14521470;Pfaffroda;2186;50,7;1088;407;109;44;153;174;201
31.08.2014;14521480;Pobershau;-;-;-;-;-;-;-;-;-
31.08.2014;14521490;Pockau;-;-;-;-;-;-;-;-;-
31.08.2014;14521495;Pockau-Lengefeld, Stadt;6717;49,7;3255;1530;287;85;161;567;625
31.08.2014;14521500;Raschau-Markersbach;4477;50,3;2213;970;183;71;90;404;495
31.08.2014;14521510;Scheibenberg, Stadt;1837;54,5;985;490;107;29;22;124;213
31.08.2014;14521520;Schlettau, Stadt;2045;49,1;982;425;109;40;28;168;212
31.08.2014;14521530;Schneeberg, Stadt;12401;48,6;5941;2350;574;129;196;1211;1481
31.08.2014;14521540;Schönheide;4041;48,0;1904;858;288;56;90;293;319
31.08.2014;14521550;Schwarzenberg/Erzgeb., Stadt;15061;47,0;6969;2825;617;227;236;1502;1562
31.08.2014;14521560;Sehmatal;5593;54,0;2977;1549;281;59;85;424;579
31.08.2014;14521570;Seiffen/Erzgeb., Kurort;1985;53,2;1035;459;110;19;89;144;214
31.08.2014;14521580;Sosa;-;-;-;-;-;-;-;-;-
31.08.2014;14521590;Stollberg/Erzgeb., Stadt;9723;46,5;4466;1983;449;115;111;926;882
31.08.2014;14521600;Stützengrün;2872;61,8;1722;904;172;34;89;217;306
31.08.2014;14521610;Tannenberg;938;64,9;598;237;41;25;15;97;183
31.08.2014;14521620;Thalheim/Erzgeb., Stadt;5636;48,6;2697;1178;291;106;75;483;564
31.08.2014;14521630;Thermalbad Wiesenbad;2820;58,4;1610;805;109;45;52;209;390
31.08.2014;14521640;Thum, Stadt;4477;55,5;2442;1179;210;48;134;336;535
31.08.2014;14521650;Venusberg;-;-;-;-;-;-;-;-;-
31.08.2014;14521660;Waldkirchen/Erzgeb.;-;-;-;-;-;-;-;-;-
31.08.2014;14521670;Wolkenstein, Stadt;3340;52,4;1719;776;195;65;70;260;353
31.08.2014;14521680;Zöblitz, Stadt;-;-;-;-;-;-;-;-;-
31.08.2014;14521690;Zschopau, Stadt;8269;46,5;3798;1538;412;148;139;841;720
31.08.2014;14521700;Zschorlau;4660;56,2;2590;1357;225;66;73;354;515
31.08.2014;14521710;Zwönitz, Stadt;10519;54,7;5665;2586;587;167;168;957;1200
31.08.2014;14522010;Altmittweida;1662;55,4;905;425;95;29;39;154;163
