GENESIS-Tabelle: 33111-01-01-5-B
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung (ohne Friedhofsfläche);Flächen anderer Nutzung (ohne Friedhofsfläche)
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
01058155;Stafstedt;1183;81;42;18;-;3;1;0;-;35;35;883;18;32;204;15;-;0;0
01058156;Steenfeld;1148;91;47;20;0;5;1;1;-;38;37;928;-;-;59;68;0;1;1
01058157;Strande;1373;159;68;51;1;33;14;14;-;44;43;1062;-;-;97;24;2;30;30
01058158;Tackesdorf;765;33;12;5;-;-;0;0;-;21;19;529;7;-;84;45;0;75;75
01058159;Tappendorf;669;58;31;17;3;2;1;0;-;24;22;500;0;3;106;5;0;0;-
01058160;Techelsdorf;435;28;8;4;-;0;-;-;-;20;12;298;6;-;103;2;0;4;4
01058161;Thaden;1198;72;32;12;3;0;4;3;-;36;35;743;4;1;370;9;4;1;1
01058162;Thumby;2739;99;44;26;1;0;6;4;2;47;47;2022;0;-;304;308;0;7;7
01058163;Timmaspe;1536;129;59;41;0;1;1;0;1;67;56;916;24;11;480;11;0;0;-
01058164;Todenbüttel;1178;131;77;45;2;6;6;2;2;40;40;884;32;-;135;26;0;2;1
01058165;Tüttendorf;1774;135;69;43;-;4;3;2;-;59;53;1496;1;-;128;13;-;2;2
01058166;Waabs;3327;296;99;60;3;8;129;97;1;59;59;2652;-;-;256;82;0;41;41
01058167;Wapelfeld;811;79;21;12;2;1;19;19;-;37;34;670;26;-;48;13;-;2;2
01058168;Warder;871;159;32;22;0;1;84;81;-;42;40;457;-;1;39;137;75;5;5
01058169;Wasbek;2349;298;156;77;5;11;13;7;2;116;110;1743;-;-;277;31;-;0;0
01058170;Wattenbek;605;137;95;70;12;4;5;3;-;32;30;440;61;-;24;3;1;1;1
01058171;Westensee;3691;186;101;66;0;0;20;10;2;63;63;1863;9;-;1181;450;8;3;3
01058172;Westerrönfeld;778;265;167;123;19;0;22;18;2;73;55;447;39;3;12;35;14;5;5
01058173;Windeby;1477;126;59;42;0;8;10;3;0;49;49;1173;9;-;158;8;7;4;3
01058174;Winnemark;958;73;41;22;1;3;8;7;-;21;21;707;-;-;10;165;1;2;2
01058175;Ahlefeld-Bistensee;1004;81;38;20;-;3;7;6;-;34;34;603;12;-;164;155;-;2;2
01059001;Alt Bennebek;1409;75;32;11;-;1;6;-;-;37;37;1286;-;3;30;16;0;1;1
01059002;Arnis;45;17;12;7;2;-;2;0;1;3;3;2;-;-;1;25;-;0;0
01059005;Bergenhusen;1822;119;64;32;1;1;3;1;1;51;51;1548;97;-;97;55;-;3;3
01059006;Böel;1366;113;57;32;0;3;3;2;1;48;46;1175;3;-;62;15;-;2;2
01059008;Böklund;788;132;88;60;9;0;7;2;1;35;35;515;1;-;130;10;-;1;1
01059009;Börm;1871;145;76;37;0;2;2;1;0;64;64;1677;0;-;14;34;-;1;1
01059010;Bollingstedt;2705;277;120;65;11;4;6;3;-;146;144;2091;71;1;273;59;-;5;5
01059011;Boren;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01059012;Borgwedel;996;99;51;40;0;1;12;2;-;34;34;598;36;-;45;235;0;18;18
01059014;Brebel;696;56;32;16;0;0;0;0;0;23;23;562;-;0;64;11;-;2;2
01059016;Brodersby;1036;101;64;47;3;5;3;2;-;30;30;704;3;-;25;202;0;3;3
01059018;Busdorf;535;196;95;59;18;1;8;5;2;91;71;245;-;-;33;43;6;13;7
01059019;Dannewerk;1665;247;73;43;1;7;3;1;-;164;82;1305;-;-;48;11;25;28;4
01059020;Dörpstedt;1661;108;58;29;0;3;2;1;-;46;46;1503;66;-;15;33;-;2;2
01059021;Dollrottfeld;499;30;18;13;-;-;0;0;-;12;12;448;2;-;10;11;-;0;0
01059022;Ekenis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01059023;Ellingstedt;2149;144;73;36;2;5;1;0;-;65;65;1931;1;-;58;10;1;4;4
01059024;Erfde;3395;274;132;76;1;6;6;2;2;128;128;2901;100;-;25;179;0;16;16
01059026;Fahrdorf;1200;181;111;81;6;2;16;10;-;52;52;707;-;0;33;268;-;12;10
01059032;Geltorf;808;44;21;15;0;0;-;-;-;23;23;713;13;1;43;4;0;3;3
01059033;Goltoft;309;27;17;10;1;2;2;2;-;7;7;245;-;-;6;31;0;0;0
01059034;Grödersby;664;44;25;12;3;0;1;0;-;17;15;415;1;-;21;183;-;1;1
01059035;Groß Rheide;1537;130;67;35;4;3;2;1;1;57;57;1344;6;2;49;13;-;1;1
01059037;Havetoft;1453;120;64;48;0;0;4;2;1;50;50;1193;4;-;89;36;-;15;15
01059038;Havetoftloit;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01059039;Hollingstedt;1751;134;67;44;-;1;17;15;2;47;47;1535;1;-;34;47;0;1;1
01059041;Hüsby;968;89;42;25;2;1;1;0;-;45;42;837;13;-;35;4;1;1;1
01059042;Idstedt;1335;149;88;39;35;0;5;3;1;53;53;662;23;2;349;63;36;76;76
01059043;Jagel;1189;442;52;29;12;4;11;1;0;375;37;543;15;0;26;38;125;15;15
01059044;Jübek;1558;253;145;81;9;7;18;4;1;81;70;1254;1;-;23;23;-;4;4
01059045;Kappeln;4332;695;418;246;42;12;63;33;3;199;149;2479;2;-;282;817;-;60;60
01059047;Kiesby;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01059049;Klappholz;822;70;40;27;0;4;1;0;-;25;25;697;-;-;51;4;-;0;0
01059050;Klein Bennebek;2563;146;56;26;-;4;4;0;-;82;82;2246;85;0;142;23;-;6;6
01059051;Klein Rheide;1282;222;27;15;0;6;-;-;-;189;33;984;-;-;50;4;19;3;3
01059053;Kropp;3194;545;295;154;41;44;36;18;5;164;150;1671;2;0;906;14;49;10;10
01059055;Loit;669;51;26;13;1;1;1;0;0;22;22;578;1;-;32;7;-;1;1
01059056;Lottorf;578;65;17;12;-;3;0;0;-;45;38;495;8;0;11;5;-;2;2
01059057;Lürschau;1651;207;93;46;26;1;11;8;-;102;97;1031;28;7;244;147;0;22;22
01059058;Meggerdorf;2411;154;64;28;0;1;2;-;-;87;87;1993;112;-;10;127;-;126;126
01059060;Mohrkirch;1442;125;75;42;1;2;4;1;-;44;39;1165;-;-;135;16;-;0;0
01059062;Neuberend;442;148;53;45;-;0;8;3;-;87;87;246;0;-;39;4;-;6;6
01059063;Norderbrarup;398;47;28;24;-;1;0;0;1;17;14;310;0;-;24;6;10;1;1
01059064;Norderstapel;1591;121;54;33;3;2;5;2;-;60;56;1156;-;0;42;40;-;232;231
01059065;Nottfeld;318;30;15;8;0;0;1;-;-;13;13;225;4;-;60;3;-;0;0
01059067;Oersberg;709;43;22;9;-;0;2;2;1;18;17;626;-;-;31;5;-;4;4
01059068;Rabenkirchen-Faulück;1421;132;55;32;1;0;28;2;1;48;42;1138;-;-;49;101;-;1;1
01059069;Rüde;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01059070;Rügge;601;40;23;12;-;-;1;1;-;17;17;517;-;-;38;5;-;0;0
01059071;Satrup;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01059072;Saustrup;814;45;24;9;0;-;1;0;-;21;18;582;1;-;180;5;-;1;1
01059073;Schaalby;2499;202;92;69;4;24;7;1;1;78;78;1786;1;11;113;382;1;16;15
01059074;Scheggerott;632;51;32;18;-;1;0;0;-;18;17;517;-;-;53;8;-;2;2
01059075;Schleswig;2430;1159;736;408;119;27;123;79;14;258;243;474;-;-;220;519;0;59;59
01059076;Schnarup-Thumby;1072;83;45;25;1;1;1;0;0;35;35;948;0;-;31;6;-;5;5
01059077;Schuby;2394;337;166;91;12;18;8;2;2;143;130;1751;-;-;257;17;13;20;20
01059078;Selk;1007;133;61;41;2;1;7;4;-;64;62;649;3;0;106;79;34;6;5
01059079;Silberstedt;3791;361;182;84;3;11;12;5;2;155;145;3112;3;14;262;50;0;6;6
01059080;Steinfeld;873;91;53;36;1;7;1;0;-;30;30;757;5;-;21;4;-;0;0
01059081;Stolk;1454;126;63;39;1;1;3;1;-;60;60;1233;22;-;80;13;-;3;3
01059082;Struxdorf;1340;115;60;29;2;3;4;3;1;48;47;1157;-;-;30;20;-;18;18
01059083;Süderbrarup;810;277;191;126;22;13;14;9;1;58;51;422;1;-;98;12;-;2;2
01059084;Süderfahrenstedt;915;64;28;19;0;3;1;0;-;32;32;596;-;14;97;156;-;1;1
01059085;Süderstapel;1693;168;79;42;3;1;11;8;2;75;74;1030;0;-;44;168;-;284;283
01059086;Taarstedt;1369;119;66;36;2;6;3;2;1;42;42;1178;0;-;62;9;0;1;1
01059087;Tetenhusen;2313;160;68;33;0;4;3;1;1;84;84;1824;252;-;299;27;0;2;2
01059088;Tielen;1333;64;24;12;0;1;0;0;-;38;38;1172;37;-;8;70;17;1;1
01059090;Tolk;1044;130;67;41;1;0;29;2;1;34;34;877;24;-;28;7;0;1;1
01059092;Treia;2172;209;108;74;6;13;4;2;1;84;81;1659;2;-;273;31;-;0;0
01059093;Ülsby;1059;75;34;24;1;4;1;1;0;35;35;787;1;-;185;9;-;3;3
01059094;Ulsnis;1981;128;76;47;-;4;2;1;1;46;46;1381;0;-;100;370;-;2;2
01059095;Wagersrott;564;33;19;9;-;-;-;-;-;14;12;478;0;-;45;6;-;1;1
01059096;Wohlde;1443;99;50;23;-;-;3;3;0;45;44;1194;31;-;107;33;0;8;8
01059097;Twedt;1252;93;49;22;1;4;1;0;0;39;38;1103;0;-;35;14;-;6;6
01059098;Nübel;1832;159;91;57;3;4;4;0;1;61;61;1534;4;13;108;20;0;11;11
01059101;Tastrup;416;41;23;18;0;0;0;0;-;17;17;356;-;-;12;4;-;3;3
01059102;Ahneby;380;26;17;9;-;0;0;0;-;9;9;342;-;-;11;1;-;0;0
01059103;Ausacker;913;82;43;21;-;2;1;1;-;37;36;777;2;-;45;8;-;0;0
01059105;Böxlund;440;30;13;5;-;2;-;-;-;16;16;382;-;0;9;4;13;2;-
01059106;Dollerup;1308;134;69;37;1;4;8;4;-;54;50;1108;0;-;51;9;-;6;6
01059107;Eggebek;1668;468;117;71;13;4;100;93;1;246;60;1040;0;-;141;14;-;5;5
01059109;Esgrus;1805;128;75;38;0;0;6;3;1;46;45;1594;-;-;68;12;-;3;3
01059112;Gelting;2002;203;123;76;3;3;20;15;1;57;56;1566;-;-;143;86;-;3;3
01059113;Glücksburg (Ostsee);3970;423;248;181;3;2;66;18;3;103;100;699;-;-;653;2165;-;29;29
01059115;Großenwiehe;3020;295;168;88;12;8;11;5;1;106;106;2586;1;-;91;33;-;14;14
01059116;Großsolt;2507;229;122;65;1;3;7;1;1;96;96;2121;51;6;114;40;1;3;3
01059118;Grundhof;1157;112;66;37;3;3;2;2;1;40;40;1002;-;-;33;6;0;3;3
01059120;Harrislee;1892;588;381;234;70;20;43;35;4;140;128;790;1;-;179;107;-;229;229
01059121;Hasselberg;1130;115;67;38;0;1;12;9;0;34;34;992;1;-;9;11;-;4;4
01059123;Hörup;1815;156;67;24;1;20;6;1;-;64;64;1502;-;-;123;28;2;5;5
01059124;Holt;1342;75;27;13;-;5;-;-;-;43;43;1216;0;-;26;25;-;1;1
01059126;Hürup;1620;169;79;47;1;16;2;0;0;72;69;1355;1;-;74;19;0;2;2
01059127;Husby;1931;211;120;77;2;3;9;3;1;79;71;1638;0;-;63;17;0;2;2
01059128;Janneby;1449;95;46;17;1;4;0;-;-;45;45;1318;4;-;8;12;-;16;16
01059129;Jardelund;1663;179;45;13;1;14;63;63;-;57;57;1312;104;0;150;21;0;0;0
01059131;Jerrishoe;1600;126;58;30;0;4;7;0;-;56;53;1322;-;-;138;12;-;2;2
01059132;Jörl;1968;161;82;45;7;7;1;1;1;70;70;1628;50;1;151;15;10;2;2
01059136;Kronsgaard;592;49;24;15;0;0;10;4;-;15;15;525;2;-;7;5;-;6;6
01059137;Langballig;1542;139;83;55;3;0;10;9;-;46;46;860;3;-;100;437;-;5;5
01059138;Langstedt;1317;111;57;35;1;5;2;1;-;48;43;968;0;3;218;17;1;2;2
01059141;Maasbüll;771;78;45;24;1;-;1;0;0;32;29;651;-;-;28;8;4;2;2
01059142;Maasholm;840;82;46;32;0;1;10;9;-;25;24;237;0;-;138;353;-;29;29
01059143;Medelby;975;111;54;31;1;3;17;11;1;36;36;751;0;1;97;12;-;5;5
01059144;Meyn;1240;119;68;27;1;6;3;3;-;43;43;982;5;1;125;14;0;0;-
01059145;Munkbrarup;1327;109;57;40;1;2;9;8;1;41;41;767;3;-;61;385;-;5;5
01059147;Nieby;807;50;23;18;-;2;1;1;-;24;24;594;-;-;52;52;-;58;58
01059148;Niesgrau;989;93;46;28;1;4;6;1;-;38;35;843;-;-;26;21;-;7;7
01059149;Nordhackstedt;1247;111;57;16;12;10;3;2;1;41;41;1110;4;2;10;16;-;0;0
01059151;Osterby;1235;89;39;18;1;5;6;6;-;39;39;1014;-;-;103;13;16;0;-
01059152;Pommerby;555;39;17;10;0;5;6;6;-;11;11;498;-;-;4;6;1;6;6
01059153;Quern;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01059154;Rabel;884;49;31;25;0;2;1;1;-;15;15;576;1;-;67;185;-;7;7
01059155;Rabenholz;580;41;23;13;1;2;2;2;-;14;14;519;-;-;18;2;-;0;-
01059157;Ringsberg;525;46;28;16;0;2;0;0;-;15;15;458;3;-;21;1;-;0;0
01059158;Schafflund;1909;242;137;83;7;9;14;8;-;82;73;1551;7;-;90;23;3;-;-
01059159;Sieverstedt;3101;339;118;67;2;20;6;4;1;194;189;2392;30;-;319;35;9;6;5
01059161;Sörup;4432;436;259;166;23;7;11;5;2;157;145;3639;36;0;213;141;-;3;3
01059162;Sollerup;1298;96;53;20;4;1;3;0;-;39;37;1151;-;-;30;19;-;2;2
01059163;Stangheck;1000;47;25;14;2;2;2;2;-;17;17;765;-;-;183;4;-;1;1
01059164;Steinberg;1624;127;77;54;-;1;12;11;-;37;37;1092;0;-;61;324;-;20;20
01059165;Steinbergkirche;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01059167;Sterup;1714;159;103;55;5;4;1;1;1;50;49;1470;-;-;70;10;-;5;5
01059168;Stoltebüll;1640;103;63;35;0;8;1;1;-;31;31;1391;-;-;138;7;-;0;0
01059169;Süderhackstedt;1015;70;34;18;-;0;2;1;-;34;34;856;18;-;81;7;-;0;0
01059171;Tarp;1636;390;242;144;26;26;25;15;1;96;88;1131;19;-;93;16;-;6;6
01059173;Wallsbüll;1323;111;55;36;6;1;6;6;0;49;44;861;1;1;335;14;2;0;0
01059174;Wanderup;2864;264;145;77;6;5;13;9;1;99;99;2433;12;-;66;59;38;4;4
01059176;Wees;1274;178;108;65;13;1;7;2;-;63;63;909;0;-;171;11;1;4;4
01059177;Weesby;2144;137;62;30;2;8;1;0;-;65;65;1866;-;0;108;28;3;2;2
01059178;Westerholz;1474;86;51;37;-;0;5;5;-;31;31;483;-;-;46;838;0;20;20
01059179;Lindewitt;5327;388;173;72;5;14;12;4;-;190;189;4490;62;2;344;75;3;27;27
01059182;Freienwill;1530;147;81;56;1;6;4;4;1;55;55;1280;0;2;65;18;12;8;8
01059183;Handewitt;7772;1164;605;324;98;52;69;43;2;437;407;5450;18;2;831;130;83;114;113
01059184;Oeversee;3626;466;208;123;16;55;18;9;1;183;171;2585;12;21;334;118;74;50;49
01059185;Mittelangeln;4496;455;283;195;18;5;17;10;2;149;148;3391;85;-;587;48;1;13;13
01059186;Steinbergkirche;3575;306;184;121;3;4;14;7;2;102;101;2710;0;-;209;330;1;18;18
01059187;Boren;3015;233;125;79;3;6;11;8;-;92;83;2228;0;-;122;422;-;11;10
01060002;Alveslohe;2156;370;135;81;8;0;127;5;-;107;98;1583;1;0;184;16;-;3;3
01060003;Armstedt;892;64;30;15;0;5;1;1;-;27;27;791;0;-;31;6;-;0;-
01060004;Bad Bramstedt;2414;773;403;267;32;5;154;40;8;203;191;1132;16;49;472;32;1;4;4
01060005;Bad Segeberg;1887;795;518;317;51;11;70;39;11;185;172;668;1;-;190;227;-;8;8
01060006;Bahrenhof;571;37;19;8;-;-;1;1;-;17;14;422;-;-;110;1;-;-;-
01060007;Bark;2044;156;71;43;10;6;7;7;-;72;70;1176;20;27;659;17;28;6;6
01060008;Bebensee;668;69;38;27;0;0;1;1;-;30;30;550;22;-;38;7;-;5;5
01060009;Bimöhlen;1723;160;65;31;0;0;21;18;-;74;73;1225;3;-;323;16;-;0;-
01060010;Blunk;1069;81;35;21;5;8;1;0;-;37;36;900;62;-;41;18;5;25;25
01060011;Boostedt;2711;398;229;127;8;5;32;5;3;128;122;1168;-;20;1133;3;7;2;2
01060012;Bornhöved;1412;300;155;92;32;6;33;26;4;101;99;783;-;-;145;177;4;3;3
01060013;Borstel;512;38;11;6;-;0;5;1;-;21;17;383;-;-;84;4;1;2;2
01060014;Buchholz b. Wahlstedt;4091;82;1;0;0;0;-;-;-;81;81;142;-;23;3861;2;-;3;3
01060015;Bühnsdorf;415;32;18;9;1;2;1;1;-;12;12;366;-;-;15;2;-;0;0
01060016;Daldorf;1516;163;63;22;27;8;30;25;-;61;61;610;1;0;713;10;11;10;10
01060017;Damsdorf;775;73;19;9;2;26;3;1;0;26;26;331;-;-;156;4;92;119;119
01060018;Dreggers;279;12;5;2;-;-;-;-;-;7;7;232;-;-;31;3;-;0;0
01060019;Ellerau;709;244;177;110;37;2;13;8;-;53;50;419;-;-;35;10;-;0;0
01060020;Fahrenkrug;621;120;76;42;17;2;9;4;-;34;27;478;8;-;9;12;0;2;1
01060021;Föhrden-Barl;923;63;26;11;-;1;1;1;-;34;34;756;-;2;95;9;-;0;0
01060022;Fredesdorf;590;41;20;11;0;1;1;1;-;19;19;521;40;-;14;9;0;3;3
01060023;Fuhlendorf;649;74;30;17;2;1;0;0;-;43;34;518;-;1;53;2;-;2;2
01060024;Geschendorf;570;80;27;18;1;1;2;0;0;49;45;458;-;-;29;3;-;1;1
01060025;Glasau;1882;103;58;32;3;6;5;2;1;34;34;1397;-;-;336;29;4;13;13
01060026;Gönnebek;1487;124;80;15;0;2;2;2;-;40;40;1043;-;-;312;7;-;0;-
01060027;Großenaspe;4562;387;154;79;9;7;8;5;1;217;204;3557;4;64;540;41;36;1;1
01060028;Groß Kummerfeld;3018;271;117;70;2;5;10;1;-;139;131;2108;2;0;619;17;1;2;2
01060029;Groß Niendorf;1068;68;34;20;1;0;1;0;-;32;32;927;-;-;60;9;-;4;4
01060030;Groß Rönnau;638;62;35;20;4;0;0;0;-;26;26;515;3;2;36;7;17;1;1
01060031;Hagen;820;64;28;17;0;2;7;4;-;27;27;620;-;-;125;5;-;5;5
01060033;Hardebek;1001;66;35;18;-;1;5;3;-;25;25;864;-;-;60;11;-;0;-
01060034;Hartenholm;1537;169;104;77;1;0;6;4;1;58;58;1054;15;41;295;18;1;0;0
01060035;Hasenkrug;520;46;20;14;-;1;0;0;-;26;19;425;-;-;44;5;-;-;-
01060036;Hasenmoor;1777;139;65;29;1;0;4;2;-;69;57;982;1;5;651;3;-;2;2
01060037;Heidmoor;1825;93;22;12;0;0;2;0;-;69;69;1132;170;1;574;16;-;9;9
01060038;Heidmühlen;1783;127;53;31;2;2;13;3;1;58;58;1145;6;17;490;16;1;4;4
01060039;Henstedt-Ulzburg;3947;1197;800;510;131;11;104;71;5;277;256;2369;30;5;307;38;-;36;35
01060040;Hitzhusen;793;112;60;46;2;2;3;0;-;47;44;628;-;-;32;20;-;0;0
01060041;Högersdorf;494;57;22;15;2;5;0;0;-;29;27;391;5;-;19;9;5;14;14
01060042;Hüttblek;275;34;23;18;-;0;1;1;-;10;10;224;-;-;14;2;-;0;-
01060043;Itzstedt;713;116;68;55;4;4;7;6;-;36;36;524;45;-;25;44;-;4;4
01060044;Kaltenkirchen;2311;930;581;315;144;6;107;85;9;227;211;1026;0;1;301;25;29;0;0
01060045;Kattendorf;984;76;45;31;-;0;3;1;-;27;27;670;-;-;234;5;-;0;0
01060046;Kayhude;525;82;58;40;4;0;4;1;-;21;21;376;9;3;64;3;-;-;-
01060047;Kisdorf;2451;327;170;107;10;2;70;6;2;84;84;1742;-;-;367;14;-;2;2
01060048;Klein Gladebrügge;467;53;30;20;3;5;1;-;-;18;13;393;-;-;11;8;0;2;2
01060049;Klein Rönnau;453;109;56;49;3;0;31;24;-;22;21;272;-;2;17;34;-;20;20
01060050;Krems II;1123;68;36;19;1;2;4;3;-;26;26;908;1;0;75;60;10;1;1
01060051;Kükels;845;60;31;19;1;1;2;1;-;26;26;685;5;-;34;42;24;0;0
01060052;Latendorf;1794;120;47;23;2;2;1;-;-;69;66;1282;-;17;377;9;6;1;1
01060053;Leezen;1498;165;93;55;8;6;12;5;2;52;52;1262;6;-;42;18;6;6;6
01060054;Lentföhrden;2007;249;99;71;7;1;22;4;-;126;120;1391;71;12;318;18;21;10;10
01060056;Mönkloh;1252;55;23;15;-;-;3;2;-;30;30;474;2;4;717;5;-;-;-
01060057;Mözen;772;56;27;16;1;0;2;1;-;27;27;555;-;-;24;136;-;1;1
01060058;Nahe;1037;172;108;66;9;5;12;7;1;46;46;814;-;-;44;6;1;0;-
01060059;Negernbötel;1697;169;66;38;1;3;4;0;-;96;95;1084;55;21;404;14;7;19;19
01060060;Nehms;1531;88;53;22;1;0;3;1;-;33;33;1161;14;-;204;73;0;4;4
01060061;Neuengörs;1340;105;54;29;6;5;3;2;1;42;37;1166;0;-;55;12;-;2;2
01060062;Neversdorf;722;81;43;37;0;1;5;5;-;32;32;512;-;-;35;94;-;-;-
01060063;Norderstedt;5810;2684;1719;1047;374;42;289;182;21;613;533;2101;121;10;893;70;8;53;53
01060064;Nützen;2162;227;95;39;36;3;6;1;-;123;117;1409;22;8;352;20;93;62;62
01060065;Oering;909;98;54;42;1;8;8;5;1;28;28;732;1;-;74;4;0;0;-
01060066;Oersdorf;665;73;41;35;0;4;6;4;-;23;22;420;-;-;165;6;-;0;0
01060067;Pronstorf;3631;209;109;61;2;9;6;3;1;85;85;2812;1;-;486;109;1;12;12
01060068;Rickling;3894;377;175;82;5;4;24;13;2;172;160;2023;9;8;1446;20;10;17;17
01060069;Rohlstorf;1968;120;71;44;1;4;5;5;1;39;39;1376;2;-;313;153;-;6;6
01060070;Schackendorf;785;119;54;26;1;0;4;1;-;61;59;525;-;2;114;10;-;17;17
01060071;Schieren;636;41;22;10;1;1;1;1;-;17;17;563;1;-;30;3;-;0;0
01060072;Schmalensee;868;67;30;18;1;0;3;0;-;33;33;772;-;-;20;1;8;1;1
01060073;Schmalfeld;1933;210;117;65;4;8;11;5;2;73;72;1522;8;-;162;37;-;3;3
01060074;Schwissel;444;52;16;12;-;2;1;0;-;34;34;342;-;-;20;5;21;5;4
01060075;Seedorf;4892;283;166;85;6;5;8;3;1;103;103;3620;4;-;745;215;0;29;29
01060076;Seth;1055;134;85;66;3;1;7;1;1;40;40;907;37;1;8;3;-;2;2
01060077;Sievershütten;708;86;55;42;3;0;6;2;1;25;25;577;-;-;41;3;0;0;0
01060079;Stipsdorf;351;27;13;8;-;-;3;3;-;10;10;304;-;-;11;7;-;1;1
01060080;Stocksee;1138;71;33;22;-;0;11;10;-;27;27;662;-;0;143;142;102;17;17
01060081;Strukdorf;730;62;17;8;-;0;1;0;-;44;39;520;-;-;142;3;-;3;3
01060082;Struvenhütten;1288;129;74;49;1;1;8;6;-;47;47;1066;-;-;67;25;-;1;1
01060084;Stuvenborn;798;74;47;28;2;0;2;1;-;26;26;707;-;-;8;7;-;0;-
01060085;Sülfeld;2605;337;177;112;7;2;59;8;3;96;92;1853;31;-;343;33;37;3;3
01060086;Tarbek;1002;51;23;7;2;-;0;0;-;28;26;721;1;-;138;1;89;2;2
01060087;Tensfeld;765;139;48;26;13;42;14;8;-;35;35;371;29;-;117;2;102;34;34
01060088;Todesfelde;1724;119;59;33;3;1;6;2;-;53;53;1506;7;-;77;21;-;0;0
01060089;Trappenkamp;345;233;166;98;41;1;22;10;2;42;42;45;-;-;53;2;1;12;12
01060090;Travenhorst;853;40;20;10;0;0;2;2;-;18;17;668;-;-;124;7;0;15;12
01060091;Traventhal;537;46;22;16;1;1;7;0;-;15;15;466;-;-;17;7;0;0;0
01060092;Wahlstedt;1575;497;335;202;72;4;26;13;10;122;98;869;28;-;179;19;1;10;10
01060093;Wakendorf I;534;47;26;13;1;2;2;0;-;17;13;444;-;0;35;8;-;0;0
01060094;Wakendorf II;1280;123;68;50;-;1;4;1;-;49;49;1141;22;-;7;9;0;0;-
01060095;Weddelbrook;1405;133;68;32;7;2;14;6;-;51;51;1191;-;5;70;11;0;0;0
01060096;Weede;1641;157;62;34;2;2;3;1;-;91;89;1348;1;-;106;18;-;12;11
01060097;Wensin;2017;159;46;29;1;4;74;3;-;35;35;1451;-;-;262;139;-;7;7
01060098;Westerrade;563;49;30;18;0;1;3;0;-;15;15;445;-;-;64;4;-;0;0
01060099;Wiemersdorf;1755;179;83;53;3;4;5;2;-;88;80;1428;-;-;125;20;-;2;2
01060100;Winsen;408;42;27;19;2;0;2;2;-;13;13;226;-;-;131;3;5;1;1
01060101;Wittenborn;619;116;69;34;28;0;16;15;-;30;30;328;5;-;138;10;23;4;4
01061001;Aasbüttel;451;28;15;7;-;-;-;-;-;13;13;386;0;-;29;7;-;-;-
01061002;Aebtissinwisch;304;20;10;4;-;0;-;-;-;10;10;265;23;-;12;7;-;-;-
01061003;Agethorst;610;51;15;9;1;0;1;1;-;34;33;462;-;-;77;19;1;0;0
01061004;Altenmoor;612;44;26;14;-;0;1;1;-;17;15;544;-;-;8;16;-;-;-
01061005;Auufer;512;27;13;4;-;0;-;-;-;14;14;444;-;-;28;12;-;1;1
01061006;Bahrenfleth;1477;95;63;37;0;1;2;0;1;29;29;1327;-;-;5;50;-;0;0
01061007;Beidenfleth;1357;99;64;29;4;2;2;1;0;31;30;1191;-;-;0;65;-;2;2
01061008;Bekdorf;170;16;5;4;-;0;0;0;-;10;5;151;-;-;0;2;-;-;-
01061010;Bekmünde;290;30;11;6;1;2;-;-;-;17;10;246;-;-;-;14;-;-;-
01061011;Besdorf;737;75;23;15;-;2;0;0;-;49;48;596;-;-;58;7;1;0;-
01061012;Blomesche Wildnis;692;69;48;26;4;0;1;1;-;21;20;616;-;-;1;6;-;0;0
01061013;Bokelrehm;269;26;13;8;-;1;-;-;-;12;11;204;-;-;36;3;0;-;-
