GENESIS-Tabelle: 33111-01-01-5-B
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung (ohne Friedhofsfläche);Flächen anderer Nutzung (ohne Friedhofsfläche)
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
01051053;Hollingstedt;974;60;27;15;-;1;2;0;-;30;30;767;-;-;34;22;-;92;92
01051054;Immenstedt;309;26;13;8;-;-;-;-;-;13;13;280;-;2;1;1;0;1;1
01051057;Kaiser-Wilhelm-Koog;1306;85;56;17;6;1;-;-;-;28;28;1026;-;-;0;25;-;169;169
01051058;Karolinenkoog;1755;72;32;8;3;0;0;-;-;40;38;1191;-;-;1;485;-;6;6
01051060;Kleve, Dithmarschen;1281;73;41;28;0;0;1;0;-;30;30;1068;-;-;14;107;-;20;20
01051061;Krempel;483;53;34;27;2;0;1;-;-;18;15;357;-;-;9;7;-;56;56
01051062;Kronprinzenkoog;2885;190;110;40;2;1;2;1;3;74;72;2384;-;-;1;43;-;267;267
01051063;Krumstedt;1589;114;56;23;0;2;1;1;-;55;55;1209;-;13;201;20;3;41;41
01051064;Kuden;1137;100;49;26;-;3;0;0;-;47;44;856;-;-;90;64;-;28;28
01051065;Lehe;1863;133;81;61;0;3;3;1;-;46;42;1603;-;-;2;115;-;10;10
01051067;Lieth;466;121;100;13;75;5;0;0;-;16;16;325;-;-;7;9;-;4;4
01051068;Linden;1162;118;63;35;1;7;3;1;-;44;44;975;3;-;33;11;-;26;26
01051069;Lohe-Rickelshof;539;136;83;66;5;4;4;1;1;43;39;375;-;-;10;9;-;9;9
01051071;Lunden;465;102;65;52;7;0;6;1;5;26;22;280;-;-;35;33;-;15;15
01051072;Marne;483;300;224;149;31;2;18;9;5;51;47;175;-;-;-;7;-;1;1
01051073;Marnerdeich;131;25;19;13;1;0;1;0;-;5;5;102;-;-;-;3;-;1;1
01051074;Meldorf;2125;470;312;186;51;3;26;11;7;122;109;1366;-;-;9;181;-;99;99
01051075;Neuenkirchen;2514;181;90;40;5;1;1;1;1;88;84;2263;-;-;4;48;-;18;18
01051076;Neufeld;1041;93;53;27;0;2;1;1;-;38;36;931;-;-;0;16;-;1;1
01051077;Neufelderkoog;976;50;24;3;-;0;1;1;-;25;25;883;-;-;-;35;-;8;8
01051078;Nindorf;873;121;73;50;8;7;4;2;-;38;37;684;-;-;33;13;12;10;9
01051079;Norddeich;690;61;33;20;-;1;1;0;-;27;27;617;-;-;0;11;-;1;1
01051080;Norderheistedt;433;26;13;4;0;1;0;0;-;12;12;399;-;-;2;6;-;0;0
01051081;Norderwöhrden;1847;132;53;20;-;2;1;-;-;76;76;1671;-;-;5;38;-;1;1
01051082;Nordhastedt;2656;325;164;115;5;6;13;2;3;139;125;1689;0;-;261;93;0;287;287
01051083;Odderade;1126;64;32;19;1;1;-;-;-;30;30;648;-;-;361;17;-;37;36
01051084;Oesterdeichstrich;464;53;23;14;0;0;0;0;-;31;15;400;-;-;0;10;-;1;1
01051085;Offenbüttel;1395;79;36;19;-;1;2;-;-;40;40;1154;29;-;47;49;1;65;65
01051086;Osterrade;1709;102;56;26;0;0;-;-;-;47;47;1502;24;-;58;36;0;11;11
01051087;Ostrohe;667;102;59;45;1;1;8;1;-;33;33;474;35;-;57;30;-;4;4
01051088;Pahlen;1080;139;75;46;3;8;13;1;2;42;42;825;-;-;10;53;16;37;37
01051089;Quickborn;695;58;19;13;0;0;1;0;-;38;26;259;-;0;373;2;-;3;2
01051090;Ramhusen;480;38;22;9;-;0;0;-;-;16;16;426;-;-;3;12;-;0;0
01051092;Rehm-Flehde-Bargen;1462;110;59;33;4;1;3;2;-;47;39;921;-;-;43;39;-;350;350
01051093;Reinsbüttel;683;55;30;18;-;1;0;-;-;23;21;605;-;-;1;22;-;0;0
01051096;Sankt Annen;1489;97;48;22;1;1;0;0;1;47;40;1305;-;-;4;70;-;14;14
01051097;Sankt Michaelisdonn;2306;456;194;132;17;13;92;9;2;154;95;1661;-;23;133;34;-;21;21
01051098;Sarzbüttel;1339;111;59;42;1;3;4;1;1;43;43;977;0;-;154;52;-;45;44
01051099;Schafstedt;1816;247;106;72;6;7;15;0;1;118;88;1385;-;-;128;46;-;11;10
01051100;Schalkholz;1250;103;54;30;5;2;1;0;-;46;46;1014;58;-;37;9;52;35;34
01051102;Schlichting;1250;82;42;14;0;0;-;-;-;40;40;1121;-;-;9;32;-;6;6
01051103;Schmedeswurth;591;48;28;8;2;0;0;0;-;19;19;531;-;-;1;10;-;1;0
01051104;Schrum;500;24;8;2;-;1;0;-;-;16;16;429;-;38;43;2;0;1;1
01051105;Schülp;927;81;49;23;0;0;1;-;-;32;31;815;-;-;0;30;-;0;0
01051107;Stelle-Wittenwurth;1071;98;40;24;1;0;1;1;-;57;51;866;-;-;8;20;-;79;79
01051108;Strübbel;440;29;14;7;0;1;0;0;-;13;13;402;-;-;-;9;-;-;-
01051109;Süderdeich;664;59;35;19;3;0;0;0;0;23;21;585;-;-;3;16;-;1;1
01051110;Süderhastedt;1574;124;60;28;0;1;2;0;2;59;58;1318;-;0;96;17;1;19;19
01051111;Süderheistedt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01051113;Wöhrden;2177;206;103;73;3;3;5;1;2;94;89;1904;-;-;1;52;-;14;14
01051114;Tellingstedt;2110;251;149;97;8;1;10;4;3;88;88;1647;1;-;39;118;11;44;44
01051117;Tielenhemme;1271;48;23;13;-;0;2;1;-;23;23;1128;-;-;1;72;-;21;20
01051118;Trennewurth;779;58;33;17;0;1;0;0;-;24;24;703;-;-;-;17;-;0;0
01051119;Volsemenhusen;1678;111;57;16;2;0;0;0;-;53;49;1537;-;-;0;30;-;0;0
01051120;Wallen;186;13;6;2;0;0;0;-;-;7;7;163;-;-;3;6;-;2;2
01051121;Warwerort;458;68;20;15;-;0;31;1;-;17;17;325;-;-;0;32;-;33;33
