GENESIS-Tabelle: 14338-01-02-5
Landtagswahlen: Baden-Württemberg - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Baden-Württemberg;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.03.2016;08116073;Wolfschlugen;4763;74,3;2884;828;374;891;209;48;534
13.03.2016;08116076;Aichwald;5871;77,4;3660;1122;580;1046;291;56;565
13.03.2016;08116077;Filderstadt, Stadt;30735;67,6;16951;4112;1860;6139;1565;350;2925
13.03.2016;08116078;Leinfelden-Echterdingen, Stadt;26765;72,2;15585;3574;1696;6120;1523;318;2354
13.03.2016;08116079;Lenningen;5648;72,1;3526;932;519;1002;308;64;701
13.03.2016;08116080;Ostfildern, Stadt;26765;71,7;15874;4068;2252;5287;1102;425;2740
13.03.2016;08116081;Aichtal, Stadt;7467;73,9;4496;1108;471;1605;425;74;813
13.03.2016;08117001;Adelberg;1542;77,6;990;256;143;248;101;27;215
13.03.2016;08117002;Aichelberg;1004;71,1;596;149;62;181;61;11;132
13.03.2016;08117003;Albershausen;3136;69,7;1797;511;256;455;165;30;380
13.03.2016;08117006;Bad Ditzenbach;2813;67,5;1543;498;171;446;123;21;284
13.03.2016;08117007;Bad Überkingen;3051;72,4;1808;626;242;490;93;20;337
13.03.2016;08117009;Birenbach;1495;69,9;876;216;136;238;66;13;207
13.03.2016;08117010;Böhmenkirch;3983;72,0;2465;930;304;594;186;27;424
13.03.2016;08117011;Börtlingen;1327;76,2;858;232;111;276;59;14;166
13.03.2016;08117012;Bad Boll;3895;70,3;2164;455;253;917;163;43;333
13.03.2016;08117014;Deggingen;4073;69,4;2293;786;300;657;134;25;391
13.03.2016;08117015;Donzdorf, Stadt;8082;70,8;4714;1454;611;1369;384;62;834
13.03.2016;08117016;Drackenstein;323;72,1;202;64;20;52;15;1;50
13.03.2016;08117017;Dürnau;1610;73,4;980;262;122;325;60;19;192
