GENESIS-Tabelle: 14342-01-02-5
Landtagswahlen: Brandenburg- Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Brandenburg;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.09.2014;12061572;Zeuthen;9229;58,3;5315;1096;1369;609;68;1083;1090
14.09.2014;12062024;Bad Liebenwerda;8313;46,8;3831;1119;1221;100;54;566;771
14.09.2014;12062088;Crinitz;1095;41,6;447;128;158;6;6;70;79
14.09.2014;12062092;Doberlug-Kirchhain;7719;52,8;3997;1091;1241;106;46;613;900
14.09.2014;12062124;Elsterwerda;7120;45,0;3149;1005;858;65;40;499;682
14.09.2014;12062128;Falkenberg/Elster;5791;46,1;2636;771;866;67;48;403;481
14.09.2014;12062134;Fichtwald;593;60,7;353;84;117;6;3;63;80
14.09.2014;12062140;Finsterwalde;14410;45,9;6495;1705;2370;222;71;1158;969
14.09.2014;12062177;Gorden-Staupitz;880;44,1;382;113;127;8;0;49;85
14.09.2014;12062196;Gröden;1239;36,4;442;163;105;5;1;35;133
14.09.2014;12062208;Großthiemig;948;40,8;379;130;107;5;4;41;92
14.09.2014;12062219;Heideland, NL;487;59,3;279;87;88;7;5;39;53
14.09.2014;12062224;Herzberg (Elster);8055;48,2;3822;974;1279;98;38;706;727
14.09.2014;12062232;Hirschfeld, b Elsterwerda;1125;34,5;372;152;63;6;4;40;107
14.09.2014;12062237;Hohenbucko;564;51,4;284;88;86;3;4;28;75
14.09.2014;12062240;Hohenleipisch;1758;44,1;766;273;196;8;7;112;170
14.09.2014;12062282;Kremitzaue;735;48,7;351;61;148;6;2;42;92
14.09.2014;12062289;Lebusa;699;48,1;324;72;96;6;3;45;102
14.09.2014;12062293;Lichterfeld-Schacksdorf;881;48,1;421;129;157;15;0;41;79
14.09.2014;12062333;Massen-Niederlausitz;1788;48,7;857;295;266;33;5;89;169
14.09.2014;12062336;Merzdorf;759;46,0;339;121;79;3;3;40;93
14.09.2014;12062341;Mühlberg/Elbe;3517;47,3;1634;414;684;38;18;215;265
14.09.2014;12062372;Plessa;2470;35,0;841;235;220;18;9;129;230
14.09.2014;12062410;Röderland;3585;48,5;1709;606;451;30;16;230;376
14.09.2014;12062417;Rückersdorf, b Doberlug-Kirchhain;1288;42,4;534;141;208;14;9;51;111
14.09.2014;12062425;Sallgast;1293;43,3;552;159;146;32;9;87;119
14.09.2014;12062440;Schilda;443;38,1;166;46;50;2;1;21;46
14.09.2014;12062445;Schlieben;2242;46,2;1012;224;308;21;12;156;291
14.09.2014;12062453;Schönborn, NL;1369;44,2;595;123;130;15;2;61;264
14.09.2014;12062461;Schönewalde;2775;52,8;1439;318;479;43;18;229;352
14.09.2014;12062464;Schraden;460;44,1;200;80;43;1;1;22;53
14.09.2014;12062469;Sonnewalde;2859;57,0;1538;479;334;48;16;153;508
