GENESIS-Tabelle: 14211-01-02-5-B
Europawahl: Wahlberechtigte und -beteiligung,;;;;;;;;;;;
Gültige Stimmen nach Parteien;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;
Allgemeine Europawahlstatistik;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
25.05.2014;01051081;Norderwöhrden;251;36,7;92;60;10;7;2;3;10
25.05.2014;01051082;Nordhastedt;2214;37,9;830;355;230;19;88;33;105
25.05.2014;01051083;Odderade;261;43,7;114;58;38;1;6;1;10
25.05.2014;01051084;Oesterdeichstrich;196;39,8;77;42;21;7;-;1;6
25.05.2014;01051085;Offenbüttel;213;46,0;96;69;12;1;3;6;5
25.05.2014;01051086;Osterrade;335;48,1;158;89;30;3;17;11;8
25.05.2014;01051087;Ostrohe;789;38,1;299;117;99;8;25;5;45
25.05.2014;01051088;Pahlen;915;31,0;279;143;68;9;16;9;34
25.05.2014;01051089;Quickborn;159;53,5;85;34;21;1;12;2;15
25.05.2014;01051090;Ramhusen;118;36,4;43;30;5;1;1;0;6
25.05.2014;01051092;Rehm-Flehde-Bargen;420;32,6;137;53;56;8;6;6;8
25.05.2014;01051093;Reinsbüttel;337;38,9;130;50;43;5;10;4;18
25.05.2014;01051096;Sankt Annen;257;38,1;98;48;27;1;13;1;8
25.05.2014;01051097;Sankt Michaelisdonn;2865;30,7;873;383;260;38;50;23;119
25.05.2014;01051098;Sarzbüttel;576;39,8;225;83;83;2;23;16;18
25.05.2014;01051099;Schafstedt;1060;37,2;392;199;86;20;37;5;45
25.05.2014;01051100;Schalkholz;498;30,5;151;81;25;9;16;6;14
25.05.2014;01051102;Schlichting;199;37,7;74;48;19;2;3;0;2
25.05.2014;01051103;Schmedeswurth;161;46,0;74;47;15;1;3;0;8
25.05.2014;01051104;Schrum;57;57,9;32;20;6;0;3;0;3
25.05.2014;01051105;Schülp;344;38,4;131;60;38;12;10;2;9
25.05.2014;01051107;Stelle-Wittenwurth;393;26,7;105;58;29;3;5;6;4
25.05.2014;01051108;Strübbel;72;59,7;41;19;15;0;0;2;5
25.05.2014;01051109;Süderdeich;373;32,7;122;51;32;5;10;5;19
25.05.2014;01051110;Süderhastedt;649;35,9;233;132;53;5;5;10;28
25.05.2014;01051111;Süderheistedt;-;-;-;-;-;-;-;-;-
25.05.2014;01051113;Wöhrden;1084;34,3;371;163;124;11;28;9;36
25.05.2014;01051114;Tellingstedt;2087;32,7;672;347;168;18;30;20;89
25.05.2014;01051117;Tielenhemme;133;44,4;59;26;18;2;4;2;7
25.05.2014;01051118;Trennewurth;218;43,1;93;30;29;5;10;3;16
25.05.2014;01051119;Volsemenhusen;271;38,7;105;52;24;3;10;2;14
25.05.2014;01051120;Wallen;27;77,8;21;7;3;0;4;6;1
25.05.2014;01051121;Warwerort;210;47,1;99;45;23;2;7;6;16
25.05.2014;01051122;Weddingstedt;1877;32,3;603;255;179;25;76;13;55
25.05.2014;01051125;Welmbüttel;348;37,1;126;49;33;6;8;5;25
25.05.2014;01051126;Wennbüttel;65;69,2;45;22;13;3;4;0;3
25.05.2014;01051127;Wesselburen;2374;29,2;686;287;202;31;37;38;91
25.05.2014;01051128;Wesselburener Deichhausen;112;55,4;61;25;13;2;8;4;9
25.05.2014;01051129;Wesselburenerkoog;138;42,8;59;30;15;2;3;2;7
25.05.2014;01051130;Wesseln;1180;38,7;454;171;145;12;53;29;44
25.05.2014;01051131;Westerborstel;85;63,5;54;32;10;2;7;0;3
25.05.2014;01051132;Westerdeichstrich;726;34,3;248;102;72;5;17;4;48
25.05.2014;01051133;Wiemerstedt;134;61,2;82;59;9;2;4;1;7
25.05.2014;01051134;Windbergen;632;43,8;277;139;72;3;25;5;33
25.05.2014;01051135;Wolmersdorf;270;55,2;148;62;36;5;26;3;16
25.05.2014;01051136;Wrohm;576;40,1;231;143;43;13;10;7;15
25.05.2014;01051137;Nordermeldorf;469;37,3;173;104;36;8;9;2;14
25.05.2014;01051138;Tensbüttel-Röst;502;38,4;192;94;42;12;15;4;25
25.05.2014;01051139;Süderdorf;297;45,8;135;90;17;10;7;3;8
25.05.2014;01051140;Oesterwurth;213;40,8;87;39;23;4;8;2;11
25.05.2014;01051141;Süderheistedt;474;39,2;185;99;42;9;16;6;13
25.05.2014;01053001;Albsfelde;59;54,2;32;14;7;2;6;1;2
25.05.2014;01053002;Alt Mölln;701;39,7;277;112;73;4;33;9;46
25.05.2014;01053003;Aumühle;2519;44,7;1124;427;269;95;158;53;122
25.05.2014;01053004;Bäk;689;42,2;289;123;77;18;30;6;35
25.05.2014;01053005;Bälau;190;53,7;101;52;27;3;3;1;15
25.05.2014;01053006;Basedow;562;35,4;195;50;58;7;18;9;53
25.05.2014;01053007;Basthorst;353;42,2;147;62;35;1;21;6;22
25.05.2014;01053008;Behlendorf;301;56,8;171;84;27;8;27;4;21
25.05.2014;01053009;Berkenthin;1601;36,2;569;205;177;9;87;20;71
25.05.2014;01053010;Besenthal;65;69,2;45;31;8;1;-;1;4
25.05.2014;01053011;Bliestorf;487;49,1;236;43;93;9;53;14;24
25.05.2014;01053012;Börnsen;3375;39,3;1314;354;457;56;233;62;152
25.05.2014;01053013;Borstorf;228;56,6;128;52;37;2;18;3;16
25.05.2014;01053014;Breitenfelde;1543;40,1;614;252;172;22;57;10;101
25.05.2014;01053015;Bröthen;217;41,5;90;41;25;1;9;3;11
25.05.2014;01053016;Brunsmark;134;61,2;81;19;29;1;6;10;16
25.05.2014;01053017;Brunstorf;486;42,4;206;80;62;5;22;3;34
25.05.2014;01053018;Buchholz;186;65,6;122;34;24;12;31;10;11
25.05.2014;01053019;Buchhorst;144;49,3;71;33;17;3;6;0;12
25.05.2014;01053020;Büchen;4605;37,3;1704;567;619;39;187;53;239
25.05.2014;01053021;Dahmker;131;45,0;59;27;12;1;9;3;7
25.05.2014;01053022;Dalldorf;301;41,2;123;60;21;2;13;3;24
25.05.2014;01053023;Dassendorf;2522;41,3;1037;368;343;47;121;34;124
25.05.2014;01053024;Düchelsdorf;128;45,3;58;26;14;2;7;2;7
25.05.2014;01053025;Duvensee;428;43,7;185;81;38;13;27;10;16
25.05.2014;01053026;Einhaus;304;46,4;140;56;43;5;19;4;13
25.05.2014;01053027;Elmenhorst;664;41,0;270;104;92;14;29;5;26
25.05.2014;01053028;Escheburg;2559;42,0;1072;334;327;37;193;59;122
25.05.2014;01053029;Fitzen;272;52,2;141;62;38;0;16;6;19
25.05.2014;01053030;Fredeburg;38;55,3;21;1;3;1;12;1;3
25.05.2014;01053031;Fuhlenhagen;254;55,1;134;66;30;3;15;5;15
25.05.2014;01053032;Geesthacht;22981;32,3;7375;2195;2628;224;770;457;1101
25.05.2014;01053033;Giesensdorf;108;49,1;53;26;12;3;4;4;4
