GENESIS-Tabelle: 31111-02-02-5-B
Baugenehmigungen: Errichtung neuer Nichtwohngebäude;;;;
- Jahressumme - regionale Ebenen;;;;
Statistik der Baugenehmigungen;;;;
Nichtwohngebäude;;;;
2015;;;;
;;Nichtwohngebäude;Nutzfläche;Wohnungen
;;Anzahl;1000 qm;Anzahl
01053033;Giesensdorf;0;0,0;0
01053034;Göldenitz;0;0,0;0
01053035;Göttin;0;0,0;0
01053036;Grabau;0;0,0;0
01053037;Grambek;0;0,0;0
01053038;Grinau;0;0,0;0
01053039;Groß Boden;0;0,0;0
01053040;Groß Disnack;0;0,0;0
01053041;Groß Grönau;2;3,0;0
01053042;Groß Pampau;0;0,0;0
01053043;Groß Sarau;1;0,5;0
01053044;Groß Schenkenberg;0;0,0;0
01053045;Grove;0;0,0;0
01053046;Gudow;1;0,1;0
01053047;Gülzow;0;0,0;0
01053048;Güster;2;1,8;0
01053049;Hamfelde;0;0,0;0
01053050;Hamwarde;0;0,0;0
01053051;Harmsdorf;0;0,0;0
01053052;Havekost;0;0,0;0
01053053;Hohenhorn;0;0,0;0
01053054;Hollenbek;0;0,0;0
01053056;Hornbek;0;0,0;0
01053057;Horst;0;0,0;0
01053058;Juliusburg;0;0,0;0
01053059;Kankelau;0;0,0;0
01053060;Kasseburg;0;0,0;0
01053061;Kastorf;1;0,1;0
01053062;Kittlitz;0;0,0;0
01053064;Klein Pampau;0;0,0;0
01053066;Klein Zecher;0;0,0;0
01053067;Klempau;0;0,0;0
01053068;Klinkrade;0;0,0;0
01053069;Koberg;1;1,0;0
01053070;Köthel;0;0,0;0
01053071;Kollow;0;0,0;0
01053072;Kröppelshagen-Fahrendorf;0;0,0;0
01053073;Krüzen;0;0,0;0
01053074;Krukow;0;0,0;0
01053075;Krummesse;0;0,0;0
01053076;Kuddewörde;0;0,0;0
01053077;Kühsen;0;0,0;0
01053078;Kulpin;0;0,0;0
01053079;Labenz;0;0,0;0
01053080;Langenlehsten;0;0,0;0
01053081;Lankau;0;0,0;0
01053082;Lanze;0;0,0;0
01053083;Lauenburg/Elbe;2;1,9;0
01053084;Lehmrade;0;0,0;0
01053085;Linau;1;0,2;0
01053086;Lüchow;0;0,0;0
01053087;Lütau;1;0,2;0
01053088;Mechow;0;0,0;0
01053089;Möhnsen;3;0,8;0
01053090;Mölln;2;2,7;0
01053091;Mühlenrade;0;0,0;0
01053092;Müssen;1;0,1;0
01053093;Mustin;0;0,0;0
01053094;Niendorf bei Berkenthin;0;0,0;0
01053095;Niendorf/Stecknitz;0;0,0;0
01053096;Nusse;0;0,0;0
01053097;Panten;2;3,3;0
01053098;Pogeez;1;0,6;0
01053099;Poggensee;0;0,0;0
01053100;Ratzeburg;2;0,3;0
01053101;Ritzerau;0;0,0;0
01053102;Römnitz;0;0,0;0
01053103;Rondeshagen;0;0,0;0
01053104;Roseburg;0;0,0;0
01053105;Sachsenwald;0;0,0;0
01053106;Sahms;0;0,0;0
01053107;Salem;0;0,0;0
01053108;Sandesneben;0;0,0;0
01053109;Schiphorst;0;0,0;0
01053110;Schmilau;0;0,0;0
01053111;Schnakenbek;1;3,2;0
01053112;Schönberg;0;0,0;0
01053113;Schretstaken;0;0,0;0
01053114;Schürensöhlen;0;0,0;0
01053115;Schulendorf;0;0,0;0
01053116;Schwarzenbek;3;1,0;0
01053117;Seedorf;0;0,0;0
01053118;Siebenbäumen;2;0,1;0
01053119;Siebeneichen;0;0,0;0
01053120;Sierksrade;0;0,0;0
01053121;Sirksfelde;0;0,0;0
01053122;Steinhorst;0;0,0;0
01053123;Sterley;0;0,0;0
01053124;Stubben;0;0,0;0
01053125;Talkau;0;0,0;0
01053126;Tramm;0;0,0;0
01053127;Walksfelde;0;0,0;0
01053128;Wangelau;0;0,0;0
01053129;Wentorf bei Hamburg;0;0,0;0
01053130;Wentorf (Amt Sandesneben);0;0,0;0
01053131;Wiershop;1;0,9;0
01053132;Witzeeze;0;0,0;0
01053133;Wohltorf;0;0,0;0
01053134;Woltersdorf;0;0,0;0
01053135;Worth;0;0,0;0
01053136;Ziethen;1;0,4;0
01054001;Achtrup;2;1,4;0
01054002;Ahrenshöft;0;0,0;0
01054003;Ahrenviöl;1;0,1;0
01054004;Ahrenviölfeld;0;0,0;0
01054005;Alkersum;1;0,7;0
01054006;Almdorf;0;0,0;0
01054007;Arlewatt;0;0,0;0
01054009;Aventoft;1;0,4;0
01054010;Bargum;0;0,0;0
01054011;Behrendorf;0;0,0;0
01054012;Bohmstedt;1;1,3;0
01054013;Bondelum;1;0,7;0
01054014;Bordelum;1;0,8;0
01054015;Borgsum;0;0,0;0
01054016;Bosbüll;0;0,0;0
01054017;Braderup;2;0,7;0
01054018;Bramstedtlund;0;0,0;0
01054019;Bredstedt;2;0,2;0
01054020;Breklum;1;0,5;0
01054022;Dagebüll;1;0,4;0
01054023;Drage;1;1,6;0
01054024;Drelsdorf;2;0,7;0
01054025;Dunsum;0;0,0;0
01054026;Elisabeth-Sophien-Koog;0;0,0;0
01054027;Ellhöft;0;0,0;0
01054032;Fresendelf;0;0,0;0
01054033;Friedrichstadt;2;0,3;0
01054034;Friedrich-Wilhelm-Lübke-Koog;1;1,1;0
01054035;Garding, Kirchspiel;0;0,0;0
01054036;Garding;1;0,1;0
01054037;Goldebek;0;0,0;0
01054038;Goldelund;0;0,0;0
01054039;Gröde;0;0,0;0
01054040;Grothusenkoog;0;0,0;0
01054041;Haselund;0;0,0;0
01054042;Hattstedt;3;0,3;0
01054043;Hattstedtermarsch;0;0,0;0
01054045;Högel;0;0,0;0
01054046;Hörnum (Sylt);0;0,0;0
01054048;Holm;0;0,0;0
01054050;Hallig Hooge;0;0,0;0
01054052;Horstedt;1;0,6;0
01054054;Hude;1;0,2;0
01054055;Humptrup;0;0,0;0
01054056;Husum;15;4,0;0
01054057;Immenstedt;0;0,0;0
01054059;Joldelund;0;0,0;0
01054061;Kampen (Sylt);0;0,0;0
01054062;Karlum;1;0,1;0
01054063;Katharinenheerd;0;0,0;0
01054065;Klanxbüll;1;0,2;0
01054068;Klixbüll;1;0,3;0
01054070;Koldenbüttel;0;0,0;0
01054071;Kolkerheide;0;0,0;0
01054072;Kotzenbüll;0;0,0;0
01054073;Ladelund;1;0,1;0
01054074;Langeneß;0;0,0;0
01054075;Langenhorn;3;1,1;0
01054076;Leck;1;0,1;0
01054077;Lexgaard;0;0,0;0
01054078;List;2;0,1;0
01054079;Löwenstedt;1;0,3;0
01054080;Lütjenholm;1;0,1;0
01054083;Midlum;0;0,0;0
01054084;Mildstedt;4;0,8;0
01054085;Nebel;0;0,0;0
01054086;Neukirchen;2;4,4;0
01054087;Nieblum;1;0,0;0
01054088;Niebüll;12;6,3;1
01054089;Norddorf auf Amrum;0;0,0;0
01054090;Norderfriedrichskoog;0;0,0;0
01054091;Nordstrand;3;0,8;0
01054092;Norstedt;0;0,0;0
01054093;Ockholm;1;0,5;0
01054094;Oevenum;0;0,0;0
01054095;Oldenswort;1;0,0;0
01054096;Oldersbek;0;0,0;0
01054097;Olderup;0;0,0;0
01054098;Oldsum;1;0,2;0
01054099;Ostenfeld (Husum);2;0,5;0
01054100;Osterhever;0;0,0;0
01054101;Oster-Ohrstedt;0;0,0;0
01054103;Pellworm;0;0,0;0
01054104;Poppenbüll;0;0,0;0
01054105;Ramstedt;0;0,0;0
01054106;Rantrum;4;2,8;0
01054107;Rantum (Sylt);-;-;-
01054108;Reußenköge;0;0,0;0
01054109;Risum-Lindholm;4;0,5;1
01054110;Rodenäs;0;0,0;0
01054113;Sankt Peter-Ording;8;2,3;2
01054116;Schwabstedt;0;0,0;0
01054118;Schwesing;2;0,4;0
01054119;Seeth;0;0,0;0
01054120;Simonsberg;1;0,1;0
01054121;Sönnebüll;1;0,4;0
01054123;Sollwitt;0;0,0;0
01054124;Sprakebüll;2;0,9;0
01054125;Stadum;1;0,1;0
01054126;Stedesand;0;0,0;0
01054128;Struckum;0;0,0;0
01054129;Süderende;0;0,0;0
01054130;Süderhöft;0;0,0;0
01054131;Süderlügum;1;0,1;0
01054132;Südermarsch;0;0,0;0
01054133;Sylt-Ost;-;-;-
01054134;Tating;1;0,8;0
01054135;Tetenbüll;1;1,1;0
01054136;Tinningstedt;0;0,0;0
01054138;Tönning;1;0,4;0
01054140;Tümlauer Koog;0;0,0;0
01054141;Uelvesbüll;0;0,0;0
01054142;Uphusum;0;0,0;0
01054143;Utersum;2;2,1;0
01054144;Viöl;1;0,1;0
01054145;Vollerwiek;0;0,0;0
01054146;Vollstedt;0;0,0;0
01054148;Welt;0;0,0;0
01054149;Wenningstedt-Braderup (Sylt);0;0,0;0
01054150;Westerhever;0;0,0;0
01054151;Westerland;-;-;-
01054152;Wester-Ohrstedt;1;0,2;0
01054154;Westre;1;4,3;0
01054156;Winnert;0;0,0;0
01054157;Wisch;0;0,0;0
01054158;Witsum;0;0,0;0
01054159;Wittbek;1;0,1;0
01054160;Wittdün auf Amrum;0;0,0;0
01054161;Witzwort;2;0,1;0
01054162;Wobbenbüll;0;0,0;0
01054163;Wrixum;0;0,0;0
01054164;Wyk auf Föhr;3;0,5;1
01054165;Galmsbüll;1;1,1;0
01054166;Emmelsbüll-Horsbüll;0;0,0;0
01054167;Enge-Sande;6;2,2;1
01054168;Sylt;6;3,8;17
01055001;Ahrensbök;2;0,6;0
01055002;Altenkrempe;1;0,2;1
01055004;Bad Schwartau;3;1,5;0
01055006;Beschendorf;1;1,5;0
01055007;Bosau;0;0,0;0
01055010;Dahme;3;0,2;0
01055011;Damlos;0;0,0;0
01055012;Eutin;3;3,5;0
01055014;Göhl;1;0,8;0
01055015;Gremersdorf;2;1,3;0
01055016;Grömitz;1;1,1;0
01055017;Großenbrode;4;2,1;0
01055018;Grube;0;0,0;0
01055020;Harmsdorf;0;0,0;0
01055021;Heiligenhafen;10;19,6;18
01055022;Heringsdorf (Holstein);0;0,0;0
01055023;Kabelhorst;0;0,0;0
01055024;Kasseedorf;0;0,0;0
01055025;Kellenhusen (Ostsee);0;0,0;0
01055027;Lensahn;2;0,9;1
01055028;Malente;2;3,3;0
01055029;Manhagen;0;0,0;0
01055031;Neukirchen;0;0,0;0
01055032;Neustadt in Holstein;5;5,7;0
01055033;Oldenburg in Holstein;5;8,4;0
01055035;Ratekau;2;2,8;0
01055036;Riepsdorf;5;6,6;0
01055037;Schashagen;2;0,3;0
01055038;Schönwalde am Bungsberg;3;1,2;0
01055039;Sierksdorf;2;0,2;1
01055040;Stockelsdorf;4;3,0;0
01055041;Süsel;2;0,6;1
01055042;Timmendorfer Strand;1;0,1;0
01055043;Wangels;3;1,7;0
01055044;Scharbeutz;5;1,4;1
01055046;Fehmarn;8;3,1;0
01056001;Appen;5;1,1;0
01056002;Barmstedt;3;1,3;0
01056003;Bevern;0;0,0;0
01056004;Bilsen;2;0,4;0
01056005;Bönningstedt;1;0,4;0
01056006;Bokel;1;0,2;0
01056008;Bokholt-Hanredder;1;0,3;0
01056009;Borstel-Hohenraden;2;0,5;0
01056010;Brande-Hörnerkirchen;2;1,5;0
01056011;Bullenkuhlen;0;0,0;0
01056013;Ellerbek;0;0,0;0
01056014;Ellerhoop;1;0,1;0
01056015;Elmshorn;10;6,8;0
01056016;Groß Nordende;0;0,0;0
01056017;Groß Offenseth-Aspern;1;0,9;0
01056018;Halstenbek;1;1,8;0
01056019;Haselau;0;0,0;0
01056020;Haseldorf;1;0,3;0
01056021;Hasloh;1;0,0;0
01056022;Heede;1;0,4;0
01056023;Heidgraben;3;2,5;0
01056024;Heist;1;0,6;0
01056025;Helgoland;0;0,0;0
01056026;Hemdingen;1;0,8;0
01056027;Hetlingen;1;0,6;0
01056028;Holm;2;0,9;0
01056029;Klein Nordende;0;0,0;0
01056030;Klein Offenseth-Sparrieshoop;4;1,9;1
01056031;Kölln-Reisiek;0;0,0;0
01056032;Kummerfeld;3;1,4;1
01056033;Seester;1;1,4;0
01056034;Langeln;0;0,0;0
01056035;Lutzhorn;4;1,6;0
01056036;Moorrege;2;1,4;0
01056037;Neuendeich;0;0,0;0
01056038;Osterhorn;0;0,0;0
01056039;Pinneberg;5;3,3;3
01056040;Prisdorf;0;0,0;0
01056041;Quickborn;7;6,9;1
01056042;Raa-Besenbek;1;0,5;0
01056043;Rellingen;2;1,2;12
01056044;Schenefeld, Stadt;4;3,0;1
01056045;Seestermühe;1;0,9;0
01056046;Seeth-Ekholt;2;0,5;0
01056047;Tangstedt;1;6,5;0
01056048;Tornesch;5;5,5;0
01056049;Uetersen;5;1,8;0
01056050;Wedel;8;6,7;0
01056051;Westerhorn;0;0,0;0
01057001;Ascheberg (Holstein);2;0,7;0
01057002;Barmissen;0;0,0;0
01057003;Barsbek;0;0,0;0
01057004;Behrensdorf (Ostsee);0;0,0;0
01057005;Belau;1;0,2;0
01057006;Bendfeld;0;0,0;0
01057007;Blekendorf;1;0,1;0
01057008;Bönebüttel;0;0,0;0
01057009;Bösdorf;0;0,0;0
01057010;Boksee;0;0,0;0
01057011;Bothkamp;0;0,0;0
