GENESIS-Tabelle: 31111-02-02-5-B
Baugenehmigungen: Errichtung neuer Nichtwohngebäude;;;;
- Jahressumme - regionale Ebenen;;;;
Statistik der Baugenehmigungen;;;;
Nichtwohngebäude;;;;
2015;;;;
;;Nichtwohngebäude;Nutzfläche;Wohnungen
;;Anzahl;1000 qm;Anzahl
03352409025;Ihlienworth;-;-;-
03352409043;Odisheim;-;-;-
03352409051;Steinau;-;-;-
03352409055;Wanna;-;-;-
03352410;Land Hadeln, Samtgemeinde;12;9,3;-
03352410025;Ihlienworth;2;0,7;-
03352410038;Neuenkirchen;-;-;-
03352410041;Nordleda;3;0,8;-
03352410043;Odisheim;1;2,4;-
03352410045;Osterbruch;-;-;-
03352410046;Otterndorf, Stadt;4;4,1;-
03352410051;Steinau;-;-;-
03352410055;Wanna;2;1,2;-
03352411;Land Hadeln, Samtgemeinde;-;-;-
03352411004;Belum;-;-;-
03352411008;Bülkau;-;-;-
03352411025;Ihlienworth;-;-;-
03352411038;Neuenkirchen;-;-;-
03352411039;Neuhaus (Oste), Flecken;-;-;-
03352411041;Nordleda;-;-;-
03352411042;Oberndorf;-;-;-
03352411043;Odisheim;-;-;-
03352411045;Osterbruch;-;-;-
03352411046;Otterndorf, Stadt;-;-;-
03352411051;Steinau;-;-;-
03352411055;Wanna;-;-;-
03352411056;Wingst;-;-;-
03352411063;Cadenberge;-;-;-
03353005;Buchholz i. d. Nordheide;8;23,4;1
03353026;Neu Wulmstorf;2;9,8;-
03353029;Rosengarten, Kr Harburg;4;1,6;1
03353031;Seevetal;8;5,6;-
03353032;Stelle;5;3,1;-
03353040;Winsen (Luhe);15;25,0;-
03353401;Elbmarsch, Samtgemeinde;7;2,8;-
03353401007;Drage, Elbe;2;0,7;-
03353401023;Marschacht;3;1,3;-
03353401033;Tespe;2;0,7;-
03353402;Hanstedt, Samtgemeinde;13;6,5;1
03353402002;Asendorf, Nordheide;-;-;-
03353402004;Brackel;-;-;-
03353402009;Egestorf;5;1,9;1
03353402016;Hanstedt, Nordheide;4;2,8;-
03353402024;Marxen;4;1,9;-
03353402036;Undeloh;-;-;-
03353403;Hollenstedt, Samtgemeinde;6;6,3;1
03353403001;Appel;-;-;-
03353403008;Drestedt;1;0,1;1
03353403014;Halvesbostel;1;3,2;-
03353403019;Hollenstedt;2;1,6;-
03353403025;Moisburg;-;-;-
03353403028;Regesbostel;-;-;-
03353403039;Wenzendorf;2;1,3;-
03353404;Jesteburg, Samtgemeinde;2;0,7;-
03353404003;Bendestorf;1;0,1;-
03353404017;Harmstorf;-;-;-
03353404020;Jesteburg;1;0,6;-
03353405;Salzhausen, Samtgemeinde;4;1,4;-
03353405010;Eyendorf;-;-;-
03353405011;Garlstorf;-;-;-
03353405012;Garstedt;-;-;-
03353405013;Gödenstorf;-;-;-
03353405030;Salzhausen;4;1,4;-
03353405034;Toppenstedt;-;-;-
03353405037;Vierhöfen;-;-;-
03353405042;Wulfsen;-;-;-
03353406;Tostedt, Samtgemeinde;13;18,6;-
03353406006;Dohren, Nordheide;2;1,1;-
03353406015;Handeloh;-;-;-
03353406018;Heidenau, Nordheide;3;12,3;-
03353406021;Kakenstorf;1;0,1;-
03353406022;Königsmoor;-;-;-
03353406027;Otter;1;0,5;-
03353406035;Tostedt;3;1,7;-
03353406038;Welle;2;2,5;-
03353406041;Wistedt;1;0,4;-
03354403;Gartow, Samtgemeinde;6;1,3;-
03354403005;Gartow, Elbe;-;-;-
03354403007;Gorleben;2;0,3;-
03354403010;Höhbeck;2;0,2;-
03354403020;Prezelle;2;0,8;-
03354403021;Schnackenburg;-;-;-
03354406;Elbtalaue, Samtgemeinde;13;6,2;1
03354406003;Damnatz;-;-;-
03354406004;Dannenberg (Elbe);4;2,9;-
03354406006;Göhrde;-;-;-
03354406008;Gusborn;3;0,9;-
03354406009;Hitzacker (Elbe);2;0,4;1
03354406011;Jameln;2;1,0;-
03354406012;Karwitz;1;0,8;-
03354406014;Langendorf, Elbe;-;-;-
03354406019;Neu Darchau;-;-;-
03354406027;Zernien;1;0,1;-
03354407;Lüchow (Wendland), Samtgemeinde;18;8,3;-
03354407001;Bergen an der Dumme;-;-;-
03354407002;Clenze;-;-;-
03354407013;Küsten;2;0,9;-
03354407015;Lemgow;4;1,8;-
03354407016;Luckau (Wendland);-;-;-
03354407017;Lübbow;2;0,8;-
03354407018;Lüchow (Wendland);5;2,5;-
03354407022;Schnega;-;-;-
03354407023;Trebel;1;0,4;-
03354407024;Waddeweitz;3;0,8;-
03354407025;Woltersdorf, Niedersachs;1;1,2;-
03354407026;Wustrow (Wendland);-;-;-
03354501;Gartow, gem.fr. Geb.;-;-;-
03354502;Göhrde, gem.fr. Geb.;-;-;-
03355001;Adendorf;2;0,3;-
03355009;Bleckede;4;4,3;-
03355022;Lüneburg;11;16,4;22
03355049;Amt Neuhaus;2;0,2;-
03355401;Amelinghausen, Samtgemeinde;3;2,2;-
03355401002;Amelinghausen;-;-;-
03355401008;Betzendorf;1;0,6;-
03355401027;Oldendorf (Luhe);-;-;-
03355401029;Rehlingen;1;0,1;-
03355401034;Soderstorf;1;1,5;-
03355402;Bardowick, Samtgemeinde;8;5,7;-
03355402004;Bardowick;1;1,7;-
03355402007;Barum, Kr Lüneburg;1;0,1;-
03355402017;Handorf;-;-;-
03355402023;Mechtersen;1;1,1;-
03355402028;Radbruch;-;-;-
03355402039;Vögelsen;-;-;-
03355402042;Wittorf;5;2,7;-
03355403;Dahlenburg, Samtgemeinde;4;0,8;1
03355403010;Boitze;-;-;-
03355403012;Dahlem, Niedersachs;-;-;-
03355403013;Dahlenburg;3;0,6;-
03355403025;Nahrendorf;1;0,2;1
03355403037;Tosterglope;-;-;-
03355404;Gellersen, Samtgemeinde;2;0,8;-
03355404020;Kirchgellersen;2;0,8;-
03355404031;Reppenstedt;-;-;-
03355404035;Südergellersen;-;-;-
03355404041;Westergellersen;-;-;-
03355405;Ilmenau, Samtgemeinde;-;-;-
03355405006;Barnstedt;-;-;-
03355405014;Deutsch Evern;-;-;-
03355405016;Embsen;-;-;-
03355405024;Melbeck;-;-;-
03355406;Ostheide, Samtgemeinde;1;0,6;-
03355406005;Barendorf;-;-;-
03355406026;Neetze;-;-;-
03355406030;Reinstorf;1;0,6;-
03355406036;Thomasburg;-;-;-
03355406038;Vastorf;-;-;-
03355406040;Wendisch Evern;-;-;-
03355407;Scharnebeck, Samtgemeinde;10;4,6;1
03355407003;Artlenburg;2;1,2;-
03355407011;Brietlingen;1;0,4;-
03355407015;Echem;-;-;-
03355407018;Hittbergen;-;-;-
03355407019;Hohnstorf (Elbe);-;-;-
03355407021;Lüdersburg;-;-;-
03355407032;Rullstorf;-;-;-
03355407033;Scharnebeck;7;3,1;1
03356002;Grasberg;3;2,5;-
03356005;Lilienthal;6;9,8;1
03356007;Osterholz-Scharmbeck;8;4,7;4
03356008;Ritterhude;4;3,7;-
03356009;Schwanewede;8;5,1;-
03356011;Worpswede;5;0,9;-
03356401;Hambergen, Samtgemeinde;3;1,5;-
03356401001;Axstedt;-;-;-
03356401003;Hambergen;2;1,1;-
03356401004;Holste;-;-;-
03356401006;Lübberstedt;-;-;-
03356401010;Vollersode;1;0,3;-
03357008;Bremervörde;12;9,8;-
03357016;Gnarrenburg;4;1,8;-
03357039;Rotenburg (Wümme);4;3,4;6
03357041;Scheeßel;8;8,2;-
03357051;Visselhövede;11;12,6;-
03357401;Bothel, Samtgemeinde;20;25,5;-
03357401006;Bothel;6;8,4;-
03357401009;Brockel;2;5,2;-
03357401024;Hemsbünde;1;0,2;-
03357401025;Hemslingen;7;10,8;-
03357401031;Kirchwalsede;4;1,0;-
03357401054;Westerwalsede;-;-;-
03357402;Fintel, Samtgemeinde;5;5,9;-
03357402015;Fintel;2;0,6;-
03357402023;Helvesiek;1;2,0;-
03357402033;Lauenbrück;-;-;-
03357402046;Stemmen;-;-;-
03357402049;Vahlde;2;3,3;-
03357403;Geestequelle, Samtgemeinde;9;2,3;6
03357403002;Alfstedt;1;0,3;-
03357403004;Basdahl;1;0,1;-
03357403012;Ebersdorf;2;0,8;-
03357403027;Hipstedt;2;0,5;-
03357403035;Oerel;3;0,6;6
03357404;Selsingen, Samtgemeinde;10;7,5;-
03357404003;Anderlingen;2;2,3;-
03357404011;Deinstedt;1;0,2;-
03357404014;Farven;1;0,6;-
03357404036;Ostereistedt;1;0,3;-
03357404038;Rhade;1;2,3;-
03357404040;Sandbostel;1;0,2;-
03357404042;Seedorf b Zeven;-;-;-
03357404043;Selsingen;3;1,6;-
03357405;Sittensen, Samtgemeinde;9;3,9;-
03357405017;Gross Meckelsen;-;-;-
03357405019;Hamersen;-;-;-
03357405029;Kalbe;1;1,9;-
03357405032;Klein Meckelsen;2;0,5;-
03357405034;Lengenbostel;-;-;-
03357405044;Sittensen;3;1,2;-
03357405048;Tiste;2;0,1;-
03357405050;Vierden;1;0,1;-
03357405056;Wohnste;-;-;-
03357406;Sottrum, Samtgemeinde;2;0,9;-
03357406001;Ahausen;-;-;-
03357406005;Bötersen;-;-;-
03357406020;Hassendorf;-;-;-
03357406022;Hellwege;-;-;-
03357406028;Horstedt, Kr Rotenburg;-;-;-
03357406037;Reeßum;1;0,2;-
03357406045;Sottrum;1;0,7;-
03357407;Tarmstedt, Samtgemeinde;2;0,4;-
03357407007;Breddorf;-;-;-
03357407010;Bülstedt;-;-;-
03357407026;Hepstedt;-;-;-
03357407030;Kirchtimke;-;-;-
03357407047;Tarmstedt;1;0,3;-
03357407052;Vorwerk;1;0,1;-
03357407053;Westertimke;-;-;-
03357407055;Wilstedt;-;-;-
03357408;Zeven, Samtgemeinde;14;19,2;-
03357408013;Elsdorf, Niedersachs;4;1,6;-
03357408018;Gyhum;2;2,0;-
03357408021;Heeslingen;4;2,8;-
03357408057;Zeven;4;12,8;-
03358002;Bispingen;1;0,4;-
03358004;Bomlitz;2;0,6;-
03358008;Bad Fallingbostel;6;3,4;-
03358016;Munster;1;0,5;6
03358017;Neuenkirchen, Lüneburger Heide;3;2,1;-
03358019;Schneverdingen;10;7,1;-
03358021;Soltau;7;3,6;4
03358022;Walsrode;9;8,7;-
03358023;Wietzendorf;1;20,0;-
03358401;Ahlden, Samtgemeinde;3;1,0;1
03358401001;Ahlden (Aller);-;-;-
03358401006;Eickeloh;1;0,5;-
03358401011;Grethem;1;0,2;-
03358401012;Hademstorf;-;-;-
03358401014;Hodenhagen;1;0,3;1
03358402;Rethem/Aller, Samtgemeinde;1;0,6;-
03358402003;Böhme;-;-;-
03358402009;Frankenfeld;-;-;-
03358402013;Häuslingen;-;-;-
03358402018;Rethem (Aller);1;0,6;-
03358403;Schwarmstedt, Samtgemeinde;10;11,6;1
03358403005;Buchholz (Aller);1;0,2;-
03358403007;Essel;-;-;-
03358403010;Gilten;4;2,6;1
03358403015;Lindwedel;-;-;-
03358403020;Schwarmstedt;5;8,8;-
03358501;Osterheide, gem.fr. Bezirk;-;-;-
03359010;Buxtehude, Hansestadt;8;5,6;1
03359013;Drochtersen;6;4,8;1
03359028;Jork;6;11,4;-
03359038;Stade, Hansestadt;22;20,3;13
03359401;Apensen, Samtgemeinde;9;9,4;-
03359401003;Apensen;5;7,0;-
03359401006;Beckdorf;3;1,9;-
03359401037;Sauensiek;1;0,5;-
03359402;Fredenbeck, Samtgemeinde;6;4,7;-
03359402011;Deinste;-;-;-
03359402017;Fredenbeck;4;3,1;-
03359402031;Kutenholz;2;1,6;-
03359403;Harsefeld, Samtgemeinde;11;5,6;-
03359403002;Ahlerstedt;5;3,1;-
03359403005;Bargstedt, Kr Stade;-;-;-
03359403008;Brest;2;0,7;-
03359403023;Harsefeld;4;1,8;-
03359404;Himmelpforten, Samtgemeinde;-;-;-
03359404014;Düddenbüttel;-;-;-
03359404015;Engelschoff;-;-;-
03359404019;Großenwörden;-;-;-
03359404022;Hammah;-;-;-
03359404025;Himmelpforten;-;-;-
03359405;Horneburg, Samtgemeinde;7;2,8;-
03359405001;Agathenburg;1;0,7;-
03359405007;Bliedersdorf;2;1,4;-
03359405012;Dollern;1;0,2;-
03359405027;Horneburg;-;-;-
03359405034;Nottensdorf;3;0,5;-
03359406;Lühe, Samtgemeinde;7;8,7;-
03359406020;Grünendeich;-;-;-
03359406021;Guderhandviertel;2;0,9;-
03359406026;Hollern-Twielenfleth;5;7,8;-
03359406032;Mittelnkirchen;-;-;-
03359406033;Neuenkirchen b Horneburg, Niederelbe;-;-;-
03359406039;Steinkirchen, Kr Stade;-;-;-
03359407;Nordkehdingen, Samtgemeinde;6;2,5;-
03359407004;Balje;-;-;-
03359407018;Freiburg (Elbe);2;1,3;-
03359407030;Krummendeich;-;-;-
03359407035;Oederquart;2;0,9;-
03359407040;Wischhafen;2;0,3;-
03359408;Oldendorf, Samtgemeinde;-;-;-
03359408009;Burweg;-;-;-
03359408016;Estorf;-;-;-
03359408024;Heinbockel;-;-;-
03359408029;Kranenburg;-;-;-
03359408036;Oldendorf;-;-;-
03359409;Oldendorf-Himmelpforten, Samtgemeinde;9;3,4;-
03359409009;Burweg;-;-;-
03359409014;Düddenbüttel;1;1,4;-
03359409015;Engelschoff;-;-;-
03359409016;Estorf;3;0,6;-
03359409019;Großenwörden;1;0,1;-
03359409022;Hammah;-;-;-
03359409024;Heinbockel;2;0,4;-
03359409025;Himmelpforten;1;0,1;-
03359409029;Kranenburg;-;-;-
03359409036;Oldendorf;1;0,7;-
03360004;Bienenbüttel;1;0,1;-
03360025;Uelzen;16;19,7;2
03360401;Bevensen, Samtgemeinde;-;-;-
03360401001;Altenmedingen;-;-;-
03360401002;Bad Bevensen, Stadt;-;-;-
03360401003;Barum;-;-;-
03360401008;Emmendorf;-;-;-
03360401011;Himbergen;-;-;-
03360401012;Jelmstorf;-;-;-
03360401017;Römstedt;-;-;-
03360401026;Weste;-;-;-
03360402;Bodenteich, Samtgemeinde;-;-;-
03360402005;Bad Bodenteich;-;-;-
03360402013;Lüder;-;-;-
03360402020;Soltendieck;-;-;-
03360403;Altes Amt Ebstorf, Samtgemeinde;-;-;-
03360403006;Ebstorf, Klosterflecken;-;-;-
03360403010;Hanstedt;-;-;-
03360403014;Natendorf;-;-;-
03360403019;Schwienau;-;-;-
03360403029;Wriedel;-;-;-
03360404;Rosche, Samtgemeinde;2;1,4;-
03360404015;Oetzen;-;-;-
03360404016;Rätzlingen, Kr Uelzen;-;-;-
03360404018;Rosche;1;0,3;-
03360404022;Stoetze;-;-;-
03360404024;Suhlendorf;1;1,1;-
03360405;Suderburg, Samtgemeinde;4;5,4;-
03360405007;Eimke;3;2,2;-
03360405009;Gerdau;-;-;-
03360405023;Suderburg;1;3,2;-
03360406;Wrestedt, Samtgemeinde;-;-;-
03360406021;Stadensen;-;-;-
03360406027;Wieren;-;-;-
03360406028;Wrestedt;-;-;-
03360407;Bevensen-Ebstorf, Samtgemeinde;4;6,8;-
03360407001;Altenmedingen;-;-;-
03360407002;Bad Bevensen, Stadt;1;4,3;-
03360407003;Barum;-;-;-
03360407006;Ebstorf, Klosterflecken;-;-;-
03360407008;Emmendorf;-;-;-
03360407010;Hanstedt;-;-;-
03360407011;Himbergen;1;1,4;-
03360407012;Jelmstorf;-;-;-
03360407014;Natendorf;-;-;-
03360407017;Römstedt;-;-;-
03360407019;Schwienau;-;-;-
03360407026;Weste;-;-;-
03360407029;Wriedel;2;1,1;-
03360408;Aue, Samtgemeinde;4;3,3;-
03360408005;Bad Bodenteich;-;-;-
03360408013;Lüder;-;-;-
03360408020;Soltendiek;2;2,3;-
03360408030;Wrestedt;2;1,0;-
03361001;Achim b Bremen;7;5,9;-
03361003;Dörverden;7;3,6;-
03361005;Kirchlinteln;7;5,7;-
03361006;Langwedel, Kr Verden;13;10,4;-
03361008;Ottersberg;5;1,2;-
03361009;Oyten;5;4,7;-
03361012;Verden (Aller);9;13,0;11
03361401;Thedinghausen, Samtgemeinde;11;13,7;-
03361401002;Blender;2;2,8;-
03361401004;Emtinghausen;3;2,0;-
03361401010;Riede;-;-;-
03361401013;Thedinghausen;6;8,9;-
03401000;Delmenhorst, krsfr. Stadt;14;11,9;2
03402000;Emden, krsfr. Stadt;18;22,9;1
03403000;Oldenburg(Oldb), krsfr. Stadt;37;60,2;10
03404000;Osnabrück, krsfr. Stadt;22;70,4;-
03405000;Wilhelmshaven, krsfr. Stadt;7;10,1;-
03451001;Apen;12;17,5;-
03451002;Bad Zwischenahn;21;10,8;5
03451004;Edewecht;17;5,6;-
03451005;Rastede;30;28,8;17
03451007;Westerstede;24;12,7;-
03451008;Wiefelstede;17;10,4;-
03452001;Aurich (Ostfr.);11;6,2;-
03452002;Baltrum;-;-;-
03452006;Großefehn;4;1,1;-
03452007;Großheide;4;2,8;-
03452011;Hinte;2;0,7;-
03452012;Ihlow, Ostfriesl;7;1,7;-
03452013;Juist;-;-;-
03452014;Krummhörn;5;0,8;-
03452019;Norden;14;7,8;-
03452020;Norderney;1;0,4;-
03452023;Südbrookmerland;7;1,7;-
03452025;Wiesmoor;5;6,4;-
03452027;Dornum;7;4,3;-
03452401;Brookmerland, Samtgemeinde;4;2,9;-
03452401015;Leezdorf;-;-;-
03452401017;Marienhafe;2;2,4;-
03452401021;Osteel;1;-;-
03452401022;Rechtsupweg;-;-;-
03452401024;Upgant-Schott;1;0,4;-
03452401026;Wirdum;-;-;-
03452403;Hage, Samtgemeinde;4;1,2;-
03452403003;Berumbur;2;0,2;-
03452403008;Hage;2;1,0;-
03452403009;Hagermarsch;-;-;-
03452403010;Halbemond;-;-;-
03452403016;Lütetsburg;-;-;-
03452501;Nordseeinsel Memmert, gem.fr. Geb.;-;-;-
03453001;Barßel;15;9,3;-
03453002;Bösel;14;6,7;-
03453003;Cappeln (Oldenburg);4;5,6;-
03453004;Cloppenburg;33;37,1;17
03453005;Emstek;7;31,1;-
03453006;Essen (Oldenburg);9;11,0;-
03453007;Friesoythe;39;16,5;1
03453008;Garrel;26;17,3;2
03453009;Lastrup;11;6,8;-
03453010;Lindern (Oldenburg);7;3,6;-
03453011;Löningen;11;3,1;-
03453012;Molbergen;13;9,0;1
03453013;Saterland;16;10,2;1
03454010;Emsbüren;10;7,6;-
03454014;Geeste;10;4,9;-
03454018;Haren (Ems);29;36,9;1
03454019;Haselünne;20;11,6;3
03454032;Lingen (Ems);32;19,6;2
03454035;Meppen;25;21,9;-
03454041;Papenburg;32;24,2;14
03454044;Rhede (Ems);3;1,5;-
03454045;Salzbergen;10;9,2;-
03454054;Twist;5;4,9;1
03454401;Dörpen, Samtgemeinde;31;23,5;-
03454401007;Dersum;3;0,7;-
03454401008;Dörpen;10;3,1;-
03454401020;Heede, Ems;-;-;-
03454401025;Kluse;5;1,0;-
03454401030;Lehe, Ems;2;15,3;-
03454401037;Neubörger;4;0,6;-
03454401038;Neulehe;1;0,1;-
03454401056;Walchum;1;0,2;-
03454401060;Wippingen;5;2,5;-
03454402;Freren, Samtgemeinde;10;3,6;-
03454402001;Andervenne;2;1,1;-
03454402003;Beesten;1;0,1;-
03454402012;Freren;6;2,1;-
03454402036;Messingen;1;0,4;-
03454402053;Thuine;-;-;-
03454403;Herzlake, Samtgemeinde;29;23,6;-
03454403009;Dohren, Emsl;2;0,9;-
03454403021;Herzlake;15;16,6;-
03454403026;Lähden;12;6,0;-
03454404;Lathen, Samtgemeinde;14;12,9;-
03454404013;Fresenburg;2;0,8;-
03454404029;Lathen;3;1,2;-
03454404039;Niederlangen;5;4,2;-
03454404040;Oberlangen;-;-;-
03454404043;Renkenberge;-;-;-
03454404052;Sustrum;4;6,7;-
03454405;Lengerich, Samtgemeinde;15;8,0;-
03454405002;Bawinkel;4;3,5;-
03454405015;Gersten;3;0,6;-
03454405017;Handrup;2;0,2;-
03454405028;Langen, Emsl;2;1,9;-
03454405031;Lengerich, Emsl;4;1,9;-
03454405059;Wettrup;-;-;-
03454406;Nordhümmling, Samtgemeinde;20;10,1;-
03454406004;Bockhorst;5;4,4;-
03454406006;Breddenberg;2;0,6;-
03454406011;Esterwegen;5;1,6;-
03454406022;Hilkenbrook;2;0,5;-
03454406051;Surwold;6;3,1;-
03454407;Sögel, Samtgemeinde;22;16,8;-
03454407005;Börger;2;1,8;-
03454407016;Groß Berßen;3;1,5;-
03454407023;Hüven;3;0,8;-
03454407024;Klein Berßen;-;-;-
03454407047;Sögel;9;11,0;-
03454407048;Spahnharrenstätte;1;0,8;-
03454407050;Stavern;3;0,8;-
03454407058;Werpeloh;1;0,1;-
03454408;Spelle, Samtgemeinde;15;7,6;1
03454408034;Lünne;1;0,6;-
03454408046;Schapen;2;1,8;-
03454408049;Spelle;12;5,2;1
03454409;Werlte, Samtgemeinde;29;26,8;-
03454409027;Lahn;-;-;-
03454409033;Lorup;10;3,8;-
03454409042;Rastdorf;2;0,2;-
03454409055;Vrees;7;12,5;-
03454409057;Werlte;10;10,3;-
03455007;Jever;6;2,5;3
03455014;Sande;6;3,0;-
03455015;Schortens;5;1,5;-
03455020;Wangerland;6;1,5;-
03455021;Wangerooge;-;-;-
03455025;Bockhorn, Jadebusen;3;0,9;-
03455026;Varel;9;13,2;1
03455027;Zetel;7;2,6;-
03456001;Bad Bentheim;7;7,8;-
03456015;Nordhorn;30;30,5;2
03456025;Wietmarschen;2;0,7;-
03456401;Emlichheim, Samtgemeinde;13;12,7;-
03456401002;Emlichheim;3;8,6;-
03456401009;Hoogstede;4;2,6;-
03456401012;Laar;3;0,7;-
03456401019;Ringe;3;0,8;-
03456402;Neuenhaus, Samtgemeinde;9;2,3;-
03456402004;Esche;1;0,3;-
03456402005;Georgsdorf;-;-;-
03456402013;Lage, Dinkel;-;-;-
03456402014;Neuenhaus;4;1,4;-
03456402017;Osterwald;4;0,6;-
03456403;Schüttorf, Samtgemeinde;2;0,8;-
03456403003;Engden;-;-;-
03456403010;Isterberg;-;-;-
03456403016;Ohne;-;-;-
03456403018;Quendorf;-;-;-
03456403020;Samern;-;-;-
03456403021;Schüttorf, Stadt;-;-;-
03456403022;Suddendorf;-;-;-
03456403027;Schüttorf, Stadt;2;0,8;-
03456404;Uelsen, Samtgemeinde;7;3,6;-
03456404006;Getelo;-;-;-
03456404007;Gölenkamp;1;1,7;-
03456404008;Halle b Neuenhaus, Dinkel;-;-;-
03456404011;Itterbeck;-;-;-
03456404023;Uelsen;5;1,9;-
03456404024;Wielen;-;-;-
03456404026;Wilsum;1;0,1;-
03457002;Borkum;3;0,5;3
03457012;Jemgum;3;1,4;-
03457013;Leer (Ostfriesland);17;10,3;4
03457014;Moormerland;8;5,9;-
03457017;Ostrhauderfehn;5;6,9;1
03457018;Rhauderfehn;13;8,7;2
03457020;Uplengen;11;6,5;-
03457021;Weener;4;3,1;-
03457022;Westoverledingen;13;7,7;2
03457024;Bunde;3;0,7;-
03457402;Hesel, Samtgemeinde;3;3,1;-
03457402003;Brinkum;-;-;-
03457402009;Firrel;1;1,5;-
03457402010;Hesel;-;-;-
03457402011;Holtland;1;0,1;-
03457402015;Neukamperfehn;1;1,5;-
03457402019;Schwerinsdorf;-;-;-
03457403;Jümme, Samtgemeinde;2;0,2;-
03457403006;Detern;1;0,1;-
03457403008;Filsum;-;-;-
03457403016;Nortmoor;1;0,1;-
03457501;Insel Lütje Hörn, gem.fr. Geb.;-;-;-
03458003;Dötlingen;1;0,6;-
03458005;Ganderkesee;8;7,1;-
03458007;Großenkneten;4;0,8;-
03458009;Hatten;7;4,6;5
03458010;Hude (Oldenburg);11;12,0;-
03458013;Wardenburg;3;2,5;-
03458014;Wildeshausen;7;8,7;-
03458401;Harpstedt, Samtgemeinde;2;0,7;-
03458401001;Beckeln;-;-;-
03458401002;Colnrade;-;-;-
03458401004;Dünsen;-;-;-
03458401006;Groß Ippener;1;0,1;-
03458401008;Harpstedt;-;-;-
03458401011;Kirchseelte;-;-;-
03458401012;Prinzhöfte;-;-;-
03458401015;Winkelsett;1;0,5;-
03459003;Bad Essen;4;2,0;-
03459004;Bad Iburg;5;0,9;-
03459005;Bad Laer;1;0,1;-
03459006;Bad Rothenfelde;3;5,3;-
03459008;Belm;2;1,9;-
03459012;Bissendorf;13;10,7;-
03459013;Bohmte;6;1,2;-
03459014;Bramsche;13;6,6;1
03459015;Dissen am Teutob. Wald;1;0,7;-
03459019;Georgsmarienhütte;13;9,6;2
03459020;Hagen am Teutoburger Wald;1;0,3;-
03459021;Hasbergen;1;0,1;-
03459022;Hilter am Teutob. Wald;7;5,4;-
03459024;Melle;27;14,2;-
03459029;Ostercappeln;7;9,2;-
03459033;Wallenhorst;4;1,5;-
03459034;Glandorf;8;2,3;-
03459401;Artland, Samtgemeinde;12;7,9;4
03459401007;Badbergen;3;1,5;-
03459401025;Menslage;1;0,7;-
03459401028;Nortrup;2;0,7;1
03459401030;Quakenbrück;6;5,0;3
03459402;Bersenbrück, Samtgemeinde;22;50,2;-
03459402001;Alfhausen;5;1,7;-
03459402002;Ankum;5;8,3;-
03459402010;Bersenbrück;5;15,1;-
03459402016;Eggermühlen;2;2,9;-
03459402018;Gehrde;2;0,3;-
03459402023;Kettenkamp;-;-;-
03459402031;Rieste;3;21,8;-
03459403;Fürstenau, Samtgemeinde;7;3,8;-
03459403009;Berge b Quakenbrück;4;3,4;-
03459403011;Bippen;2;0,2;-
03459403017;Fürstenau;1;0,2;-
03459404;Neuenkirchen, Samtgemeinde;15;6,4;-
03459404026;Merzen;7;4,7;-
03459404027;Neuenkirchen b Bramsche, Hase;5;0,9;-
03459404032;Voltlage;3;0,8;-
03460001;Bakum;6;6,4;-
03460002;Damme, Dümmer;25;39,7;1
03460003;Dinklage;17;11,8;-
03460004;Goldenstedt;9;5,6;1
03460005;Holdorf, Niedersachs;3;5,1;-
03460006;Lohne (Oldenburg);18;14,1;2
03460007;Neuenkirchen-Vörden;6;8,2;-
03460008;Steinfeld (Oldenburg);11;8,4;-
03460009;Vechta;15;11,4;1
03460010;Visbek;8;5,4;-
03461001;Berne;5;4,1;-
03461002;Brake (Unterweser);4;1,7;-
03461003;Butjadingen;10;4,8;-
03461004;Elsfleth;3;2,3;-
03461005;Jade;12;4,5;-
03461006;Lemwerder;1;1,4;-
03461007;Nordenham;6;6,7;-
03461008;Ovelgönne;4;1,6;-
03461009;Stadland;4;1,9;-
03462005;Friedeburg;12;5,1;-
03462007;Langeoog;-;-;-
03462014;Spiekeroog;-;-;-
03462019;Wittmund;15;14,9;-
03462401;Esens, Samtgemeinde;11;5,7;-
03462401002;Dunum;2;0,7;-
03462401003;Esens;3;0,7;-
03462401006;Holtgast;1;0,1;-
03462401008;Moorweg;-;-;-
03462401010;Neuharlingersiel;4;2,6;-
03462401015;Stedesdorf;-;-;-
03462401017;Werdum;1;1,5;-
03462402;Holtriem, Samtgemeinde;8;2,4;-
03462402001;Blomberg, Ostfriesl;-;-;-
03462402004;Eversmeer;-;-;-
03462402009;Nenndorf;-;-;-
03462402011;Neuschoo;1;1,4;-
03462402012;Ochtersum;2;0,2;-
03462402013;Schweindorf;-;-;-
03462402016;Utarp;1;0,4;-
03462402018;Westerholt;4;0,4;-
04011000;Bremen, krsfr. Stadt;98;262,1;2
04012000;Bremerhaven, krsfr. Stadt;27;12,8;1
05111000;Düsseldorf, krsfr. Stadt;41;316,3;22
05112000;Duisburg, krsfr. Stadt;33;86,5;8
05113000;Essen, krsfr. Stadt;27;89,6;22
05114000;Krefeld, krsfr. Stadt;7;8,2;1
05116000;Mönchengladbach, krsfr. Stadt;24;81,0;3
05117000;Mülheim an der Ruhr, krsfr. Stadt;15;36,4;-
05119000;Oberhausen, krsfr. Stadt;34;45,7;4
05120000;Remscheid, krsfr. Stadt;24;22,0;-
05122000;Solingen, krsfr. Stadt;14;26,1;2
05124000;Wuppertal, krsfr. Stadt;31;86,4;34
