GENESIS-Tabelle: 14346-01-02-5
Landtagswahlen: Thüringen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Thüringen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.09.2014;16061083;Schachtebich;196;63,3;123;70;11;11;6;13;12
14.09.2014;16061084;Schönhagen;111;64,9;72;29;6;13;1;4;19
14.09.2014;16061085;Schwobfeld;90;61,1;55;35;2;0;1;4;13
14.09.2014;16061086;Sickerode;123;54,5;66;56;1;3;0;1;5
14.09.2014;16061087;Silberhausen;552;51,3;281;176;13;5;2;27;58
14.09.2014;16061088;Silkerode;-;-;-;-;-;-;-;-;-
14.09.2014;16061089;Steinbach;445;48,8;215;148;9;3;6;25;24
14.09.2014;16061091;Steinheuterode;206;61,7;126;54;5;7;4;23;33
14.09.2014;16061092;Steinrode;-;-;-;-;-;-;-;-;-
14.09.2014;16061093;Stöckey;-;-;-;-;-;-;-;-;-
14.09.2014;16061094;Tastungen;208;50,5;105;41;2;3;0;20;39
14.09.2014;16061096;Thalwenden;296;54,1;155;95;10;8;2;16;24
14.09.2014;16061097;Uder;2113;43,8;912;550;63;35;18;118;128
14.09.2014;16061098;Volkerode;210;55,7;116;75;6;0;0;25;10
14.09.2014;16061099;Vollenborn;-;-;-;-;-;-;-;-;-
14.09.2014;16061101;Wachstedt;424;54,5;227;132;11;10;13;15;46
14.09.2014;16061102;Wahlhausen;243;47,3;112;41;7;12;1;21;30
14.09.2014;16061103;Wehnde;301;46,8;140;32;12;1;2;36;57
14.09.2014;16061104;Weißenborn-Lüderode;-;-;-;-;-;-;-;-;-
14.09.2014;16061105;Wiesenfeld;193;54,4;103;42;10;9;4;15;23
14.09.2014;16061107;Wingerode;999;47,0;463;282;28;16;10;56;71
14.09.2014;16061111;Wüstheuterode;507;52,3;264;172;12;2;4;21;53
14.09.2014;16061112;Zwinge;-;-;-;-;-;-;-;-;-
14.09.2014;16061113;Schimberg;1796;47,4;847;548;52;19;11;76;141
14.09.2014;16061114;Teistungen;1990;40,2;790;455;64;18;28;108;117
14.09.2014;16061115;Leinefelde-Worbis, Stadt;15502;50,6;7757;3737;739;275;152;1640;1214
14.09.2014;16061116;Am Ohmberg;3221;50,0;1577;644;208;53;26;410;236
14.09.2014;16062001;Auleben;-;-;-;-;-;-;-;-;-
14.09.2014;16062002;Bleicherode, Stadt;5583;39,8;2190;692;313;92;84;678;331
