GENESIS-Tabelle: 71517-01-03-5-B
Bruttoeinnahmen der Gemeinden - Jahressumme -;;;;;;;;;;
regionale Ebenen;;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;;
2014;;;;;;;;;;
;;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden
;;;Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden)
;;;Einnahmen des Verwaltungshaushalts, insgesamt;Steuern und steuerähnliche Einnahmen;allgem. Zuweisung,Umlagen v.Bund,Land,Gemeinden/GV;Gebühren und zweckgebundene Abgaben;Einnahmen des Vermögenshaushalts, insgesamt;Beiträge und ähnliche Entgelte;Zuweisungen, Zuschüsse f.Investitionsförderungen..;Kredite und innere Darlehen
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
01051074;Meldorf;10816490;8786617;5563051;2354424;227113;2029873;54623;147731;1800000
01051075;Neuenkirchen;1176184;972827;526071;278088;30952;203357;33357;0;170000
01051076;Neufeld;871322;868322;598638;195469;38599;3000;0;3000;0
01051077;Neufelderkoog;221038;221038;203780;6906;0;0;0;0;0
01051078;Nindorf;1535796;1024251;667758;187561;120;511545;36449;75556;220000
01051079;Norddeich;532674;532598;364366;125930;9577;76;0;0;0
01051080;Norderheistedt;141023;129923;49327;73360;2800;11100;11100;0;0
01051081;Norderwöhrden;892918;567917;490018;11574;433;325001;0;0;0
01051082;Nordhastedt;3293619;3101864;1458889;1171875;278110;191755;40265;1222;117500
01051083;Odderade;406974;348688;160090;110627;49130;58286;19595;0;0
01051084;Oesterdeichstrich;217831;217831;141503;60467;335;0;0;0;0
01051085;Offenbüttel;429189;264189;131636;103851;0;165000;0;45000;120000
01051086;Osterrade;702000;420644;201094;150073;35057;281356;2927;45000;190000
01051087;Ostrohe;1094593;1092523;586355;297471;66946;2070;2070;0;0
01051088;Pahlen;1546100;1242942;621090;367073;133369;303158;65921;99687;98567
01051089;Quickborn;201276;193173;99744;68627;1547;8103;0;3603;0
01051090;Ramhusen;141416;141416;80839;50145;17;0;0;0;0
01051092;Rehm-Flehde-Bargen;772582;756690;546776;91587;54375;15892;0;15892;0
01051093;Reinsbüttel;448647;432283;300362;89852;7844;16364;0;0;0
01051096;Sankt Annen;387041;356182;179747;135721;36;30859;0;7551;23308
01051097;Sankt Michaelisdonn;4385338;4234183;2280768;1024674;573604;151155;0;46598;0
01051098;Sarzbüttel;1088584;922764;425683;315796;92078;165820;4636;8920;138329
01051099;Schafstedt;1472575;1379933;737510;463881;9980;92642;70961;7550;0
01051100;Schalkholz;637931;586987;303275;246603;0;50944;0;0;50794
01051102;Schlichting;217135;217135;117106;74783;197;0;0;0;0
01051103;Schmedeswurth;185083;185083;94122;81109;0;0;0;0;0
01051104;Schrum;83487;68487;49610;12540;0;15000;0;0;15000
01051105;Schülp;575726;575632;486201;26732;5082;94;0;0;0
01051107;Stelle-Wittenwurth;451192;441731;220107;178399;13990;9461;2054;407;0
01051108;Strübbel;91016;90996;78566;8655;0;20;0;0;0
01051109;Süderdeich;843824;843718;669031;150345;0;106;0;0;0
01051110;Süderhastedt;943980;844201;397523;367654;309;99779;0;99395;0
01051111;Süderheistedt;-;-;-;-;-;-;-;-;-
01051113;Wöhrden;1986796;1963133;1514365;273029;55533;23663;0;16812;5091
01051114;Tellingstedt;2999575;2835285;1542281;891797;246982;164290;86561;91;0
01051117;Tielenhemme;160475;160475;73522;72779;36;0;0;0;0
01051118;Trennewurth;190815;190815;121031;49830;0;0;0;0;0
01051119;Volsemenhusen;347119;347119;262973;66293;0;0;0;0;0
01051120;Wallen;32153;32153;20754;8365;0;0;0;0;0
01051121;Warwerort;302017;302017;120026;116140;39950;0;0;0;0
01051122;Weddingstedt;2428624;2416536;1748042;214862;173610;12088;8145;1146;0
01051125;Welmbüttel;540476;464910;211580;176682;29421;75566;0;75566;0
01051126;Wennbüttel;93565;93565;58608;23903;54;0;0;0;0
01051127;Wesselburen;3636447;3275692;1628471;1358569;40345;360755;7000;206679;145400
01051128;Wesselburener Deichhausen;166757;166731;140242;15503;0;26;0;0;0
01051129;Wesselburenerkoog;430707;430658;382867;23417;1325;49;0;0;0
01051130;Wesseln;1741761;1685211;1322309;125818;87696;56550;450;50000;0
01051131;Westerborstel;110106;110106;94693;11261;0;0;0;0;0
01051132;Westerdeichstrich;1102103;1089175;682375;228976;93787;12928;0;11836;0
01051133;Wiemerstedt;148870;148870;76481;63391;0;0;0;0;0
01051134;Windbergen;1256429;1005878;361532;319253;67632;250551;6942;146260;0
01051135;Wolmersdorf;390996;309908;169874;120758;500;81088;0;2957;0
01051136;Wrohm;1081593;757293;370994;280212;46213;324300;0;1850;290000
01051137;Nordermeldorf;623338;622738;454528;103092;0;600;0;0;0
01051138;Tensbüttel-Röst;684967;662432;284184;305646;1180;22535;0;0;0
01051139;Süderdorf;358559;358559;160364;158487;15642;0;0;0;0
01051140;Oesterwurth;351125;335722;284281;25550;0;15403;0;0;0
01051141;Süderheistedt;595465;594965;375553;118310;29599;500;0;500;0
01053001;Albsfelde;70273;70273;52200;12132;2924;0;0;0;0
01053002;Alt Mölln;968308;965951;595109;163344;110403;2357;1276;806;0
01053003;Aumühle;5683747;4264244;3504859;266568;0;1419503;0;4003;0
01053004;Bäk;1097489;899391;593867;187752;5402;198098;0;2825;115000
01053005;Bälau;244944;243753;154212;52884;6698;1191;0;1191;0
01053006;Basedow;816544;757226;333276;257892;70083;59318;0;0;0
01053007;Basthorst;606662;537154;260686;96672;100571;69508;8808;0;0
01053008;Behlendorf;599528;394420;230057;92100;40990;205108;0;208;0
01053009;Berkenthin;3710431;2476127;991835;1031136;15714;1234304;173855;108271;84474
01053010;Besenthal;91790;91790;36539;31872;7635;0;0;0;0
01053011;Bliestorf;780010;632323;311709;241236;-14329;147687;0;0;0
01053012;Börnsen;5410597;4516483;3247002;198671;358762;894114;17835;1000;875000
01053013;Borstorf;421246;280083;138409;107052;10287;141163;14020;1178;0
01053014;Breitenfelde;3155639;1894990;1235481;498492;15927;1260649;107118;-20206;350000
01053015;Bröthen;361586;336758;169928;72420;74604;24828;0;0;0
01053016;Brunsmark;156814;155214;88108;54564;1972;1600;0;0;0
01053017;Brunstorf;934966;796069;502947;128316;112779;138897;10009;0;0
01053018;Buchholz;285629;275428;172426;52368;10983;10201;0;4200;0
01053019;Buchhorst;198861;198861;126728;32556;16803;0;0;0;0
01053020;Büchen;15078535;13353236;6748585;753312;2017956;1725299;123124;350094;0
01053021;Dahmker;386080;278058;222051;10104;18228;108022;7873;0;0
01053022;Dalldorf;508693;371515;187225;131160;33163;137178;8444;0;0
01053023;Dassendorf;4078495;3763189;2521258;466543;450917;315306;3879;1283;0
01053024;Düchelsdorf;183441;178208;74635;60372;15375;5233;0;0;0
01053025;Duvensee;792575;652613;316883;170232;78298;139962;0;2079;0
01053026;Einhaus;388151;347851;219551;114600;2311;40300;2900;0;0
01053027;Elmenhorst;1601983;1406233;1057218;39396;155553;195750;1911;0;0
01053028;Escheburg;3918200;3909079;2751349;635508;155567;9121;0;9121;0
01053029;Fitzen;532918;472211;219730;137796;90476;60707;4245;1000;0
01053030;Fredeburg;53837;53837;40845;3420;4529;0;0;0;0
01053031;Fuhlenhagen;564940;385591;177242;133812;28774;179349;0;0;88500
01053032;Geesthacht;51593479;49752738;33854294;4386492;2565848;1840741;311900;956617;0
01053033;Giesensdorf;132951;116809;56761;49776;2816;16142;3342;8800;0
01053034;Göldenitz;376410;294133;154003;78180;39288;82277;0;0;0
01053035;Göttin;102377;102377;50213;6312;13452;0;0;0;0
01053036;Grabau;454561;367169;148337;123024;66569;87392;30725;0;0
01053037;Grambek;739706;535082;404506;25164;7345;204624;10827;69000;0
01053038;Grinau;364947;313706;122321;135252;36791;51241;0;0;0
01053039;Groß Boden;270418;228418;159002;34332;26032;42000;0;0;0
01053040;Groß Disnack;104104;94569;61951;20472;4459;9535;0;0;0
01053041;Groß Grönau;5589279;4659853;2559357;797448;744166;929426;65423;98800;182000
01053042;Groß Pampau;267136;249572;185588;6576;24667;17564;0;0;0
01053043;Groß Sarau;1194483;993183;653217;279144;15725;201300;0;0;0
01053044;Groß Schenkenberg;741734;635572;336787;151932;111896;106162;0;2926;0
01053045;Grove;384973;328816;230642;37860;33155;56157;20;0;0
01053046;Gudow;2589017;2485150;948421;605208;484192;103867;0;0;0
01053047;Gülzow;1624688;1462458;717307;431076;93517;162230;2697;0;57800
01053048;Güster;2330834;2129636;1334086;192444;489036;201198;15908;1700;5590
01053049;Hamfelde;528374;470174;340451;71712;22300;58200;0;0;0
01053050;Hamwarde;1348597;1095353;450512;284520;195093;253244;3044;0;0
01053051;Harmsdorf;326328;284037;163629;101256;3951;42291;13496;0;0
01053052;Havekost;266942;245010;148051;29808;39089;21932;0;1214;0
01053053;Hohenhorn;706649;561361;412977;96720;0;145288;0;0;0
01053054;Hollenbek;527692;501146;178323;196224;90608;26546;0;0;0
01053056;Hornbek;290379;193768;107189;42792;28644;96611;18054;0;0
01053057;Horst;299299;273441;163987;87132;10650;25858;0;25858;0
01053058;Juliusburg;187331;187331;81399;75264;19303;0;0;0;0
01053059;Kankelau;328867;221282;132505;55164;18433;107585;0;58800;0
01053060;Kasseburg;764230;657607;363588;129888;104678;106623;10767;1356;0
01053061;Kastorf;1462108;1168250;789261;156864;6281;293858;14788;12270;0
01053062;Kittlitz;500805;325578;149649;100788;59655;175227;4755;0;0
01053064;Klein Pampau;794055;724174;432611;161208;103339;69881;2714;0;0
01053066;Klein Zecher;383852;306505;134126;89688;62649;77347;3392;0;0
01053067;Klempau;800489;730789;365263;201192;72634;69700;0;0;0
01053068;Klinkrade;677670;656042;293728;234744;77128;21628;1334;0;0
01053069;Koberg;851982;843181;450247;232284;95505;8801;2026;2889;0
01053070;Köthel;496140;325402;178905;73980;44217;170738;5638;0;0
01053071;Kollow;1004112;674513;403527;137640;63934;329599;2799;0;290500
01053072;Kröppelshagen-Fahrendorf;2270674;1704330;911359;211284;352591;566344;0;91344;0
01053073;Krüzen;442916;414111;210218;111036;45561;28805;5000;0;0
01053074;Krukow;169011;169011;124864;33276;557;0;0;0;0
01053075;Krummesse;5699664;2590372;1290577;312708;378401;3109292;777812;59287;176386
01053076;Kuddewörde;3188577;2697422;1055199;208164;568945;491155;11580;571;0
01053077;Kühsen;412044;421478;224564;108096;49019;-9434;0;0;0
01053078;Kulpin;219609;209609;112017;80148;4741;10000;0;0;0
01053079;Labenz;2307987;1016658;613817;184596;128128;1291329;100;0;1000879
01053080;Langenlehsten;191721;191621;85218;63900;28972;100;0;100;0
01053081;Lankau;614588;546126;239697;195336;70547;68462;0;0;0
01053082;Lanze;368535;368535;160279;167448;24376;0;0;0;0
01053083;Lauenburg/Elbe;22447106;17460313;6841884;6911039;494045;4986793;0;13561;1376000
01053084;Lehmrade;532708;522483;272920;154620;7291;10225;0;0;0
