GENESIS-Tabelle: 71517-01-03-5-B
Bruttoeinnahmen der Gemeinden - Jahressumme -;;;;;;;;;;
regionale Ebenen;;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;;
2014;;;;;;;;;;
;;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden;Bruttoeinnahmen der Gemeinden
;;;Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen d.Verwaltungshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden);Bruttoeinnahmen des Vermögenshaushalts (Gemeinden)
;;;Einnahmen des Verwaltungshaushalts, insgesamt;Steuern und steuerähnliche Einnahmen;allgem. Zuweisung,Umlagen v.Bund,Land,Gemeinden/GV;Gebühren und zweckgebundene Abgaben;Einnahmen des Vermögenshaushalts, insgesamt;Beiträge und ähnliche Entgelte;Zuweisungen, Zuschüsse f.Investitionsförderungen..;Kredite und innere Darlehen
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
06435024;Ronneburg, Hess;5735998;5297319;2679282;675003;1376353;438679;285471;115864;0
06435025;Schlüchtern;25010948;23892873;13219852;5441930;1921974;1118075;10783;677492;0
06435026;Schöneck;21339630;19896760;11322248;2842370;3262420;1442870;30816;655400;634250
06435027;Sinntal;16809468;13872308;5159083;4285265;3168479;2937160;837540;441790;1650000
06435028;Steinau a.d.Straße;16449949;15254589;8798461;3327243;976001;1195360;255819;218304;340000
06435029;Wächtersbach;20847263;17976800;9864889;3679060;1577611;2870463;206591;715581;787266
06435200;Gutsbezirk Spessart;-;-;-;-;-;-;-;-;-
06436001;Bad Soden am Taunus;39458129;27406733;22283553;1405398;3529140;12051396;585583;92443;10200000
06436002;Eppstein;22213136;18573447;10880509;2311069;2567639;3639689;550816;1848249;0
06436003;Eschborn;128340614;125489032;111820707;1573055;4343365;2851582;0;175113;0
06436004;Flörsheim am Main;39402099;32965728;23476547;2559767;2101784;6436371;221319;124762;3460832
06436005;Hattersheim am Main;45670366;42548751;27950584;5280260;2159708;3121615;211250;247119;683000
06436006;Hochheim am Main;31536097;26142935;20262377;2370821;1108816;5393162;0;93985;2202110
06436007;Hofheim am Taunus;82261580;71946081;56432844;3591045;5377497;10315499;562160;304087;6339000
06436008;Kelkheim (Taunus);47618519;46162810;30013316;5585727;5763476;1455709;0;428971;712974
06436009;Kriftel;20611489;20318137;15303995;602177;1457090;293352;-7852;201258;0
06436010;Liederbach am Taunus;16729449;16262594;10206796;973927;3266533;466855;0;463945;0
06436011;Schwalbach am Taunus;58171320;57086742;50872048;1226889;2662510;1084578;0;205272;0
06436012;Sulzbach (Taunus);26482422;23729322;19190157;843845;1625246;2753100;0;253100;2500000
06437001;Bad König;16854726;15059691;6589279;3231042;3581488;1795035;0;691406;925005
06437002;Beerfelden;10657699;10420147;4067333;1786785;2615863;237552;15426;151534;0
06437003;Brensbach;8391529;8035138;3889534;1233805;1956674;356391;57089;177302;0
06437004;Breuberg;13122537;12914009;8157767;827615;2681620;208528;15876;156440;0
06437005;Brombachtal;5137130;5029543;2199424;1084237;1266756;107587;13148;92489;0
06437006;Erbach;25228395;23532422;11899805;3793399;4310646;1695973;6741;735641;316682
06437007;Fränkisch-Crumbach;5034535;4852481;2503441;751621;1141272;182054;0;94764;0
06437008;Hesseneck;1287192;1149296;369724;261699;270631;137896;11334;59062;65000
06437009;Höchst i. Odw.;17132541;15603050;7147293;3542117;1553690;1529491;80626;960908;330000
06437010;Lützelbach;10663610;10222450;4115336;2848373;2194638;441160;48729;246324;56000
06437011;Michelstadt;27267400;26298737;13820249;4539875;4812190;968663;383153;523924;0
06437012;Mossautal;4046594;3889926;1699722;558502;1015165;156668;8055;94608;0
06437013;Reichelsheim (Odenwald);13882093;13531844;6318895;2919186;3010132;350249;600;308942;0
06437014;Rothenberg;4003816;3886906;1622945;629219;938311;116910;0;108898;0
06437015;Sensbachtal;1569952;1500292;485242;391397;318508;69660;1143;68517;0
06438001;Dietzenbach;66508219;58076009;33798815;7706320;9513454;8432210;0;187009;0
06438002;Dreieich;95115296;88266249;66765413;1806116;9707571;6849047;0;260020;5397851
06438003;Egelsbach;24771740;24278689;14310859;1961898;4867994;493051;32851;416775;0
06438004;Hainburg;18895800;18609507;11902097;4330209;289625;286293;0;98752;0
06438005;Heusenstamm;41418329;39101032;22916524;2583486;9312806;2317297;779304;411324;0
06438006;Langen (Hessen);68568216;65140882;36557568;7887819;4525472;3427334;293931;765630;0
06438007;Mainhausen;16487437;15713212;9437316;1352267;2443726;774225;64523;154963;0
06438008;Mühlheim am Main;46514944;46010636;25819376;5796049;8975075;504308;0;423373;0
06438009;Neu-Isenburg;99439698;84352532;73182297;2059870;1779942;15087166;15750;4400160;5718032
06438010;Obertshausen;45258952;41735965;25345615;2753983;7278490;3522987;0;197604;2548000
06438011;Rodgau;76645488;65679943;46997288;8971723;1853596;10965545;32004;785181;1154310
06438012;Rödermark;44697115;42032635;29579830;5158481;2060053;2664480;183763;497153;202000
06438013;Seligenstadt;34207315;32378490;21567293;3612539;3873355;1828825;974952;359725;0
06439001;Aarbergen;13990382;9386304;4296953;1809912;2079028;4604078;450000;70160;2887605
06439002;Bad Schwalbach;21289140;19594316;8853165;3685153;745139;1694824;114428;352605;877631
06439003;Eltville am Rhein;34028824;27742023;18196566;2175498;3677980;6286801;46993;615960;1114498
06439004;Geisenheim;17861652;17303116;10563444;3080811;593249;558536;181449;162933;0
06439005;Heidenrod;32165631;17756009;5774849;2717651;3601917;14409622;43635;2971712;11351540
06439006;Hohenstein, Untertaunus;12118372;10546752;4684156;1551154;1353439;1571620;0;84820;1486800
06439007;Hünstetten;17090474;15411966;8395231;2777037;1028363;1678508;109738;472171;425997
06439008;Idstein;51786519;45686101;35400850;2444585;1901118;6100418;48834;564574;4558864
06439009;Kiedrich;9163509;6517374;4036392;450148;1298301;2646135;29725;67845;0
06439010;Lorch, Rheingau;8354340;7454221;2569371;1362130;1571702;900119;146278;252766;134160
06439011;Niedernhausen;24212155;22338734;14106072;3644508;1037027;1873421;56662;886019;0
06439012;Oestrich-Winkel;19018830;17764298;9774377;3184609;725001;1254532;518279;115842;0
06439013;Rüdesheim am Rhein;19869124;18017755;8308798;2795822;2782032;1851369;0;82280;205000
06439014;Schlangenbad;12441520;11520348;5971768;1329795;1423872;921172;576;126644;416100
06439015;Taunusstein;49474074;43883422;30923905;5139797;1732144;5590652;547550;415280;3090015
06439016;Waldems;9634076;9397446;5221798;1077735;1857677;236630;49601;153108;0
06439017;Walluf;13078524;11678016;8993971;304044;1154160;1400508;3028;221499;1174200
06440001;Altenstadt, Hess;18417848;17125745;10334657;3158727;1540180;1292103;60466;253402;14280
06440002;Bad Nauheim;82705876;64122159;30620427;9544593;14941107;18583717;3970488;930905;0
06440003;Bad Vilbel;109945907;62556213;37626757;2165245;14527862;47389694;665071;693597;0
06440004;Büdingen;34791413;32997931;19151166;6895923;2746452;1793482;112916;1535217;28253
06440005;Butzbach;43868461;37061965;21166228;7819049;2837287;6806496;529806;1258090;4365300
06440006;Echzell;8431164;8316046;3965368;1511410;1713576;115118;0;116819;-2906
06440007;Florstadt;13416679;13166627;6504377;2657056;2503887;250052;57413;132639;0
06440008;Friedberg (Hessen);49948430;44209657;30433071;6126996;2745287;5738773;747847;845079;0
06440009;Gedern;13055399;11131990;6843034;2083621;690175;1923409;153963;204333;1417436
06440010;Glauburg;5095172;4840678;2308109;720657;1247796;254494;70761;101708;0
06440011;Hirzenhain;3911752;3639778;1968030;796751;403448;271974;15510;97114;155000
06440012;Karben;39130318;33874798;23338925;3833714;3168100;5255520;47262;180695;3726200
06440013;Kefenrod;4738185;4473915;2434824;453682;949834;264270;31996;232843;-569
06440014;Limeshain;12467476;8518830;4077080;1829040;1850592;3948646;535439;433657;800000
06440015;Münzenberg;9135873;8422744;4123251;1388422;2056132;713129;0;713129;0
06440016;Nidda;28118579;25396237;13655516;5993728;2006846;2722342;71086;369129;0
06440017;Niddatal;12964489;12038389;7405576;2397646;901678;926100;25412;229919;400000
06440018;Ober-Mörlen;9686494;8880617;6304637;788977;951606;805877;33006;132936;600000
06440019;Ortenberg, Hess;18598330;14774061;5396252;3905671;3242037;3824269;0;829872;2923217
06440020;Ranstadt;8021834;7039477;3546806;1065966;1736696;982357;183144;273817;0
06440021;Reichelsheim (Wetterau);11217080;10017017;5003631;1561763;2349920;1200063;10231;347360;740000
06440022;Rockenberg;6622997;6257521;3182019;876623;1614693;365476;0;90222;274971
06440023;Rosbach v.d.Höhe;23007141;21213912;13800790;1133332;2598539;1793229;117187;264144;174263
06440024;Wölfersheim;16936459;15376761;6871133;2912258;3171755;1559698;526857;584550;109350
06440025;Wöllstadt;9768514;8511425;4715453;1461028;1644399;1257089;400;34689;0
06531001;Allendorf (Lumda);7300829;5974855;2999581;976917;1316148;1325974;116395;214896;887500
06531002;Biebertal;16939485;14179079;9184197;2395164;792829;2760406;825883;203663;540000
06531003;Buseck;20970390;18800890;10942273;3468410;935760;2169500;70694;689711;1177850
06531004;Fernwald;11913989;11623850;7631098;562251;1886998;290139;0;59872;161867
06531005;Gießen;238783457;215702038;86746101;65200932;17909826;23081419;260408;6941536;12549341
06531006;Grünberg, Hess;26591963;20994688;11374653;3501998;3478386;5597275;46236;1230808;3585000
06531007;Heuchelheim;14660785;14406424;9024539;433363;2976568;254361;66357;101019;0
06531008;Hungen;23730731;18190392;11240262;3346296;875042;5540339;114431;2164565;3100000
06531009;Langgöns;18437496;16514925;10023135;2907205;701160;1922571;123141;445370;750000
06531010;Laubach, Hess;15143151;13812969;7512334;3509493;263899;1330182;0;497394;697000
06531011;Lich;19715287;17009726;10405407;3118516;693945;2705561;669372;932559;386000
06531012;Linden, Hessen;20742107;17228583;11223715;3288662;645238;3513524;221164;72269;2458000
06531013;Lollar;14811589;13754352;7437677;3464684;724085;1057237;7274;563251;109000
06531014;Pohlheim;23833848;22944517;12573746;7035540;1052074;889331;17086;637800;0
06531015;Rabenau, Hess;9090682;7668815;2913808;2019254;1545345;1421867;265066;243772;640000
06531016;Reiskirchen;16658959;14456865;9046584;3057452;667234;2202094;700572;252508;660000
06531017;Staufenberg, Hess;11810511;11071343;6330971;2349490;707891;739168;49740;157391;345050
06531018;Wettenberg;21613816;20588182;13096627;2935910;1072498;1025634;150883;508449;0
06532001;Aßlar;25552852;19430863;13947738;977347;509025;6121989;180203;827121;3900000
06532002;Bischoffen;5904347;5183263;2323286;790932;1127092;721084;421061;65324;0
06532003;Braunfels;16471836;15769943;7727172;4025180;646846;701893;9162;169659;235000
06532004;Breitscheid, Hess;7345026;6518812;3075366;1044220;961445;826214;0;405542;250000
06532005;Dietzhölztal;13783810;13731894;11691359;247538;1330242;51916;704;5000;0
06532006;Dillenburg;39073780;35666641;20561524;4264115;4933722;3407139;346413;177875;2275000
06532007;Driedorf;8959567;8796486;3737276;1092662;1740575;163081;42614;90000;0
06532008;Ehringshausen;17046048;15039127;7707407;2245058;2526934;2006921;105212;315284;1233923
06532009;Eschenburg;15215979;13628339;9265793;2325257;209665;1587640;455327;185317;697000
06532010;Greifenstein;13791341;11294696;4716894;2682620;1616202;2496645;147767;907888;1400000
06532011;Haiger;32904433;29400230;20946494;2877160;2530904;3504203;695345;215576;0
06532012;Herborn, Hess;43989504;42429712;36667982;813241;1074686;1559792;82587;114358;8000
06532013;Hohenahr;8485366;8033808;3355904;1266581;1397683;451558;199024;145651;0
06532014;Hüttenberg;18760621;16976580;8900544;2713002;3013844;1784041;379180;266547;0
06532015;Lahnau;16173466;14432834;8566332;1619554;2696894;1740632;73523;80533;1040000
06532016;Leun;9118075;8871815;3361714;2268175;1822315;246260;837;151831;0
06532017;Mittenaar;8855227;7193920;3780598;837954;1525019;1661307;882078;226198;450000
06532018;Schöffengrund;10196709;9493577;4231649;2049625;1669354;703132;10824;283805;0
06532019;Siegbach;4221464;3878954;1643212;945037;692434;342510;9989;203457;120000
06532020;Sinn;8537038;7504341;5042181;1621888;181870;1032697;187230;105809;687000
06532021;Solms;19328079;15563099;9437302;2174608;925800;3764980;49699;346745;1800000
06532022;Waldsolms;8274056;7473317;3353604;1296271;1627933;800739;358083;362170;0
06532023;Wetzlar;138372089;108043156;60264376;18996859;12558797;30328933;1083780;2296203;9000000
06533001;Beselich;9882794;8688669;3203671;2128929;1242107;1194125;80897;301089;700000
06533002;Brechen;10591373;10004063;4737285;1644269;2429321;587310;155808;168076;0
06533003;Bad Camberg;22368416;21640888;14319301;2877293;944046;727528;0;132496;513900
06533004;Dornburg, Westerw;14268030;13217191;5403378;3001042;2575059;1050839;174264;669706;0
06533005;Elbtal;3990461;3749347;1323581;807578;668169;241114;34142;102972;100000
06533006;Elz;13764837;12243081;6825734;1380497;2357419;1521756;271495;87918;568175
06533007;Hadamar;17449235;16071138;7111140;4714966;2600012;1378097;378441;381022;543399
06533008;Hünfelden;16768444;14997683;6457958;3958264;2915463;1770761;631526;178045;809020
06533009;Limburg a.d.Lahn;70735310;66497349;46408915;5079390;9946583;4237961;1922890;1231812;0
06533010;Löhnberg;9467241;8319066;2915674;1959727;1477704;1148175;28479;225362;894140
06533011;Mengerskirchen;9652139;6847892;2933932;1929902;1185705;2804247;456657;261391;1887500
06533012;Merenberg;6093105;5111697;2494393;753015;1021272;981408;520739;448094;0
06533013;Runkel;16014875;13855737;6644945;2222295;3099917;2159138;23631;192503;1819000
06533014;Selters (Taunus);15052251;12101998;4697334;3534228;2479132;2950253;230497;497143;2044650
06533015;Villmar;13504806;10918448;4726127;2326046;2249900;2586358;52232;886638;1513433
06533016;Waldbrunn (Westerwald);9600992;8036651;3014564;2433018;1565364;1564341;173846;195295;1192000
06533017;Weilburg;26247269;23974077;11396786;4868005;4235904;2273192;80063;987235;1100000
06533018;Weilmünster;16506885;15522137;6811810;2495857;3340419;984748;176452;659367;0
06533019;Weinbach;7366760;6880162;2760674;1655876;1287043;486598;263360;174959;0
06534001;Amöneburg;8194723;7536010;3288220;1769441;1755492;658713;157112;248512;249189
06534002;Angelburg;4995823;4449208;2435545;995157;576095;546615;177311;159867;136500
06534003;Bad Endbach;13670002;12287278;4764622;4075148;1825134;1382724;2291;277381;1000000
06534004;Biedenkopf;24537114;22135935;15121735;1902629;2006699;2401179;3562;471610;1804000
06534005;Breidenbach;10556936;9661340;6505525;283236;1380376;895596;356802;31161;318270
06534006;Cölbe;12124349;10027927;5772872;1815435;1267718;2096422;804;161042;1932340
06534007;Dautphetal;18902858;17397463;9096639;3956242;2369653;1505395;497565;543203;0
06534008;Ebsdorfergrund;14631278;13938135;6368020;2745000;3491349;693143;194310;325465;0
06534009;Fronhausen;5925025;5424487;4052172;614179;132619;500538;0;100888;243000
06534010;Gladenbach;17119984;15243024;9392329;4241806;275835;1876960;70283;512312;1061879
06534011;Kirchhain;29570563;25770619;13372213;4301012;5055737;3799944;165012;1464195;1850000
06534012;Lahntal;11758436;8319692;4955151;1921884;267768;3438744;322807;354834;1800000
06534013;Lohra;8023912;7070716;3854538;1548323;1038990;953196;174675;389661;355000
06534014;Marburg;192847364;173390759;109128373;18938614;16407168;19456605;636249;3272497;14654810
06534015;Münchhausen am Christenberg;4984247;4463447;2087689;1185570;575506;520800;31341;222531;265000
06534016;Neustadt (Hessen);12857733;12106403;4996441;4336877;1318943;751330;153332;414998;157000
06534017;Rauschenberg;7474717;6431354;2935700;1655351;820493;1043363;447838;158875;308500
06534018;Stadtallendorf;50942524;47250449;40840781;693611;848945;3692075;245759;1700719;0
06534019;Steffenberg;5544738;4755802;3695073;384060;59047;788936;202069;228468;304325
06534020;Weimar (Lahn);10734986;9915484;5383543;1855114;1637735;819502;45098;228351;429007
06534021;Wetter (Hessen);12841024;12164866;5630394;3885780;348488;676158;223824;345377;0
06534022;Wohratal;3751584;3396852;1404510;971956;680720;354732;0;139732;215000
06535001;Alsfeld;29054479;23137602;14947089;5021290;832780;5916877;43418;501695;4807522
06535002;Antrifttal;3520282;2812333;1229987;841431;565927;707949;0;631229;75799
06535003;Feldatal;4359686;3845840;1684206;1024942;560612;513846;128156;90915;292775
06535004;Freiensteinau;5285516;4904515;1916983;1153312;1048316;381001;24583;350662;0
06535005;Gemünden (Felda);4757225;4271674;1889378;974461;909341;485551;332917;150434;0
06535006;Grebenau;4307541;3561564;1587505;787608;791926;745977;544909;200439;0
06535007;Grebenhain;8952086;7677625;3183224;1177631;1893317;1274461;262973;350594;610000
06535008;Herbstein;8635924;7882756;3789671;1349752;1932383;753168;7467;446870;265000
06535009;Homberg (Ohm);13844246;12831351;6838214;1904739;2873684;1012895;196533;196627;575000
06535010;Kirtorf;4146253;3682542;1754286;1077017;107989;463711;24079;424531;0
06535011;Lauterbach (Hess.);27633210;23130606;12945280;3483891;3379565;4502604;252682;505825;3241473
06535012;Lautertal (Vogelsberg);3989961;3847379;1563216;694339;685957;142582;23000;119582;0
06535013;Mücke;15960784;15536863;7806987;2904888;3346610;423921;44647;288891;0
06535014;Romrod;4330255;3936962;1740222;970261;965996;393293;20496;311816;0
06535015;Schlitz;13978210;13210833;6299472;4458890;553662;767377;0;347377;420000
06535016;Schotten;19080215;16668420;7189194;5000457;2694311;2411795;270741;884989;834458
06535017;Schwalmtal, Hess;6380520;3856166;1473727;1051110;1035525;2524354;101303;467026;1912105
06535018;Ulrichstein;4384641;3958175;2040846;697551;85308;426466;0;143200;276750
06535019;Wartenberg, Hess;6578861;5596263;3117920;1036999;828960;982598;274909;181628;410000
06611000;Kassel, krsfr. Stadt;683268066;630554732;255255210;123331174;94081277;52713334;2083540;18557730;24374760
06631001;Bad Salzschlirf;5395538;4800042;2167563;907378;859797;595496;4971;240525;350000
06631002;Burghaun;9904498;9365478;5963760;1502739;330633;539020;137149;229259;0
06631003;Dipperz;6877910;4495672;2144159;946522;708070;2382238;444039;350508;0
06631004;Ebersburg;4864531;4561829;2745766;1148656;183030;302702;23959;113668;162637
06631005;Ehrenberg (Rhön);3924446;3457072;1476888;894245;641708;467374;0;146391;75983
06631006;Eichenzell;19010691;14983899;9569993;2521918;648343;4026792;246993;475083;2920295
06631007;Eiterfeld;13447790;12955482;8064947;1809183;2126853;492308;103630;124195;185000
06631008;Flieden;14283990;12581895;5027391;4019463;2467503;1702095;269296;630836;688780
06631009;Fulda;166081134;147747406;75599125;26071240;12197499;18333728;2377735;6134727;4964468
06631010;Gersfeld (Rhön);8946371;7193141;3169260;2508669;531810;1753230;93878;254859;1055738
06631011;Großenlüder;10273406;9774568;5769931;2980364;437382;498838;7268;250919;200000
06631012;Hilders;7701571;6315654;2641890;1533665;1318798;1385917;14921;517760;713800
06631013;Hofbieber;9438860;8422020;3511770;3478360;530071;1016840;12132;554708;450000
06631014;Hosenfeld;7723648;6105033;2855076;1581746;864315;1618615;49658;242000;1296000
06631015;Hünfeld;42974906;24251321;13513999;4628682;707548;18723585;638172;1202237;15788178
06631016;Kalbach;8735419;8171688;3624748;2157365;1723234;563731;215076;275662;13350
06631017;Künzell;21303283;19892416;10573136;6258194;793161;1410867;103619;561843;0
06631018;Neuhof, Kr Fulda;20135512;16755027;10266773;1097769;3736076;3380485;1531285;801681;0
06631019;Nüsttal;3926077;3731180;1361640;1064334;287461;194897;33252;109881;0
06631020;Petersberg, Kr Fulda;24561421;19960062;12582276;3875194;744093;4601359;2051736;384522;700000
06631021;Poppenhausen (Wasserkuppe);3968183;3538355;1781117;769400;631711;429828;9149;358441;0
06631022;Rasdorf;2253007;2165252;819155;478203;493386;87755;18092;64000;-3835
06631023;Tann (Rhön);6399487;5900271;2409929;1715298;1184996;499216;249987;171829;30000
06632001;Alheim;7962018;7315920;2626856;2420697;1466752;646098;3906;228650;398000
06632002;Bad Hersfeld;56495893;44068059;25723690;7170485;4913087;12427834;35144;1630686;7027498
06632003;Bebra;25334641;18399094;8907078;5543969;521242;6935547;317291;2867014;3469877
06632004;Breitenbach a. Herzberg;2967950;2763421;846831;858914;766499;204529;11787;190285;0
06632005;Cornberg;2000997;1768607;790162;650439;64770;232390;0;232390;0
06632006;Friedewald, Hess;4870025;4099362;2378538;342624;1026546;770663;15746;53500;700000
06632007;Hauneck;6195696;4771354;2117279;1193342;1133054;1424342;4412;302930;1000000
06632008;Haunetal;4968344;4090113;1795472;945722;816871;878231;70148;430133;250000
06632009;Heringen (Werra);34871744;21494732;17134219;255329;2187641;13377012;4263620;722369;6869670
06632010;Hohenroda;3610003;3295311;1982466;924127;138176;314692;205493;109199;0
06632011;Kirchheim, Hess;4953499;4870499;3170215;897332;245478;83000;0;83000;0
06632012;Ludwigsau;8121444;7857673;2801786;2893750;1305484;263771;1200;226421;0
06632013;Nentershausen, Hess;3473449;2934940;1392973;1182336;69754;538509;69829;468066;0
06632014;Neuenstein, Hess;5816542;4669962;2768031;619034;780454;1146580;8843;136637;1000000
06632015;Niederaula;10565071;8026291;4026622;1114755;2238583;2538780;615797;620346;1302637
06632016;Philippsthal (Werra);11178524;10823359;9302387;141951;135586;355165;0;320002;0
06632017;Ronshausen;3393864;3205665;1535680;948743;544590;188199;6528;178350;0
06632018;Rotenburg a.d.Fulda;22947837;19577499;9073681;6501402;769096;3370338;2591;1058919;2258799
06632019;Schenklengsfeld;9911613;6248873;2699641;1441031;1408468;3662740;315533;445983;2900000
06632020;Wildeck;5492231;5332038;2851791;2008256;150595;160193;11199;140100;0
06633001;Ahnatal;14028984;12452529;6239164;2633944;2205057;1576455;470;109400;1160000
06633002;Bad Karlshafen;6435856;4969439;2500739;1341298;293424;1466417;19381;277604;1056500
06633003;Baunatal;94756492;91620669;80563840;1107322;3490389;3135823;264388;1206105;153000
06633004;Breuna;9633077;6182397;2379954;1079615;1201792;3450680;130768;209787;3048075
06633005;Calden;14232407;11829543;5750143;2434962;2121897;2402864;135519;2105345;0
06633006;Bad Emstal;8635239;8257670;4120784;2299574;165143;377569;24108;138872;0
06633007;Espenau;7473477;6732115;3065127;1455285;1277954;741362;709263;75808;98667
06633008;Fuldabrück;21015659;15599331;8735310;1287734;4196410;5416328;1650659;666415;1890000
06633009;Fuldatal;25748144;20169061;8648878;5739803;2678775;5579083;434904;1398663;1377266
06633010;Grebenstein;9732629;8824545;3357441;2405470;1724805;908084;43322;705636;0
06633011;Habichtswald;8843772;8047201;3511005;1734401;1393080;796571;43739;228825;500000
06633012;Helsa;8859786;7889072;3527386;2491890;1387902;970714;532722;334442;67919
06633013;Hofgeismar;30260462;25044182;10345513;6827880;4676939;5216280;561089;793753;2400000
06633014;Immenhausen;11870196;10324682;4889992;2395587;1793706;1545514;58429;222028;1000000
06633015;Kaufungen;20528912;19644155;11718378;3133204;1748301;884757;46033;189290;315000
06633016;Liebenau, Hess;5611348;5008507;1858118;1324345;927568;602841;0;109500;400000
06633017;Lohfelden;22685725;21463565;12895705;2921164;2679943;1222160;287976;204761;0
06633018;Naumburg;7954382;7060756;3521821;1976963;232024;893626;69215;141762;200000
06633019;Nieste;2800488;2566346;1477374;431501;427005;234142;1538;108787;110000
06633020;Niestetal;24249165;19890550;9402529;3997567;4255255;4358615;131427;1250176;372000
06633021;Oberweser;5515993;5336973;2025459;1232523;1106404;179020;16272;133395;0
06633022;Reinhardshagen;9196893;6900587;2750752;1590900;1937887;2296306;282595;101011;1780300
06633023;Schauenburg;14276734;13705895;7497135;4122417;643098;570839;11114;498941;0
06633024;Söhrewald;7713754;6987146;3225860;1662066;1456822;726608;13919;305078;400000
06633025;Trendelburg;9638162;8647774;2970611;2214360;1902809;990388;129744;532613;150000
06633026;Vellmar;30267871;27525768;16645643;5615022;2584113;2742103;161921;857018;1516000
06633027;Wahlsburg;3066717;2684535;1187773;954137;106360;382182;123707;38750;194500
06633028;Wolfhagen;30669089;22367282;10294640;4204188;4892260;8301807;85056;1981346;6000000
06633029;Zierenberg;11620737;9615473;4620658;2209382;1642890;2005264;47197;84927;1578912
06633200;Gutsbezirk Reinhardswald;-;-;-;-;-;-;-;-;-
06634001;Borken (Hessen);26010311;24221819;8997443;7645212;3304123;1788492;252248;486600;0
06634002;Edermünde;10496507;9641031;5290770;2172825;1110595;855476;63453;314660;0
06634003;Felsberg;19009929;15501233;7584791;4193231;2308623;3508696;547463;696641;2078000
06634004;Frielendorf;13415876;12705525;3941115;3943528;3542136;710351;81548;402299;0
06634005;Fritzlar;24570997;23046710;10608873;6026769;3794999;1524287;127071;394049;948474
06634006;Gilserberg;4937859;4374756;1639042;1269969;881293;563103;18033;203309;339628
06634007;Gudensberg;17909993;15328724;6262121;3438274;3249154;2581269;1042726;443502;0
06634008;Guxhagen;10702915;8244287;4902564;1177579;1236494;2458628;6122;99077;2312323
06634009;Homberg (Efze);27541834;26147651;11815505;8453959;3377745;1394183;31438;1178268;0
06634010;Jesberg;6049083;3563439;1206813;1137634;872375;2485644;-4;300066;2182700
06634011;Knüllwald;11607963;7223571;3011810;1579062;1858313;4384392;164194;884817;3331381
06634012;Körle;6894244;4085381;2102204;572572;947176;2808863;435171;449157;1731000
06634013;Malsfeld;8957457;7269614;4432585;682811;1353586;1687843;152250;405338;1000000
06634014;Melsungen;28743650;21788165;15223813;1610237;1285041;6955485;1004622;3122713;2800000
06634015;Morschen;6403153;4940155;1897846;1555983;894681;1462998;405116;199760;850000
06634016;Neuental;5537691;4958143;1667059;1453629;1407385;579548;46984;529347;0
06634017;Neukirchen, Knüll;10761707;9440141;3868056;3967576;466056;1321566;98976;448633;732200
06634018;Niedenstein;8282362;7432300;3487784;1730247;1037124;850062;389076;346768;0
06634019;Oberaula;5639683;4382577;1789523;1377182;851354;1257106;5031;555075;697000
06634020;Ottrau;6891289;3126064;981862;1165834;691145;3765225;52006;1341801;2371418
06634021;Schrecksbach;5495463;4109339;1596878;1430850;897093;1386124;50652;123582;1182100
06634022;Schwalmstadt;32723084;25355963;12748079;8004132;1514618;7367121;355294;2835281;3890330
06634023;Schwarzenborn, Knüll;2068177;1865177;672352;475856;462656;203000;10329;104571;78300
06634024;Spangenberg;13029705;11263224;5496560;1306777;2266360;1766481;314218;672803;573290
06634025;Wabern;9926836;9215956;4205890;2753472;1067772;710880;234974;318329;0
06634026;Willingshausen;9732522;6882378;2709850;2143480;1605794;2850144;918995;352384;1468445
06634027;Bad Zwesten;9055110;6775575;2564509;1724051;1799958;2279535;41291;176276;2000000
06635001;Allendorf (Eder);15269275;14213793;11157551;213349;1887321;1055482;192187;469496;156056
06635002;Bad Arolsen;31751270;28535820;12722872;8518562;1212033;3215450;546865;2076560;0
06635003;Bad Wildungen;40317234;36253212;12436454;7219090;7646976;4064022;114732;2160109;300000
06635004;Battenberg (Eder);13338199;10695941;5931179;1740761;1955295;2642258;754243;270355;1500000
06635005;Bromskirchen;4380961;3535095;1412960;210645;880942;845866;61135;307586;112000
06635006;Burgwald;8728853;8342466;3754195;1200064;1918815;386387;119593;212980;0
06635007;Diemelsee;9585278;8755367;3887484;1701442;2310928;829911;96416;499581;75000
06635008;Diemelstadt;11007687;8916365;4449835;1198350;2303531;2091322;392376;173984;1450000
06635009;Edertal;13142697;12238309;3830072;4370379;2573141;904388;266643;562962;0
06635010;Frankenau;5321114;4876026;1787138;1318002;1162264;445088;53516;375900;0
06635011;Frankenberg (Eder);30601217;25870732;15854965;4646549;2537688;4730485;157726;3048255;1449148
