GENESIS-Tabelle: 14339-01-02-5
Landtagswahlen: Bayern - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Bayern;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15.09.2013;09174115;Dachau, GKSt;30369;65,4;19583;9349;4770;1515;526;373;3051
15.09.2013;09174118;Erdweg;4303;72,2;3071;1610;583;141;55;27;657
15.09.2013;09174121;Haimhausen;3652;71,2;2566;1261;559;215;99;29;405
15.09.2013;09174122;Hebertshausen;3929;73,9;2857;1429;616;167;73;24;549
15.09.2013;09174126;Karlsfeld;12217;67,5;8128;3894;2045;440;206;140;1405
15.09.2013;09174131;Markt Indersdorf, M;7299;71,1;5082;2588;1277;217;83;57;862
15.09.2013;09174135;Odelzhausen;3407;65,2;2188;1174;405;89;48;31;443
15.09.2013;09174136;Petershausen;4625;71,8;3279;1468;898;212;58;68;576
15.09.2013;09174137;Pfaffenhofen a.d.Glonn;1435;69,3;975;596;141;52;18;13;155
15.09.2013;09174141;Röhrmoos;4399;71,5;3104;1493;679;218;45;44;627
15.09.2013;09174143;Schwabhausen;4625;73,4;3352;1617;627;193;56;45;815
15.09.2013;09174146;Sulzemoos;1958;68,7;1328;775;207;55;28;17;247
15.09.2013;09174147;Hilgertshausen-Tandern;2379;72,4;1703;914;449;60;26;24;232
15.09.2013;09174150;Vierkirchen;3301;73,4;2387;1177;623;132;35;31;390
15.09.2013;09174151;Weichs;2407;71,0;1689;843;410;102;28;14;293
15.09.2013;09175111;Anzing;2849;74,6;2106;1175;363;170;88;27;284
15.09.2013;09175112;Aßling;3289;73,0;2368;1184;396;348;58;23;361
15.09.2013;09175113;Baiern;1038;71,8;736;429;60;56;28;3;160
15.09.2013;09175114;Bruck;889;74,4;654;320;109;67;22;7;130
15.09.2013;09175115;Ebersberg, St;8475;72,4;6044;2586;1611;644;221;77;907
15.09.2013;09175116;Egmating;1638;74,2;1203;588;261;105;43;24;183
15.09.2013;09175118;Forstinning;2652;68,8;1797;951;355;149;71;25;248
15.09.2013;09175119;Frauenneuharting;1118;73,3;814;512;81;60;13;6;142
15.09.2013;09175121;Glonn, M;3493;70,7;2437;1186;463;281;97;28;383
15.09.2013;09175122;Grafing b.München, St;9825;71,6;6968;3122;1503;979;236;104;1025
15.09.2013;09175123;Hohenlinden;2206;69,2;1500;866;176;81;18;11;350
15.09.2013;09175124;Kirchseeon, M;6923;67,8;4617;2077;1094;449;126;74;799
15.09.2013;09175127;Markt Schwaben, M;8637;65,5;5584;2516;1461;508;178;108;813
15.09.2013;09175128;Moosach;1080;72,9;777;372;138;104;23;5;136
15.09.2013;09175131;Oberpframmern;1697;75,5;1270;644;247;118;66;15;182
15.09.2013;09175132;Vaterstetten;16070;73,7;11696;5718;2509;1140;888;118;1324
15.09.2013;09175133;Pliening;3835;70,1;2650;1420;548;191;103;26;364
15.09.2013;09175135;Poing;9558;66,8;6305;2749;1791;543;244;94;886
15.09.2013;09175136;Emmering;1113;70,2;767;466;46;89;13;8;146
15.09.2013;09175137;Steinhöring;2950;66,4;1939;1063;322;164;47;15;330
15.09.2013;09175139;Zorneding;6676;74,7;4892;2151;1200;578;249;76;639
15.09.2013;09175444;Gem.fr. Geb. Ebersberg;0;0,0;0;0;0;0;0;0;0
15.09.2013;09176111;Adelschlag;2261;74,7;1677;973;254;82;17;26;327
15.09.2013;09176112;Altmannstein, M;5352;68,0;3583;2585;431;110;43;66;349
15.09.2013;09176114;Beilngries, St;6938;67,9;4598;2981;549;197;61;85;726
15.09.2013;09176116;Böhmfeld;1265;74,7;935;530;249;39;12;15;91
15.09.2013;09176118;Buxheim;2661;69,3;1809;1032;296;88;46;24;323
15.09.2013;09176120;Denkendorf;3347;65,9;2172;1216;374;91;24;38;430
15.09.2013;09176121;Dollnstein, M;2106;71,6;1490;776;323;54;14;28;296
15.09.2013;09176122;Egweil;878;74,8;645;415;79;38;10;9;95
15.09.2013;09176123;Eichstätt, GKSt;9974;70,0;6879;3355;1316;572;128;131;1378
15.09.2013;09176124;Eitensheim;2122;73,4;1538;945;249;47;24;20;254
15.09.2013;09176126;Gaimersheim, M;8681;68,1;5836;3021;1376;323;210;132;775
15.09.2013;09176129;Großmehring;4973;63,5;3120;1839;486;99;57;69;572
15.09.2013;09176131;Hepberg;1975;68,1;1316;702;321;43;28;39;185
15.09.2013;09176132;Hitzhofen;2184;75,2;1611;881;290;79;22;20;321
15.09.2013;09176137;Kinding, M;2003;74,2;1468;1025;158;53;11;14;207
15.09.2013;09176138;Kipfenberg, M;4062;74,4;2984;1820;458;93;41;39;536
15.09.2013;09176139;Kösching, M;6825;68,1;4551;2185;1222;216;84;166;679
15.09.2013;09176143;Lenting;3554;65,6;2299;1170;594;85;58;68;326
15.09.2013;09176147;Mindelstetten;1271;74,7;923;649;89;19;7;9;152
15.09.2013;09176148;Mörnsheim, M;1186;70,3;811;522;99;15;11;19;146
15.09.2013;09176149;Nassenfels, M;1518;75,6;1136;662;136;58;10;18;253
15.09.2013;09176150;Oberdolling;949;69,3;653;404;86;25;10;13;116
15.09.2013;09176153;Pförring, M;2792;65,5;1807;1158;293;41;23;28;265
15.09.2013;09176155;Pollenfeld;2148;76,8;1633;1023;146;51;14;20;380
15.09.2013;09176160;Schernfeld;2268;73,0;1638;1013;152;57;22;21;374
15.09.2013;09176161;Stammham;2859;67,2;1893;1017;382;87;28;42;338
15.09.2013;09176164;Titting, M;2068;79,4;1621;1122;109;44;18;12;317
15.09.2013;09176165;Walting;1766;77,6;1344;817;150;58;21;11;288
15.09.2013;09176166;Wellheim, M;2095;70,0;1444;755;327;59;17;53;235
15.09.2013;09176167;Wettstetten;3672;71,0;2573;1268;635;151;80;41;400
15.09.2013;09176444;Gem.fr. Geb. Eichstätt;0;0,0;0;0;0;0;0;0;0
15.09.2013;09177112;Berglern;1989;64,9;1266;446;157;188;22;26;428
15.09.2013;09177113;Bockhorn;2771;73,0;1999;1081;217;157;51;24;470
15.09.2013;09177114;Buch a.Buchrain;1134;74,1;830;417;109;67;30;15;194
15.09.2013;09177115;Dorfen, St;10492;69,4;7203;3429;1106;820;145;131;1574
