GENESIS-Tabelle: 14343-01-02-5
Landtagswahlen: Mecklenburg-Vorpommern - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Mecklenburg-Vorpommern;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
04.09.2016;13071072;Kentzlin;168;60,7;99;18;25;1;1;23;31
04.09.2016;13071073;Kieve;116;46,6;52;12;17;9;1;4;9
04.09.2016;13071074;Kittendorf;257;52,5;131;29;24;5;9;18;46
04.09.2016;13071075;Klein Vielen;539;56,4;294;79;68;8;12;30;97
04.09.2016;13071076;Kletzin;612;56,4;339;75;87;6;12;51;108
04.09.2016;13071077;Klink;916;50,3;453;98;153;17;14;50;121
04.09.2016;13071078;Klocksin;265;55,5;146;39;41;4;4;11;47
04.09.2016;13071079;Knorrendorf;522;51,5;268;59;59;6;7;38;99
04.09.2016;13071080;Kratzeburg;434;50,7;213;41;48;17;6;24;77
04.09.2016;13071081;Kriesow;255;51,8;131;25;27;3;2;17;57
04.09.2016;13071082;Krukow;-;-;-;-;-;-;-;-;-
04.09.2016;13071083;Kublank;139;66,9;86;14;25;0;1;15;31
04.09.2016;13071084;Kummerow;491;55,8;264;74;75;6;8;24;77
04.09.2016;13071085;Lansen-Schönau;-;-;-;-;-;-;-;-;-
04.09.2016;13071086;Lapitz;-;-;-;-;-;-;-;-;-
04.09.2016;13071087;Lärz;431;52,2;219;58;92;6;3;22;38
04.09.2016;13071088;Leizen;395;54,2;206;30;76;9;3;26;62
04.09.2016;13071089;Lindenberg;201;50,7;100;25;20;0;3;17;35
04.09.2016;13071090;Lindetal;938;44,6;414;105;106;23;10;43;127
04.09.2016;13071091;Ludorf;401;60,6;240;58;86;10;13;17;56
04.09.2016;13071092;Malchin, Stadt;6420;39,4;2463;440;843;53;42;313;772
04.09.2016;13071093;Malchow, Stadt;5487;47,9;2567;414;800;177;71;259;846
04.09.2016;13071094;Mallin;-;-;-;-;-;-;-;-;-
04.09.2016;13071095;Massow;209;43,5;83;12;27;2;4;10;28
04.09.2016;13071096;Meesiger;197;61,9;116;23;24;10;1;11;47
04.09.2016;13071097;Melz;298;53,0;155;20;42;6;1;23;63
04.09.2016;13071098;Mildenitz;-;-;-;-;-;-;-;-;-
04.09.2016;13071099;Mirow, Stadt;3464;41,9;1418;332;436;47;40;154;409
04.09.2016;13071100;Möllenbeck;577;46,4;264;72;43;8;3;22;116
04.09.2016;13071101;Möllenhagen;1257;49,9;614;123;184;24;14;66;203
04.09.2016;13071102;Mölln;409;55,7;223;52;71;7;6;21;66
04.09.2016;13071103;Moltzow;710;41,4;285;54;86;14;4;37;90
04.09.2016;13071104;Neddemin;277;55,6;151;23;32;4;5;17;70
04.09.2016;13071105;Neetzka;186;56,5;103;14;19;8;2;17;43
04.09.2016;13071106;Neu Gaarz;-;-;-;-;-;-;-;-;-
04.09.2016;13071107;Neubrandenburg, Stadt;52933;45,3;23554;3901;7165;890;580;3754;7264
04.09.2016;13071108;Neuenkirchen;954;62,8;590;131;175;9;20;86;169
04.09.2016;13071109;Neukalen, Stadt;1550;53,0;808;355;159;17;21;56;200
04.09.2016;13071110;Neustrelitz, Stadt;17324;44,1;7517;1538;2194;357;159;1059;2210
04.09.2016;13071111;Neverin;875;60,9;522;116;170;24;13;67;132
04.09.2016;13071112;Nossendorf;600;46,7;276;70;63;2;5;27;109
04.09.2016;13071113;Nossentiner Hütte;565;58,9;319;50;120;9;7;42;91
04.09.2016;13071114;Penkow;226;50,9;113;22;28;4;7;12;40
04.09.2016;13071115;Penzlin, Stadt;3496;49,9;1698;323;545;64;32;168;566
04.09.2016;13071116;Petersdorf;129;58,9;75;16;15;0;3;3;38
04.09.2016;13071117;Pragsdorf;394;59,4;230;75;58;6;4;24;63
04.09.2016;13071118;Priborn;309;50,5;151;21;49;2;0;35;44
04.09.2016;13071119;Priepert;285;53,7;146;40;38;3;6;12;47
04.09.2016;13071120;Pripsleben;202;59,4;117;24;23;2;2;8;58
04.09.2016;13071121;Puchow;-;-;-;-;-;-;-;-;-
04.09.2016;13071122;Rechlin;1747;48,0;816;136;269;34;40;112;225
04.09.2016;13071123;Ritzerow;345;55,7;187;41;59;1;3;27;56
04.09.2016;13071124;Röbel/Müritz, Stadt;4332;46,6;1975;341;733;101;53;246;501
04.09.2016;13071125;Röckwitz;246;70,3;169;72;29;3;2;10;53
04.09.2016;13071126;Roggentin;-;-;-;-;-;-;-;-;-
04.09.2016;13071127;Rosenow;799;54,8;430;86;134;4;4;44;158
04.09.2016;13071128;Sarow;591;48,2;275;53;76;8;4;33;101
04.09.2016;13071129;Schloen;-;-;-;-;-;-;-;-;-
04.09.2016;13071130;Schönbeck;366;49,2;175;44;58;1;3;10;59
04.09.2016;13071131;Schönfeld;309;54,7;162;41;30;5;8;22;56
04.09.2016;13071132;Schönhausen;199;66,8;128;9;37;7;5;20;50
04.09.2016;13071133;Schwarz;328;48,8;154;20;53;8;5;25;43
04.09.2016;13071134;Schwinkendorf;-;-;-;-;-;-;-;-;-
04.09.2016;13071135;Siedenbollentin;522;54,8;277;75;77;4;9;27;85
04.09.2016;13071136;Siedenbrünzow;428;54,7;228;58;47;4;5;30;84
04.09.2016;13071137;Sietow;504;58,9;294;70;80;17;3;43;81
04.09.2016;13071138;Silz;305;58,0;169;50;42;10;5;15;47
04.09.2016;13071139;Sommersdorf;198;60,1;112;22;25;5;2;19;39
04.09.2016;13071140;Sponholz;611;66,0;395;92;84;20;7;43;149
04.09.2016;13071141;Staven;354;59,0;205;58;46;10;3;25;63
04.09.2016;13071142;Stavenhagen, Reuterstadt, Stadt;4675;38,5;1741;298;492;34;37;297;583
04.09.2016;13071143;Stuer;223;48,0;103;20;34;3;2;7;37
04.09.2016;13071144;Torgelow am See;333;53,8;174;53;46;9;3;21;42
04.09.2016;13071145;Trollenhagen;751;60,3;448;103;116;11;11;49;158
04.09.2016;13071146;Tützpatz;468;51,3;236;31;56;7;7;22;113
04.09.2016;13071147;Userin;553;58,2;315;86;101;13;9;58;48
04.09.2016;13071148;Utzedel;397;45,3;175;50;33;5;1;12;74
04.09.2016;13071149;Varchentin;249;53,8;133;33;26;6;1;19;48
04.09.2016;13071150;Verchen;331;55,3;180;60;49;1;5;18;47
04.09.2016;13071151;Vielist;-;-;-;-;-;-;-;-;-
04.09.2016;13071152;Vipperow;336;58,0;189;48;50;4;4;30;53
04.09.2016;13071153;Voigtsdorf;87;73,6;59;7;14;3;1;15;19
04.09.2016;13071154;Vollrathsruhe;335;46,3;152;19;52;5;2;24;50
04.09.2016;13071155;Walow;401;49,1;193;42;62;6;7;22;54
04.09.2016;13071156;Waren (Müritz), Stadt;17770;44,5;7737;1415;2374;376;201;1143;2228
04.09.2016;13071157;Warrenzin;329;52,3;168;44;41;5;9;12;57
04.09.2016;13071158;Werder;462;48,9;221;50;35;0;15;27;94
04.09.2016;13071159;Wesenberg, Stadt;2618;44,2;1131;291;302;41;37;150;310
04.09.2016;13071160;Wildberg;451;45,9;199;36;54;8;9;29;63
04.09.2016;13071161;Woggersin;439;60,8;264;62;48;11;23;32;88
04.09.2016;13071162;Wokuhl-Dabelow;500;55,6;270;55;71;7;8;37;92
04.09.2016;13071163;Wolde;503;55,7;272;39;67;4;8;48;106
04.09.2016;13071164;Woldegk, Stadt;3734;46,0;1673;361;457;31;41;176;607
04.09.2016;13071165;Wredenhagen;375;54,7;199;47;58;9;6;24;55
04.09.2016;13071166;Wulkenzin;1304;63,6;814;178;240;37;19;94;246
04.09.2016;13071167;Wustrow;606;48,5;290;71;65;27;6;40;81
04.09.2016;13071168;Zepkow;162;58,0;93;14;28;4;0;8;39
04.09.2016;13071169;Zettemin;244;61,5;148;35;44;4;1;19;45
04.09.2016;13071170;Zirzow;273;58,6;156;19;35;5;4;18;75
04.09.2016;13071171;Zislow;191;56,5;108;23;41;2;3;8;31
04.09.2016;13071172;Peenehagen;880;55,1;479;110;127;22;8;71;141
04.09.2016;13071173;Kuckssee;433;64,0;274;55;73;16;4;31;95
04.09.2016;13071174;Schloen-Dratow;692;52,3;358;78;91;18;10;40;121
04.09.2016;13072001;Admannshagen-Bargeshagen;2381;65,5;1532;375;483;42;53;166;413
04.09.2016;13072002;Alt Bukow;401;53,4;206;38;80;10;8;24;46
04.09.2016;13072003;Alt Sührkow;320;60,3;187;40;81;4;5;20;37
04.09.2016;13072004;Altkalen;629;46,6;283;61;74;19;12;27;90
04.09.2016;13072005;Am Salzhaff;433;62,4;257;45;84;15;10;37;66
04.09.2016;13072006;Bad Doberan, Stadt;9816;51,4;4931;949;1576;219;109;599;1479
04.09.2016;13072007;Bartenshagen-Parkentin;1080;66,3;704;148;215;45;20;65;211
04.09.2016;13072008;Bastorf;820;53,8;434;72;126;26;14;43;153
04.09.2016;13072009;Baumgarten;649;50,7;323;57;122;31;7;31;75
04.09.2016;13072010;Behren-Lübchin;790;53,4;416;134;99;7;11;49;116
04.09.2016;13072011;Benitz;312;67,0;206;34;68;6;3;39;56
04.09.2016;13072012;Bentwisch;2015;58,8;1164;253;372;39;37;143;320
04.09.2016;13072013;Bernitt;1263;52,0;646;113;226;29;13;85;180
04.09.2016;13072014;Biendorf;970;53,5;507;83;138;18;9;86;173
04.09.2016;13072015;Blankenhagen;863;52,1;442;94;150;22;20;58;98
04.09.2016;13072016;Boddin;257;56,8;144;30;62;1;3;11;37
04.09.2016;13072017;Börgerende-Rethwisch;1419;64,1;889;221;261;50;32;94;231
04.09.2016;13072018;Bröbberow;422;67,3;278;52;83;22;12;25;84
04.09.2016;13072019;Broderstorf;3121;63,6;1966;359;598;90;82;227;610
04.09.2016;13072020;Bützow, Stadt;6378;44,7;2777;456;1030;73;64;353;801
04.09.2016;13072021;Cammin;575;60,5;342;73;104;19;6;42;98
04.09.2016;13072022;Carinerland;805;56,4;443;68;145;18;11;62;139
04.09.2016;13072023;Dahmen;406;51,2;202;35;49;15;2;35;66
04.09.2016;13072024;Dalkendorf;214;57,0;118;20;37;3;4;14;40
04.09.2016;13072025;Diekhof;749;48,6;351;74;90;12;10;35;130
04.09.2016;13072026;Dobbin-Linstow;430;46,0;192;45;47;8;5;22;65
04.09.2016;13072027;Dolgen am See;524;59,2;301;45;102;11;8;35;100
04.09.2016;13072028;Dreetz;176;58,0;98;26;36;1;1;8;26
04.09.2016;13072029;Dummerstorf;5779;60,2;3399;761;1053;141;93;401;950
04.09.2016;13072030;Elmenhorst/Lichtenhagen;3445;61,6;2094;528;634;96;80;205;551
04.09.2016;13072031;Finkenthal;223;52,0;114;34;40;3;5;7;25
04.09.2016;13072032;Gelbensande;1231;41,3;494;85;151;20;12;72;154
04.09.2016;13072033;Glasewitz;355;48,5;163;33;56;10;2;10;52
04.09.2016;13072034;Gnewitz;155;52,3;79;12;24;4;0;10;29
04.09.2016;13072035;Gnoien, Stadt;2515;46,7;1142;316;354;9;25;99;339
04.09.2016;13072036;Graal-Müritz;3666;50,7;1829;382;568;75;56;302;446
04.09.2016;13072037;Grammow;132;59,1;77;19;28;1;1;2;26
04.09.2016;13072038;Groß Roge;532;50,4;255;66;93;6;5;26;59
04.09.2016;13072039;Groß Schwiesow;246;53,3;129;23;46;5;2;13;40
04.09.2016;13072040;Groß Wokern;858;61,3;513;120;177;12;21;54;129
04.09.2016;13072041;Groß Wüstenfelde;707;58,0;403;217;74;10;10;17;75
04.09.2016;13072042;Gülzow-Prüzen;1341;50,4;659;145;226;12;20;55;201
04.09.2016;13072043;Güstrow, Stadt;24099;45,4;10714;1945;3884;369;279;1100;3137
04.09.2016;13072044;Gutow;824;64,0;516;138;152;28;10;49;139
04.09.2016;13072045;Hohen Demzin;326;55,8;178;34;56;5;6;27;50
04.09.2016;13072046;Hohen Sprenz;422;56,2;234;38;70;6;3;42;75
04.09.2016;13072047;Hohenfelde;654;68,0;435;109;151;20;9;48;98
04.09.2016;13072048;Hoppenrade;548;57,5;309;47;81;9;8;30;134
04.09.2016;13072049;Jördenstorf;732;48,6;347;98;112;3;10;31;93
04.09.2016;13072050;Jürgenshagen;908;52,6;466;87;159;18;7;45;150
04.09.2016;13072051;Kassow;294;55,1;159;24;57;6;3;13;56
04.09.2016;13072052;Kirch Mulsow;241;50,2;120;17;40;4;2;9;48
04.09.2016;13072053;Klein Belitz;703;51,6;356;76;129;8;13;31;99
04.09.2016;13072054;Klein Kussewitz;597;51,6;302;52;93;16;20;28;93
04.09.2016;13072055;Klein Upahl;218;66,5;141;31;32;7;3;26;42
04.09.2016;13072056;Krakow am See, Stadt;3019;46,6;1385;244;487;61;35;187;371
04.09.2016;13072057;Kritzmow;2934;59,2;1722;448;578;95;61;175;365
04.09.2016;13072058;Kröpelin, Stadt;4033;47,8;1869;354;602;63;51;191;608
04.09.2016;13072059;Kuchelmiß;618;49,5;303;41;100;14;1;28;119
04.09.2016;13072060;Kühlungsborn, Stadt;6558;48,4;3107;657;1103;134;94;309;810
04.09.2016;13072061;Kuhs;269;59,1;152;24;49;9;5;23;42
04.09.2016;13072062;Laage, Stadt;4498;52,9;2321;533;788;63;70;215;652
04.09.2016;13072063;Lalendorf;2889;48,3;1364;288;418;38;22;139;459
04.09.2016;13072064;Lambrechtshagen;2342;55,9;1282;278;410;58;42;150;344
04.09.2016;13072065;Langhagen;-;-;-;-;-;-;-;-;-
04.09.2016;13072066;Lelkendorf;371;50,4;181;39;43;8;4;14;73
04.09.2016;13072067;Lohmen;620;53,4;328;64;119;7;7;38;93
04.09.2016;13072068;Lühburg;186;55,4;100;22;29;1;0;12;36
04.09.2016;13072069;Lüssow;775;55,0;418;82;130;12;9;39;146
04.09.2016;13072070;Mandelshagen;-;-;-;-;-;-;-;-;-
04.09.2016;13072071;Mistorf;545;57,6;307;53;93;28;9;32;92
04.09.2016;13072072;Mönchhagen;1005;63,5;630;147;208;17;15;76;167
04.09.2016;13072073;Mühl Rosin;868;61,6;527;133;176;23;15;40;140
04.09.2016;13072074;Neubukow, Stadt;3179;46,9;1452;270;524;38;30;173;417
04.09.2016;13072075;Nienhagen;1681;64,6;1074;266;292;56;43;112;305
04.09.2016;13072076;Nustrow;122;77,0;92;27;30;1;0;8;26
04.09.2016;13072077;Papendorf;1997;57,6;1134;225;378;108;45;141;237
04.09.2016;13072078;Penzin;122;65,6;79;21;18;3;2;7;28
04.09.2016;13072079;Plaaz;663;43,6;279;69;85;8;2;34;81
04.09.2016;13072080;Pölchow;753;60,7;450;81;143;42;12;48;124
04.09.2016;13072081;Poppendorf;607;61,1;364;74;105;20;9;55;101
04.09.2016;13072082;Prebberede;596;51,0;292;64;67;9;11;32;109
04.09.2016;13072083;Reddelich;746;65,1;478;81;155;28;18;48;148
04.09.2016;13072084;Reimershagen;310;52,3;158;38;52;6;3;23;36
04.09.2016;13072085;Rerik, Stadt;1824;54,8;990;205;361;47;14;110;253
04.09.2016;13072086;Retschow;781;60,7;472;101;139;25;16;59;132
04.09.2016;13072087;Roggentin;2221;63,3;1397;289;450;53;49;184;372
04.09.2016;13072088;Rövershagen;2054;53,7;1087;223;332;57;29;145;301
04.09.2016;13072089;Rühn;504;59,3;294;57;102;11;8;38;78
04.09.2016;13072090;Rukieten;248;57,7;138;25;48;3;1;17;44
04.09.2016;13072091;Sanitz;4741;56,0;2610;548;860;94;96;334;678
04.09.2016;13072092;Sarmstorf;419;60,9;252;49;86;6;8;31;72
04.09.2016;13072093;Satow;4536;61,0;2678;505;913;93;77;302;788
04.09.2016;13072094;Schorssow;375;50,7;186;23;49;8;5;27;74
04.09.2016;13072095;Schwaan, Stadt;4266;52,9;2188;413;721;81;48;219;706
04.09.2016;13072096;Schwasdorf;370;43,5;161;43;49;0;0;20;49
04.09.2016;13072097;Selpin;381;48,8;183;25;44;10;7;21;76
04.09.2016;13072098;Stäbelow;1136;59,6;668;134;242;31;23;65;173
04.09.2016;13072099;Steffenshagen;427;65,1;272;51;78;12;6;26;99
04.09.2016;13072100;Steinfeld;-;-;-;-;-;-;-;-;-
04.09.2016;13072101;Steinhagen;612;57,5;343;53;133;15;9;28;105
04.09.2016;13072102;Stubbendorf;115;56,5;63;7;23;4;6;6;17
04.09.2016;13072103;Sukow-Levitzow;379;56,7;213;114;42;7;2;7;41
