GENESIS-Tabelle: 13111-02-02-5-B
Sozialversicherungspflichtig Beschäftigte am Wohnort;;;;;;;
nach Geschlecht und Nationalität - Stichtag 30.06. -;;;;;;;
regionale Ebenen;;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;;
Sozialversicherungspfl. Beschäftigte (Wohnort) (Anzahl);;;;;;;
30.06.2015;;;;;;;
;;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität
;;Insgesamt;Insgesamt;Insgesamt;Ausländer(innen);Ausländer(innen);Ausländer(innen)
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
0713301078;Pfaffen-Schwabenheim;530;278;252;44;29;15
0713301080;Pleitersheim;144;77;67;6;.;.
0713301104;Tiefenthal, Rheinhessen;48;28;20;.;0;.
0713301106;Volxheim;443;242;201;29;23;6
0713302;Bad Münster am Stein-Ebernburg, Verbandsgem.;2796;1501;1295;.;.;.
0713302003;Altenbamberg;287;136;151;8;3;5
0713302007;Bad Münster am Stein-Ebernburg;-;-;-;-;-;-
0713302027;Duchroth;212;111;101;4;.;.
0713302030;Feilbingert;610;350;260;20;15;5
0713302039;Hallgarten;339;183;156;.;.;0
0713302045;Hochstätten;227;125;102;13;.;.
0713302070;Niederhausen;238;124;114;17;11;6
0713302071;Norheim;539;286;253;18;10;8
0713302074;Oberhausen an der Nahe;148;87;61;17;.;.
0713302105;Traisen;196;99;97;5;.;.
0713303;Kirn-Land, Verbandsgem.;3669;2086;1583;.;.;.
0713303008;Bärenbach b Idar-Oberstein;186;100;86;9;5;4
0713303010;Becherbach bei Kirn;148;90;58;3;.;.
0713303016;Brauweiler;35;22;13;0;0;0
0713303038;Hahnenbach;170;93;77;.;.;0
0713303041;Heimweiler;163;84;79;.;.;0
0713303042;Heinzenberg;6;3;3;0;0;0
0713303043;Hennweiler;480;262;218;4;.;.
0713303046;Hochstetten-Dhaun;648;395;253;49;39;10
0713303047;Horbach b Simmertal;18;12;6;0;0;0
0713303059;Limbach b Kirn, Nahe;117;69;48;0;0;0
0713303063;Meckenbach b Kirn, Nahe;140;78;62;0;0;0
0713303073;Oberhausen bei Kirn;335;195;140;6;.;.
0713303077;Otzweiler;76;52;24;.;0;.
0713303096;Simmertal;695;372;323;19;12;7
0713303113;Weitersborn;78;54;24;3;.;.
0713303201;Bruschied;81;48;33;5;.;.
0713303202;Kellenbach;99;55;44;7;.;.
0713303203;Königsau;19;9;10;0;0;0
0713303204;Schneppenbach;79;40;39;.;.;0
0713303205;Schwarzerden;96;53;43;.;0;.
0713304;Langenlonsheim, Verbandsgem.;5129;2751;2378;355;.;.
0713304018;Bretzenheim;946;517;429;65;38;27
0713304026;Dorsheim;273;146;127;12;4;8
0713304035;Guldental;948;496;452;46;32;14
0713304054;Langenlonsheim;1445;777;668;174;116;58
0713304056;Laubenheim;306;162;144;13;4;9
0713304087;Rümmelsheim;552;293;259;11;.;.
0713304114;Windesheim;659;360;299;34;22;12
0713305;Meisenheim, Verbandsgem.;3042;1631;1411;.;.;.
0713305001;Abtweiler;93;46;47;0;0;0
0713305011;Becherbach;343;191;152;.;.;0
0713305017;Breitenheim;163;79;84;3;.;.
0713305020;Callbach;146;81;65;3;3;0
0713305024;Desloch;148;80;68;4;.;.
0713305049;Hundsbach;166;101;65;8;.;.
0713305051;Jeckenbach;97;61;36;.;0;.
0713305058;Lettweiler;90;49;41;3;.;.
0713305060;Löllbach;84;46;38;.;.;0
0713305065;Meisenheim;1077;552;525;44;23;21
0713305081;Raumbach;141;80;61;3;3;0
0713305083;Rehborn;272;142;130;.;0;.
0713305084;Reiffelbach;90;61;29;3;3;0
0713305090;Schmittweiler;88;42;46;0;0;0
0713305092;Schweinschied;44;20;24;.;.;0
0713306;Rüdesheim, Verbandsgem.;9785;5168;4617;.;.;.
0713306002;Allenfeld;69;42;27;4;.;.
0713306004;Argenschwang;114;64;50;6;.;.
0713306013;Bockenau;484;271;213;25;11;14
0713306014;Boos, Nahe;157;81;76;.;.;0
0713306015;Braunweiler;239;129;110;6;3;3
0713306019;Burgsponheim;84;46;38;0;0;0
0713306021;Dalberg;89;49;40;5;.;.
0713306027;Duchroth;-;-;-;-;-;-
0713306033;Gebroth;61;31;30;.;.;0
0713306036;Gutenberg;406;209;197;18;10;8
0713306040;Hargesheim;1103;557;546;47;25;22
0713306044;Hergenfeld;201;107;94;4;.;.
0713306048;Hüffelsheim;553;270;283;16;9;7
0713306061;Mandel;344;170;174;5;.;.
0713306068;Münchwald;109;60;49;4;.;.
0713306070;Niederhausen;-;-;-;-;-;-
0713306071;Norheim;-;-;-;-;-;-
0713306074;Oberhausen an d.Nahe;-;-;-;-;-;-
0713306075;Oberstreit;103;56;47;4;.;.
0713306086;Roxheim;936;495;441;35;22;13
0713306088;Sankt Katharinen;148;83;65;11;.;.
0713306089;Schloßböckelheim;151;84;67;8;.;.
0713306098;Sommerloch;176;103;73;4;4;0
0713306099;Spabrücken;439;236;203;24;17;7
0713306100;Spall;47;29;18;3;.;.
0713306101;Sponheim;293;160;133;12;7;5
0713306105;Traisen;-;-;-;-;-;-
0713306107;Waldböckelheim;798;456;342;25;19;6
0713306109;Wallhausen, Kr Bad Kreuznach;590;299;291;25;16;9
0713306112;Weinsheim, Kr Bad Kreuznach;751;395;356;19;13;6
0713306115;Winterbach, Kr Bad Kreuznach;163;88;75;3;.;.
0713306117;Rüdesheim;1177;598;579;90;53;37
0713307;Bad Sobernheim, Verbandsgem.;6283;3419;2864;.;.;.
0713307005;Auen;68;41;27;.;.;.
0713307009;Bärweiler;83;46;37;3;0;3
0713307022;Daubach, Hunsrück;88;51;37;.;.;0
0713307050;Ippenschied;39;22;17;0;0;0
0713307053;Kirschroth;85;44;41;0;0;0
0713307055;Langenthal;32;17;15;.;0;.
0713307057;Lauschied;227;124;103;3;.;.
0713307062;Martinstein;106;58;48;.;.;.
0713307064;Meddersheim;491;266;225;10;6;4
0713307066;Merxheim;542;283;259;13;5;8
0713307067;Monzingen;603;356;247;27;17;10
0713307072;Nußbaum;199;100;99;5;.;.
0713307076;Odernheim am Glan;574;307;267;13;5;8
0713307082;Rehbach;14;9;5;0;0;0
0713307094;Seesbach;194;109;85;3;.;.
0713307102;Staudernheim;509;272;237;11;4;7
0713307111;Weiler bei Monzingen;177;90;87;.;.;.
0713307116;Winterburg;66;39;27;4;.;.
0713307501;Bad Sobernheim;2186;1185;1001;202;134;68
0713308;Stromberg, Verbandsgem.;3485;1866;1619;.;.;.
0713308023;Daxweiler;278;151;127;9;4;5
0713308025;Dörrebach;250;139;111;10;.;.
0713308028;Eckenroth;89;45;44;.;0;.
0713308085;Roth b Stromberg, Hunsrück;105;56;49;5;.;.
0713308091;Schöneberg, Hunsrück;250;128;122;8;4;4
0713308093;Schweppenhausen;333;196;137;35;23;12
0713308095;Seibersbach;489;277;212;9;5;4
0713308103;Stromberg;1192;607;585;114;56;58
0713308108;Waldlaubersheim;327;176;151;20;13;7
0713308110;Warmsroth;172;91;81;9;4;5
0713400045;Idar-Oberstein, verbandsfr. Gemeinde;10009;5333;4676;538;330;208
0713401;Baumholder, Verbandsgem.;3552;1981;1571;.;.;.
0713401005;Baumholder;1374;753;621;110;67;43
0713401007;Berglangenbach;193;101;92;4;.;.
0713401008;Berschweiler bei Baumholder;185;110;75;4;.;.
0713401021;Eckersweiler;73;40;33;.;0;.
0713401026;Fohren-Linden;141;81;60;.;.;.
0713401027;Frauenberg;157;82;75;4;.;.
0713401033;Hahnweiler;85;48;37;0;0;0
0713401036;Heimbach, Nahe;427;232;195;10;7;3
0713401051;Leitzweiler;38;24;14;.;.;.
0713401054;Mettweiler;107;69;38;4;.;.
0713401068;Reichenbach, Kr Birkenfeld, Nahe;221;129;92;5;.;.
0713401073;Rohrbach, Nahe;78;42;36;.;.;0
0713401074;Rückweiler;177;101;76;3;.;.
0713401075;Ruschberg;296;169;127;7;4;3
0713402;Birkenfeld, Verbandsgem.;7117;3844;3273;.;.;.
0713402001;Abentheuer;152;81;71;10;5;5
0713402002;Achtelsbach;173;95;78;0;0;0
0713402010;Birkenfeld, Nahe;2332;1267;1065;140;90;50
0713402011;Börfink;76;45;31;0;0;0
0713402015;Brücken;438;239;199;11;7;4
0713402016;Buhlenberg;175;102;73;0;0;0
0713402018;Dambach;65;34;31;.;0;.
0713402020;Dienstweiler;105;55;50;.;.;0
0713402022;Elchweiler;34;15;19;0;0;0
0713402023;Ellenberg b Birkenfeld, Nahe;40;19;21;0;0;0
0713402024;Ellweiler;113;59;54;4;.;.
0713402029;Gimbweiler;155;81;74;3;.;.
0713402031;Gollenberg;53;26;27;.;.;.
0713402034;Hattgenstein;90;44;46;3;0;3
0713402042;Hoppstädten-Weiersbach;981;554;427;51;29;22
0713402048;Kronweiler;117;65;52;4;.;.
0713402050;Leisel;213;110;103;3;.;.
0713402053;Meckenbach Kr Birkenfeld, Nahe;42;26;16;.;.;0
0713402057;Niederbrombach;174;92;82;.;0;.
0713402058;Niederhambach;123;59;64;0;0;0
0713402061;Nohen;139;76;63;.;.;0
0713402062;Oberbrombach;165;76;89;0;0;0
0713402063;Oberhambach;92;54;38;6;3;3
0713402070;Rimsberg;43;22;21;0;0;0
0713402071;Rinzenberg;127;67;60;0;0;0
0713402072;Rötsweiler-Nockenthal;168;83;85;.;.;0
0713402078;Schmißberg;98;56;42;.;.;0
0713402080;Schwollen;168;89;79;3;3;0
0713402084;Siesbach;147;83;64;0;0;0
0713402085;Sonnenberg-Winnenberg;193;101;92;5;.;.
0713402094;Wilzenberg-Hußweiler;126;69;57;0;0;0
0713403;Herrstein, Verbandsgem.;5919;3226;2693;.;.;.
0713403003;Allenbach;220;131;89;.;.;0
0713403006;Bergen b Kirn, Nahe;176;114;62;3;.;.
0713403009;Berschweiler bei Kirn;104;58;46;5;.;.
0713403013;Breitenthal  b Idar Oberstein;139;75;64;.;0;.
0713403014;Bruchweiler;228;121;107;.;0;.
0713403019;Dickesbach;167;87;80;3;.;.
0713403025;Fischbach b Idar-Oberstein;330;187;143;.;0;.
0713403028;Gerach b Idar-Oberstein;83;51;32;.;.;0
0713403032;Griebelschied;68;45;23;0;0;0
0713403038;Herborn b Idar-Oberstein;178;87;91;3;3;0
0713403039;Herrstein;280;154;126;.;.;0
0713403040;Hettenrodt;210;110;100;4;.;.
0713403041;Hintertiefenbach;116;61;55;0;0;0
0713403046;Kempfeld;288;156;132;3;.;.
0713403047;Kirschweiler;340;161;179;12;.;.
0713403052;Mackenrodt;148;76;72;.;.;0
0713403055;Mittelreidenbach;314;179;135;6;3;3
0713403056;Mörschied;303;163;140;18;.;.
0713403059;Niederhosenbach;129;71;58;.;.;.
0713403060;Niederwörresbach;349;192;157;9;4;5
0713403064;Oberhosenbach;59;34;25;0;0;0
0713403066;Oberreidenbach;230;124;106;4;.;.
0713403067;Oberwörresbach;56;30;26;.;0;.
0713403077;Schmidthachenbach;151;88;63;.;.;.
0713403081;Sensweiler;156;94;62;.;.;0
0713403082;Sien;185;101;84;0;0;0
0713403083;Sienhachenbach;86;46;40;0;0;0
0713403086;Sonnschied;46;25;21;.;.;.
0713403089;Veitsrodt;255;136;119;5;.;.
0713403090;Vollmersbach;183;83;100;4;.;.
0713403091;Weiden;36;21;15;.;.;0
0713403093;Wickenrodt;73;38;35;0;0;0
0713403095;Wirschweiler;125;70;55;0;0;0
0713403502;Langweiler b Idar-Oberstein;108;57;51;13;5;8
0713404;Rhaunen, Verbandsgem.;2742;1541;1201;.;.;.
0713404004;Asbach, Hunsrück;63;38;25;0;0;0
0713404012;Bollenbach;54;31;23;.;.;0
0713404017;Bundenbach;320;176;144;.;.;0
0713404030;Gösenroth;93;53;40;.;.;0
0713404035;Hausen, Hunsrück;75;39;36;.;.;0
0713404037;Hellertshausen;74;38;36;.;0;.
0713404043;Horbruch;130;66;64;7;4;3
0713404044;Hottenbach;227;126;101;3;3;0
0713404049;Krummenau;82;51;31;10;.;.
0713404065;Oberkirn;101;61;40;0;0;0
0713404069;Rhaunen;811;459;352;15;8;7
0713404076;Schauren b Idar-Oberstein;206;115;91;.;0;.
0713404079;Schwerbach;23;11;12;0;0;0
0713404087;Stipshausen;359;196;163;7;4;3
0713404088;Sulzbach b Idar-Oberstein;103;73;30;.;.;0
0713404092;Weitersbach;21;8;13;0;0;0
0713500020;Cochem, verbandsfr. Gemeinde;-;-;-;-;-;-
0713501;Cochem-Land, Verbandsgem.;7019;3682;3337;.;.;.
0713501007;Beilstein, Mosel;77;36;41;37;14;23
0713501012;Bremm;291;151;140;13;7;6
0713501015;Briedern;145;70;75;6;.;.
0713501017;Bruttig-Fankel;386;208;178;26;13;13
0713501020;Cochem, Stadt;1832;964;868;350;187;163
0713501021;Dohr;229;127;102;6;3;3
0713501024;Ediger-Eller;368;196;172;31;15;16
0713501025;Ellenz-Poltersdorf;292;151;141;37;17;20
0713501027;Ernst;225;128;97;9;5;4
0713501029;Faid;441;227;214;9;3;6
0713501036;Greimersburg;254;138;116;5;.;.
0713501049;Klotten;379;189;190;30;15;15
0713501053;Lieg;138;73;65;.;.;.
0713501056;Lütz;103;58;45;5;.;.
0713501060;Mesenich;100;48;52;13;5;8
0713501065;Moselkern;190;99;91;5;.;.
0713501066;Müden (Mosel);248;128;120;10;.;.
0713501069;Nehren, Mosel;38;21;17;4;.;.
0713501072;Pommern;157;75;82;6;3;3
0713501079;Senheim;166;87;79;20;4;16
0713501082;Treis-Karden;751;401;350;58;29;29
0713501086;Valwig;134;65;69;16;8;8
0713501090;Wirfus;75;42;33;0;0;0
0713502;Kaisersesch, Verbandsgem.;6083;3309;2774;.;.;.
0713502009;Binningen;278;143;135;3;3;0
0713502011;Brachtendorf;127;71;56;.;.;0
0713502014;Brieden;37;25;12;0;0;0
0713502016;Brohl;143;86;57;.;.;.
0713502022;Dünfus;108;55;53;0;0;0
0713502023;Düngenheim;497;271;226;12;7;5
0713502026;Eppenberg;71;36;35;3;.;.
0713502028;Eulgem;99;62;37;13;.;.
0713502031;Forst (Eifel);143;77;66;.;.;0
0713502033;Gamlen;191;100;91;0;0;0
0713502038;Hambuch;266;154;112;9;.;.
0713502040;Hauroth;134;85;49;3;.;.
0713502042;Illerich;320;161;159;3;0;3
0713502043;Kaifenheim;350;198;152;4;.;.
0713502044;Kail;111;58;53;4;.;.
0713502045;Kaisersesch;1201;635;566;30;16;14
0713502046;Kalenborn b Kaisersesch;76;44;32;.;.;0
0713502051;Landkern;350;186;164;10;4;6
0713502052;Laubach, Eifel;243;122;121;.;.;0
0713502058;Masburg;427;241;186;15;8;7
0713502062;Möntenich;56;25;31;.;.;0
0713502067;Müllenbach b Mayen;226;130;96;.;0;.
0713502075;Roes;208;119;89;3;.;.
0713502084;Urmersbach;188;101;87;.;0;.
0713502093;Zettingen;105;56;49;.;.;0
0713502502;Leienkaul;128;68;60;6;.;.
0713503;Ulmen, Verbandsgem.;4139;2174;1965;.;.;.
0713503002;Alflen;318;166;152;6;3;3
0713503005;Auderath;248;140;108;7;.;.
0713503008;Beuren, Eifel;197;98;99;5;.;.
0713503018;Büchel b Cochem;446;225;221;5;.;.
0713503030;Filz;33;17;16;.;0;.
0713503034;Gevenich;246;129;117;7;3;4
0713503035;Gillenbeuren;88;45;43;.;0;.
0713503048;Kliding;92;52;40;3;0;3
0713503057;Lutzerath;569;307;262;31;18;13
0713503078;Schmitt;53;26;27;.;.;0
0713503083;Ulmen;1173;613;560;39;22;17
0713503085;Urschmitt;81;46;35;0;0;0
0713503087;Wagenhausen;21;11;10;0;0;0
0713503089;Weiler b Gevenich, Eifel;119;60;59;0;0;0
0713503091;Wollmerath;79;45;34;3;.;.
0713503501;Bad Bertrich;376;194;182;41;22;19
0713504;Treis-Karden, Verbandsgem.;-;-;-;-;-;-
0713504009;Binningen;-;-;-;-;-;-
0713504014;Brieden;-;-;-;-;-;-
0713504016;Brohl;-;-;-;-;-;-
0713504022;Dünfus;-;-;-;-;-;-
0713504031;Forst (Eifel);-;-;-;-;-;-
0713504044;Kail;-;-;-;-;-;-
0713504050;Lahr, Hunsrück;-;-;-;-;-;-
0713504053;Lieg;-;-;-;-;-;-
0713504056;Lütz;-;-;-;-;-;-
0713504062;Möntenich;-;-;-;-;-;-
0713504063;Mörsdorf, Hunsrück;-;-;-;-;-;-
0713504065;Moselkern;-;-;-;-;-;-
0713504066;Müden (Mosel);-;-;-;-;-;-
0713504072;Pommern;-;-;-;-;-;-
0713504075;Roes;-;-;-;-;-;-
0713504082;Treis-Karden;-;-;-;-;-;-
0713504094;Zilshausen;-;-;-;-;-;-
0713505;Zell (Mosel), Verbandsgem.;5690;3116;2574;.;.;.
0713505001;Alf;281;140;141;26;11;15
0713505003;Altlay;208;118;90;4;.;.
0713505004;Altstrimmig;114;66;48;5;.;.
0713505010;Blankenrath;659;364;295;27;20;7
0713505013;Briedel;319;184;135;7;.;.
0713505019;Bullay;551;285;266;50;26;24
0713505032;Forst (Hunsrück);16;8;8;0;0;0
0713505037;Grenderich;148;80;68;3;.;.
0713505039;Haserich;78;46;32;5;.;.
0713505041;Hesweiler;67;36;31;0;0;0
0713505054;Liesenich;112;57;55;3;.;.
0713505061;Mittelstrimmig;147;87;60;.;0;.
0713505064;Moritzheim;61;32;29;.;0;.
0713505068;Neef;155;76;79;11;.;.
0713505070;Panzweiler;113;65;48;9;.;.
0713505071;Peterswald-Löffelscheid;273;158;115;10;7;3
0713505073;Pünderich;286;146;140;18;6;12
0713505074;Reidenhausen;52;28;24;.;.;.
0713505076;Sankt Aldegund;206;114;92;6;.;.
0713505077;Schauren b Blankenrath;140;85;55;.;.;0
0713505080;Sosberg;74;43;31;.;0;.
0713505081;Tellig;110;58;52;3;.;.
0713505088;Walhausen;84;48;36;0;0;0
0713505092;Zell (Mosel);1436;792;644;123;79;44
0713700003;Andernach, verbandsfr. Gemeinde;10703;5887;4816;635;417;218
0713700068;Mayen, verbandsfr. Gemeinde;6462;3489;2973;327;205;122
0713700203;Bendorf, Rhein, verbandsfr. Gemeinde;6087;3321;2766;518;334;184
0713701;Pellenz, Verbandsgem.;6391;3474;2917;222;134;88
0713701056;Kretz;275;158;117;13;8;5
0713701057;Kruft;1506;824;682;70;42;28
0713701081;Nickenich;1476;759;717;45;26;19
0713701088;Plaidt;2269;1248;1021;80;50;30
0713701096;Saffig;865;485;380;14;8;6
0713702;Maifeld, Verbandsgem.;9506;5004;4502;.;.;.
0713702023;Einig;48;27;21;.;.;0
0713702027;Gappenach;134;76;58;3;3;0
0713702029;Gering;170;95;75;4;.;.
0713702030;Gierschnach;106;59;47;.;0;.
0713702041;Kalt;169;88;81;3;.;.
0713702048;Kerben;205;110;95;8;4;4
0713702053;Kollig;208;110;98;4;.;.
0713702065;Lonnig;513;252;261;10;6;4
0713702070;Mertloch;510;266;244;9;5;4
0713702080;Naunheim;165;85;80;5;.;.
0713702086;Ochtendung;2150;1152;998;57;33;24
0713702087;Pillig;182;97;85;3;.;.
0713702089;Polch;2573;1372;1201;116;73;43
0713702095;Rüber;377;213;164;32;.;.
0713702102;Trimbs;213;115;98;.;0;.
0713702112;Welling;349;168;181;0;0;0
0713702114;Wierschem;120;60;60;7;7;0
0713702501;Münstermaifeld;1314;659;655;29;16;13
0713703;Vordereifel, Verbandsgem.;6070;3306;2764;.;.;.
0713703001;Acht;23;17;6;0;0;0
0713703004;Anschau;103;54;49;.;.;0
0713703006;Arft;105;61;44;.;.;.
0713703007;Baar;261;142;119;14;10;4
0713703011;Bermel;132;71;61;.;.;.
0713703014;Boos, Eifel;227;131;96;5;.;.
0713703019;Ditscheid;111;66;45;3;.;.
0713703025;Ettringen, Eifel;1048;595;453;38;28;10
0713703034;Hausten;168;90;78;0;0;0
0713703035;Herresbach;184;114;70;9;.;.
0713703036;Hirten;106;58;48;3;.;.
0713703043;Kehrig;456;244;212;5;.;.
0713703049;Kirchwald;330;174;156;5;.;.
0713703055;Kottenheim;958;500;458;15;7;8
0713703060;Langenfeld, Eifel;261;140;121;5;.;.
0713703061;Langscheid;25;12;13;0;0;0
0713703063;Lind b Mayen;17;12;5;.;.;0
0713703066;Luxem;108;57;51;.;.;0
0713703074;Monreal;235;126;109;8;.;.
0713703077;Münk;96;57;39;3;3;0
0713703079;Nachtsheim;202;105;97;3;.;.
0713703092;Reudelsterz;149;77;72;.;0;.
0713703097;Sankt Johann b Mayen;370;194;176;12;8;4
0713703099;Siebenbach;77;47;30;3;.;.
0713703105;Virneburg;139;80;59;6;.;.
0713703110;Weiler b Mayen;161;74;87;5;.;.
0713703113;Welschenbach;18;8;10;0;0;0
0713704;Mendig, Verbandsgem.;5110;2765;2345;132;.;.
0713704008;Bell;553;308;245;16;12;4
0713704069;Mendig;3266;1779;1487;95;60;35
0713704093;Rieden, Eifel;479;254;225;12;.;.
0713704101;Thür;581;298;283;6;3;3
0713704106;Volkesfeld;231;126;105;3;.;.
0713705;Rhens, Verbandsgem.;-;-;-;-;-;-
0713705204;Brey;-;-;-;-;-;-
0713705221;Rhens;-;-;-;-;-;-
0713705223;Spay;-;-;-;-;-;-
0713705227;Waldesch;-;-;-;-;-;-
0713706;Untermosel, Verbandsgem.;-;-;-;-;-;-
0713706201;Alken;-;-;-;-;-;-
0713706205;Brodenbach;-;-;-;-;-;-
0713706206;Burgen, Mosel;-;-;-;-;-;-
0713706207;Dieblich;-;-;-;-;-;-
0713706208;Hatzenport;-;-;-;-;-;-
0713706212;Kobern-Gondorf;-;-;-;-;-;-
0713706214;Löf;-;-;-;-;-;-
0713706215;Macken;-;-;-;-;-;-
0713706217;Niederfell;-;-;-;-;-;-
0713706219;Nörtershausen;-;-;-;-;-;-
0713706220;Oberfell;-;-;-;-;-;-
0713706230;Winningen, Mosel;-;-;-;-;-;-
0713706231;Wolken;-;-;-;-;-;-
0713706504;Lehmen;-;-;-;-;-;-
0713707;Vallendar, Verbandsgem.;5027;2573;2454;335;173;162
0713707218;Niederwerth;520;271;249;12;5;7
0713707224;Urbar b Koblenz am Rhein;1117;579;538;70;40;30
0713707226;Vallendar;2485;1266;1219;223;115;108
0713707229;Weitersburg;905;457;448;30;13;17
0713708;Weißenthurm, Verbandsgem.;13554;7468;6086;1048;713;335
0713708202;Bassenheim;1135;588;547;22;15;7
0713708209;Kaltenengers;890;487;403;58;32;26
0713708211;Kettig;1407;743;664;80;56;24
0713708216;Mülheim-Kärlich;4495;2456;2039;378;278;100
0713708222;Sankt Sebastian;1085;594;491;84;51;33
0713708225;Urmitz;1456;773;683;91;64;27
0713708228;Weißenthurm;3086;1827;1259;335;217;118
0713709;Rhein-Mosel;9767;4922;4845;.;.;.
0713709201;Alken;234;122;112;16;6;10
0713709204;Brey;496;256;240;22;14;8
0713709205;Brodenbach;244;136;108;39;16;23
0713709206;Burgen;270;148;122;12;5;7
0713709207;Dieblich;966;482;484;35;18;17
0713709208;Hatzenport;203;109;94;3;.;.
0713709212;Kobern-Gondorf;1123;611;512;61;34;27
0713709214;Löf;560;287;273;37;19;18
0713709215;Macken;133;66;67;.;0;.
0713709217;Niederfell;446;173;273;16;10;6
0713709219;Nörtershausen;424;194;230;4;.;.
0713709220;Oberfell;432;233;199;11;4;7
0713709221;Rhens;954;463;491;32;16;16
0713709223;Spay;678;340;338;22;13;9
0713709227;Waldesch;824;423;401;18;10;8
0713709230;Winningen;874;433;441;66;36;30
0713709231;Wolken;414;195;219;10;4;6
0713709504;Lehmen;492;251;241;19;14;5
0713800045;Neuwied, verbandsfr. Gemeinde;23035;12664;10371;2006;1283;723
0713801;Asbach, Verbandsgem.;8526;4599;3927;336;203;133
0713801003;Asbach, Westerwald;2693;1456;1237;121;79;42
0713801044;Neustadt (Wied);2425;1333;1092;95;57;38
0713801077;Windhagen;1661;879;782;78;43;35
0713801080;Buchholz (Westerwald);1747;931;816;42;24;18
0713802;Bad Hönningen, Verbandsgem.;4054;2245;1809;389;.;.
0713802004;Bad Hönningen;1933;1087;846;227;144;83
0713802024;Hammerstein;124;60;64;4;.;.
0713802038;Leutesdorf;642;353;289;41;26;15
0713802063;Rheinbrohl;1355;745;610;117;71;46
0713803;Dierdorf, Verbandsgem.;3998;2280;1718;.;.;.
0713803012;Dierdorf;1982;1143;839;94;64;30
0713803023;Großmaischeid;932;523;409;56;39;17
0713803031;Isenburg;251;137;114;9;5;4
0713803034;Kleinmaischeid;525;288;237;24;16;8
0713803069;Stebach;126;80;46;.;.;0
0713803201;Marienhausen;182;109;73;3;.;.
0713804;Linz am Rhein, Verbandsgem.;6893;3599;3294;403;215;188
0713804009;Dattenberg;556;299;257;22;13;9
0713804037;Leubsdorf, Rhein;564;300;264;28;19;9
0713804041;Linz am Rhein;1998;1013;985;201;112;89
0713804055;Ockenfels;389;199;190;26;7;19
0713804068;St. Katharinen (Landkreis Neuwied);1458;789;669;38;15;23
0713804075;Vettelschoß;1434;748;686;58;32;26
0713804501;Kasbach-Ohlenberg;494;251;243;30;17;13
0713805;Puderbach, Verbandsgem.;5430;3091;2339;.;.;.
0713805011;Dernbach b Dierdorf;377;200;177;24;18;6
0713805013;Döttesfeld;202;110;92;9;5;4
0713805014;Dürrholz;477;281;196;26;21;5
0713805025;Hanroth;228;133;95;0;0;0
0713805027;Harschbach;161;93;68;4;.;.
0713805040;Linkenbach;196;112;84;5;.;.
0713805048;Niederhofen;153;90;63;.;.;.
0713805050;Niederwambach;150;86;64;.;.;.
0713805052;Oberdreis;316;173;143;7;3;4
0713805057;Puderbach;914;505;409;47;31;16
0713805058;Ratzert;93;50;43;.;0;.
0713805059;Raubach;670;398;272;25;19;6
0713805064;Rodenbach bei Puderbach;241;147;94;.;0;.
0713805070;Steimel;454;247;207;14;.;.
0713805074;Urbach, Westerwald;578;340;238;18;.;.
0713805078;Woldert;220;126;94;3;.;.
0713806;Rengsdorf, Verbandsgem.;6199;3356;2843;255;.;.
0713806002;Anhausen;512;258;254;8;.;.
0713806005;Bonefeld;362;211;151;14;10;4
0713806015;Ehlscheid;575;304;271;15;11;4
0713806026;Hardert;318;167;151;14;9;5
0713806030;Hümmerich;307;178;129;13;6;7
0713806036;Kurtscheid;346;191;155;8;8;0
0713806042;Meinborn;194;108;86;4;.;.
0713806043;Melsbach;718;368;350;20;10;10
0713806053;Oberhonnefeld-Gierend;376;208;168;42;33;9
0713806054;Oberraden;254;141;113;7;4;3
0713806061;Rengsdorf;939;515;424;67;47;20
0713806066;Rüscheid;305;172;133;9;.;.
0713806071;Straßenhaus;704;386;318;26;16;10
0713806072;Thalhausen;289;149;140;8;4;4
0713807;Unkel, Verbandsgem.;4560;2295;2265;409;233;176
0713807008;Bruchhausen;371;194;177;11;5;6
0713807019;Erpel;929;454;475;79;47;32
0713807062;Rheinbreitbach;1597;800;797;124;63;61
0713807073;Unkel;1663;847;816;195;118;77
0713808;Waldbreitbach, Verbandsgem.;3554;1851;1703;112;60;52
0713808006;Breitscheid Kr Neuwied;855;437;418;17;7;10
0713808007;Hausen (Wied);704;377;327;46;32;14
0713808010;Datzeroth;96;52;44;0;0;0
0713808047;Niederbreitbach;623;323;300;14;8;6
0713808065;Roßbach, Wied;608;337;271;9;5;4
0713808076;Waldbreitbach;668;325;343;26;8;18
0714000501;Boppard, verbandsfr. Gemeinde;5595;2946;2649;406;232;174
0714002;Emmelshausen, Verbandsgem.;5392;3049;2343;.;.;.
0714002005;Badenhard;61;35;26;.;.;0
0714002014;Bickenbach, Hunsrück;121;66;55;.;0;.
0714002016;Birkheim;47;27;20;.;.;.
0714002031;Dörth;201;117;84;3;.;.
0714002036;Emmelshausen;1689;925;764;98;56;42
0714002043;Gondershausen;469;269;200;14;7;7
0714002045;Halsenbach;473;277;196;19;16;3
