GENESIS-Tabelle: 14335-01-02-5
Landtagswahlen: Nordrhein-Westfalen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Nordrhein-Westfalen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.05.2012;05170032;Rheinberg;24821;62,6;15356;3989;6545;1546;1157;302;1817
13.05.2012;05170036;Schermbeck;11105;66,4;7287;2296;2677;697;643;116;858
13.05.2012;05170040;Sonsbeck;6769;64,1;4300;1637;1344;370;411;80;458
13.05.2012;05170044;Voerde (Niederrhein);29374;61,8;17884;3454;8758;1629;1097;592;2354
13.05.2012;05170048;Wesel;47304;57,9;27059;6962;11559;2419;2185;776;3158
13.05.2012;05170052;Xanten;16931;63,6;10610;3427;3765;1057;931;197;1233
13.05.2012;05313000;Aachen, Stadt (alt);-;-;-;-;-;-;-;-;-
13.05.2012;05314000;Bonn, krsfr. Stadt;225015;65,3;145359;32907;43985;26629;20183;4034;17621
13.05.2012;05315000;Köln, krsfr. Stadt;715581;59,3;420952;81297;149197;82320;41362;14283;52493
13.05.2012;05316000;Leverkusen, krsfr. Stadt;118002;57,8;67243;16262;26275;7870;6080;1677;9079
13.05.2012;05334002;Aachen, krfr. Stadt;177789;62,7;110206;26823;34711;20170;10599;3383;14520
13.05.2012;05334004;Alsdorf, Stadt (ab 21.10.2009);33492;54,1;17728;4165;8159;1249;920;459;2776
13.05.2012;05334008;Baesweiler, Stadt (ab 21.10.2009);18863;59,2;10908;3896;3948;804;632;222;1406
13.05.2012;05334012;Eschweiler, Stadt (ab 21.10.2009);42113;57,3;23663;5766;11007;1605;1531;601;3153
13.05.2012;05334016;Herzogenrath, Stadt (ab 21.10.2009);35544;60,8;21202;5153;8772;2286;1481;569;2941
13.05.2012;05334020;Monschau, Stadt (ab 21.10.2009);9590;67,8;6377;2330;1986;684;528;100;749
13.05.2012;05334024;Roetgen (ab 21.10.2009);6440;71,0;4525;1165;1504;741;440;87;588
13.05.2012;05334028;Simmerath (ab 21.10.2009);11967;66,3;7793;3047;2276;704;594;140;1032
13.05.2012;05334032;Stolberg (Rhld.), Stadt (ab 21.10.2009);41584;58,1;23711;6382;9643;1995;1818;554;3319
13.05.2012;05334036;Würselen, Stadt (ab 21.10.2009);28451;60,9;17031;4650;6713;1725;1411;396;2136
13.05.2012;05354004;Alsdorf, Stadt;-;-;-;-;-;-;-;-;-
13.05.2012;05354008;Baesweiler, Stadt;-;-;-;-;-;-;-;-;-
13.05.2012;05354012;Eschweiler, Stadt;-;-;-;-;-;-;-;-;-
13.05.2012;05354016;Herzogenrath, Stadt;-;-;-;-;-;-;-;-;-
13.05.2012;05354020;Monschau, Stadt;-;-;-;-;-;-;-;-;-
13.05.2012;05354024;Roetgen;-;-;-;-;-;-;-;-;-
13.05.2012;05354028;Simmerath;-;-;-;-;-;-;-;-;-
13.05.2012;05354032;Stolberg (Rhld.), Stadt;-;-;-;-;-;-;-;-;-
13.05.2012;05354036;Würselen, Stadt;-;-;-;-;-;-;-;-;-
13.05.2012;05358004;Aldenhoven;10184;58,7;5868;1731;2474;349;310;102;902
13.05.2012;05358008;Düren;64479;52,5;33201;9597;12537;3098;2285;915;4769
13.05.2012;05358012;Heimbach, Eifel;3579;64,1;2247;844;638;171;290;25;279
13.05.2012;05358016;Hürtgenwald;6938;66,8;4552;1577;1441;475;394;81;584
13.05.2012;05358020;Inden;5545;65,8;3569;1030;1530;248;224;49;488
13.05.2012;05358024;Jülich;24874;63,4;15491;4742;5733;1491;1335;335;1855
13.05.2012;05358028;Kreuzau;14106;64,5;8924;3050;2981;906;713;162;1112
13.05.2012;05358032;Langerwehe;10878;66,8;7114;2040;2728;717;491;145;993
13.05.2012;05358036;Linnich;10109;61,2;6080;2136;2181;476;388;97;802
13.05.2012;05358040;Merzenich;7836;61,2;4704;1472;1748;405;329;75;675
13.05.2012;05358044;Nideggen;8029;64,0;5050;1625;1467;570;544;98;746
13.05.2012;05358048;Niederzier;10859;62,0;6593;1880;2824;471;386;114;918
13.05.2012;05358052;Nörvenich;8424;60,5;5007;1590;1715;400;388;107;807
