GENESIS-Tabelle: 31211-11-01-5-B
Wohnungen in Wohngebäuden nach Art der;;;;;;
Wohnungsnutzung - Stichtag 09.05.2011;;;;;;
regionale Ebenen;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;
Stichtag: 09.05.2011;;;;;;
;;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden
;;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung
;;Insgesamt;von Eigentümer/-in bewohnt;zu Wohnzwecken vermietet (auch mietfrei);Ferien- oder Freizeitwohnung;leer stehend
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01053004;Bäk;385;279;93;3;10
01053005;Bälau;91;63;28;-;-
01053006;Basedow;324;202;101;18;3
01053007;Basthorst;188;111;74;-;3
01053008;Behlendorf;152;103;46;-;3
01053009;Berkenthin;789;497;255;3;34
01053010;Besenthal;29;16;13;-;-
01053011;Bliestorf;279;162;111;-;6
01053012;Börnsen;1802;1147;613;3;39
01053013;Borstorf;117;85;26;-;6
01053014;Breitenfelde;773;447;310;3;13
01053015;Bröthen;127;89;35;-;3
01053016;Brunsmark;97;44;35;15;3
01053017;Brunstorf;255;164;88;-;3
01053018;Buchholz;98;67;31;-;-
01053019;Buchhorst;70;53;17;-;-
01053020;Büchen;2549;1395;1094;4;56
01053021;Dahmker;63;56;4;3;-
01053022;Dalldorf;161;126;35;-;-
01053023;Dassendorf;1297;956;305;10;26
01053024;Düchelsdorf;62;33;26;3;-
01053025;Duvensee;215;113;92;3;7
01053026;Einhaus;169;115;48;-;6
01053027;Elmenhorst;356;206;143;-;7
01053028;Escheburg;1474;846;585;9;34
01053029;Fitzen;187;80;43;64;-
01053030;Fredeburg;10;10;-;-;-
01053031;Fuhlenhagen;116;59;57;-;-
01053032;Geesthacht;14095;6091;7598;3;403
01053033;Giesensdorf;71;50;21;-;-
01053034;Göldenitz;86;61;25;-;-
01053035;Göttin;32;25;3;-;4
01053036;Grabau;134;65;66;3;-
01053037;Grambek;202;146;38;12;6
01053038;Grinau;89;70;19;-;-
01053039;Groß Boden;100;67;30;-;3
01053040;Groß Disnack;36;17;19;-;-
01053041;Groß Grönau;1634;1143;464;-;27
01053042;Groß Pampau;61;27;27;-;7
01053043;Groß Sarau;382;230;118;10;24
01053044;Groß Schenkenberg;222;125;97;-;-
01053045;Grove;107;67;31;3;6
01053046;Gudow;722;469;221;15;17
01053047;Gülzow;526;346;164;-;16
01053048;Güster;687;443;137;83;24
01053049;Hamfelde;231;131;97;-;3
01053050;Hamwarde;322;217;105;-;-
01053051;Harmsdorf;110;80;22;4;4
01053052;Havekost;80;28;49;-;3
01053053;Hohenhorn;229;155;67;-;7
01053054;Hollenbek;193;108;78;3;4
01053056;Hornbek;100;64;30;6;-
01053057;Horst;111;63;44;-;4
01053058;Juliusburg;73;47;26;-;-
01053059;Kankelau;78;47;31;-;-
01053060;Kasseburg;221;147;74;-;-
01053061;Kastorf;462;249;189;3;21
01053062;Kittlitz;139;75;51;7;6
01053064;Klein Pampau;264;180;76;-;8
01053066;Klein Zecher;107;57;35;6;9
01053067;Klempau;245;192;47;-;6
01053068;Klinkrade;263;130;133;-;-
01053069;Koberg;331;206;116;3;6
01053070;Köthel;111;87;21;-;3
01053071;Kollow;247;167;70;-;10
01053072;Kröppelshagen-Fahrendorf;497;387;104;-;6
01053073;Krüzen;136;112;24;-;-
01053074;Krukow;71;56;12;-;3
01053075;Krummesse;726;541;178;4;3
01053076;Kuddewörde;548;379;160;3;6
01053077;Kühsen;164;82;76;-;6
01053078;Kulpin;95;49;37;3;6
01053079;Labenz;343;197;133;-;13
01053080;Langenlehsten;81;36;39;-;6
01053081;Lankau;203;126;56;3;18
01053082;Lanze;139;66;64;9;-
01053083;Lauenburg/Elbe;5332;2621;2461;10;240
01053084;Lehmrade;188;123;59;3;3
01053085;Linau;499;333;153;-;13
01053086;Lüchow;130;43;81;-;6
01053087;Lütau;289;211;62;-;16
01053088;Mechow;43;31;12;-;-
01053089;Möhnsen;233;146;87;-;-
01053090;Mölln;9262;3808;5073;53;328
01053091;Mühlenrade;87;39;45;-;3
01053092;Müssen;431;307;103;4;17
01053093;Mustin;330;202;95;24;9
01053094;Niendorf bei Berkenthin;79;58;15;6;-
01053095;Niendorf/Stecknitz;282;195;72;-;15
01053096;Nusse;405;276;119;4;6
01053097;Panten;320;197;89;25;9
01053098;Pogeez;194;128;54;3;9
01053099;Poggensee;130;86;41;-;3
01053100;Ratzeburg;6705;3038;3348;49;266
01053101;Ritzerau;104;72;32;-;-
01053102;Römnitz;25;10;12;3;-
01053103;Rondeshagen;330;220;104;-;6
01053104;Roseburg;242;150;73;7;12
01053105;Sachsenwald;-;-;-;-;-
01053106;Sahms;155;113;33;-;9
01053107;Salem;343;198;102;34;9
01053108;Sandesneben;651;395;240;-;16
01053109;Schiphorst;234;150;81;-;3
01053110;Schmilau;261;150;99;-;12
01053111;Schnakenbek;355;269;74;-;12
01053112;Schönberg;562;329;227;-;6
01053113;Schretstaken;225;132;86;-;7
01053114;Schürensöhlen;70;49;15;-;6
01053115;Schulendorf;185;127;48;-;10
01053116;Schwarzenbek;6685;2881;3603;-;201
01053117;Seedorf;347;158;100;54;35
01053118;Siebenbäumen;259;152;99;-;8
01053119;Siebeneichen;108;60;48;-;-
01053120;Sierksrade;150;77;73;-;-
01053121;Sirksfelde;154;99;49;-;6
01053122;Steinhorst;235;171;57;4;3
01053123;Sterley;403;220;156;10;17
01053124;Stubben;158;106;49;-;3
01053125;Talkau;220;172;44;-;4
01053126;Tramm;137;87;47;-;3
01053127;Walksfelde;76;40;36;-;-
01053128;Wangelau;81;43;32;-;6
01053129;Wentorf bei Hamburg;5485;2431;2966;-;88
01053130;Wentorf (Amt Sandesneben);289;179;104;-;6
01053131;Wiershop;74;51;20;-;3
01053132;Witzeeze;352;250;85;3;14
01053133;Wohltorf;1144;671;453;-;20
01053134;Woltersdorf;131;63;65;-;3
01053135;Worth;78;27;45;-;6
01053136;Ziethen;380;285;88;7;-
01054001;Achtrup;661;476;166;-;19
01054002;Ahrenshöft;232;159;45;19;9
01054003;Ahrenviöl;204;151;47;3;3
01054004;Ahrenviölfeld;99;66;33;-;-
01054005;Alkersum;242;120;94;20;8
01054006;Almdorf;253;165;78;6;4
01054007;Arlewatt;145;108;33;4;-
01054009;Aventoft;259;167;76;4;12
01054010;Bargum;263;166;79;9;9
01054011;Behrendorf;243;181;59;-;3
01054012;Bohmstedt;316;232;65;12;7
01054013;Bondelum;77;50;27;-;-
01054014;Bordelum;980;674;267;23;16
01054015;Borgsum;187;113;51;23;-
01054016;Bosbüll;102;67;32;3;-
01054017;Braderup;342;229;91;19;3
01054018;Bramstedtlund;82;64;15;-;3
01054019;Bredstedt;2411;1376;900;16;119
01054020;Breklum;987;752;226;3;6
01054022;Dagebüll;476;285;126;45;20
01054023;Drage;255;186;55;11;3
01054024;Drelsdorf;529;370;143;9;7
01054025;Dunsum;70;24;9;37;-
01054026;Elisabeth-Sophien-Koog;25;16;6;-;3
01054027;Ellhöft;48;31;14;-;3
01054032;Fresendelf;56;41;9;6;-
01054033;Friedrichstadt;1369;637;605;73;54
01054034;Friedrich-Wilhelm-Lübke-Koog;54;39;15;-;-
01054035;Garding, Kirchspiel;179;102;63;14;-
01054036;Garding;1442;658;625;118;41
01054037;Goldebek;149;88;54;4;3
01054038;Goldelund;162;113;36;7;6
01054039;Gröde;4;4;-;-;-
01054040;Grothusenkoog;18;12;3;3;-
01054041;Haselund;355;261;84;3;7
01054042;Hattstedt;1113;744;344;6;19
01054043;Hattstedtermarsch;124;78;37;9;-
01054045;Högel;182;141;35;3;3
01054046;Hörnum (Sylt);874;319;254;270;28
01054048;Holm;45;30;15;-;-
01054050;Hallig Hooge;69;38;28;-;3
01054052;Horstedt;290;193;94;3;-
01054054;Hude;98;77;17;4;-
01054055;Humptrup;346;262;78;0;6
01054056;Husum;11405;5277;5726;154;248
01054057;Immenstedt;256;192;58;-;6
01054059;Joldelund;316;230;80;3;3
01054061;Kampen (Sylt);964;196;213;548;7
01054062;Karlum;92;64;21;-;7
01054063;Katharinenheerd;87;56;19;9;3
01054065;Klanxbüll;461;250;195;9;7
01054068;Klixbüll;428;292;125;8;3
01054070;Koldenbüttel;383;292;78;6;7
01054071;Kolkerheide;30;18;3;6;3
01054072;Kotzenbüll;96;62;28;-;6
01054073;Ladelund;659;409;176;6;68
01054074;Langeneß;88;54;19;12;3
01054075;Langenhorn;1398;765;584;19;30
01054076;Leck;3720;1817;1796;16;91
01054077;Lexgaard;26;20;3;3;-
01054078;List;1388;358;606;394;27
01054079;Löwenstedt;257;185;69;-;3
01054080;Lütjenholm;138;109;29;-;-
01054083;Midlum;236;126;76;34;-
01054084;Mildstedt;1551;1113;411;20;7
01054085;Nebel;693;213;258;202;20
01054086;Neukirchen;537;322;178;22;15
01054087;Nieblum;622;221;148;237;16
01054088;Niebüll;4577;2235;2253;45;44
01054089;Norddorf auf Amrum;367;132;126;103;6
01054090;Norderfriedrichskoog;22;7;12;3;-
01054091;Nordstrand;1358;662;406;247;43
01054092;Norstedt;168;119;45;-;4
01054093;Ockholm;173;117;42;14;-
01054094;Oevenum;253;103;98;52;-
01054095;Oldenswort;613;375;173;42;23
01054096;Oldersbek;288;172;104;9;3
01054097;Olderup;165;126;36;-;3
01054098;Oldsum;329;180;77;68;4
01054099;Ostenfeld (Husum);638;454;172;3;9
01054100;Osterhever;129;83;16;24;6
01054101;Oster-Ohrstedt;286;202;68;3;13
01054103;Pellworm;716;412;160;129;15
01054104;Poppenbüll;119;71;13;24;11
01054105;Ramstedt;201;151;44;3;3
01054106;Rantrum;689;462;204;3;20
01054107;Rantum (Sylt);-;-;-;-;-
01054108;Reußenköge;141;96;38;7;-
01054109;Risum-Lindholm;1579;1078;472;17;12
01054110;Rodenäs;206;149;47;7;3
01054113;Sankt Peter-Ording;3810;1414;1061;1256;79
01054116;Schwabstedt;617;394;183;21;19
01054118;Schwesing;385;265;111;-;9
01054119;Seeth;272;178;81;3;10
01054120;Simonsberg;436;267;114;48;7
01054121;Sönnebüll;106;68;38;-;-
01054123;Sollwitt;135;98;28;-;9
01054124;Sprakebüll;98;54;38;3;3
01054125;Stadum;421;296;105;10;10
01054126;Stedesand;344;230;101;10;3
01054128;Struckum;402;311;79;6;6
01054129;Süderende;108;46;34;18;10
01054130;Süderhöft;9;6;3;-;-
01054131;Süderlügum;1020;734;254;14;18
01054132;Südermarsch;73;46;24;-;3
01054133;Sylt-Ost;-;-;-;-;-
01054134;Tating;623;310;160;120;33
01054135;Tetenbüll;360;219;56;85;0
01054136;Tinningstedt;94;59;32;-;3
01054138;Tönning;2506;1381;962;115;48
01054140;Tümlauer Koog;63;33;15;15;-
01054141;Uelvesbüll;144;97;19;25;3
01054142;Uphusum;163;123;25;8;7
01054143;Utersum;319;102;145;49;23
01054144;Viöl;800;466;316;12;6
01054145;Vollerwiek;133;72;40;18;3
01054146;Vollstedt;82;52;30;-;-
01054148;Welt;121;61;45;11;4
01054149;Wenningstedt-Braderup (Sylt);2107;488;474;1098;47
01054150;Westerhever;95;42;9;44;-
01054151;Westerland;-;-;-;-;-
01054152;Wester-Ohrstedt;444;255;182;-;7
01054154;Westre;151;102;45;-;4
01054156;Winnert;330;205;101;-;24
01054157;Wisch;49;36;6;7;-
01054158;Witsum;39;12;7;17;3
01054159;Wittbek;333;235;79;3;16
01054160;Wittdün auf Amrum;604;180;215;200;9
01054161;Witzwort;465;295;126;35;9
01054162;Wobbenbüll;212;142;66;-;4
01054163;Wrixum;359;165;121;67;6
01054164;Wyk auf Föhr;2887;1011;1138;661;73
01054165;Galmsbüll;261;179;55;18;9
01054166;Emmelsbüll-Horsbüll;508;339;108;47;14
01054167;Enge-Sande;468;316;139;7;6
01054168;Sylt;9660;3182;4565;1722;191
01055001;Ahrensbök;3626;2163;1333;13;117
01055002;Altenkrempe;452;270;165;10;7
01055004;Bad Schwartau;9674;4723;4682;25;244
01055006;Beschendorf;226;150;67;3;6
01055007;Bosau;1576;932;519;75;50
01055010;Dahme;1309;440;288;535;46
01055011;Damlos;287;219;68;-;-
01055012;Eutin;8377;3473;4561;69;274
01055014;Göhl;490;367;110;10;3
01055015;Gremersdorf;687;471;189;4;23
01055016;Grömitz;5910;2332;1658;1801;119
01055017;Großenbrode;1758;752;561;418;27
01055018;Grube;474;327;120;17;10
01055020;Harmsdorf;302;176;104;6;16
01055021;Heiligenhafen;5539;2536;2243;588;172
01055022;Heringsdorf (Holstein);694;397;137;151;9
01055023;Kabelhorst;208;143;52;3;10
01055024;Kasseedorf;643;402;208;18;15
01055025;Kellenhusen (Ostsee);1045;429;346;261;6
01055027;Lensahn;2258;1153;1044;20;41
01055028;Malente;5179;2462;2434;71;212
01055029;Manhagen;175;129;33;3;10
01055031;Neukirchen;680;417;167;81;15
01055032;Neustadt in Holstein;7818;3022;4316;334;146
01055033;Oldenburg in Holstein;4672;2226;2254;88;104
01055035;Ratekau;6751;4140;2452;25;134
01055036;Riepsdorf;464;306;125;24;9
01055037;Schashagen;1160;549;416;165;30
01055038;Schönwalde am Bungsberg;1096;613;445;23;15
